state,muCcrit.2.5.,muCcrit.5.,muCcrit.25.,muCcrit.50.,muCcrit.75.,muCcrit.95.,muCcrit.97.5.,mulambdacrit.2.5.,mulambdacrit.5.,mulambdacrit.25.,mulambdacrit.50.,mulambdacrit.75.,mulambdacrit.95.,mulambdacrit.97.5.,mubothcrit.2.5.,mubothcrit.5.,mubothcrit.25.,mubothcrit.50.,mubothcrit.75.,mubothcrit.95.,mubothcrit.97.5.
AK,1.44699383477051,1.52721095446049,1.9942814108264,2.49110848788722,3.2746553021519,5.48424237527056,6.85746174512894,1,1,3.88226634121567,5.8730991059178,10.544025403759,Inf,Inf,1.38708930427562,1.44217565844199,1.75300214115833,2.01370501929936,2.4399174554964,3.37244465556077,3.89959477033551
AL,1.15009279646358,1.18897156385928,1.3794283482429,1.58154331896054,1.93354088016859,2.76258886423329,3.14144054836337,1.53024395318675,1.63213747239564,1.95184435404928,2.35226661156151,2.99765873820025,5.14513319391464,6.46604409553248,1.13155882477168,1.16545787394795,1.27140196305994,1.39245501884655,1.54995713954241,1.82696586236923,1.97558128366528
AR,1.12831994221363,1.15564036498095,1.33875589288409,1.61188685908518,2.02356007254657,3.2219036158914,3.58557451143643,1.39517964288454,1.48369163453216,1.85953238866196,2.25013987419019,2.93878655486102,4.94584135230546,5.77376666611213,1.10682270739237,1.12963095735996,1.24555780792882,1.37443045817223,1.55111099975592,2.00277603656342,2.1875415792636
AZ,1,1,1,1,1,1.3269988342213,1.48583477689122,1,1,1,1,1,1.8353137864722,2.24506273135452,1,1,1,1,1,1.20037742025042,1.32596580153918
CA,1.26504829991474,1.29990086289212,1.43563914557125,1.60686937891278,1.80404868469965,2.42196477152991,2.65868653193611,2.39817962333579,2.66640486997851,3.7883023898722,5.27843532860842,8.91060446529023,21.9660339015659,30.2544372596364,1.2439420332257,1.27700342911502,1.39574369319013,1.51713256236616,1.63733717810047,1.90921590565794,2.0052785255816
CO,1.09671718554457,1.14943863391902,1.41933677196585,1.81565227466864,2.36213552359576,4.11941315929347,4.86259940843082,1.27168153878239,1.45943937944979,2.19412095192585,3.18250829860367,4.73468470042004,9.81115184225098,13.1385870015209,1.08542643858369,1.11298998790284,1.30477464475544,1.55372068221652,1.88516827070821,2.55979836839497,2.89002875393455
CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DC,1,1.07515776166784,1.3451921691599,1.67116882667574,2.12492992349197,3.20121803948914,3.54673554095877,1,1.20098958191352,2.07104107063696,2.95132284305829,4.33429586052119,8.43820064769218,11.0503518597155,1,1.05772179988574,1.26380376234869,1.46431315534213,1.73888334236373,2.22721076362018,2.39492578431894
DE,1,1.01631219845785,1.10008178971091,1.1808759616217,1.2863544448927,1.5084666488379,1.60723253734698,1,1.10052908697234,1.75629345648379,2.53311543482867,4.20987696243125,9.76928171067165,14.2045109875607,1,1.01442704165326,1.08952324046547,1.16029095198183,1.25384932480562,1.44341512041557,1.51883711445907
FL,1.26592037142035,1.34144231134166,1.59883585066495,1.86501307215963,2.26477609722722,3.40348535369216,3.75339873234894,1.99395337406949,2.31206756825624,3.01011388884257,3.6628164965114,4.72438869361148,7.78913519960923,10.2461555395573,1.20234760320615,1.29110258058074,1.46963647551695,1.6356026887092,1.87051978071619,2.2402718149376,2.38269770345041
GA,1.25703066764971,1.31294407159927,1.55697606727011,1.91978909074567,2.45517755195654,3.67817247976511,4.04055724350336,2.0925749585151,2.22223134237873,2.88548152291824,3.57592915747013,4.64278672965627,6.93545162088665,8.73660837051335,1.21618034494229,1.26748624053755,1.44290642132526,1.64011249874787,1.89827317924152,2.2535740335019,2.49361577889797
HI,1.77760540417073,1.88258512924197,2.62223742062775,3.40263209253845,4.51195669583725,6.29392560204806,6.58508332185416,1,2.68649715974126,5.25677690360547,7.95462992037078,16.732291430649,Inf,Inf,1.63393584701715,1.7173465345104,2.14346036985156,2.53673048040959,3.07715002223469,4.00121595444752,4.26656834496351
IA,1.03717505467565,1.05449926801681,1.11503163667264,1.18308782043148,1.28272739797752,1.54708611723377,1.70165572463548,1.20463506523425,1.28906375030158,1.67095218273748,2.21398568584294,3.07231587064943,6.3626274111028,9.36466630128063,1.03312608595523,1.04753718817389,1.10023943878043,1.15116404576571,1.22612118453495,1.41409568506171,1.52699843773424
ID,1.3447754215972,1.41407614230368,1.77012080695352,2.19725822267411,2.86276025220775,4.78806821936385,5.9082716552611,1,2.58389080871662,5.31088617696435,8.68004518498727,15.2135293212896,Inf,Inf,1.32157036914654,1.38554077784115,1.67381162862732,1.94181839598356,2.3144322320212,3.31648793943531,3.7386015839975
IL,1.32558329179604,1.37210385398975,1.58331974080961,1.77590900512997,2.09296467185473,2.75007240436115,3.11028735427668,2.28492087168158,2.45578996491554,3.83156881132314,5.76846697917046,9.89601896047773,25.4056248314926,35.4633488054129,1.2956752138722,1.33539382707154,1.48815159674293,1.63336957052904,1.82154899285789,2.23517976905515,2.4622562017833
IN,1.19915230153428,1.23057799572455,1.51552062833016,1.85667777347206,2.44738244109223,3.9963709447344,4.71026734902527,2.35818766515365,2.61541292788508,3.89820903536935,6.0433645651519,10.00443754182,25.0544524273561,34.4507341800277,1.19034241039914,1.21126331271202,1.42994885368211,1.68436546828717,2.03063093663612,2.80435771216546,3.04990057406172
KS,1,1,1.11290181380814,1.27401380999655,1.66488881948149,2.74738070562037,3.05592382523377,1,1,1.30086626995086,1.63160066406073,2.24435890520352,4.29174652314358,5.47913324848036,1,1,1.08242446497019,1.18426534270548,1.35176884808316,1.78942012415739,1.99106653656983
KY,1.06621290156406,1.09625043044291,1.22915085059391,1.44074596689459,1.84824247834028,3.01727092439855,3.58937924454452,1.25302567516265,1.42853687230235,1.9282988726181,2.53191255318032,3.81122520400432,9.86617242162212,14.0284983102686,1.06026376280539,1.08236626634365,1.18339429750971,1.31980013627132,1.53824768127824,2.07470452555909,2.24041659944043
LA,1.29641082289397,1.33609287436011,1.62425781582513,1.98285518724417,2.57331150986969,3.96827982702017,4.36283541431615,1.80643466481988,1.90142525589821,2.40756391336127,3.00021669862816,3.91587719819179,6.49844437904043,8.57634883181889,1.23543427092868,1.27801609438122,1.45287477981881,1.61748195513445,1.80949650330871,2.228651011188,2.38455176724423
MA,1,1,1.28275952039414,1.58039745361043,2.17064078302273,3.48090565791109,4.00284675647388,1,1,1.5653571817575,2.22932398263646,3.33339590289784,7.12505248222382,9.32665175342301,1,1,1.17948036201303,1.38040816757734,1.67296837095218,2.27927665939731,2.57307209881537
MD,1.5688453364312,1.61436293375048,1.94768753048763,2.24243252384785,2.69387865913838,3.65250157907134,4.06777225654196,5.91717847798044,6.94539054916367,12.2064173175929,20.0482526072022,34.4067801668348,88.8580073355849,127.050246330776,1.52692749652581,1.58837729409125,1.86755657884706,2.13045945353132,2.49834174273728,3.30284698860823,3.59788610235054
ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MI,1.44783937712951,1.52846259625957,1.7729284403828,2.05223455977575,2.558402752966,3.89481347716786,4.85782480416619,4.27340341636751,5.10199517988611,9.66370460651646,18.4011114098034,33.9898637600932,103.220093343527,181.524176449777,1.43650833227458,1.50784658014562,1.72917884933687,1.97445966475567,2.37528525905855,3.11238652513326,3.65563460437797
MN,1,1.03496025917927,1.15784361863937,1.2618531436682,1.38964946135152,1.74097735670081,1.95751348995093,1,1.27683285681896,2.50149261719807,4.06429764488523,7.64712129307369,20.227427401753,29.683927216196,1,1.03314442626837,1.14159555269675,1.23299823354509,1.34965404112565,1.57692896464596,1.75387909478407
MO,1.31026240621452,1.36899268234692,1.67612420621677,2.10887032872216,2.85317910500918,4.69194287645898,5.17761541431603,1.97283581677528,2.15065253727101,3.2256035896635,4.75497422572188,6.60212684162668,12.5717499878902,20.2961249302998,1.27197157242184,1.31747931851722,1.52592295961614,1.76176740556774,2.16913737859911,2.85688501799612,3.09542038776239
MS,1.17614217301026,1.22821634327063,1.49948656187897,1.8504529266481,2.51620844637587,3.8764178883073,4.46666571018795,1.45193393986359,1.56235062883407,2.13116245888856,2.689302647018,3.85734917288007,7.17541456326986,8.38394877637833,1.13610180406762,1.16864350744248,1.34170977208971,1.53224535376634,1.79623672093076,2.43339199346108,2.7322794896256
MT,1.53796906017332,1.603470510972,1.98812727252027,2.61673341072115,3.39098737458976,5.7120782173816,6.83319159011624,1,1,5.03590668936598,8.61380371455819,16.8061536601694,Inf,Inf,1.49264942081052,1.53880111166316,1.80515698489839,2.19193592030434,2.61029839769396,3.59875112797811,4.12537799521444
NC,1.07538601077638,1.09089130475577,1.16305665605832,1.23783900761537,1.36586907423325,1.77840749857527,2.00981196370378,1.41946139665544,1.5260461918054,1.85480275730333,2.25676314095439,3.09734525828373,6.91178296401896,8.80714599824683,1.06630563887854,1.0836817036994,1.13796445827049,1.20339139481892,1.2783662251045,1.44892764832567,1.51554561302832
ND,1.39216810776935,1.48339785579441,2.00284809763152,2.51044059781455,3.39360856177392,5.2346330268999,5.97333936220687,1.81892470391389,2.19594606668535,3.54107554962524,5.2163723483773,8.39632257335941,Inf,Inf,1.32808352007974,1.39346571296642,1.73642238711384,1.99422934898864,2.40051913244659,3.21005152298604,3.47547147400052
NE,1,1,1,1,1,1.12752787514341,1.2070454320308,1,1,1,1,1,1.3199552066528,1.5042855922086,1,1,1,1,1,1.07602219772075,1.11600545880534
NH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NJ,1,1,1,1,1.05130635756117,1.62031755813167,2.16070533994902,1,1,1,1,1.05352532572561,1.72827999259417,1.91143175715681,1,1,1,1,1.02456824058731,1.27603332617858,1.40772358317273
NM,1.15255453630663,1.19855156026505,1.37672707348764,1.61169911818206,1.98410403518739,2.64461254423113,3.02907612891606,1.73323089562313,1.89570689792006,2.9083329323591,4.35367346951937,7.2797460676706,18.9467776983151,27.4476933428357,1.13434927840895,1.17242028664348,1.3176192226898,1.48619786391347,1.71144544517729,2.13982082929664,2.26933316121716
NV,1.34416457584849,1.42706407611609,1.63100356490808,1.89248188490837,2.29953590896661,3.29103632978515,3.62864963208364,3.25579519119115,3.66440140157035,5.12907691939183,6.90900726366478,10.9014636603411,25.5261478614324,32.5736242022016,1.33149691272938,1.3896301461814,1.5618036437304,1.75654200348926,1.99961067986606,2.54289678437464,2.70632833686295
NY,1,1,1.04716605265516,1.09494824803148,1.15200743754559,1.29415869062343,1.33321464344753,1,1,2.05818688742643,3.48474926420708,6.48176710530269,21.3306968902908,31.7207181426867,1,1,1.04474836767489,1.09105326000399,1.145279273718,1.26280210438856,1.28861640730484
OH,1.24876024083704,1.294694235861,1.46965999725072,1.70104712033144,2.05330771902831,2.85908929550363,3.16077650385332,2.39764965485445,2.62416852738898,3.64976995294025,5.01040708995209,8.21067125261163,19.4198106014312,25.0163640658298,1.23511350641355,1.26934492297905,1.40495521077448,1.56576535853613,1.80182785117031,2.27311120476637,2.52974665801174
