"date","State.Abbr","MobilityMetric","AbbrMobMet","variable","value"
2020-04-10,"AL","UnacastTravelDistance","UncstTrvlD","log10ys",0.00458771429346761
2020-04-10,"AK","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0133476353183495
2020-04-10,"AZ","UnacastTravelDistance","UncstTrvlD","log10ys",0.00697510045954983
2020-04-10,"AR","UnacastTravelDistance","UncstTrvlD","log10ys",0.0134713323741434
2020-04-10,"CA","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00739053893058186
2020-04-10,"CO","UnacastTravelDistance","UncstTrvlD","log10ys",0.00841547809492036
2020-04-10,"CT","UnacastTravelDistance","UncstTrvlD","log10ys",0.00296541565364371
2020-04-10,"DE","UnacastTravelDistance","UncstTrvlD","log10ys",-0.000984621465470312
2020-04-10,"DC","UnacastTravelDistance","UncstTrvlD","log10ys",0.0116787650268407
2020-04-10,"FL","UnacastTravelDistance","UncstTrvlD","log10ys",0.0023384612566586
2020-04-10,"GA","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00420556956897281
2020-04-10,"HI","UnacastTravelDistance","UncstTrvlD","log10ys",0.0214741495108384
2020-04-10,"ID","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0290475058594431
2020-04-10,"IL","UnacastTravelDistance","UncstTrvlD","log10ys",0.00602406805600447
2020-04-10,"IN","UnacastTravelDistance","UncstTrvlD","log10ys",0.00654197261763109
2020-04-10,"IA","UnacastTravelDistance","UncstTrvlD","log10ys",0.00251244375078413
2020-04-10,"KS","UnacastTravelDistance","UncstTrvlD","log10ys",0.0106471183823082
2020-04-10,"KY","UnacastTravelDistance","UncstTrvlD","log10ys",0.00943610381137754
2020-04-10,"LA","UnacastTravelDistance","UncstTrvlD","log10ys",0.00133077233213919
2020-04-10,"ME","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00978136970879754
2020-04-10,"MD","UnacastTravelDistance","UncstTrvlD","log10ys",0.000180938008048447
2020-04-10,"MA","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0090221021692451
2020-04-10,"MI","UnacastTravelDistance","UncstTrvlD","log10ys",0.00355051437548341
2020-04-10,"MN","UnacastTravelDistance","UncstTrvlD","log10ys",0.00345925237605526
2020-04-10,"MS","UnacastTravelDistance","UncstTrvlD","log10ys",0.0141118515228174
2020-04-10,"MO","UnacastTravelDistance","UncstTrvlD","log10ys",0.0074704810974212
2020-04-10,"MT","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0210295409517561
2020-04-10,"NE","UnacastTravelDistance","UncstTrvlD","log10ys",0.000710775887814224
2020-04-10,"NV","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0185057876019456
2020-04-10,"NH","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0179501156005934
2020-04-10,"NJ","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00207953422925617
2020-04-10,"NM","UnacastTravelDistance","UncstTrvlD","log10ys",0.00858367646353485
2020-04-10,"NY","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0113701630009884
2020-04-10,"NC","UnacastTravelDistance","UncstTrvlD","log10ys",0.0138601189121771
2020-04-10,"ND","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0124536009423263
2020-04-10,"OH","UnacastTravelDistance","UncstTrvlD","log10ys",0.00546824912565604
2020-04-10,"OK","UnacastTravelDistance","UncstTrvlD","log10ys",0.00740551612101297
2020-04-10,"OR","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0120550159415865
2020-04-10,"PA","UnacastTravelDistance","UncstTrvlD","log10ys",0.0032392911497547
2020-04-10,"RI","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00278615045258519
2020-04-10,"SC","UnacastTravelDistance","UncstTrvlD","log10ys",0.00710358177467474
2020-04-10,"SD","UnacastTravelDistance","UncstTrvlD","log10ys",0.00832979783467495
2020-04-10,"TN","UnacastTravelDistance","UncstTrvlD","log10ys",0.0102458057226912
2020-04-10,"TX","UnacastTravelDistance","UncstTrvlD","log10ys",0.0151068607721322
2020-04-10,"UT","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00264764803088037
2020-04-10,"VT","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0258417541196278
2020-04-10,"VA","UnacastTravelDistance","UncstTrvlD","log10ys",0.0109649707029271
2020-04-10,"WA","UnacastTravelDistance","UncstTrvlD","log10ys",-0.0322823401527332
2020-04-10,"WV","UnacastTravelDistance","UncstTrvlD","log10ys",-0.00111616132064335
2020-04-10,"WI","UnacastTravelDistance","UncstTrvlD","log10ys",0.00214527684697209
2020-04-10,"WY","UnacastTravelDistance","UncstTrvlD","log10ys",-0.02136131541055
2020-04-10,"AL","UnacastVisitation","UncstVsttn","log10ys",-0.0153445213419487
2020-04-10,"AK","UnacastVisitation","UncstVsttn","log10ys",0.00762215780374864
2020-04-10,"AZ","UnacastVisitation","UncstVsttn","log10ys",-0.0151221787887869
2020-04-10,"AR","UnacastVisitation","UncstVsttn","log10ys",-0.0108293352639506
2020-04-10,"CA","UnacastVisitation","UncstVsttn","log10ys",-0.0241197319513324
2020-04-10,"CO","UnacastVisitation","UncstVsttn","log10ys",0.00068607362374463
2020-04-10,"CT","UnacastVisitation","UncstVsttn","log10ys",-0.0255559983128981
2020-04-10,"DE","UnacastVisitation","UncstVsttn","log10ys",-0.024643380230466
2020-04-10,"DC","UnacastVisitation","UncstVsttn","log10ys",0.00715598157601536
2020-04-10,"FL","UnacastVisitation","UncstVsttn","log10ys",-0.0228017252751979
2020-04-10,"GA","UnacastVisitation","UncstVsttn","log10ys",-0.0242004583544459
2020-04-10,"HI","UnacastVisitation","UncstVsttn","log10ys",-0.0240642249865853
2020-04-10,"ID","UnacastVisitation","UncstVsttn","log10ys",-0.0147869744113703
2020-04-10,"IL","UnacastVisitation","UncstVsttn","log10ys",-0.0160619059985106
2020-04-10,"IN","UnacastVisitation","UncstVsttn","log10ys",-0.00930956024913662
2020-04-10,"IA","UnacastVisitation","UncstVsttn","log10ys",-0.0109167975957846
2020-04-10,"KS","UnacastVisitation","UncstVsttn","log10ys",-0.00876013722540392
2020-04-10,"KY","UnacastVisitation","UncstVsttn","log10ys",-0.00296096289310964
2020-04-10,"LA","UnacastVisitation","UncstVsttn","log10ys",-0.0169024245807694
2020-04-10,"ME","UnacastVisitation","UncstVsttn","log10ys",-0.00508326589372052
2020-04-10,"MD","UnacastVisitation","UncstVsttn","log10ys",-0.0172383161061891
2020-04-10,"MA","UnacastVisitation","UncstVsttn","log10ys",-0.0268873526358764
2020-04-10,"MI","UnacastVisitation","UncstVsttn","log10ys",-0.0128251851633929
2020-04-10,"MN","UnacastVisitation","UncstVsttn","log10ys",-0.0172008416995045
2020-04-10,"MS","UnacastVisitation","UncstVsttn","log10ys",-0.00689809661880158
2020-04-10,"MO","UnacastVisitation","UncstVsttn","log10ys",-0.0141700637480767
2020-04-10,"MT","UnacastVisitation","UncstVsttn","log10ys",0.000156492366789189
2020-04-10,"NE","UnacastVisitation","UncstVsttn","log10ys",-0.0240146046648878
2020-04-10,"NV","UnacastVisitation","UncstVsttn","log10ys",-0.0306136939094732
2020-04-10,"NH","UnacastVisitation","UncstVsttn","log10ys",-0.0279525958644475
2020-04-10,"NJ","UnacastVisitation","UncstVsttn","log10ys",-0.0223036588422237
2020-04-10,"NM","UnacastVisitation","UncstVsttn","log10ys",-0.00960733977493936
2020-04-10,"NY","UnacastVisitation","UncstVsttn","log10ys",-0.018613373859138
2020-04-10,"NC","UnacastVisitation","UncstVsttn","log10ys",-0.0151559431506073
2020-04-10,"ND","UnacastVisitation","UncstVsttn","log10ys",-0.0154059078688133
2020-04-10,"OH","UnacastVisitation","UncstVsttn","log10ys",-0.0105247712719985
2020-04-10,"OK","UnacastVisitation","UncstVsttn","log10ys",-0.0115048538656219
2020-04-10,"OR","UnacastVisitation","UncstVsttn","log10ys",-0.0152412109857882
2020-04-10,"PA","UnacastVisitation","UncstVsttn","log10ys",-0.01986008774751
2020-04-10,"RI","UnacastVisitation","UncstVsttn","log10ys",-0.0213830352348091
2020-04-10,"SC","UnacastVisitation","UncstVsttn","log10ys",-0.0207460731436912
2020-04-10,"SD","UnacastVisitation","UncstVsttn","log10ys",-0.00549691386687203
2020-04-10,"TN","UnacastVisitation","UncstVsttn","log10ys",-0.00982903836925752
2020-04-10,"TX","UnacastVisitation","UncstVsttn","log10ys",-0.0141408572329892
2020-04-10,"UT","UnacastVisitation","UncstVsttn","log10ys",-0.0195113159343854
2020-04-10,"VT","UnacastVisitation","UncstVsttn","log10ys",-0.028189524510633
2020-04-10,"VA","UnacastVisitation","UncstVsttn","log10ys",-0.0186322720428281
2020-04-10,"WA","UnacastVisitation","UncstVsttn","log10ys",-0.0253297832675766
2020-04-10,"WV","UnacastVisitation","UncstVsttn","log10ys",-0.0130040850338351
2020-04-10,"WI","UnacastVisitation","UncstVsttn","log10ys",-0.00441107101088988
2020-04-10,"WY","UnacastVisitation","UncstVsttn","log10ys",-0.00507348301652043
2020-04-10,"AL","UnacastEncounters","UncstEncnt","log10ys",0.305657062016562
2020-04-10,"AK","UnacastEncounters","UncstEncnt","log10ys",-2.47999607752686
2020-04-10,"AZ","UnacastEncounters","UncstEncnt","log10ys",-0.253469745407674
2020-04-10,"AR","UnacastEncounters","UncstEncnt","log10ys",-0.0532009389244491
2020-04-10,"CA","UnacastEncounters","UncstEncnt","log10ys",0.194140626025839
2020-04-10,"CO","UnacastEncounters","UncstEncnt","log10ys",-0.373779000586563
2020-04-10,"CT","UnacastEncounters","UncstEncnt","log10ys",0.578686569864856
2020-04-10,"DE","UnacastEncounters","UncstEncnt","log10ys",0.510522218381155
2020-04-10,"DC","UnacastEncounters","UncstEncnt","log10ys",2.38069776137612
2020-04-10,"FL","UnacastEncounters","UncstEncnt","log10ys",0.81242662412644
2020-04-10,"GA","UnacastEncounters","UncstEncnt","log10ys",0.428587536478483
2020-04-10,"HI","UnacastEncounters","UncstEncnt","log10ys",0.349788794117026
2020-04-10,"ID","UnacastEncounters","UncstEncnt","log10ys",-0.986816710656297
2020-04-10,"IL","UnacastEncounters","UncstEncnt","log10ys",0.420505320826959
2020-04-10,"IN","UnacastEncounters","UncstEncnt","log10ys",0.238286296556111
2020-04-10,"IA","UnacastEncounters","UncstEncnt","log10ys",-0.245291506968272
2020-04-10,"KS","UnacastEncounters","UncstEncnt","log10ys",-0.440672165037494
2020-04-10,"KY","UnacastEncounters","UncstEncnt","log10ys",0.111920374024623
2020-04-10,"LA","UnacastEncounters","UncstEncnt","log10ys",0.17885505734637
2020-04-10,"ME","UnacastEncounters","UncstEncnt","log10ys",-0.848069522743422
2020-04-10,"MD","UnacastEncounters","UncstEncnt","log10ys",0.639691845743637
2020-04-10,"MA","UnacastEncounters","UncstEncnt","log10ys",0.700269525282793
2020-04-10,"MI","UnacastEncounters","UncstEncnt","log10ys",0.111020777863558
2020-04-10,"MN","UnacastEncounters","UncstEncnt","log10ys",-0.23113998293102
2020-04-10,"MS","UnacastEncounters","UncstEncnt","log10ys",-0.0276214223242866
2020-04-10,"MO","UnacastEncounters","UncstEncnt","log10ys",0.0389518136101678
2020-04-10,"MT","UnacastEncounters","UncstEncnt","log10ys",-1.62873548015981
2020-04-10,"NE","UnacastEncounters","UncstEncnt","log10ys",-0.560498848707159
2020-04-10,"NV","UnacastEncounters","UncstEncnt","log10ys",-0.443837085033062
2020-04-10,"NH","UnacastEncounters","UncstEncnt","log10ys",-0.146829703698326
2020-04-10,"NJ","UnacastEncounters","UncstEncnt","log10ys",1.0511363655882
2020-04-10,"NM","UnacastEncounters","UncstEncnt","log10ys",-1.14886451868157
2020-04-10,"NY","UnacastEncounters","UncstEncnt","log10ys",0.79287863236209
2020-04-10,"NC","UnacastEncounters","UncstEncnt","log10ys",0.325737229399263
2020-04-10,"ND","UnacastEncounters","UncstEncnt","log10ys",-1.13355984927618
2020-04-10,"OH","UnacastEncounters","UncstEncnt","log10ys",0.430060644961308
2020-04-10,"OK","UnacastEncounters","UncstEncnt","log10ys",-0.0663123578098482
2020-04-10,"OR","UnacastEncounters","UncstEncnt","log10ys",-0.649421959331931
2020-04-10,"PA","UnacastEncounters","UncstEncnt","log10ys",0.307405861112008
2020-04-10,"RI","UnacastEncounters","UncstEncnt","log10ys",0.695536619999757
2020-04-10,"SC","UnacastEncounters","UncstEncnt","log10ys",0.289821428724726
2020-04-10,"SD","UnacastEncounters","UncstEncnt","log10ys",-1.18370408338609
2020-04-10,"TN","UnacastEncounters","UncstEncnt","log10ys",0.373063017869032
2020-04-10,"TX","UnacastEncounters","UncstEncnt","log10ys",0.267757901918219
2020-04-10,"UT","UnacastEncounters","UncstEncnt","log10ys",-0.606323337425965
2020-04-10,"VT","UnacastEncounters","UncstEncnt","log10ys",-0.811923523512998
2020-04-10,"VA","UnacastEncounters","UncstEncnt","log10ys",0.231939812124684
2020-04-10,"WA","UnacastEncounters","UncstEncnt","log10ys",-0.207377699172991
2020-04-10,"WV","UnacastEncounters","UncstEncnt","log10ys",-0.255039084424119
2020-04-10,"WI","UnacastEncounters","UncstEncnt","log10ys",-0.205135115820959
2020-04-10,"WY","UnacastEncounters","UncstEncnt","log10ys",-1.62450386603775
2020-04-10,"AL","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0403993344441071
2020-04-10,"AK","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.048133790212107
2020-04-10,"AZ","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0331115252150965
2020-04-10,"AR","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0642804049324786
2020-04-10,"CA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0213698024355301
2020-04-10,"CO","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0333267997017707
2020-04-10,"CT","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0307450195683441
2020-04-10,"DE","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0427174261163092
2020-04-10,"DC","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0231415197532415
2020-04-10,"FL","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0259052414394021
2020-04-10,"GA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0323080062702838
2020-04-10,"HI","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.000595657410033807
2020-04-10,"ID","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0415238595263369
2020-04-10,"IL","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0359854534764044
2020-04-10,"IN","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0536812600931349
2020-04-10,"IA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0348386607777464
2020-04-10,"KS","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0537158496595241
2020-04-10,"KY","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0522368345137032
2020-04-10,"LA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0491298249448567
2020-04-10,"ME","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0397634447313064
2020-04-10,"MD","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.028895640130975
2020-04-10,"MA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0328805158050096
2020-04-10,"MI","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.048131056723145
2020-04-10,"MN","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0264006583638334
2020-04-10,"MS","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0629769265546015
2020-04-10,"MO","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0570887802320538
2020-04-10,"MT","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0448961522277039
2020-04-10,"NE","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0455145559843431
2020-04-10,"NV","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0200196122144989
2020-04-10,"NH","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0286647176807219
2020-04-10,"NJ","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0374592640365798
2020-04-10,"NM","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0511142987757717
2020-04-10,"NY","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0318700950139815
2020-04-10,"NC","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0405210426471129
2020-04-10,"ND","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0292270766286067
2020-04-10,"OH","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0483833165923176
2020-04-10,"OK","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0526276710281351
2020-04-10,"OR","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0335135890815407
2020-04-10,"PA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0377901812176779
2020-04-10,"RI","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0389417384439673
2020-04-10,"SC","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0410838989294284
2020-04-10,"SD","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0372276953793705
2020-04-10,"TN","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.047092913705265
2020-04-10,"TX","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0386130994081932
2020-04-10,"UT","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0389201384570892
2020-04-10,"VT","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0306417596680392
