"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2036.74 14.8419 2.62393 17.4031 5.64426 10.4492 0.0208647 84.958 5.45445 5.27075 2.99356 0.0969374 0.142141 0.758394 0.569702 23.5299 8.01118 0.266494 0.149027 6.46567 8.44583 54.7364 1.59776 99.1474 5.41796 3.39711 -52.93017 -343.3066 -396.2368
66300 578.537 11.4828 2.82682 12.7474 3.39614 11.4703 0.0184272 81.0821 3.49868 4.73425 2.33286 0.21055 0.169095 0.757711 0.742466 28.0424 5.60389 0.57519 0.180229 5.13665 3.832 60.3643 1.49909 89.4977 5.0046 2.76076 -49.25436 -340.3884 -389.6428
200000 748.26 9.14899 3.44317 16.7464 3.47871 15.0502 0.0342681 82.3849 4.43739 4.35017 1.63116 0.333722 0.337085 0.664736 0.556468 25.8027 7.62414 0.539971 0.308247 12.9596 5.81833 46.9399 1.02928 36.9653 3.2348 2.25516 -51.03035 -342.967 -393.9973
161800 246.747 16.4894 3.6586 14.7876 3.50261 7.09776 0.0153036 78.872 3.41065 8.15316 1.28647 0.30077 0.609965 0.696844 0.55087 19.4184 6.58823 0.663116 0.0604251 8.79798 8.70344 43.8422 0.367819 48.1473 7.98078 2.31194 -48.95453 -340.36 -389.3146
170600 1192.93 13.9452 2.57596 17.5467 5.22547 10.9045 0.0214935 84.1426 3.60446 8.87512 1.20133 0.123291 0.745397 0.616914 0.762781 17.4005 5.18862 0.209983 0.207519 10.6239 5.14955 54.1086 0.0408403 43.2297 6.79963 2.26075 -50.65588 -340.1926 -390.8484
168200 761.586 11.3011 3.62977 7.44486 4.23501 7.84043 0.0129951 80.185 7.0919 10.2754 2.98134 0.399931 0.307576 0.810628 0.492185 20.6839 7.86202 0.671995 0.114995 10.0109 6.38905 55.5232 0.171828 21.5936 6.32912 2.69484 -50.31511 -342.4504 -392.7656
67100 326.158 13.0158 3.57556 14.718 3.52957 6.45425 0.0269429 84.8327 3.98556 5.11085 2.44294 0.353352 0.924533 0.622396 0.501402 10.4533 4.33709 0.181579 0.169781 9.29236 8.02812 25.2865 1.35354 101.918 8.53437 1.64932 -52.32813 -341.0818 -393.4099
106100 702.565 19.7651 2.73942 9.59357 4.3944 8.43984 0.0225579 83.1252 3.61403 7.37041 1.83352 0.345277 0.602293 0.656494 0.652242 27.8143 4.79247 0.476953 0.190949 6.24816 7.57047 50.7664 1.8662 60.0711 7.42366 2.12381 -48.68753 -345.0441 -393.7316
168900 1167.26 16.0887 2.81024 16.6589 4.4915 6.29883 0.0116051 92.4231 10.2823 8.31793 2.32605 0.188177 0.262892 0.698936 0.449341 24.5241 5.9385 0.364602 0.144328 7.1457 8.83485 63.955 1.83316 35.6086 8.17782 2.90394 -47.98446 -340.1956 -388.1801
47000 786.783 18.5343 4.17771 16.6417 4.91612 7.50664 0.0206406 82.1174 2.76503 5.26493 2.63563 0.421572 0.202222 0.620852 0.554193 8.78644 4.25244 0.471578 0.3889 2.3861 3.52934 45.5896 1.69743 69.5299 7.3543 3.32412 -54.03482 -337.2856 -391.3205
64700 594.065 16.4983 3.09109 9.86961 4.90519 7.25104 0.0416136 88.052 5.59656 4.41298 1.20374 0.285911 0.640577 0.717574 0.584478 16.6628 7.3825 0.533723 0.252575 10.6208 8.80874 26.8896 0.440483 49.5862 5.04392 2.00506 -51.1878 -340.766 -391.9538
108800 692.318 7.58613 3.33812 13.2448 5.02334 5.85149 0.0125842 86.713 5.25135 9.87183 1.21778 0.365221 0.647335 0.651009 0.522826 17.2387 7.73293 0.562419 0.0935696 2.94927 5.26229 88.9576 1.62906 42.9373 4.30609 2.0326 -48.15033 -342.4886 -390.6389
85300 468.549 20.9058 2.95061 7.68086 4.1596 7.64731 0.0207634 81.9501 3.44861 11.0841 1.49573 0.373229 0.651408 0.72481 0.555541 21.2395 3.08417 0.0176837 0.171914 3.38523 3.57532 86.9613 1.31211 24.68 5.3147 1.35143 -50.87832 -342.0399 -392.9183
78100 2161 17.3615 2.25919 15.7905 3.62174 8.89384 0.0167688 79.9311 1.92971 11.6101 2.9166 0.50325 0.367755 0.906326 0.685745 19.0641 7.76584 0.273338 0.139883 12.7164 5.31228 30.5672 1.04356 20.3397 5.29064 2.07417 -53.6042 -339.4503 -393.0545
177000 1122.06 9.25699 3.81772 9.26426 4.71989 6.3435 0.0229946 104.204 8.74393 5.6831 2.67822 0.561373 0.480835 0.715317 0.230587 21.8522 7.48365 0.246644 0.273907 3.08665 10.459 49.94 1.34049 65.9064 6.96215 1.32183 -49.2653 -342.7344 -391.9997
50600 1634.02 15.522 2.01025 9.2654 3.5236 7.69875 0.0157228 81.7317 2.98827 8.70636 2.39991 0.186315 0.401743 0.61056 0.738406 17.4452 6.42827 0.236083 0.124402 8.4221 5.54862 70.5227 1.57937 18.7199 5.29857 2.98336 -49.61527 -341.5797 -391.195
121500 335.217 14.796 2.80978 16.3766 3.22211 6.54259 0.0199064 85.0396 3.32152 6.58089 2.57999 0.221303 0.803831 0.649123 0.665824 15.1794 5.54105 0.434189 0.135091 1.48062 4.63737 68.3143 0.655292 90.8491 6.40013 3.27453 -50.0708 -338.1052 -388.176
122100 215.502 17.5091 3.27215 12.5269 3.87145 7.51849 0.0232499 78.8841 2.33943 3.57896 2.08726 0.486208 0.516514 0.744778 0.67926 24.8961 7.25672 0.766237 0.0649359 9.74644 6.00796 54.636 1.26243 51.277 6.2166 2.14394 -51.00426 -338.0456 -389.0498
128700 957.106 14.7374 3.15482 9.14061 4.3561 16.1335 0.0316915 83.0827 3.3502 8.11363 2.67549 0.382434 0.672978 0.801463 0.60437 27.9221 8.83843 0.260738 0.18128 11.5644 2.7581 56.853 0.597223 61.499 7.162 1.61413 -52.42819 -338.5544 -390.9826
46800 2427.29 8.03261 3.11897 12.0392 3.12306 14.57 0.0330847 87.2299 5.31158 8.99303 1.68538 0.395484 0.458897 0.624304 0.38329 19.9588 6.32925 0.266571 0.17877 9.99889 7.14024 45.002 1.27325 69.1358 7.32481 2.1595 -50.68699 -342.8681 -393.5551
196700 1527.06 17.1594 3.33104 12.554 4.48243 9.88941 0.00837105 83.3968 3.83049 11.4509 1.72153 0.253595 0.186248 0.668317 0.340933 24.8427 10.4415 0.100762 0.104042 5.46914 5.74365 79.9287 1.57384 67.7297 5.5445 1.71065 -50.85247 -340.2924 -391.1449
198800 281.036 12.934 3.58142 9.1396 4.56624 5.7346 0.0228702 85.1418 8.46649 9.69718 2.173 0.270828 0.861512 0.817926 0.489246 16.4051 7.86822 0.333143 0.174519 7.42675 9.23453 44.2452 1.22482 40.3932 6.90173 4.74379 -49.72911 -342.0541 -391.7832
133600 340.154 7.55148 3.83546 7.07983 3.7205 11.6644 0.035673 83.5418 4.03293 5.01991 1.22074 0.392813 0.528428 0.626693 0.701974 19.3365 1.55363 0.593389 0.379185 6.84548 4.16698 57.9018 1.53388 17.2592 5.99303 3.25822 -54.15705 -338.9382 -393.0952
88200 369.949 7.72876 3.79276 12.0178 2.89528 11.5685 0.0283001 91.6212 8.65678 5.72496 1.99732 0.122353 0.427496 0.651651 0.530824 21.0979 6.32614 0.705479 0.316895 7.60978 4.49524 75.1234 1.73582 39.1566 7.51564 2.79928 -50.62265 -342.9773 -393.6
108100 2877.57 11.9054 3.20235 15.3736 3.78551 11.7594 0.0210153 89.2852 7.67411 8.12474 2.02665 0.54594 0.122544 0.607864 0.481457 21.6683 4.53921 0.314503 0.410095 12.7556 5.28292 77.5968 1.73951 42.0853 7.17162 2.89145 -52.05583 -340.767 -392.8228
139400 3048.88 7.79571 1.9003 19.6271 2.74689 10.7437 0.0169902 90.452 5.96263 10.7186 2.55702 0.404833 0.578934 0.681556 0.559025 31.611 6.96007 0.255323 0.142626 2.31055 4.60873 73.355 0.90772 28.7899 6.78388 1.62214 -51.2168 -345.3131 -396.5299
113900 1547.58 8.0758 2.71654 10.8419 5.54859 7.00663 0.0216261 90.3344 8.376 8.12634 1.32021 0.45873 0.610556 0.85788 0.427827 19.4334 6.87707 0.115418 0.194039 12.0233 7.69343 89.3661 0.447724 15.0782 5.3582 2.92577 -52.25714 -343.6543 -395.9115
133400 1162.92 9.55777 2.61882 12.5025 2.56946 6.74314 0.012077 94.0587 6.95432 6.21081 2.14068 0.33063 0.366588 0.614153 0.424718 21.3308 5.31962 0.159237 0.0643924 2.92305 6.28106 62.5203 1.94225 66.4327 6.23592 3.53392 -48.09031 -339.0894 -387.1797
54200 663.739 18.1093 2.21186 15.1421 3.45496 6.71647 0.0217088 80.4927 3.29842 8.61999 2.6003 0.429464 0.910951 0.666888 0.723341 28.4416 5.89914 0.297137 0.147282 10.142 6.92779 21.2108 1.24552 27.2712 8.00586 5.8899 -51.62187 -339.3313 -390.9532
178100 1643.68 8.4639 2.5822 12.7084 4.48197 15.7042 0.0290661 84.8132 3.04523 8.5545 1.55913 0.159429 0.522361 0.804321 0.851579 8.7457 7.54802 0.598916 0.21099 4.91082 1.23128 33.0134 1.75561 20.2575 7.11256 4.85223 -56.11804 -342.6982 -398.8163
108200 580.307 19.6729 2.6111 18.6577 3.68984 6.46386 0.0234722 84.965 3.21589 6.6657 2.23082 0.483914 0.713927 0.670339 0.654524 15.0746 8.64972 0.154102 0.293931 6.45308 5.17703 56.4988 0.620348 58.0584 7.83195 1.47633 -49.55977 -342.8021 -392.3618
