"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2517.25 9.22322 3.93452 13.3345 4.75285 8.10014 0.00715298 144.212 35.3892 7.32452 2.50623 0.426676 0.579992 0.623568 0.354599 19.2787 6.81944 0.499943 0.211563 9.76395 13.8342 14.8127 1.14237 58.0328 8.49221 5.08152 -53.03656 -347.1276 -400.1642
66300 209.705 17.6641 3.95478 9.84473 3.69819 6.48226 0.0085044 121.544 32.6953 9.42025 1.7347 0.0650756 0.660972 0.635333 0.35803 24.0306 7.68968 0.320553 0.124914 3.8477 7.68377 23.761 0.724643 8.34677 9.2824 3.51043 -50.69036 -344.8855 -395.5759
200000 1624.63 10.0352 3.04012 7.28613 4.43529 10.9037 0.0109319 79.9091 2.19187 7.53788 1.58516 0.312745 0.201514 0.705584 0.730232 16.3672 5.88977 0.9153 0.14814 10.9516 1.68565 41.6535 1.3949 69.2272 10.2453 1.48829 -53.41693 -348.4629 -401.8798
161800 5058.12 11.0336 2.56909 10.8611 5.49495 12.8735 0.0117886 162.977 38.3072 4.83041 2.59597 0.367438 0.613619 0.676923 0.623707 25.3753 3.76303 0.445753 0.34519 4.14219 8.05148 31.6918 0.0988381 76.7867 4.88615 2.16858 -54.32783 -358.6147 -412.9426
170600 4208.19 15.8319 4.01507 7.19278 4.33934 22.5679 0.0126289 98.3597 20.5166 11.2162 2.23478 0.148589 0.143993 0.616983 0.244619 28.2741 6.30063 0.0676518 0.234931 6.86478 4.15751 14.7823 0.661023 17.0778 9.54162 2.15295 -59.02157 -351.568 -410.5896
168200 1566.09 20.4649 3.59514 12.3103 3.08155 21.7144 0.0217181 81.26 2.73191 8.62211 1.45102 0.471705 0.345141 0.63444 0.646911 19.2676 8.5769 0.441083 0.284753 1.88098 2.09981 17.3418 1.56992 32.8003 9.6856 5.89632 -58.53685 -347.3131 -405.8499
67100 390.614 20.3711 3.69106 14.188 4.94188 6.7371 0.013239 81.0172 2.32135 7.47059 1.70255 0.526552 0.662812 0.728103 0.551676 16.5927 8.18546 0.524734 0.153896 5.16704 2.56874 27.7563 1.67136 47.1406 8.49156 3.29899 -51.27118 -342.4579 -393.7291
106100 377.61 10.7061 3.37804 17.9735 2.56267 9.58206 0.0186128 91.2376 39.2512 7.91893 2.63721 0.382928 0.616669 0.687209 0.394011 27.8009 5.80814 0.292101 0.186464 4.60524 9.71592 14.3532 1.74727 32.6973 7.68919 1.88318 -51.38483 -350.5493 -401.9341
168900 265.591 15.5133 3.26343 19.7523 2.97058 5.98661 0.0122331 112.689 18.2865 4.7039 1.44716 0.0785041 0.720099 0.626538 0.352398 21.4436 7.04358 0.174673 0.109214 5.73754 7.90492 7.44128 0.192936 28.5574 7.87063 3.88922 -51.67419 -347.9531 -399.6273
47000 3729.4 14.4371 2.56723 17.6847 4.13897 6.51355 0.00624663 154.854 32.7509 6.15438 2.48206 0.16037 0.37514 0.706621 0.624037 20.2812 5.95468 0.845874 0.239781 5.52969 11.8567 23.5112 1.8367 63.7817 7.82754 5.07352 -52.9211 -351.9793 -404.9004
