"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 256.659 11.815 3.91209 19.3073 2.77894 6.691 0.0210396 95.4305 23.1158 6.23983 2.37243 0.272602 0.168348 0.620531 0.318621 32.3256 8.61727 0.163028 0.23907 7.646 8.03506 59.0788 0.496581 33.4077 0.624899 2.20827 -50.79493 -495.201 -545.9959
66300 7849.55 9.80483 3.78009 12.7412 3.80378 7.24073 0.00932754 177.083 28.4624 9.0305 2.30653 0.181934 0.405042 0.661863 0.259274 29.1432 10.0036 0.547744 0.486383 7.04295 11.827 48.62 1.43143 85.4518 0.675518 2.06012 -54.83166 -496.3679 -551.1995
200000 1764.92 19.2748 3.85392 19.041 3.27149 8.44477 0.00839148 110.802 22.7658 10.4163 2.00893 0.216058 0.117751 0.689234 0.336442 32.6159 10.0138 0.245765 0.177491 8.07287 4.78017 59.9159 0.83154 25.1698 0.736065 1.58532 -51.84675 -498.4178 -550.2645
161800 8376.26 7.32407 4.18254 18.3453 4.99469 5.71957 0.00529736 179.317 34.9066 10.0346 1.97719 0.404683 0.314757 0.622479 0.489964 32.2329 5.80149 0.360289 0.393176 10.8958 11.5518 60.4191 0.763228 31.0837 1.00022 1.92913 -55.34255 -496.417 -551.7595
170600 6213.19 16.3936 3.83511 16.7123 3.85132 11.404 0.0164799 106.176 17.1168 8.50481 2.61855 0.168197 0.00662939 0.675433 0.616389 33.7773 4.95361 0.448837 0.359048 12.2309 7.17429 85.2238 1.0444 21.4302 0.555792 2.67744 -57.62113 -499.5606 -557.1817
168200 236.148 17.7788 3.3004 14.1906 2.40722 7.35002 0.0246865 81.9634 6.05369 5.45768 2.26006 0.395531 0.303308 0.739552 0.57319 33.2084 10.6183 0.407112 0.102019 2.85578 3.17643 24.6778 0.0642142 77.264 0.584102 2.57035 -53.26474 -496.3905 -549.6552
67100 5509.8 17.2715 3.24612 13.2444 3.4289 7.03325 0.00753165 119.109 23.6261 8.98208 1.80326 0.526606 0.0596104 0.673699 0.964805 15.2773 5.8136 0.267487 0.217187 3.06158 8.49737 33.9334 1.659 18.5294 0.605201 1.98672 -51.64202 -496.9194 -548.5615
106100 844.808 10.4359 4.04708 7.77947 4.05845 6.50455 0.0138231 144.11 36.6312 8.443 1.23948 0.104564 0.463869 0.706338 0.46328 23.7053 6.4471 0.265979 0.184337 5.20775 10.3876 47.7589 0.749927 39.4148 0.758404 1.04376 -47.23355 -499.0691 -546.3026
168900 3039.63 14.139 2.79767 15.4392 4.06848 5.56626 0.0171579 154.465 37.5528 6.85714 2.76568 0.25054 0.931339 0.609732 0.494146 30.3689 5.32214 0.515682 0.0887434 5.62157 13.9657 76.2658 0.783984 95.4608 0.482884 1.04158 -53.52834 -500.707 -554.2354
47000 762.498 8.2269 4.03377 14.822 4.16326 5.5862 0.0105007 160.411 33.8587 5.36632 1.05004 0.538849 0.439248 0.604063 0.315426 31.6547 7.5211 0.101251 0.379949 7.33352 8.16746 81.7507 1.7023 46.572 0.539044 1.55846 -50.84216 -497.2705 -548.1126
64700 7899.05 8.49752 3.70179 10.9133 5.07995 5.82339 0.021078 136.459 16.1194 7.71026 2.95932 0.437549 0.881252 0.774406 0.482324 22.8101 6.30913 0.253771 0.756989 2.9953 11.6823 40.5659 1.09295 53.6693 0.570443 2.12039 -54.31825 -499.7327 -554.0509
108800 1661.25 17.673 3.68061 13.0184 3.42285 6.61109 0.0278699 145.912 24.0155 6.8806 2.67612 0.0612097 0.479765 0.90489 0.421374 24.701 2.24418 0.251054 0.313416 4.51173 11.2414 47.1934 0.572376 57.0567 0.565821 2.10953 -53.53296 -499.327 -552.86
85300 565.815 10.5472 3.30155 12.9933 3.11559 5.56459 0.0220406 123.481 27.7806 7.56651 1.81095 0.30492 0.429534 0.78986 0.485909 31.752 6.30419 0.594225 0.211227 6.55815 11.7829 29.1787 0.881564 45.5358 0.738635 2.1956 -49.6484 -497.8556 -547.504
78100 6772.07 20.0086 3.93294 14.2521 3.23375 6.49298 0.0063991 164.078 19.3782 10.5052 2.13012 0.407798 0.609969 0.875326 0.817713 30.446 6.69765 0.0753753 0.355509 3.28811 11.2395 65.6828 0.476878 42.735 0.89386 1.34151 -54.11224 -496.1628 -550.2751
177000 596.027 10.1371 3.56659 15.0559 3.67568 5.8306 0.0137407 117.269 23.2946 8.4569 1.46902 0.0695419 0.243647 0.742794 0.426468 31.7045 6.00105 0.456365 0.40029 6.73142 6.56636 45.6039 1.14654 89.853 0.697079 2.64416 -49.4523 -498.2361 -547.6884
50600 343.92 9.31542 4.03838 14.995 3.56373 5.73274 0.0117297 87.2835 38.2911 9.32617 2.96681 0.26739 0.396517 0.74089 0.259536 31.4048 7.10071 0.287348 0.163723 7.41987 7.47679 59.1425 1.11572 38.8384 0.540148 1.99771 -48.05493 -497.8427 -545.8976
121500 9221.53 16.7234 3.77399 19.6972 2.9013 7.48747 0.00428026 159.769 24.1343 10.7797 1.58784 0.336907 0.436659 0.686409 0.695989 24.4649 6.6235 0.599939 0.156082 4.05175 10.6156 89.4013 1.08506 58.8876 0.767262 2.71409 -53.44421 -499.0943 -552.5385
122100 6647.34 10.1599 3.64129 7.92348 3.62641 10.4401 0.0314124 111.417 16.619 8.37087 1.91645 0.206016 0.316996 0.715974 0.488869 23.6126 5.84636 0.594442 0.26297 8.11983 13.4474 41.6292 1.17707 22.6454 0.420135 1.98156 -52.46053 -499.5845 -552.045
128700 2276.66 9.3967 3.22333 12.5974 2.24438 5.2718 0.00797384 176.509 41.7714 9.6383 1.32105 0.544344 0.670443 0.72217 0.391979 29.3124 4.43666 0.188466 0.113939 8.26928 13.6945 36.2449 1.7725 16.1369 0.784384 1.32461 -52.55906 -495.8807 -548.4398
46800 589.459 15.2369 4.09396 14.8503 3.01345 7.17314 0.0156047 133.862 29.4299 7.94143 2.20659 0.390762 0.372644 0.613354 0.402981 29.0785 5.98818 0.170399 0.624809 5.80806 6.98802 22.9558 0.0524491 27.0094 0.674357 1.79885 -50.24994 -496.3912 -546.6411
196700 3038.22 18.4355 3.44535 12.8148 4.05784 5.74769 0.0183945 118.358 15.5896 6.02832 1.93253 0.517909 0.577134 0.628107 0.271346 29.7844 7.26184 0.174903 0.501106 3.54865 10.5747 52.6753 0.586844 33.4287 0.413828 2.5278 -51.04626 -499.4118 -550.4581
198800 3953.31 11.6789 3.16538 17.3672 5.26744 5.66371 0.0131166 153.295 41.4863 4.71393 1.72388 0.12773 0.136456 0.719948 0.500439 28.6892 5.69874 0.497067 0.451997 4.91449 11.6986 47.8218 0.92272 101.461 0.559331 1.38483 -54.07486 -498.9877 -553.0625
133600 3679.54 14.5884 3.22023 8.56896 4.48728 6.70738 0.0151468 155.639 30.5266 8.42205 1.33023 0.338038 0.787921 0.800036 0.403319 29.6513 6.73435 0.16174 0.122128 5.55905 11.2472 70.1332 1.22479 73.2163 0.638216 2.31795 -50.9569 -499.0549 -550.0118
88200 1582.54 8.92072 3.59502 15.6006 2.9476 7.91593 0.0214557 107.699 15.1057 9.97887 1.20987 0.46373 0.154126 0.686693 0.527444 27.7265 7.58176 0.431945 0.42545 3.51906 7.25155 63.1921 0.46498 40.9894 0.502703 1.63131 -50.24282 -497.0094 -547.2522
108100 2494.31 8.09923 2.83572 14.6946 2.19958 6.65318 0.0144271 141.366 30.0954 11.9516 1.53356 0.0516101 0.628526 0.732674 0.331485 30.6859 6.29875 0.256728 0.398683 4.79717 11.5644 35.8768 1.98916 32.0718 0.581587 1.54236 -52.12219 -499.7772 -551.8994
139400 329.456 12.951 4.07082 11.28 3.03673 7.10361 0.0198656 136.307 27.2555 8.5319 2.42699 0.201237 0.978134 0.775177 0.399934 31.5497 3.60279 0.669141 0.0807074 2.19518 7.71971 25.2639 0.175381 44.7544 0.717005 2.0975 -53.79277 -495.0995 -548.8923
113900 3757.48 15.3965 3.44265 19.3583 3.35224 6.55872 0.00857031 172.635 28.425 11.3351 1.06877 0.2843 0.890346 0.684553 0.264947 29.4749 8.38765 0.334445 0.123801 7.02639 11.8028 61.8449 0.910072 51.5141 0.556734 1.55933 -52.21084 -497.9673 -550.1781
133400 499.607 7.49237 3.47738 15.3202 4.1039 5.39927 0.0118114 147.684 37.939 5.05794 1.71222 0.0774719 0.708713 0.725053 0.637346 28.119 6.87832 0.503609 0.155942 3.60877 6.05758 82.4592 0.745708 55.2526 0.46853 1.81082 -47.22964 -502.8613 -550.0909
54200 5340.66 16.9736 4.28624 9.86236 3.76952 5.44864 0.00307649 167.131 29.892 5.39542 1.90848 0.236453 0.134525 0.744949 0.6904 19.7043 3.17235 0.420956 0.151534 5.8971 12.4867 69.4034 1.4748 71.6162 0.50462 1.57611 -52.86711 -496.9318 -549.7989
