"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1700.19 18.6932 3.39352 11.6014 3.73911 16.5051 0.0102306 117.979 23.2992 8.40694 2.01227 0.135822 0.0699271 0.715423 0.813039 27.2655 6.00562 0.712899 0.208346 7.15726 5.11415 12.9808 0.247531 38.8452 1.12282 19.2983 -52.99492 -314.6037 -367.5987
66300 78.659 17.3458 3.94795 8.69405 3.41767 9.80184 0.0194326 93.0431 19.0086 4.35876 2.40882 0.471197 0.847415 0.632339 0.78871 17.7005 10.0894 0.394268 0.29211 6.74715 2.83773 57.6633 0.461296 57.8104 1.29032 28.9267 -54.12489 -314.9944 -369.1192
200000 403.604 14.9049 4.16638 8.25178 5.96442 11.2845 0.0111111 160.909 33.8803 6.88432 1.25949 0.188525 0.520592 0.710153 0.68235 32.7717 10.8351 0.799518 0.271533 4.63515 8.10243 49.2021 0.437815 70.4028 0.878793 37.2589 -57.9337 -314.7125 -372.6462
161800 183.877 15.012 3.31302 10.5123 2.14896 9.33567 0.00915845 164.15 32.1496 5.06004 1.47726 0.182453 0.422845 0.731208 0.49258 28.382 7.40561 0.1191 0.123192 2.11507 7.22824 20.4329 1.87201 61.0325 0.515628 19.5875 -50.83065 -317.559 -368.3896
170600 718.612 17.8259 3.23779 15.6706 5.04454 7.12943 0.00380081 142.426 36.8835 5.1146 1.98388 0.302379 0.230856 0.628777 0.66297 25.4653 6.8999 0.360137 0.233139 9.33292 5.28572 19.4082 0.986967 26.531 1.04278 11.7587 -50.20211 -315.2948 -365.4969
168200 205.832 11.8713 2.57569 19.8061 2.55471 5.777 0.00863736 157.983 33.6927 3.24357 2.58537 0.476755 0.656933 0.684803 0.672193 30.2872 5.97246 0.713685 0.23057 2.30824 8.86512 17.7209 1.70782 33.5356 1.06815 17.4116 -52.19623 -313.3103 -365.5066
67100 834.814 17.9039 2.84062 11.1746 4.15851 8.67131 0.0168107 131.007 19.3485 3.1638 1.68872 0.219498 0.267059 0.662804 0.58178 27.3799 7.4901 0.603715 0.18378 4.65619 10.1945 28.1907 1.15958 31.8898 1.18909 16.1117 -50.62761 -314.1323 -364.7599
106100 522.235 11.9256 4.15025 12.1876 4.73924 18.3872 0.0332447 107.195 19.4478 4.59566 1.80701 0.43082 0.559384 0.743898 0.70658 23.738 8.38108 0.580286 0.153135 5.46526 5.19685 24.5228 0.801597 34.938 0.734896 32.2932 -54.04516 -316.5478 -370.593
168900 810.365 18.9197 3.65896 13.9287 5.55 9.67596 0.0111024 141.32 26.9239 6.82775 1.73649 0.0706346 0.59085 0.76995 0.681812 18.2329 5.52687 0.345684 0.273812 11.0157 9.87576 21.5101 1.04461 75.1208 1.08039 16.2379 -52.30723 -316.7299 -369.0372
47000 902.412 19.8391 3.17192 14.8172 5.30766 8.2461 0.0139429 149.369 33.8281 4.35958 2.69629 0.434728 0.19309 0.812324 0.674715 24.2096 4.80542 0.358157 0.318576 3.47971 12.0051 54.8609 1.31399 27.2305 1.13403 31.7342 -54.27636 -312.8114 -367.0877
64700 224.291 8.93903 3.44941 14.8489 3.07355 7.08284 0.00768026 164.174 36.0766 10.8396 1.64797 0.296456 0.587791 0.879108 0.544194 23.8505 10.9595 0.3466 0.391767 7.3193 8.7816 38.9212 0.166871 66.986 0.878065 11.1581 -54.15464 -314.6051 -368.7597
108800 216.575 10.2867 2.59355 7.41481 4.34509 6.61396 0.0131274 82.9373 8.77448 10.7718 2.01791 0.198952 0.623649 0.667748 0.79361 28.3593 9.9128 0.320986 0.178723 4.52368 5.81418 49.554 0.0307878 96.77 1.32821 7.49945 -52.67353 -316.6956 -369.3691
85300 550.382 14.8241 3.14391 10.5117 4.25483 9.5338 0.0172565 109.574 20.404 7.86262 1.88809 0.292051 0.192269 0.601009 0.560802 32.939 5.18083 0.730682 0.566398 9.46743 9.54884 5.44864 1.57591 45.1396 1.0835 11.4937 -53.23084 -314.0716 -367.3024
78100 323.748 14.9343 3.73988 15.9816 4.39035 8.92965 0.0125153 105.693 24.814 7.30577 2.51057 0.540699 0.0956851 0.813672 0.63337 23.7089 3.3954 0.351816 0.367986 8.50947 7.85745 39.2764 0.892715 60.3893 1.18873 20.3042 -52.31589 -315.4118 -367.7277
177000 402.445 12.1317 3.10077 10.4842 4.68685 8.68962 0.0139756 153.52 30.3898 3.18937 1.08182 0.0674457 0.4465 0.775248 0.623003 28.3006 6.67269 0.195101 0.159928 5.59773 8.79258 29.4942 0.842421 42.0827 1.08813 35.1694 -51.26736 -313.2342 -364.5016
50600 309.885 12.3948 3.17975 7.79045 4.07047 8.45895 0.0127808 99.736 26.7646 7.16822 2.2731 0.169124 0.407869 0.703806 0.756291 19.1715 7.30998 0.537555 0.108252 11.1619 8.09264 38.8836 0.252977 22.0493 1.45488 34.3768 -50.39409 -315.1151 -365.5092
121500 2495.18 19.1518 2.70083 7.21328 3.48494 5.02627 0.00197193 164.777 25.3593 6.0746 2.22957 0.388777 0.154883 0.641592 0.876299 13.5112 4.9661 0.878102 0.455527 1.37758 4.05468 20.9271 1.2708 80.6723 1.26636 13.2674 -57.8026 -315.729 -373.5316
122100 747.788 9.11888 2.3299 9.62046 3.75626 7.96997 0.0103755 89.5688 7.13472 8.15184 2.33612 0.44283 0.281881 0.695134 0.724156 15.4353 3.92452 0.525235 0.182116 4.4747 2.49589 1.52331 1.63577 42.0445 1.05244 18.1103 -49.93692 -316.5401 -366.477
128700 227.428 18.1197 4.20076 12.5952 3.82989 9.21983 0.0164582 96.8015 13.729 11.126 1.60642 0.520145 0.407141 0.769694 0.656777 7.9115 8.14182 0.507307 0.318417 2.30404 2.49054 77.6986 0.582533 46.3128 0.696444 22.8875 -54.6508 -315.1362 -369.787
46800 157.881 14.7824 3.60209 16.9398 4.50801 7.88074 0.00902731 113.728 32.2699 5.48337 2.89212 0.199244 0.175647 0.772735 0.670075 27.0878 5.67275 0.324917 0.254952 5.80461 2.55678 77.035 1.20971 82.0952 1.27157 8.6032 -50.46517 -315.0358 -365.501
196700 107.942 17.2399 2.79255 15.4222 3.33261 6.37944 0.00948263 115.392 31.7651 7.76062 1.96731 0.171096 0.640848 0.618033 0.849155 30.4409 8.00998 0.853772 0.0750986 5.34855 6.61565 66.9154 0.493401 83.3902 1.28099 10.0418 -51.44943 -320.767 -372.2164
198800 1096.91 8.37371 3.44603 17.2022 4.47876 9.59115 0.0145474 117.477 15.4629 7.88682 2.23225 0.266139 0.610352 0.66298 0.521956 24.0856 9.24929 0.831005 0.110145 10.377 12.3509 0.00960344 0.583962 58.3271 1.00935 38.9881 -53.56357 -313.4221 -366.9856
133600 434.334 14.0628 3.8166 9.52373 3.66048 10.8737 0.00776801 122.088 29.8314 10.4177 2.00018 0.197934 0.179356 0.62979 0.7217 23.1971 6.15997 0.686761 0.172259 7.1363 8.00418 42.344 0.251541 58.9516 1.42287 38.5873 -51.22368 -315.6995 -366.9232
88200 243.109 14.0883 2.90459 10.9414 5.02541 8.45814 0.0268096 115.19 21.5064 3.95195 2.95652 0.0442625 0.502237 0.725188 0.792381 25.0428 7.22806 0.273606 0.301707 6.11679 7.86983 13.0795 0.23831 38.9926 1.34237 15.1112 -52.00206 -314.9388 -366.9409
108100 932.644 19.4249 2.99906 17.5605 3.5835 8.74436 0.00473276 97.3119 39.7106 7.41209 2.97077 0.544618 0.0626541 0.814119 0.8392 14.3102 5.89484 0.405187 0.0911585 6.1546 7.56813 39.0801 1.07751 51.1838 0.619005 21.6427 -52.93931 -315.876 -368.8153
139400 895.114 14.3535 3.28471 8.59373 4.29039 11.4271 0.01768 143.488 33.9554 6.68729 1.75274 0.238645 0.514133 0.653692 0.71247 22.7501 6.82265 0.822426 0.142768 6.62406 13.6265 62.5363 1.28134 47.1359 1.00092 29.9277 -52.50526 -313.4195 -365.9248
