"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 85.7068 15.9763 2.35145 18.4526 4.19524 5.27445 0.020187 81.2362 3.07132 5.54831 1.72719 0.469814 0.676098 0.783015 0.3533 24.6914 8.25717 0.424324 0.308213 10.2486 8.33504 46.0139 0.759346 32.6384 4.26841 26.5309 -53.75784 -165.7372 -219.495
66300 33.2897 16.6794 4.04463 12.1738 3.45676 11.0797 0.0166453 78.4498 4.87705 9.67846 2.96259 0.388934 0.435699 0.735667 0.197525 32.2358 7.57694 0.360849 0.635544 3.66295 11.0403 83.771 0.395562 45.8274 4.23863 10.4763 -55.2137 -168.0866 -223.3003
200000 562.45 7.91221 3.26671 14.6348 4.34916 5.85091 0.0204052 90.7277 5.34764 7.88975 2.59615 0.294426 0.332331 0.720939 0.187805 13.8136 4.18323 0.395636 0.454589 8.27381 8.59853 41.6463 0.96302 23.0536 4.03167 12.5855 -53.3589 -164.8962 -218.2551
161800 88.2118 15.0694 3.28927 13.539 3.15135 11.7334 0.0126073 79.0324 1.30375 3.79341 2.53627 0.415304 0.182525 0.768644 0.00977137 28.8232 8.95887 0.236568 0.158813 6.8141 8.41644 63.2872 1.52646 18.7105 6.06875 6.29518 -55.26912 -164.8955 -220.1646
170600 231.036 7.16624 3.02014 12.8033 3.41654 11.4267 0.0139508 78.2228 10.0208 4.83226 1.47262 0.124153 0.272329 0.630176 0.085888 22.2746 4.34248 0.301289 0.318914 13.7454 10.6583 68.9473 0.945094 65.62 5.11397 27.0827 -54.04483 -169.0561 -223.1009
168200 94.503 15.1073 3.82466 19.5986 3.04775 7.2623 0.00862054 136.954 35.6842 7.31281 2.77684 0.458041 0.585979 0.688567 0.103987 23.3463 6.94134 0.361148 0.424341 6.87249 13.05 23.0442 0.857955 95.7907 5.73705 15.9045 -54.55418 -164.7328 -219.2869
67100 68.9915 17.301 3.148 8.96413 3.30122 9.87333 0.0145602 92.5814 10.5001 6.07592 1.21937 0.0814324 0.720694 0.770169 0.18467 24.5083 6.69184 0.300542 0.493576 6.09676 9.70247 88.8944 0.192778 94.0825 3.91216 3.21977 -52.34153 -165.9967 -218.3382
106100 68.3608 19.391 2.6953 12.7364 3.12657 7.39522 0.0161594 86.3072 10.3646 6.25516 1.75304 0.385017 0.533466 0.680716 0.365187 27.9281 6.20356 0.528518 0.322596 3.58606 1.69093 70.699 1.6057 20.1702 4.48225 16.1817 -51.3018 -169.7461 -221.0479
168900 14.0049 11.0701 4.34367 15.9855 2.69183 8.47939 0.0116157 88.6311 34.3668 2.59395 2.28089 0.0538697 0.425094 0.683712 0.237172 26.5126 5.67831 0.339668 0.394182 6.74881 11.3417 59.545 0.918694 29.7585 11.1411 14.7935 -53.66164 -166.871 -220.5326
47000 27.3092 19.0178 3.19862 13.1965 3.1555 7.10875 0.0129595 85.7906 14.079 3.76875 1.88575 0.140366 0.297813 0.887803 0.254837 30.2191 6.00192 0.515407 0.53174 7.66651 7.67161 66.0669 0.555871 21.527 5.03946 6.4083 -53.15606 -164.6735 -217.8296
64700 201.026 10.5958 3.669 10.3867 4.43011 9.36588 0.0153421 101.067 14.8209 4.54547 2.04856 0.515491 0.615624 0.657931 0.176698 19.7381 8.78568 0.352639 0.80051 10.5425 13.2146 52.0302 1.11608 60.9218 5.20125 2.19148 -53.09971 -169.8905 -222.9902
108800 98.1943 8.74289 3.83407 16.2011 3.71242 12.2576 0.0179508 100.965 39.5242 3.23554 2.61798 0.290192 0.709424 0.731927 0.131048 25.2879 7.4182 0.565121 0.182412 8.68761 12.7927 68.4496 0.270278 71.9378 7.28107 1.58333 -52.81095 -164.9476 -217.7585
85300 167.986 13.078 2.47958 12.37 3.05568 8.69373 0.0116087 99.5842 12.2718 2.91045 1.66572 0.379379 0.424087 0.725029 0.10705 27.6528 7.09794 0.22285 0.175708 4.08192 8.75919 43.0209 0.32672 45.8891 14.3695 3.22964 -49.92153 -166.6013 -216.5228
78100 70.3872 9.57003 3.78071 7.37042 3.83374 12.0997 0.0185396 75.0947 19.1935 7.984 2.2423 0.327527 0.860467 0.769057 0.0588751 28.5547 6.75275 0.171237 0.1561 4.75343 7.69585 69.1373 1.89591 49.6288 4.0824 0.909805 -49.63502 -166.8533 -216.4884
177000 123.072 18.8134 2.78625 9.65211 3.44642 6.25868 0.00543773 116.268 18.6276 8.62037 1.14271 0.0511865 0.605562 0.773305 0.100565 27.2121 6.65469 0.294574 0.197924 5.05185 8.36959 42.6856 1.50192 50.9947 5.5504 12.664 -49.99477 -165.37 -215.3648
50600 914.278 19.7274 1.80043 12.1154 2.57961 5.68553 0.0133529 89.7983 5.33856 10.9638 1.62244 0.321797 0.784587 0.638285 0.394151 15.1662 7.90609 0.206413 0.350042 2.58197 11.7983 36.8735 0.991576 99.8654 8.01463 25.6935 -58.64617 -166.363 -225.0091
121500 234.765 7.34436 2.57268 14.4985 4.87706 6.1143 0.00750661 114.178 18.9759 6.16182 1.35094 0.283075 0.22691 0.745311 0.0515188 30.4412 5.96239 0.436284 0.885837 9.31202 10.0194 29.3478 0.522071 30.5353 9.80341 12.1438 -55.58447 -165.6556 -221.2401
122100 83.3583 10.6716 3.31181 9.43756 5.3892 7.83578 0.0158704 71.1679 8.61386 9.43647 2.0031 0.227838 0.559398 0.889611 0.261908 27.2755 4.7417 0.548069 0.217157 10.7946 6.32073 59.2505 0.267192 47.1533 6.05716 2.68552 -51.94066 -172.1848 -224.1254
128700 466.973 12.3597 2.58256 10.6377 5.61052 5.67987 0.016673 93.1378 6.53067 7.5619 1.75095 0.147041 0.649849 0.698541 0.0880345 17.8269 6.1399 0.264385 0.270714 10.0139 13.0576 31.004 0.136817 57.3493 9.57251 13.1512 -55.02216 -165.742 -220.7642
46800 72.6114 17.0788 3.25892 8.51172 2.02819 11.5437 0.0134092 92.6052 29.7833 6.84609 2.69836 0.177053 0.649979 0.889194 0.194778 26.3012 8.43649 0.272146 0.169056 5.33483 7.17931 82.5875 0.808016 25.0781 5.41457 13.8846 -54.25623 -166.7572 -221.0134
196700 204.559 9.94229 2.76275 12.7532 4.07687 10.1948 0.00388046 88.7867 25.93 8.55503 2.07079 0.249727 0.670816 0.740899 0.0846608 29.0627 10.0216 0.541447 0.119327 5.75364 4.27091 30.4108 0.225389 104.364 5.48298 18.0572 -53.95927 -171.0925 -225.0518
198800 338.833 10.7339 2.08582 11.48 3.47142 8.90411 0.0116462 86.4093 7.80514 7.05964 1.98349 0.504073 0.718678 0.685242 0.364701 26.9532 6.01801 0.416046 0.212201 1.04195 8.3404 40.1903 1.60461 21.3258 3.93315 3.03508 -50.3729 -167.8673 -218.2402
133600 366.6 14.7642 2.24473 15.4999 5.2137 6.09058 0.0221228 98.8504 7.44586 5.58998 2.13249 0.058137 0.513597 0.735052 0.185354 22.241 5.08295 0.264886 0.650014 3.24799 10.1172 66.4972 0.223183 57.2973 3.44234 7.35778 -53.89309 -167.4982 -221.3913
88200 259.983 13.1102 2.20252 13.7924 4.04224 6.15502 0.00628744 106.075 22.2332 7.11867 2.92523 0.0845235 0.439787 0.604932 0.0446438 31.6127 5.06309 0.462198 0.258983 7.63901 12.7151 34.5836 1.55592 60.9976 7.62388 0.967626 -51.23496 -168.2466 -219.4816
