"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1683.17 14.9018 3.71382 18.2045 3.8243 5.15452 0.00869351 157.829 32.4196 8.54211 1.30271 0.192069 0.800558 0.794801 0.334477 22.7264 6.50363 0.0596123 0.275634 4.8847 10.3333 59.1599 0.751528 29.5654 24.5647 13.4608 -55.56387 -462.0808 -517.6447
66300 2680.08 10.8728 3.70382 16.2969 2.65415 8.01513 0.00535187 129.179 39.8201 7.62213 2.62613 0.152434 0.169659 0.697227 0.395817 26.6136 5.45832 0.216017 0.101345 3.67837 6.65514 57.8467 0.957709 53.888 21.5561 7.30728 -53.3757 -465.5862 -518.9619
200000 469.754 10.1682 4.10602 14.8249 3.63302 5.92743 0.0118213 114.398 28.7436 8.20567 2.22542 0.268353 0.686976 0.661758 0.380112 25.5768 9.63252 0.195538 0.165062 2.23794 5.92383 62.3 0.618637 79.4852 25.8104 8.3102 -53.45968 -463.6577 -517.1173
161800 2148.77 12.0467 4.19381 14.8428 2.55925 9.03958 0.0167033 132.45 29.4977 8.96144 2.3255 0.394433 0.790757 0.675056 0.399831 22.7425 7.55319 0.346799 0.131612 5.2653 10.7573 69.5217 0.883208 101.855 17.5843 10.6079 -56.89097 -461.7458 -518.6367
170600 2450.64 13.2858 3.71431 12.9789 3.91367 6.31883 0.0286798 114 15.556 6.12448 2.72759 0.364366 0.742176 0.686575 0.3585 21.7769 7.2755 0.217321 0.182028 4.05477 11.6124 44.9011 1.08852 28.7651 23.9683 9.84439 -54.78493 -466.0491 -520.8341
168200 8013.42 16.2815 3.95844 13.3036 3.32115 7.06281 0.00660447 168.487 39.7147 9.97272 1.69284 0.321501 0.674385 0.714794 0.447766 18.9415 5.66923 0.461127 0.136323 11.3695 13.7742 47.2209 0.488219 56.8125 20.524 9.19281 -57.04667 -463.5206 -520.5673
67100 553.359 12.1592 3.88411 10.0795 2.9772 5.80113 0.0123467 125.108 33.3858 3.87944 1.72154 0.364941 0.505349 0.628877 0.436655 24.4889 5.42386 0.338794 0.182598 4.1738 6.99595 36.3806 1.58755 58.1927 24.5477 7.68297 -52.02355 -464.1341 -516.1577
106100 2131.42 15.4476 4.20556 17.2833 4.25428 7.47597 0.00898819 134.927 28.6855 8.70664 1.03273 0.141316 0.254405 0.640929 0.402276 26.7463 8.42234 0.359925 0.339466 4.18003 9.3702 22.8418 1.72309 93.6438 18.7803 6.40676 -56.39599 -463.3822 -519.7782
168900 2063.63 16.5993 3.94029 16.0459 4.1948 6.33288 0.0115576 95.6395 19.4443 6.41911 1.15591 0.501534 0.195755 0.674836 0.472677 25.3275 4.52856 0.397032 0.136161 5.25992 9.02372 30.0222 1.56635 57.3304 16.0578 7.68444 -53.37431 -465.3101 -518.6844
47000 5712.02 12.589 4.14302 12.2372 4.17679 6.34686 0.0083871 149.762 24.3359 7.21654 1.80096 0.217525 0.187725 0.734815 0.301082 23.0213 6.67315 0.165202 0.482649 3.01439 10.3134 28.5338 0.377481 39.0632 16.2371 11.4191 -55.5119 -463.6936 -519.2055
64700 795.964 7.07756 3.91084 13.9688 2.80835 6.16491 0.0173188 138.755 30.8731 5.13356 2.75538 0.122507 0.491837 0.73524 0.316361 21.7754 8.14282 0.0193472 0.358644 5.44283 11.6683 32.943 1.5649 56.7574 17.53 10.5624 -56.36818 -461.9347 -518.3029
108800 2324.28 7.78134 3.85339 18.3273 3.58378 7.46275 0.00950565 130.615 34.2851 11.8328 2.21952 0.301393 0.321256 0.723652 0.377517 25.5356 8.639 0.0881993 0.375491 4.47533 7.06618 37.2893 0.348067 17.8894 24.0031 4.28104 -55.17272 -468.9683 -524.1411
85300 1077.99 17.3785 3.22752 12.7032 2.9778 5.73734 0.006942 94.9981 25.9193 10.3301 1.31831 0.387478 0.180188 0.600426 0.520666 28.5991 7.47867 0.208545 0.202719 2.65742 5.15424 43.734 1.62684 34.1376 20.2531 12.6228 -53.49444 -465.761 -519.2554
78100 1068.94 9.76477 3.63411 14.5392 2.43207 7.25596 0.0192852 91.7401 23.3353 10.4393 2.14291 0.059053 0.678568 0.631866 0.48449 21.1721 6.35479 0.210798 0.190842 9.33697 12.6109 43.1902 0.530291 36.2783 12.2995 5.62029 -53.72583 -471.1556 -524.8814
177000 1901.7 11.6477 3.97651 13.6662 3.92067 7.13936 0.0091283 153.603 41.6025 8.54658 2.35213 0.0521949 0.866593 0.613548 0.430129 24.6515 6.09037 0.438991 0.0863295 5.07385 10.3681 70.4906 0.48632 66.7567 20.779 10.8476 -55.46692 -464.707 -520.174
50600 1724.07 12.2613 4.30366 10.9448 3.91446 8.78266 0.00909075 90.9814 32.5989 8.29347 1.92591 0.3483 0.164745 0.654793 0.544275 28.0698 8.69252 0.663678 0.197193 8.58622 5.91795 42.8244 0.411629 21.9871 18.4967 7.32229 -55.42105 -465.6535 -521.0745
121500 4037.82 8.65044 3.75414 13.6985 4.8199 6.66769 0.00900021 149.478 30.6593 7.52659 1.576 0.0630318 0.641428 0.650594 0.341688 24.5403 6.56733 0.144388 0.176267 4.69407 12.0186 56.8717 1.38972 40.5875 18.0176 10.4276 -53.51078 -465.4088 -518.9196
122100 4239.37 10.0551 3.78006 13.5145 3.67415 6.47061 0.0072765 158.634 37.1294 6.85726 1.28144 0.218474 0.340925 0.760234 0.37093 21.6877 5.67517 0.0809233 0.148178 6.52163 12.0681 47.8944 1.37479 26.6287 16.1117 6.26899 -53.51979 -465.608 -519.1278
128700 556.005 13.6187 4.14195 7.39049 4.21668 5.93261 0.0184159 97.1781 17.7891 5.11582 1.03467 0.33531 0.229453 0.716497 0.464201 25.7017 5.24202 0.370701 0.369116 3.78408 6.63074 25.5153 0.718745 55.9559 22.3988 10.7074 -54.26784 -463.3968 -517.6646
46800 4474.34 7.25169 3.78922 14.2393 3.40528 7.38475 0.00658927 136.972 35.9208 9.3888 1.86509 0.487677 0.10113 0.669754 0.432419 24.3977 6.44684 0.160758 0.326006 7.03903 5.31436 77.2608 0.0578496 14.0395 21.7538 8.97805 -55.56295 -473.1626 -528.7255
196700 1027.59 7.45692 4.12503 10.801 2.15647 8.7692 0.0139437 110.489 28.6828 9.48012 2.57314 0.436015 0.292006 0.638625 0.444933 27.1215 5.01691 0.372168 0.397131 4.85157 5.68304 63.196 0.601828 30.4684 14.0829 6.74593 -54.25151 -466.2867 -520.5382
198800 1866 14.5686 3.90238 10.0289 3.02516 9.02281 0.0208017 136.286 25.2753 4.65424 1.8961 0.132369 0.617613 0.64036 0.329249 25.5232 8.88488 0.151197 0.201399 4.1164 10.8119 82.3842 0.210027 77.1756 15.8599 6.33187 -56.19094 -466.2641 -522.455
133600 3490.69 9.38685 4.03865 14.9857 4.00164 6.22957 0.0186696 153.74 25.1695 4.9626 1.46019 0.479604 0.887218 0.764394 0.333147 21.4698 9.58658 0.229673 0.741218 6.21435 12.9563 74.2139 0.806686 62.4215 14.9128 9.04927 -59.97775 -463.3986 -523.3763
88200 1265.46 16.4043 3.24899 19.3611 4.22028 5.26348 0.0137343 112.08 25.1768 10.043 2.42746 0.102574 0.479715 0.929816 0.514273 26.7332 9.87598 0.47795 0.178055 3.88579 8.68096 36.9089 1.54321 58.611 16.5495 6.70535 -57.38639 -465.3765 -522.7629
108100 993.844 7.09186 3.94123 7.27398 3.34501 5.95003 0.00690741 90.6022 22.3821 6.23064 2.81881 0.106195 0.0575842 0.682089 0.377806 24.793 6.02034 0.179478 0.136701 8.73205 7.79903 21.6528 0.736757 61.4119 24.7715 9.76322 -54.2984 -460.3628 -514.6612
139400 3340.77 11.6381 3.56338 12.1287 4.85044 5.76466 0.0157612 113.297 18.6112 6.14982 1.49858 0.0357468 0.0294021 0.730819 0.404934 23.1028 6.04057 0.209942 0.390883 3.01507 10.9099 43.146 0.535652 78.6773 18.0671 7.63129 -56.7734 -465.0937 -521.8671
113900 3334.61 13.6273 4.21897 17.581 3.64358 6.03534 0.00968408 139.606 18.2059 6.66573 2.88494 0.107914 0.632106 0.608662 0.325907 21.7531 6.19948 0.307273 0.252574 2.86725 11.7129 66.034 0.097469 38.5716 18.4873 8.90948 -55.3323 -462.3756 -517.7079
133400 1477.89 12.1394 3.58875 10.1802 3.73809 5.56891 0.00924542 109.624 24.0485 9.00336 1.30597 0.213348 0.179615 0.72723 0.437507 25.4027 5.31062 0.253426 0.180702 4.39956 8.6437 56.6319 1.86688 15.7249 16.8985 7.06463 -52.13174 -464.4717 -516.6034
54200 3888.22 13.3946 3.84571 14.0999 2.97851 7.97873 0.0130124 124.697 36.7702 6.41307 1.90865 0.19726 0.420479 0.707348 0.386777 19.0137 9.35751 0.154678 0.0996041 11.6004 13.8627 88.0553 0.565292 42.04 17.8451 8.78229 -57.47867 -464.0291 -521.5078
178100 3770.03 10.1133 3.13734 17.0078 3.22966 7.42423 0.0364729 100.379 11.701 7.57761 1.66126 0.0752854 0.43911 0.808299 0.455159 20.792 7.27381 0.533942 0.232751 9.36334 12.3759 22.3604 1.63814 14.4218 16.9766 9.98726 -58.44583 -462.6253 -521.0712
108200 1858.38 10.3237 4.22094 8.33499 3.23269 8.30026 0.0184872 141.067 29.0031 7.12315 2.55001 0.194276 0.522925 0.782627 0.333736 23.1256 8.92622 0.210327 0.532812 5.91213 10.3089 21.3851 1.26296 89.277 29.0022 7.70676 -58.16037 -461.9546 -520.115
156400 4207.86 20.1671 3.68323 19.2417 3.6169 5.8889 0.0162844 124.949 16.3578 7.52451 2.4968 0.502716 0.648432 0.818425 0.386527 22.7747 5.94348 0.34691 0.148793 2.51776 11.2073 26.1559 1.02509 66.9141 29.1564 7.61918 -56.37812 -464.0704 -520.4485
46600 3292.72 18.4025 3.75225 14.5094 2.87135 8.97368 0.0122663 143.218 38.5804 4.25857 2.51316 0.256142 0.0534331 0.705091 0.41511 24.9689 6.56466 0.0704275 0.544459 2.50998 7.63487 25.0835 0.76846 33.3089 16.0654 10.5183 -58.01453 -467.5373 -525.5519
187700 1032.19 11.9036 3.71698 13.4961 4.6563 6.2754 0.024076 79.3935 7.54884 9.42668 2.15113 0.0599392 0.406859 0.815112 0.615108 18.6538 7.95812 0.447253 0.157738 8.00479 9.30172 67.0087 0.312293 19.3928 24.654 9.9733 -56.19763 -468.1004 -524.298
130000 1085.97 11.8651 3.53197 18.2088 2.50236 9.02647 0.0218561 124.738 34.6771 3.36667 2.98712 0.22906 0.457501 0.605022 0.512038 27.5836 7.1857 0.32181 0.136037 2.13037 7.56652 47.872 1.37719 41.1043 17.0269 10.7115 -55.55971 -466.4703 -522.03
171900 8070.15 18.8719 3.93441 14.4973 4.2789 6.80701 0.0125228 125.883 16.0519 6.18047 1.79947 0.125495 0.241436 0.763689 0.296858 20.7863 6.33896 0.215109 0.34514 4.35564 11.0591 40.2321 1.50023 40.0264 18.091 10.7463 -55.50488 -464.7724 -520.2773
