"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 636.265 12.3942 3.24471 15.2984 3.30699 7.00252 0.0448191 85.7115 3.38748 5.11415 1.40284 0.228875 0.815052 0.642627 0.660843 8.73619 5.81196 0.409213 0.416997 8.75184 3.14843 25.8866 1.85829 14.013 33.0873 5.17762 -56.3599 -395.4164 -451.7763
66300 883.697 10.7478 3.42262 12.3637 4.77964 10.5365 0.0572681 85.0945 3.10602 4.97075 2.12418 0.545372 0.821386 0.661706 0.735728 21.7896 5.933 0.508085 0.202161 4.33831 2.77972 39.4805 1.87716 64.3242 23.7207 3.23671 -54.35991 -396.271 -450.6309
200000 686.641 11.0033 3.66714 11.3382 3.67967 9.48025 0.0293895 83.3329 4.63846 4.49609 2.67045 0.391432 0.0924616 0.651813 0.557241 27.9992 8.41043 0.419728 0.300493 3.70458 3.82974 37.9203 0.228918 24.9842 15.2789 3.55652 -51.99517 -402.7043 -454.6995
161800 98.7431 14.9656 4.22512 16.6888 3.48306 7.81137 0.0264746 81.2641 3.61034 7.11858 1.15661 0.410314 0.635468 0.739307 0.572209 27.792 7.83532 0.515078 0.190088 3.26575 2.84286 81.8323 1.41754 54.4066 14.0052 4.52055 -51.11165 -405.2673 -456.379
170600 263.301 12.7348 3.40711 7.53228 3.01992 6.66806 0.0214756 82.2066 2.98327 8.97588 1.26596 0.261325 0.3254 0.712165 0.590176 22.1321 6.33423 0.381307 0.229371 6.16002 3.26739 29.5696 1.38997 77.9633 26.7746 2.57871 -49.68636 -399.9985 -449.6848
168200 420.566 9.72531 3.13428 13.3392 4.37801 7.80377 0.0354361 82.0429 2.66042 9.71635 1.11153 0.19277 0.588457 0.916485 0.73868 24.5134 5.17846 0.570776 0.124714 5.33688 4.04514 66.6949 0.731151 20.4513 16.4303 3.76233 -53.45373 -404.204 -457.6577
67100 887.443 9.2812 2.95868 10.563 4.44177 7.80227 0.0212942 81.951 3.11504 8.73739 2.0567 0.143226 0.349546 0.789431 0.725134 22.13 6.89134 0.631481 0.19461 6.39968 3.00044 47.8704 1.91141 51.9433 13.9578 2.65881 -49.7878 -403.7162 -453.504
106100 991.811 9.76964 3.47524 7.12602 4.81215 6.68321 0.0163776 88.7659 7.12979 10.6874 1.96849 0.0396063 0.0606653 0.781953 0.340996 24.3553 8.26858 0.0921135 0.252471 4.41439 4.27093 37.8726 0.170421 47.7624 13.3837 3.10736 -51.56267 -407.4854 -459.048
168900 477.962 14.7735 2.81603 16.316 2.32032 8.6008 0.0342219 85.3125 4.24449 10.0869 1.04157 0.134593 0.839131 0.684761 0.78944 17.582 7.09157 0.561938 0.200916 5.22934 4.08406 25.5708 0.584629 69.4608 19.4246 3.06788 -53.26494 -402.1845 -455.4494
47000 2680.81 19.9309 3.33324 17.8835 4.18365 7.96561 0.0193515 84.7854 3.31498 8.26122 1.88789 0.255348 0.250576 0.686164 0.552762 9.32494 4.97554 0.23587 0.243188 3.62973 1.37736 33.0519 1.06623 68.8736 15.2382 3.03363 -52.80463 -402.3486 -455.1532
