"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1080.92 8.07424 4.44944 17.5249 4.24955 7.6267 0.00659877 123.952 12.0995 9.98011 2.28257 0.447887 0.638966 0.22532 21.3867 7.1833 0.558812 0.239571 3.49647 9.11465 17.2816 0.671408 6.56369 6.19897 11.0126 -52.39993 -279.3706 -331.7705
66300 2248.92 9.83726 2.79648 7.37419 4.54726 5.83986 0.00458619 133.851 11.7219 4.9113 1.32419 0.629119 0.70683 0.451584 23.1513 9.54423 0.78532 0.0851666 4.39249 8.42508 40.5473 0.771896 65.0983 6.11498 38.0659 -54.51865 -287.7847 -342.3033
200000 223.003 10.447 4.08851 18.4124 3.47591 5.16812 0.0144938 115.895 12.0086 6.86394 1.60728 0.492935 0.702013 0.202296 19.6802 4.29067 0.319816 0.311538 4.59646 11.5123 16.643 0.829595 15.1594 5.11232 14.1646 -52.28832 -279.099 -331.3873
161800 1128.16 16.184 3.17292 11.8086 3.53439 5.45387 0.00615982 129.638 11.4553 8.5416 1.62794 0.637057 0.805111 0.12328 22.9368 7.29166 0.0708835 0.269221 2.27566 9.82619 6.75379 0.720984 43.757 9.32451 26.2901 -54.56685 -281.1942 -335.7611
170600 3041.16 11.0104 3.44339 16.138 3.80595 6.2387 0.00388584 128.307 10.6461 9.44543 2.54426 0.358857 0.732131 0.368063 22.8567 7.9063 0.855064 0.410703 2.63843 8.53114 84.1408 0.40534 49.9014 5.18493 16.9703 -54.13313 -286.5558 -340.6889
168200 4633.03 13.6949 3.24326 10.3134 3.10572 5.93364 0.00241622 139.856 12.3108 11.7103 2.1528 0.384231 0.69338 0.372824 21.1065 8.88164 0.49405 0.47549 3.41476 8.03137 53.3336 0.70016 4.05572 6.61065 35.4928 -58.4182 -285.7638 -344.182
67100 2764.01 8.08326 2.99834 11.0387 3.93453 5.09536 0.00281526 146.197 12.3411 4.87122 1.78977 0.497934 0.944736 0.235081 24.7801 7.21827 0.279598 0.389547 3.51706 9.42642 15.8057 0.792186 16.9924 4.4629 39.4828 -58.21969 -280.7423 -338.962
106100 3717.44 9.50717 3.09523 17.2492 4.06209 8.75832 0.0070283 126.202 13.5205 10.9261 2.08995 0.531905 0.693104 0.117368 23.1451 3.80473 0.088886 0.130146 5.99576 12.0929 10.4618 0.812985 23.4391 5.83361 12.287 -55.3941 -283.1551 -338.5492
168900 1218.8 14.069 2.80418 7.81027 2.71806 5.24492 0.00943408 122.392 13.2391 10.7024 2.53859 0.384655 0.802706 0.284903 21.2658 5.26286 0.327364 0.235592 5.72688 11.134 20.0474 0.934114 4.93735 6.36404 14.8412 -55.9332 -276.8676 -332.8008
47000 5950.62 10.3908 3.68596 18.4019 4.35279 9.25556 0.00474528 124.069 10.9821 11.5787 1.72774 0.331295 0.675343 0.343758 20.3395 4.81066 0.77023 0.28425 2.44261 8.28763 28.3087 0.566183 6.7829 4.88376 31.8475 -54.54663 -289.3391 -343.8857
64700 1506.46 19.1597 2.86749 11.3147 3.48981 6.78279 0.00714872 119.735 11.5588 6.67968 1.72447 0.331263 0.608827 0.0505417 25.0631 6.17131 0.0848913 0.167068 3.14087 9.23123 5.24928 0.86828 24.4679 10.5609 26.7289 -54.99863 -282.5983 -337.5969
108800 28.349 14.1896 3.8343 8.78549 3.3636 5.94139 0.00978697 81.933 5.75877 8.36652 2.77017 0.315895 0.636356 0.259059 24.9168 5.9259 0.0332729 0.214708 4.3858 3.41706 3.41793 0.741182 43.4617 5.33776 9.58498 -48.54568 -291.6475 -340.1932
85300 3308.97 17.0569 2.14071 11.1753 2.04573 10.3557 0.0114065 117.199 12.8404 10.7984 2.0345 0.334508 0.813119 0.252204 26.1993 7.86875 0.144443 0.243767 2.4199 11.0019 8.30195 0.592678 10.197 8.62966 10.5685 -57.908 -288.6904 -346.5984
78100 9069.18 19.7521 2.33244 15.9714 3.57587 7.47275 0.00544351 135.826 12.1128 8.45578 1.11506 0.548941 0.649694 0.338187 24.7229 5.36677 0.429713 0.69988 2.86303 8.24171 73.4534 0.066306 19.8055 5.71558 16.2952 -58.28124 -290.2018 -348.4831
177000 649.159 18.0721 3.29845 18.8451 3.95428 6.26693 0.0154797 122.949 11.4615 4.13951 1.33011 0.525468 0.791503 0.235441 21.3603 5.47163 0.280036 0.476927 3.07904 8.77251 21.2791 0.822805 7.0423 7.68298 24.8645 -54.50033 -278.9757 -333.476
50600 629.022 8.8986 3.93223 18.1555 3.48702 6.83146 0.0101652 113.468 11.6108 10.4385 2.80203 0.501298 0.631933 0.151131 19.7999 5.35019 0.123357 0.0955717 4.38836 10.3787 19.1629 0.911919 12.2238 7.56184 34.9554 -54.56978 -278.8422 -333.4119
121500 346.322 17.8586 3.89075 14.9376 3.1993 6.99392 0.0108247 117.55 11.2449 4.47463 2.59711 0.429635 0.629135 0.246092 22.1579 6.69569 0.420387 0.174706 2.54844 10.1809 18.5436 0.74313 10.8654 6.33631 21.1835 -51.25011 -281.0495 -332.2996
122100 388.899 8.282 4.11665 17.8404 4.87496 5.04258 0.0233573 104.473 9.60326 9.65828 1.79081 0.208597 0.910618 0.183067 17.6027 7.64936 0.264402 0.460668 5.30741 8.67654 26.073 0.83388 3.0739 6.38647 10.4194 -57.23222 -278.659 -335.8912
128700 1445.1 11.8873 2.82452 12.4243 4.3509 7.0594 0.0123543 118.49 11.6481 11.4365 2.90384 0.641356 0.764093 0.242528 23.9239 6.65799 0.239969 0.214334 1.23106 7.84537 11.5421 0.849433 22.1189 6.7483 11.9657 -53.59138 -282.957 -336.5483
46800 251.278 11.0628 3.03769 8.10139 3.88847 5.12575 0.0126294 119.502 13.8694 7.22848 2.0557 0.683181 0.720363 0.263674 25.7292 8.89677 0.33916 0.164354 2.39275 10.4584 12.4379 0.859544 10.0926 7.03212 8.40716 -53.08233 -277.7925 -330.8748
196700 1391.77 8.32088 3.05024 11.9073 3.35247 6.86749 0.00540681 136.74 11.8203 4.65603 2.91499 0.667941 0.754438 0.25578 23.8048 6.49244 0.238347 0.155255 2.67859 8.58338 2.55545 0.5651 59.8909 4.08405 10.029 -50.57302 -283.3998 -333.9728
198800 450.797 20.99 3.64692 11.6354 5.03542 6.61747 0.0202431 113.542 13.2624 10.2768 1.91773 0.705478 0.83019 0.267129 19.9479 7.89941 0.261256 0.179466 7.28407 12.5057 17.2028 0.628222 4.71521 6.59886 31.1669 -56.44422 -283.6362 -340.0804
133600 634.151 12.2173 4.0933 18.0387 3.52712 7.26386 0.022366 116.189 13.8991 6.171 2.78799 0.327666 0.687098 0.172903 16.6261 9.61674 0.195289 0.63561 10.3843 10.9528 22.7924 0.941959 9.41927 5.7527 10.8211 -60.42545 -281.472 -341.8974
88200 29.6801 11.6953 3.32758 15.1758 4.38463 5.09777 0.0157373 86.5583 9.83113 3.68501 1.99996 0.512349 0.646302 0.489277 25.3467 10.116 0.303776 0.125125 1.99506 5.20127 2.58738 0.85916 26.0961 8.81832 10.8736 -50.44972 -290.2067 -340.6564
108100 26.4373 10.8584 3.50699 15.5044 2.77906 5.01077 0.00945681 73.7504 9.78072 6.35939 1.54433 0.304054 0.742331 0.570318 21.0706 5.15186 0.479729 0.0967766 12.6864 3.03628 24.5312 0.886752 10.0724 5.54195 10.2536 -48.85511 -292.7035 -341.5586
139400 1697.9 10.8976 3.40632 16.5146 3.2389 7.28829 0.00862437 139.291 13.7609 3.40587 1.42604 0.381522 0.742237 0.167035 20.6725 3.87595 0.334312 0.361571 6.56362 9.68145 3.45549 0.602064 23.3001 4.50356 21.2705 -55.1027 -283.9088 -339.0115
113900 371.291 15.86 4.08841 11.1994 3.23374 7.29054 0.0109193 111.031 11.5103 8.3731 2.76144 0.281084 0.789724 0.141346 22.0055 7.05056 0.314235 0.0690412 3.67778 10.0875 14.7694 0.670706 2.65412 6.29695 9.25183 -52.35521 -280.4712 -332.8264
133400 2425.36 9.38763 3.68185 15.2869 3.66963 9.15742 0.00620969 133.167 12.2033 5.23199 2.00464 0.332102 0.72874 0.151053 23.727 8.49533 0.28166 0.0895101 2.96352 9.84245 15.1471 0.708203 12.9091 8.00921 31.7237 -54.46409 -281.4369 -335.901
54200 391.599 11.2307 3.67368 13.9717 3.69553 7.36251 0.00629011 124.18 13.2414 7.41039 2.23427 0.615037 0.736683 0.32072 22.9213 6.79613 0.254081 0.160386 3.76789 6.00815 27.9338 0.842327 17.2541 5.04838 17.6554 -49.52714 -289.6778 -339.2049
178100 234.3 7.17293 3.88946 10.5675 3.45091 5.00097 0.00718967 121.185 10.5577 6.14348 1.86345 0.611894 0.657162 0.312955 21.7201 6.44182 0.504267 0.0845404 1.69398 10.2784 23.1533 0.488797 2.35282 4.69292 36.0365 -51.08753 -281.7592 -332.8467
108200 541.892 12.8164 3.86976 18.4833 3.86597 7.8522 0.00845984 116.701 13.9915 10.3762 2.317 0.403413 0.713222 0.179515 23.1478 5.87528 0.206573 0.140104 2.57373 9.75681 16.0542 0.777041 11.3254 9.011 20.1155 -53.68321 -278.2652 -331.9484
156400 3523.04 19.7872 2.7235 10.4148 4.48345 7.4318 0.00891189 125.442 13.1485 9.2964 2.08926 0.513171 0.618693 0.0464963 24.0537 8.03788 0.0214714 0.185729 5.35176 12.192 11.6636 0.535459 5.51211 8.35983 9.55672 -57.86482 -280.6313 -338.4961
46600 315.311 12.9687 3.30602 16.7447 3.95473 6.05952 0.0117388 105.091 12.5935 7.41977 2.45404 0.492592 0.622349 0.304166 23.8536 4.89037 0.433741 0.0708371 2.34563 11.3209 7.67863 0.759058 17.7433 5.77863 20.3461 -51.17942 -286.0461 -337.2256
187700 576.673 12.6203 3.31276 9.97235 2.74448 8.403 0.0116512 126.783 12.3963 5.95661 1.14618 0.544003 0.854765 0.337342 22.2772 8.56267 0.463246 0.321542 2.3339 8.45529 19.6178 0.590978 6.48106 6.85278 17.4124 -53.63983 -282.0578 -335.6977
130000 1788.93 16.4789 3.54763 12.1077 3.58824 6.17309 0.00276516 137.43 11.4916 6.8917 1.35183 0.469082 0.778554 0.106098 25.1665 4.80366 0.154394 0.0839573 1.5477 9.83795 8.30095 0.990739 41.0977 7.09606 35.2044 -59.02747 -279.0531 -338.0806
171900 1212.95 9.73448 3.62513 16.492 4.45454 7.06099 0.00649228 130.447 13.0517 5.19626 1.90034 0.525051 0.700198 0.20322 21.5771 6.19276 0.38012 0.117011 3.94166 11.007 9.59091 0.825244 21.334 5.99769 16.9808 -51.83869 -282.459 -334.2976
173700 1507.84 7.40722 2.67158 16.2484 3.92411 8.25091 0.0170117 117.303 13.5177 9.91921 2.04114 0.328744 0.856306 0.349494 23.001 6.86976 0.275954 0.284425 1.13532 9.95818 16.9231 0.727056 10.3524 5.20356 29.3717 -56.45576 -283.4173 -339.873
52800 657.987 14.7978 3.66914 11.3674 3.28247 8.85711 0.0166206 115.28 13.2315 5.03176 1.72324 0.262772 0.634935 0.279552 20.7369 8.23859 0.252118 0.177004 5.39892 10.6541 22.9707 0.882577 9.75043 9.22805 19.833 -54.63687 -284.5579 -339.1947
115300 415.143 16.8931 3.32859 14.227 4.32745 5.85219 0.0136825 105.397 10.4968 4.83613 2.79561 0.279496 0.635696 0.198973 22.3772 4.46768 0.110903 0.20107 1.71665 9.00202 15.3051 0.701613 12.3474 5.81316 17.3003 -52.27757 -280.1196 -332.3972
86400 17.7985 9.19666 4.05261 15.2738 2.39811 5.02957 0.0102968 70.5361 5.06271 7.43818 1.63284 0.357217 0.802081 0.475088 17.2854 5.23799 0.368275 0.0638795 11.1674 8.92427 26.6035 0.770655 9.76463 5.7767 16.9732 -50.95966 -285.9825 -336.9421
136100 577.219 11.9133 3.11899 11.9179 3.0456 5.32047 0.00523576 131.687 13.2191 5.8221 1.89779 0.531064 0.737935 0.187916 24.5061 5.28444 0.0983279 0.129516 1.79797 9.39337 16.5542 0.693866 12.8257 8.55453 23.3492 -53.78343 -276.8135 -330.5969
102200 572.811 20.9348 2.80172 11.9431 3.30443 5.92981 0.0110558 127.078 11.9863 3.27408 2.32107 0.671393 0.612016 0.234887 25.1154 6.00607 0.222848 0.128042 2.10378 9.19936 15.9089 0.637986 2.5165 9.51823 20.5417 -53.91956 -276.2825 -330.2021
78100 3699.85 9.80311 3.28745 9.33388 3.39367 17.2437 0.0157439 124.083 12.6478 8.46002 2.67342 0.423523 0.771465 0.113466 25.6029 6.96223 0.370789 0.403179 1.19136 7.91686 10.2175 0.786121 12.0535 6.97165 18.7962 -58.45581 -286.599 -345.0548
46100 919.858 16.4 3.33862 12.7299 5.31914 7.9797 0.012576 116.585 13.0318 6.19283 2.72563 0.373116 0.715562 0.393028 23.8549 7.95526 0.494477 0.239624 4.17044 9.84962 32.9445 0.683109 36.0001 4.80766 31.4736 -51.95177 -292.598 -344.5497
124900 482.099 8.7683 3.35641 7.46663 3.04563 5.45251 0.00500159 122.363 10.9887 7.59503 2.13043 0.383964 0.717229 0.141118 25.5997 5.51662 0.291468 0.222724 1.67777 7.02896 8.03069 0.944743 26.4441 6.12303 35.9852 -53.1702 -281.0539 -334.2241
114800 1774.96 12.554 2.67184 12.9807 3.62842 5.73828 0.00596536 121.983 11.3628 9.22551 1.33683 0.441311 0.785232 0.391678 25.542 4.90873 0.672686 0.156916 2.94105 7.79708 9.97668 0.495281 13.7316 5.38502 29.3808 -51.12686 -285.9096 -337.0364
117500 1578.29 8.4255 3.14128 19.0576 4.96886 8.89202 0.0161515 126.769 12.2335 4.86066 1.1899 0.58871 0.691179 0.326046 21.7813 6.4481 0.37704 0.553064 7.95757 8.67426 1.76769 0.217971 87.6418 4.65134 11.1363 -54.62803 -291.4943 -346.1223
171100 663.13 9.90384 3.0563 11.7563 2.74588 5.43816 0.00576217 126.864 12.3326 7.09034 1.43437 0.493288 0.700647 0.100999 24.6565 3.99357 0.0641496 0.279419 2.10203 9.67471 17.017 0.529604 0.0628925 6.26684 23.7478 -54.83793 -277.6664 -332.5043
118400 3595.93 10.6792 2.24432 16.9582 3.28589 6.3629 0.00659544 143.885 12.7954 3.65088 2.98946 0.637511 0.882807 0.262548 26.7777 7.46814 0.287587 0.545563 4.3356 10.0346 2.91571 0.64852 28.46 7.20606 17.0579 -58.46713 -282.564 -341.0311
40600 1446.27 15.6277 3.44521 17.4154 3.30705 8.97011 0.00658929 137.936 12.9902 4.63092 2.33983 0.471833 0.713459 0.229187 23.7277 5.05999 0.137685 0.253356 2.31507 6.85752 16.4246 0.298356 7.45023 6.38709 36.9202 -54.37003 -283.4896 -337.8596
107400 22.6006 18.7333 4.07178 18.2238 3.32757 5.4197 0.00919284 86.6847 10.7049 10.4186 1.19472 0.231359 0.7243 0.444007 22.58 4.28975 0.414428 0.181101 4.37504 4.41786 27.2667 0.840176 3.54912 5.6564 30.8057 -51.12617 -287.3493 -338.4755
129000 1907.91 9.76054 3.42719 18.079 4.78986 5.99533 0.00667178 135.311 12.7122 8.61265 2.53131 0.579444 0.727651 0.155041 24.2258 9.32406 0.36304 0.653487 2.90379 9.73154 16.6777 0.683027 0.6344 7.24481 21.0977 -57.46558 -276.2384 -333.7039
126000 306.219 16.1082 3.14999 15.2161 2.68867 5.42108 0.00995351 116.849 11.4372 6.13194 2.82174 0.64828 0.701687 0.316626 21.8673 6.48831 0.500025 0.240549 5.05387 9.25396 11.7173 0.750083 18.5084 5.09635 9.20587 -49.46858 -284.5883 -334.0569
126100 3554.31 9.91996 2.6868 8.06258 4.5914 11.1051 0.015244 126.197 12.2792 8.20024 2.02804 0.765129 0.731911 0.140145 22.6466 8.42718 0.166974 0.225999 4.28631 10.2899 9.23011 0.779624 17.8508 5.06361 10.5209 -54.89482 -284.9241 -339.8189
173200 1775.45 16.8987 3.931 7.81064 3.86174 8.3337 0.00318064 136.488 13.4164 9.30401 2.87204 0.453724 0.743713 0.185621 25.5854 5.6727 0.41469 0.138827 2.66904 7.51225 14.5205 0.692642 7.25583 6.00446 21.0734 -54.88941 -279.7553 -334.6447
