"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 286.746 10.7892 3.37072 9.36726 3.99819 5.51052 0.0111053 100.936 13.9644 10.085 1.2349 0.461608 0.366581 0.670042 0.37581 26.8494 6.98138 0.531957 0.234352 13.5301 6.20623 59.2387 0.535061 48.2286 2.85773 4.81213 -50.29808 -326.8206 -377.1187
66300 692.221 19.2253 2.67806 11.3545 6.50015 6.65206 0.018983 85.7794 8.6228 6.50481 1.6786 0.408583 0.197528 0.782984 0.579915 27.0399 6.14208 0.0132909 0.279755 12.824 2.9944 68.1898 0.513595 84.2691 2.83821 2.9089 -54.19996 -328.7414 -382.9414
200000 268.588 9.38897 3.14618 15.3125 4.00553 10.4495 0.0429844 86.8688 5.30317 8.28332 1.45022 0.0854708 0.58556 0.72387 0.488396 22.6384 6.8583 0.0640502 0.194255 6.48149 4.21053 26.091 0.795697 31.7636 1.98898 4.03581 -47.70423 -329.8336 -377.5378
161800 762.22 16.0674 3.11542 12.2921 4.02566 7.8512 0.00844139 82.0995 4.25876 9.36011 2.90879 0.306376 0.133207 0.66965 0.463346 23.1248 4.00484 0.226909 0.0946334 7.60181 2.73662 67.3633 0.541355 21.4786 2.31463 5.25382 -47.25931 -326.7807 -374.04
170600 1398.6 18.1904 2.52688 7.60479 4.11349 7.24895 0.0210154 91.3223 7.24345 11.2466 2.22715 0.178937 0.419497 0.727817 0.47193 19.5504 2.16262 0.348947 0.169426 8.88412 4.58715 47.4682 0.0713758 31.8225 2.58978 2.91354 -49.95398 -332.0599 -382.0139
168200 699.668 15.5235 2.65318 16.6991 4.8047 5.90046 0.0245507 84.2867 5.68361 4.82444 1.65796 0.551833 0.307756 0.718682 0.567614 19.6609 5.43589 0.138026 0.201091 12.7179 6.47738 58.7539 1.32508 42.057 3.3049 6.93653 -49.52061 -327.7473 -377.2679
67100 397.518 13.2878 3.81804 13.2639 4.05375 11.6117 0.0408297 95.4077 9.14878 5.94508 1.42738 0.557044 0.348448 0.678662 0.513996 26.009 7.84275 0.506095 0.923279 10.6569 4.76126 59.0425 0.686493 75.8775 2.45247 4.3686 -54.02784 -329.2302 -383.2581
106100 861.798 18.226 2.33718 7.80144 5.56457 5.51619 0.0188325 84.8833 11.3499 9.75875 1.6357 0.356311 0.395629 0.731612 0.70455 21.97 6.10592 0.370636 0.16519 6.00974 7.34688 84.6334 1.95356 76.5443 2.22702 4.08892 -51.24741 -331.0703 -382.3177
168900 813.988 16.1886 2.48977 14.0587 3.91006 9.36217 0.0356137 92.8873 10.0649 7.08662 2.15935 0.341379 0.445964 0.847839 0.523857 26.1466 3.77122 0.229478 0.151929 8.38741 8.88259 58.8218 0.440001 30.1995 4.19041 3.51513 -50.66466 -331.9755 -382.6402
47000 542.537 9.98855 3.20653 12.1411 3.92913 7.39188 0.0186462 85.9052 6.44314 7.89462 1.87166 0.0941056 0.26963 0.661009 0.578643 15.5686 4.02259 0.664392 0.185715 8.82372 5.82423 41.802 1.73972 17.7617 3.19935 3.43332 -47.96387 -329.1622 -377.1261
