"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 401.926 11.9229 3.84308 8.29123 2.84702 5.7664 0.0116653 95.4599 23.1099 10.6108 1.59262 0.450591 0.503666 0.670854 0.484051 28.4396 7.53751 0.461037 0.104534 2.00384 5.0712 38.737 1.50989 26.4009 11.7912 4.00315 -52.03174 -504.0204 -556.0521
66300 1205.02 11.3874 3.86018 9.47561 2.44224 7.1861 0.0139549 104.759 13.2819 7.05957 2.73953 0.179858 0.217126 0.625401 0.386711 27.1417 5.73062 0.363046 0.223512 2.29227 7.15976 40.6755 0.491949 51.9216 15.553 4.7124 -53.0193 -503.7205 -556.7398
200000 3997.44 15.9417 4.25689 19.7908 3.21743 5.30897 0.00796839 134.819 20.4051 7.80461 2.39007 0.404532 0.171072 0.636099 0.404693 22.9235 6.83108 0.235501 0.531896 10.34 8.82631 75.758 0.817773 40.2287 11.8084 4.75023 -56.77537 -505.3318 -562.1072
161800 6815.12 9.93884 2.41118 13.3639 2.00216 7.06619 0.0103108 81.671 3.15278 7.56924 2.94262 0.162057 0.0847316 0.612688 0.764638 15.9215 6.18989 0.271263 0.133991 9.73029 3.39427 64.7463 0.890153 62.9709 14.3561 3.99181 -56.51872 -501.1963 -557.715
170600 540.293 7.65595 2.9515 19.3279 2.8081 5.04784 0.0183852 80.8287 4.31977 11.6353 2.01321 0.267105 0.460688 0.613016 0.676444 25.894 5.25277 0.131839 0.299428 10.6053 4.42026 67.0361 1.94421 102.59 19.0336 2.83485 -56.69515 -502.5497 -559.2449
168200 1561.32 7.30193 3.97143 10.292 3.37385 5.62149 0.0115402 83.7297 4.64397 8.87758 2.72584 0.171248 0.0985026 0.771588 0.45968 17.7873 4.20332 0.348894 0.162077 8.8607 5.13126 51.325 0.224267 46.9936 15.7221 4.39068 -53.8498 -503.5939 -557.4437
67100 3666.38 15.1109 3.01923 14.086 5.78976 6.68419 0.0239701 83.9948 4.63098 8.06039 1.6573 0.230553 0.569849 0.658516 0.486655 32.9225 2.83943 0.24104 0.12259 6.95277 4.60233 61.3274 1.25736 49.0711 15.0834 6.59901 -57.10368 -505.8118 -562.9155
106100 200.458 10.3037 3.75967 10.9803 3.06892 5.29346 0.0295158 82.2195 7.51638 11.9308 2.14103 0.532728 0.74756 0.77896 0.622654 28.5422 5.45725 0.561209 0.355691 5.64292 4.21551 39.6974 0.666815 90.1917 15.2473 4.21966 -56.3427 -503.2592 -559.6019
168900 6343.6 19.8169 3.66044 12.0304 5.18429 13.2131 0.0323497 82.1824 2.92886 6.97604 2.66805 0.388603 0.210757 0.695327 0.744253 27.4029 5.20604 0.443398 0.224267 5.04027 2.44842 64.7623 0.193759 35.7309 13.9285 3.29579 -57.95863 -502.4364 -560.395
47000 572.744 9.92781 3.95422 8.22874 3.11539 5.68894 0.025191 105.967 11.5232 5.46509 1.59383 0.22386 0.570154 0.813881 0.416556 23.1695 8.35954 0.421388 0.207138 4.07934 7.71318 44.2703 1.03911 64.1202 12.7149 3.68708 -53.18102 -505.3509 -558.532
