"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 121.743 14.5932 3.34319 16.2621 2.69766 7.14746 0.0290042 76.8202 7.72549 9.83729 1.28793 0.310795 0.127976 0.639027 0.660694 16.6679 5.69364 0.269951 0.242268 3.26258 9.23535 22.7753 0.976081 14.2657 13.338 35.4162 -52.73702 -311.9132 -364.6503
66300 124.325 11.2716 3.98029 12.3879 3.55506 8.45267 0.0251181 74.1553 1.05314 9.87252 2.03368 0.377398 0.231688 0.781698 0.653425 15.1851 8.15424 0.169168 0.130468 5.25824 6.27716 54.3742 0.542273 42.1814 9.88941 10.3086 -51.20806 -318.5271 -369.7351
200000 108.257 16.3781 3.43477 10.7267 2.95 6.11375 0.0184786 65.3807 10.2509 9.06539 1.52174 0.51434 0.120898 0.840719 0.616365 22.9807 4.35197 0.423264 0.117906 4.37272 8.34383 23.2888 1.94312 17.2941 10.1149 6.47521 -51.22294 -313.9623 -365.1852
161800 338.703 9.70986 3.75031 18.5698 2.57771 10.2865 0.0256364 71.811 2.07943 10.8488 1.56728 0.31431 0.212801 0.784255 0.62485 8.55551 6.53935 0.133974 0.0723446 4.91723 9.43726 27.5018 1.42202 44.3643 11.8718 27.5951 -56.13384 -311.2668 -367.4007
170600 310.793 17.1242 2.93756 9.16645 5.09548 7.72701 0.00999172 64.9811 1.95651 5.40139 2.40601 0.0488241 0.0549738 0.615994 0.939005 29.3507 3.57017 0.554474 0.126853 6.32438 4.63953 62.8531 1.2122 31.1995 9.51029 29.6702 -54.85579 -318.6113 -373.4671
168200 298.46 9.12739 4.12424 13.7374 3.50293 9.14145 0.0231692 75.344 4.97707 7.24621 2.81992 0.550572 0.0447711 0.759977 0.512547 17.668 5.18172 0.0727203 0.155532 5.04515 9.45371 25.3926 1.66751 21.4439 11.248 17.3493 -53.00377 -309.8436 -362.8474
67100 171.876 11.9892 4.05244 8.80854 3.89043 10.0031 0.0271832 81.3285 6.42277 8.61072 1.32144 0.522402 0.697597 0.664242 0.70015 16.2152 3.57918 0.307382 0.122071 4.13489 2.79778 35.0101 1.51696 34.2879 4.74579 37.8169 -50.75326 -323.817 -374.5702
106100 359.336 9.7897 3.54245 14.4654 4.09816 6.30891 0.0218126 81.2153 6.78213 5.92474 1.83604 0.331246 0.115642 0.818638 0.497801 14.3352 7.25365 0.251518 0.0939373 4.07909 9.34491 24.2444 1.76211 17.8684 8.93126 17.6524 -51.06783 -312.2113 -363.2792
168900 127.554 9.4973 3.9271 16.8171 2.93416 11.3082 0.0421803 76.6688 2.1864 8.64714 2.80649 0.24466 0.434158 0.644094 0.725888 11.9567 4.5423 0.306032 0.210202 4.24265 4.9016 22.316 1.90955 19.3569 21.0025 17.7809 -55.03392 -309.9035 -364.9374
47000 56.0879 15.03 3.7705 9.89191 2.90827 7.21068 0.028158 71.8113 4.59528 4.19439 1.88795 0.421473 0.277138 0.65409 0.825176 13.0033 7.10633 0.323551 0.309257 9.39847 5.98332 53.114 1.02979 36.2735 7.57012 24.278 -51.68947 -317.4736 -369.1631
64700 437.882 11.2401 4.33705 8.11209 4.74008 11.7582 0.0343674 75.2453 5.34149 10.2358 1.39115 0.391698 0.276442 0.730699 0.522051 15.2352 6.93643 0.168781 0.131857 6.29002 10.408 22.8049 1.70164 15.3963 12.1567 7.29509 -53.85006 -313.2568 -367.1069
108800 56.6864 10.6237 4.34439 8.77832 3.02338 6.16633 0.0223559 73.9529 3.42572 7.75076 1.31397 0.243611 0.334036 0.643506 0.558395 7.94999 3.23241 0.0660336 0.269964 8.08826 5.7055 30.6325 1.08665 44.255 14.7019 5.07199 -52.8739 -314.9835 -367.8574
85300 327.875 11.6574 2.99025 19.0035 3.1621 6.25603 0.0218999 74.6624 5.44554 4.96692 1.62927 0.554573 0.138721 0.682815 0.616825 16.6198 6.35745 0.160214 0.0904941 2.9374 8.65312 23.1418 1.93254 25.2465 11.5643 14.0982 -51.5449 -311.2133 -362.7582
78100 74.1194 9.21001 4.0064 9.43527 3.56459 7.00987 0.0255197 65.0379 7.23951 4.7439 2.48622 0.305778 0.134365 0.655551 0.782421 13.5199 8.28823 0.394804 0.368686 8.4854 4.61734 21.592 1.51431 23.7482 11.0575 9.70882 -51.74313 -316.9122 -368.6553
177000 174.791 8.5014 4.28464 7.96831 3.68855 8.22937 0.0476596 69.3285 7.76662 5.93281 1.72059 0.33013 0.311952 0.692453 0.654829 9.24071 9.17268 0.502906 0.162569 3.09417 12.4641 26.6791 1.50206 39.9942 15.7096 15.3721 -56.17219 -314.663 -370.8352
50600 139.61 20.2711 3.36324 10.3981 5.01787 5.49138 0.0154012 74.1646 2.76095 8.38281 1.86964 0.122348 0.303678 0.751491 0.717354 14.1615 1.08981 0.317247 0.131525 6.17395 4.13461 23.4822 1.30962 77.7347 5.97732 29.2763 -53.45717 -318.2552 -371.7124
121500 93.0754 10.7952 3.24538 12.8066 3.84093 6.84157 0.0251698 64.6165 3.13668 11.4554 2.43584 0.332568 0.392356 0.762344 0.834559 29.4439 4.76702 0.351633 0.175047 6.23478 6.79739 56.942 0.65322 35.7045 6.94297 22.9767 -50.47719 -319.164 -369.6412
122100 196.13 16.0479 3.33538 11.1128 3.84097 9.51205 0.0285028 64.3208 8.49231 8.27946 1.21817 0.137247 0.457501 0.673704 0.874648 18.9394 7.97822 0.548995 0.0901498 4.7942 7.7494 35.0173 1.78279 51.1149 8.9757 37.2143 -51.86521 -318.9091 -370.7743
128700 122.247 17.3968 3.08288 14.1041 4.45679 6.21081 0.0554885 72.3538 4.85664 5.26138 1.30907 0.55247 0.711539 0.822898 0.902418 13.5615 7.55065 0.530305 0.184532 5.01446 10.4807 64.1581 0.278301 59.4594 9.33944 23.6574 -56.19928 -317.1616 -373.3609
46800 174.212 13.326 3.36339 15.238 3.40144 8.61025 0.0184293 70.1675 5.52101 7.13128 1.04002 0.226291 0.225085 0.743279 0.850781 7.68463 4.83435 0.403281 0.152557 7.57961 5.39936 34.857 1.2991 52.4583 7.25088 25.1096 -50.53408 -319.9331 -370.4672
196700 803.033 11.487 3.82472 19.0572 5.72487 8.68907 0.0396316 82.3305 9.05929 7.42034 2.44504 0.42896 0.352131 0.751151 0.542768 9.15257 9.09629 0.214464 0.166452 9.10983 11.1099 24.1347 1.66489 22.059 11.6222 29.443 -58.27532 -313.7673 -372.0426
198800 223.717 10.2462 3.11044 15.4072 3.2642 6.76581 0.0244179 74.6605 3.4387 4.81755 2.34399 0.424361 0.199112 0.725911 0.712672 12.8685 3.57035 0.213716 0.150894 13.0079 8.13206 25.6924 1.67422 19.0838 10.5158 14.1534 -52.47429 -310.961 -363.4353
133600 719.12 17.3442 3.11053 15.878 2.30346 7.20244 0.0122924 86.0103 7.85517 9.06615 2.66466 0.278644 0.127831 0.6671 0.454724 14.967 6.86738 0.069558 0.0695515 1.67599 8.96844 25.7245 1.24493 20.3197 15.3562 25.6308 -54.02464 -312.9411 -366.9657
88200 228.581 11.5325 3.86707 12.8645 2.97755 12.7061 0.040133 76.9413 4.21516 7.20444 2.10496 0.316116 0.303528 0.720367 0.711622 12.5923 3.98945 0.133708 0.116845 7.1374 6.31266 22.6247 1.0423 19.5646 8.57375 16.2592 -53.01146 -313.7868 -366.7983
108100 102.917 15.8587 4.18619 15.9527 2.98683 6.67996 0.0357628 73.4137 5.16536 5.04647 2.38252 0.487917 0.165525 0.70382 0.55222 10.734 9.0694 0.199973 0.254878 4.52552 8.82619 26.2448 0.896148 19.9607 10.6156 25.1377 -55.00817 -310.8202 -365.8284
139400 156.33 12.2023 3.47027 12.56 3.15899 7.52545 0.0258224 70.8005 2.24723 9.11122 1.91451 0.509515 0.137881 0.646191 0.812275 14.109 3.58693 0.394812 0.241486 11.776 10.0874 48.3191 0.889426 24.4602 9.2576 15.8417 -53.66175 -316.3636 -370.0254
113900 301.091 8.11587 3.8506 15.217 3.61201 15.9457 0.0497527 66.7123 4.24154 9.30729 1.35666 0.433695 0.536688 0.717865 0.928723 12.2815 3.62635 0.428097 0.0805709 3.26961 4.71583 60.5091 1.29733 19.6076 7.17474 18.4155 -56.1569 -319.4562 -375.6131
133400 277.395 15.2035 2.74063 9.41037 3.34528 7.54874 0.018236 77.6646 2.44251 8.84379 2.26916 0.314703 0.688219 0.644419 0.851461 14.8654 8.89195 0.32635 0.0553394 9.45515 6.29755 31.5766 1.72546 44.8917 8.03034 26.6856 -52.87555 -316.2911 -369.1666
54200 165.699 10.8342 2.88587 14.6532 2.97458 7.27438 0.0267038 73.8373 4.53499 8.09311 1.41698 0.256123 0.335261 0.663502 0.858279 10.8481 10.989 0.524161 0.171707 5.2826 9.75876 28.8957 1.95318 20.8822 9.83412 5.15061 -53.75451 -316.7017 -370.4562
178100 73.6303 10.8721 4.13364 8.20643 3.21363 6.0829 0.0331932 69.6882 7.35858 8.44552 2.81988 0.368594 0.400003 0.708461 0.582607 12.548 5.71234 0.188915 0.211978 6.49798 10.3521 27.5508 1.18938 38.0983 7.51445 30.3276 -51.89746 -313.4185 -365.316
108200 39.7028 10.7745 3.99513 11.611 3.29655 5.15485 0.0170996 63.7641 4.0482 6.29464 2.27791 0.238318 0.0801311 0.767601 0.583274 16.9359 8.39014 0.282417 0.141176 7.23445 7.97061 28.1025 1.34166 44.0367 11.3347 39.9776 -51.3111 -314.8098 -366.1209
