"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 603.078 20.5747 3.17109 11.5454 3.69661 5.59668 0.00713575 122.967 22.0833 7.92584 2.70255 0.494227 0.931452 0.684458 0.29838 27.3837 8.40955 0.261372 0.097472 2.86027 13.1791 48.0913 0.582884 25.1261 2.88452 1.70356 -50.54642 -372.9031 -423.4495
66300 2345.17 11.9451 2.34598 11.2917 4.13265 12.7023 0.0274858 90.744 5.4892 5.73542 2.03202 0.342149 0.694761 0.749656 0.445318 21.6245 5.64495 0.103104 0.110982 2.55826 4.20179 38.6832 1.2317 43.2431 3.0956 1.94832 -50.61507 -374.775 -425.3901
200000 9655.56 11.1846 2.00647 14.9971 3.54114 13.4367 0.0131796 85.6671 8.10519 6.22462 2.31015 0.454006 0.0558019 0.666944 0.468179 28.767 10.9593 0.101577 0.239266 11.8602 9.91835 58.4373 0.164488 57.1787 2.0358 1.3146 -57.58793 -373.1287 -430.7166
161800 906.103 13.8731 3.49 14.4357 4.05197 8.30489 0.00576616 74.5217 6.60892 8.27259 2.35028 0.560173 0.169328 0.723837 0.33185 28.6075 7.62987 0.387838 0.0617245 12.0444 8.19951 35.0622 0.32718 43.5499 2.42319 1.33812 -50.26689 -372.8792 -423.146
170600 450.509 13.4812 3.78065 9.39964 3.65919 9.22994 0.0152563 96.6545 19.6099 10.8797 1.62074 0.0776139 0.289251 0.62651 0.37452 24.4981 6.34107 0.254817 0.486225 3.20887 9.88587 86.0444 0.656112 71.881 2.46 1.74878 -50.98693 -377.6187 -428.6056
168200 696.633 14.1179 3.12052 11.8703 4.80586 13.4088 0.0353312 89.0905 4.90994 2.70187 2.13219 0.235311 0.395808 0.790666 0.54781 26.4359 6.31698 0.344346 0.153684 5.5406 4.62002 68.7753 0.542412 61.0665 2.32592 1.30382 -51.24 -371.5567 -422.7967
67100 3545.69 9.54814 3.21141 16.8843 2.79609 13.1941 0.0228778 122.624 16.0896 3.58655 1.70958 0.35879 0.504294 0.627746 0.256433 23.4671 6.05646 0.518729 0.356191 5.16007 13.9173 66.3461 1.23867 72.7957 2.40741 1.37935 -53.66746 -373.5126 -427.1801
106100 407.706 16.9266 3.94491 14.1869 4.59824 7.27358 0.0108648 97.9428 29.6296 9.10501 2.96725 0.157751 0.553497 0.872738 0.448086 23.7708 8.54856 0.854903 0.121882 8.66269 10.9594 60.0154 0.566927 60.91 2.12584 1.61954 -54.10519 -373.2402 -427.3454
168900 4877.47 17.7022 3.09198 11.3971 2.08091 12.4546 0.0148802 125.592 16.2684 10.2865 2.57601 0.304917 0.736242 0.632982 0.207545 29.4042 3.91969 0.739028 0.232282 1.83454 12.8854 49.1929 1.29083 83.0871 2.58798 1.82694 -57.88469 -374.2621 -432.1468
47000 1888.86 10.3216 2.94176 17.5621 4.98832 8.27317 0.0377711 92.5579 6.34296 2.7853 1.38061 0.326283 0.445983 0.682614 0.307664 19.2783 3.84097 0.319717 0.149547 9.10205 10.1993 27.0021 0.86755 70.0846 2.51098 1.76423 -53.77226 -374.7457 -428.5179
