"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 344.379 16.6842 3.01359 13.0584 3.9566 8.76521 0.00792059 120.983 16.1075 7.8151 2.73858 0.407652 0.604442 0.704741 0.656525 25.0581 6.47846 0.344352 0.24864 3.14492 3.26968 86.9325 1.16809 34.7665 5.01691 26.9074 -49.52823 -258.8602 -308.3884
66300 323.044 19.3132 3.80183 7.53925 4.10495 8.94415 0.0166899 118.589 28.1075 5.20752 2.019 0.277997 0.54225 0.636736 0.589506 7.7203 5.81671 0.179782 0.403287 11.4039 13.1771 58.6829 0.520237 77.6309 4.56582 4.672 -54.1714 -265.3534 -319.5248
200000 402.956 19.9069 2.93289 11.4227 3.29133 8.72624 0.00826072 124.373 19.834 5.94365 1.03867 0.438231 0.229764 0.693734 0.677613 23.3249 9.52793 0.28754 0.338831 8.42393 7.78569 43.4197 1.01012 27.2552 3.45989 6.90303 -50.56414 -256.0961 -306.6603
161800 226.862 11.9429 3.12196 12.7661 5.23731 10.7529 0.0162508 111.469 18.0255 5.76938 2.64885 0.434455 0.633378 0.630463 0.798105 34.3479 5.13725 0.311405 0.131312 1.83103 4.8202 68.7286 1.15815 61.9115 4.30873 2.38128 -50.26201 -256.3238 -306.5858
170600 961.53 20.549 3.02006 19.8756 5.45327 9.40183 0.00961067 136.277 16.1125 4.99244 1.9011 0.181524 0.393108 0.747358 0.470986 26.6434 6.34069 0.0955227 0.540526 2.33182 9.74427 43.1092 1.57034 41.5944 3.25328 1.82577 -51.6655 -257.4106 -309.0761
168200 227.464 15.3312 3.62048 19.8108 4.8318 10.3352 0.0119062 95.2395 17.6545 11.2574 2.83364 0.484468 0.432181 0.683853 0.687527 25.0539 3.94403 0.141442 0.168814 5.73811 6.07352 25.3812 1.41883 19.5989 5.65593 5.80666 -51.14101 -257.1912 -308.3322
67100 159.857 19.3251 3.15907 13.3334 5.03304 5.93057 0.00685418 99.2719 27.7076 11.7125 2.95737 0.456606 0.401477 0.649805 0.818983 13.8504 5.54202 0.420814 0.220295 6.43449 3.47216 68.0909 0.1228 30.6911 2.69457 1.41793 -48.85536 -259.439 -308.2944
106100 712.435 17.2859 3.59866 16.6941 5.12174 10.7166 0.00677565 167.784 29.9191 4.99646 2.08742 0.423076 0.450543 0.736366 0.607361 31.1926 6.83671 0.461584 0.163782 5.56982 7.84344 39.9308 0.920763 55.5207 4.91016 0.759502 -48.68618 -261.0634 -309.7496
168900 876.381 8.9009 3.77616 16.0923 4.36328 9.65059 0.00451744 134.769 15.8563 5.91109 2.39073 0.125874 0.59336 0.64464 0.562105 18.3253 5.25838 0.563742 0.0624469 10.0248 9.74501 63.1689 0.573318 37.9008 4.56166 1.41245 -49.63881 -257.7215 -307.3603
47000 49.5655 8.41291 3.20547 13.8397 4.07828 7.69631 0.010658 101.527 28.8794 6.65613 2.1837 0.133298 0.4301 0.761423 0.87326 22.308 5.78598 0.486771 0.248044 3.74328 3.09744 50.7365 1.07237 88.1895 3.69084 5.87546 -47.40374 -256.3944 -303.7981
64700 389.087 9.90009 2.68957 16.8488 2.40594 7.50066 0.00914789 136.532 14.5915 3.88163 1.5559 0.503038 0.606801 0.906281 0.590498 22.4275 6.73986 0.201044 0.238908 2.6898 7.28175 43.0724 1.28088 49.6101 4.00671 1.27011 -49.45466 -257.3015 -306.7562
108800 124.421 9.72656 3.74003 7.60782 5.04068 10.9418 0.0148824 138.814 24.8803 4.53744 2.14439 0.370579 0.8428 0.784202 0.706725 29.8748 6.9473 0.449631 0.102811 2.75286 4.66375 72.7348 0.70605 46.1543 5.12903 14.4618 -51.81875 -257.0111 -308.8299
85300 297.498 18.7686 3.08198 15.5373 3.55976 9.64422 0.0208929 116.989 16.3583 8.29452 2.9547 0.399938 0.802868 0.828971 0.736987 13.4113 6.3946 0.252594 0.128853 4.13013 7.87016 65.6846 1.42304 64.8955 3.7845 5.31883 -50.88001 -259.9818 -310.8618
78100 1209.87 11.7267 2.9559 10.0145 5.58591 14.8048 0.0188221 132.134 22.8753 3.59902 1.04509 0.257908 0.151368 0.744641 0.819256 25.3233 3.37153 0.124936 0.15509 3.53492 13.6741 26.0947 1.69185 34.4916 3.1015 3.94821 -54.79488 -257.7838 -312.5787
177000 3608.21 14.6992 2.23821 13.9207 3.22693 13.6051 0.00897975 137.404 13.672 5.95737 1.74483 0.371753 0.774213 0.625404 0.857491 17.6798 3.55003 0.292312 0.159511 6.22838 9.27564 28.4791 0.903717 73.1707 3.14473 0.973964 -50.93123 -260.9497 -311.8809
50600 206.687 15.2185 3.63981 12.8775 3.19884 10.5977 0.00861325 161.341 28.1823 7.42566 2.51605 0.307894 0.805935 0.838082 0.537547 25.3612 10.7358 0.0252954 0.253743 4.18052 9.63623 79.2944 1.85891 47.7699 4.35464 2.69612 -53.58016 -255.5362 -309.1164
121500 115.616 17.9685 2.63006 9.68816 3.15657 5.05373 0.00601665 154.136 25.4401 3.93215 1.54667 0.102719 0.792357 0.674105 0.772357 21.1774 4.4955 0.69946 0.320365 5.48766 7.68857 39.866 0.0485011 50.6331 5.87668 3.47051 -51.32614 -258.7516 -310.0778
122100 128.541 11.9298 3.5016 19.0037 2.19057 11.002 0.00660893 89.212 32.9289 11.5556 2.67239 0.489038 0.411156 0.710811 0.795002 16.565 5.26819 0.190473 0.138064 6.36859 3.06433 57.8163 1.95177 43.3451 2.78776 1.55535 -49.22172 -259.295 -308.5167
128700 97.1684 16.2889 3.07249 9.61848 4.64391 9.44509 0.0145979 88.7519 11.4583 6.2325 1.97339 0.123878 0.151799 0.623168 0.952259 27.0511 5.29336 0.340994 0.347167 4.05482 6.21169 56.3074 1.02859 16.7032 4.05211 10.4726 -51.41624 -258.0098 -309.4261
46800 765.226 8.29545 3.94146 18.3871 5.10484 11.4668 0.00498849 173.931 27.3802 4.68746 2.32892 0.320217 0.362296 0.766287 0.53944 31.414 4.67805 0.289659 0.371927 4.27856 8.27554 80.3551 1.1502 57.9472 3.03273 5.14636 -52.14137 -256.9337 -309.0751
196700 100.467 12.1591 3.06774 12.7937 3.75949 7.20354 0.0079934 162.911 36.2061 6.74291 1.56271 0.0827295 0.382049 0.612453 0.779111 27.3965 2.92363 0.309962 0.578509 1.36646 7.47158 35.7365 0.10297 80.7979 3.05201 3.16564 -51.85062 -258.6281 -310.4787
198800 171.864 8.22984 2.9968 17.2149 3.07577 6.21781 0.00560757 164.745 28.8657 8.22172 1.29223 0.151405 0.617085 0.799099 0.640422 19.202 6.02091 0.381717 0.585447 1.66341 6.90483 70.5385 1.2872 57.4742 3.91802 2.78818 -49.95694 -256.5739 -306.5308
