"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 725.951 17.6285 4.34104 16.4199 3.61176 14.2349 0.00696983 147.076 17.4092 2.21895 1.4745 0.147445 0.231321 0.714476 0.195638 25.8178 4.79497 0.215048 0.354115 2.94188 6.10237 74.317 1.37345 71.3904 0.744192 0.40338 -49.41696 -272.333 -321.7499
66300 1055.59 10.7089 2.13138 15.9152 4.25018 6.56882 0.0177276 110.488 16.3804 7.80972 2.51903 0.530352 0.270164 0.79051 0.594357 25.2434 6.61022 0.511941 0.973925 5.3118 8.8584 51.0047 1.90074 55.7633 0.757389 0.441431 -50.42697 -271.0556 -321.4826
200000 1825.04 10.5619 4.18255 17.2653 3.91529 11.3776 0.0069773 159.105 18.5485 4.16614 1.65612 0.363865 0.457786 0.813872 0.290057 19.5303 4.98181 0.360814 0.517133 4.02148 11.1318 77.7465 1.41204 67.0309 0.781995 0.620135 -49.92837 -271.368 -321.2964
161800 196.005 14.2732 3.28917 11.5981 3.83397 8.61096 0.0159689 87.1441 10.4376 7.6395 1.33603 0.504853 0.646827 0.682705 0.544925 21.1127 6.63352 0.297762 0.384169 5.27713 5.62987 78.7876 0.736391 32.0735 0.948772 0.606786 -45.03426 -270.5604 -315.5947
170600 2912.69 17.6921 3.03779 10.1041 4.31826 15.0956 0.00563759 152.824 18.2132 4.84326 1.81336 0.395445 0.905917 0.766134 0.194904 26.838 5.3188 0.40931 0.186565 4.21232 5.52385 48.5257 1.11229 69.4924 0.900348 0.321204 -47.76749 -274.4582 -322.2257
168200 91.8307 7.74124 3.00138 14.6149 3.84025 6.79799 0.0171505 72.2167 20.2687 7.55988 1.60231 0.336314 0.90311 0.72923 0.730413 22.5423 8.34818 0.445733 0.295634 1.95865 4.8123 83.9929 0.982831 45.9961 0.78793 0.60656 -46.17869 -271.6192 -317.7979
67100 4518.7 20.8783 2.78469 18.5767 4.3208 15.7177 0.0066503 153.668 21.1868 6.6858 2.97891 0.364973 0.642196 0.717843 0.293516 25.5702 8.0387 0.183505 0.281678 3.18184 4.16823 43.7441 1.83526 16.5495 0.691752 0.495976 -49.02792 -273.9727 -323.0006
106100 2949.3 10.4001 2.45644 7.02996 3.89274 19.8163 0.00790344 143.598 34.3878 9.1505 2.57249 0.248903 0.461801 0.745872 0.363215 24.6071 4.8534 0.16841 0.197369 10.691 1.78618 65.2899 0.907498 52.6241 0.772844 0.499133 -49.63974 -274.7241 -324.3639
168900 232.304 17.9884 3.39941 14.1241 5.71878 10.8178 0.0157492 104.198 10.9322 6.18624 1.96734 0.0751996 0.420433 0.837764 0.374227 26.5555 9.52717 0.517008 0.440122 5.94195 2.37544 60.5532 0.710043 28.7745 0.534245 0.684191 -49.88144 -276.1366 -326.018
47000 210.57 9.59901 3.85567 11.7683 4.01117 12.0139 0.0258493 92.7674 10.3895 7.22286 2.19684 0.230959 0.538665 0.754431 0.363669 25.0474 2.64693 0.323732 0.142562 3.57384 5.606 69.7958 1.40544 44.6268 0.884647 0.471538 -46.61905 -271.1103 -317.7294
64700 499.866 15.9247 2.03423 13.1165 4.36149 8.92902 0.0086515 86.3752 19.1713 2.11467 2.34032 0.0842866 0.15197 0.700421 0.805849 30.2041 8.22978 0.557338 0.217092 9.42247 4.55637 35.9047 1.92211 73.0155 0.857738 0.83701 -49.81283 -273.8567 -323.6695
108800 1483.65 8.24691 3.12423 18.7389 5.06779 12.9481 0.0119083 149.39 20.6533 7.25953 2.08601 0.326965 0.847403 0.930417 0.169382 32.7424 7.89824 0.24495 0.566743 2.93128 12.9979 42.9511 1.9297 61.3996 0.436397 0.621167 -53.7031 -276.4552 -330.1583
85300 1547.4 8.9262 3.30724 8.98695 4.00661 21.9243 0.0103739 138.105 38.0069 10.5925 1.86285 0.0645694 0.72805 0.714313 0.359521 23.1014 5.56627 0.050307 0.0731406 4.80981 11.7693 23.2973 1.84781 51.5746 0.866944 0.469005 -51.16451 -274.5822 -325.7467
78100 332.153 7.52198 3.62512 11.0747 4.91033 7.89695 0.0115709 98.4544 21.3992 3.8114 2.136 0.339582 0.172128 0.64638 0.435408 20.7222 3.23485 0.313798 0.303321 5.80106 8.92341 67.9376 0.233092 56.269 1.03865 0.650241 -46.81855 -270.3741 -317.1926
177000 104.458 11.623 4.14924 9.73381 3.71665 6.99222 0.00687086 134.684 33.7711 3.54155 1.52044 0.329831 0.579097 0.645001 0.382636 20.9137 5.69111 0.380838 0.129836 8.21556 5.01914 26.5093 0.262948 74.525 0.868613 0.63512 -45.13926 -271.09 -316.2293
50600 415.694 9.37385 4.102 11.7659 4.39636 12.9417 0.0111833 135.438 34.8797 9.85652 1.19466 0.525602 0.641938 0.744703 0.402388 25.3346 5.7027 0.367883 0.203697 4.59882 2.88357 28.9791 1.08851 103.906 0.575106 0.814715 -47.88201 -272.9418 -320.8238
121500 303.618 11.4556 3.11061 15.667 3.11364 5.7561 0.00468407 136.953 30.3701 11.1832 1.7828 0.485289 0.616729 0.615531 0.457067 24.6683 6.19067 0.574502 0.431611 5.14221 10.5083 89.8729 0.897418 81.3897 0.479896 1.09228 -48.92186 -273.8128 -322.7347
122100 219.616 13.8744 2.56285 15.1872 3.0075 10.5822 0.0105735 99.3093 32.9179 7.41003 2.11449 0.275535 0.703153 0.64952 0.846273 29.2868 7.34357 0.56061 0.164416 7.89122 2.25431 53.3048 1.62764 16.2391 0.706436 0.658195 -46.63674 -273.4916 -320.1284
128700 218.904 11.4297 3.31536 14.8891 4.15177 10.1965 0.0162389 71.6899 35.2254 9.73895 2.78639 0.137656 0.481374 0.709158 0.47515 22.9983 7.58399 0.206868 0.100278 4.9528 6.43507 71.4718 1.23857 69.1565 0.857361 0.493985 -45.15012 -272.2978 -317.4479
46800 196.288 12.9909 3.57278 8.30022 3.40937 12.0211 0.0167714 93.3058 10.0493 4.60229 2.24374 0.368999 0.473692 0.761565 0.478193 24.6281 5.18747 0.378401 0.0777193 5.77729 6.91887 87.7773 1.98224 67.966 0.617224 0.873395 -47.21803 -272.3847 -319.6027
196700 302.152 12.0806 2.72058 15.0547 3.51586 9.94043 0.0173403 69.8797 10.5782 7.51213 2.51541 0.446428 0.340507 0.774809 0.793327 27.1974 5.55162 0.244611 0.266954 10.045 12.6232 34.651 0.56672 23.5332 1.04292 0.628736 -47.54178 -272.0058 -319.5476
198800 296.126 8.52575 2.81483 9.04803 4.55841 15.7566 0.0236852 80.6968 5.54812 5.68619 2.73274 0.0913006 0.155519 0.743499 0.903981 27.6329 5.23221 0.347208 0.285463 3.78648 5.42248 44.097 1.67102 15.1888 0.639471 0.334998 -48.64924 -272.9774 -321.6267
133600 612.557 14.8156 3.34379 10.7812 4.96154 9.37525 0.0156079 104.128 15.985 7.4737 1.98505 0.176714 0.261787 0.74035 0.277128 21.465 4.60354 0.102883 0.495532 13.8308 7.04787 81.3307 1.04334 28.0093 0.811089 0.248921 -47.89542 -274.8631 -322.7585
88200 8913.08 9.77261 2.30818 15.1085 3.93675 12.337 0.0037692 160.258 16.1138 8.68632 1.26166 0.065377 0.902598 0.729661 0.405479 31.5577 6.15715 0.429391 0.565949 3.52519 13.3984 66.7048 0.752041 62.4736 0.628232 0.903195 -53.04413 -274.0869 -327.1311
108100 173.857 16.4512 2.79049 12.0766 2.71264 9.1617 0.0110746 105.226 22.7422 8.21125 1.23716 0.356004 0.485831 0.601863 0.615369 33.3568 4.60584 0.110151 0.624565 7.50277 7.75907 29.0557 0.413388 18.2264 0.879587 0.465426 -48.48971 -272.0651 -320.5548
139400 621.825 10.6726 2.73832 17.4335 3.64128 8.09317 0.00633738 158.243 39.2116 7.23496 2.31211 0.400711 0.452759 0.768016 0.317665 31.018 5.21156 0.414945 0.872888 11.7446 4.59853 25.6354 1.48775 18.8536 0.901991 0.674573 -50.04392 -271.7771 -321.8211
113900 1633.38 8.33357 2.08706 11.7357 5.34024 12.6216 0.00871984 115.525 21.4247 7.45994 1.0018 0.172509 0.391274 0.774699 0.713258 33.8147 5.39435 0.254852 0.134705 7.62703 9.82961 62.1532 1.86226 41.3532 0.712636 0.405503 -48.50738 -274.3388 -322.8462
133400 261.416 7.55168 3.67307 17.549 3.42636 14.3725 0.0288448 91.4292 26.4726 10.0588 2.21631 0.357006 0.644485 0.720534 0.446954 23.5839 8.40228 0.122048 0.241235 8.94116 6.60613 37.333 1.02701 85.7046 0.874453 0.771751 -49.3408 -271.6198 -320.9606
54200 300.328 10.1104 3.88266 12.9624 4.6212 8.23293 0.00330531 141.781 34.2734 8.99517 1.17996 0.510343 0.436333 0.861975 0.137863 30.5781 7.85094 0.22947 0.16793 10.1132 6.79938 49.2325 0.017747 16.2734 0.921175 0.673343 -49.31778 -272.7895 -322.1072
178100 319.07 12.1513 3.14426 15.7908 2.51113 11.552 0.024191 104.155 22.041 5.21102 2.9785 0.234459 0.839477 0.904771 0.563528 15.9556 6.76934 0.29524 0.171402 10.38 12.9106 77.9141 1.32477 75.0853 0.698704 0.640356 -51.54429 -272.4239 -323.9681
108200 1120.48 13.0116 2.22605 16.6703 4.03537 8.68911 0.0122781 132.588 22.6935 5.44879 1.00087 0.20198 0.360516 0.808849 0.648596 16.2936 4.17208 0.394758 0.695259 13.6111 7.0417 45.0766 1.44313 70.2207 0.932755 0.401995 -49.8713 -273.0661 -322.9374
156400 51.6428 11.5085 3.25985 10.4043 2.98649 7.50078 0.0109472 68.4593 35.7612 8.8481 1.17248 0.309674 0.583554 0.662722 0.501364 30.792 9.51539 0.256634 0.224242 7.75198 4.02095 38.8459 0.986465 54.7274 1.12686 0.535415 -45.93987 -270.4488 -316.3887
46600 54.4119 10.0889 3.58347 19.8074 2.46034 7.76771 0.0152538 151.962 35.7567 4.65501 1.28912 0.233985 0.916335 0.774646 0.294191 25.9644 7.81842 0.181432 0.299449 4.83485 6.02662 87.9946 0.738768 47.0719 0.858542 0.725447 -48.80044 -271.8632 -320.6636
