Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.253893	22.1607	8.83816	0.725558	0.276415	3.66739	3.31188	46.8518	1.17993	13.7564	39.2822	0.34489	16.6118
1	1183.19	10.2031	3.44079	8.96923	4.05884	14.5638	0.00362892	179.91	35.0235	8.79086	1.00017	0.231172	0.166223	0.652755	0.438513	14.0312	3.32361	0.793763	0.102396	8.53375	1.46287	35.7851	0.158078	79.4852	37.8771	0.119667	1183.19
2	55.2394	14.0493	2.29487	12.4575	3.59686	10.635	0.00604742	153.834	29.6107	6.90754	2.76195	0.219732	0.592941	0.721514	0.258109	21.4258	7.08662	0.297783	0.402195	13.545	3.78504	33.0168	1.79694	19.4326	0.119677	20.8005	55.2394
3	3577.62	8.48876	4.29118	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.279271	19.4631	3.93095	0.441853	0.160232	4.76217	3.66117	2.33884	1.96637	97.8931	25.6669	1.19777	3577.62
4	130.574	20.2661	2.57215	16.5404	4.8024	5.29316	0.0074912	161.168	6.95963	7.01036	1.77509	0.401548	0.812535	0.708315	0.116009	26.0566	7.08355	0.474066	0.123568	11.6398	9.26814	64.0787	0.975603	83.7983	0.129441	21.1277	130.574
5	148.428	13.5836	2.87794	9.60343	3.57876	7.52027	0.00879199	107.017	13.9192	10.4805	1.56504	0.430016	0.422443	0.697977	0.711998	15.6328	5.70968	0.342058	0.557923	6.55527	4.41453	15.6267	1.64386	47.4556	37.3997	1.43986	148.428
6	1879.95	15.5005	3.19868	15.8581	2.73532	10.3923	0.00315263	104.791	22.6061	7.22924	1.24127	0.217941	0.153323	0.604845	0.291129	9.33832	2.73418	0.447232	0.111756	3.58843	4.68368	61.8454	1.80158	22.4388	0.161151	2.48386	1879.95
7	467.794	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	77.2072	39.3543	7.37764	1.05942	0.443423	0.577325	0.725334	0.232285	17.1335	7.4436	0.577863	0.443958	3.91958	2.52839	5.95426	1.8292	76.755	12.0746	0.144763	467.794
8	203.055	15.0514	3.19619	9.12849	4.0843	14.1489	0.00881927	74.7593	17.3825	10.4866	1.49338	0.0205589	0.789229	0.803178	0.600769	24.2871	8.96868	0.729784	0.178763	7.61058	7.66843	17.1789	1.23001	54.6876	0.210209	0.12432	203.055
9	4474.71	14.2043	3.31492	19.2857	3.66439	10.9661	0.0163416	98.563	33.0585	9.39594	1.85813	0.410392	0.136744	0.62606	0.57139	30.6068	2.61538	0.618366	0.509813	10.6138	6.46479	38.0119	1.11449	98.1273	31.5431	6.72608	4474.71
