"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1608.99 7.9321 3.31787 8.63851 4.00371 9.09522 0.038262 89.5143 3.92227 6.30845 1.96362 0.104589 0.746089 0.756908 0.555067 21.1941 5.1534 0.194019 0.216692 2.29278 5.51042 85.9796 1.41056 41.8884 29.6155 2.40511 -54.80669 -455.4383 -510.2449
66300 2364.92 15.1013 3.35267 12.5948 3.88623 10.933 0.0428645 85.5893 4.22509 10.3216 2.54758 0.375994 0.754232 0.68881 0.539375 28.5167 6.49336 0.144187 0.339719 6.98435 5.87693 89.4714 1.66685 37.7015 38.4466 1.55176 -57.40721 -451.963 -509.3702
200000 1940.11 17.819 3.36338 10.6337 4.36134 9.27038 0.034404 89.4249 5.34126 2.70579 1.11616 0.212251 0.306359 0.652195 0.427897 25.3606 10.405 0.11836 0.142679 4.72947 6.88759 38.1841 0.213198 15.0012 34.842 1.32442 -57.69013 -453.5077 -511.1978
161800 4711.02 10.1861 3.47436 19.0242 5.83724 7.0567 0.0202731 86.8976 5.98682 7.11013 1.63039 0.423528 0.424648 0.741685 0.436555 25.4075 4.00302 0.449651 0.0715513 7.35311 8.86674 22.2832 1.27109 35.6396 24.9763 1.65886 -56.36897 -459.3139 -515.6829
170600 588.89 7.91862 3.88618 11.4759 2.19314 6.60693 0.0161708 101.038 15.6837 7.64135 1.73501 0.493009 0.295855 0.64508 0.404166 28.4415 6.84055 0.642152 0.139388 3.81432 9.71855 62.598 0.864096 47.5019 27.5234 1.81107 -53.37643 -453.1662 -506.5426
168200 1099.4 10.3165 4.16672 12.8656 3.10766 5.93083 0.0124393 108.51 13.3574 9.97203 1.48716 0.260356 0.302772 0.720275 0.218197 26.3311 6.21355 0.280345 0.211574 6.44794 10.9379 22.5987 1.61862 32.758 20.3451 1.95391 -52.51436 -457.5782 -510.0925
67100 8931.2 12.8188 2.51986 12.387 2.50222 7.96108 0.0199178 86.4686 3.45169 9.0311 1.68305 0.317879 0.51613 0.647987 0.491705 18.2313 2.3195 0.0915994 0.132809 13.3561 5.30078 27.5656 1.86627 98.4761 38.4212 1.36985 -59.23069 -458.2686 -517.4992
106100 7404.73 14.7417 2.3663 18.0346 3.00186 7.67439 0.0265658 85.7386 3.73476 9.16505 1.60356 0.431784 0.552514 0.624199 0.725891 18.861 2.38251 0.396623 0.268581 11.125 5.6003 80.3433 1.42387 43.3116 24.3882 1.11382 -58.04187 -456.4969 -514.5388
168900 4199.02 11.4139 2.49227 12.5215 3.93404 7.11322 0.0234146 86.8786 4.94182 10.978 1.98678 0.422952 0.325686 0.784994 0.541015 32.2341 9.18248 0.202653 0.270956 2.68375 5.18466 49.5766 1.4472 44.9164 35.4239 1.93807 -56.30577 -452.0276 -508.3334
47000 3771.41 17.6729 3.13134 9.48581 3.90484 6.78632 0.0185108 85.9581 7.3557 6.56407 2.53965 0.392451 0.129281 0.707686 0.295635 29.6864 5.22051 0.0803865 0.168546 10.0275 8.42422 45.275 1.49908 68.0533 25.0116 1.80682 -55.06197 -458.543 -513.6049
64700 1302.12 13.4878 3.39557 16.8465 3.91198 8.33429 0.0321328 89.0592 5.81738 7.27202 2.94421 0.243531 0.767534 0.650202 0.402776 27.6083 5.71001 0.056015 0.138007 2.62913 6.65637 41.1825 1.87383 19.4564 33.3339 1.73242 -54.72645 -452.2447 -506.9711
108800 1326.1 18.9671 2.94742 15.6872 2.69591 6.50699 0.0330965 87.9867 7.88924 6.10478 2.82434 0.377803 0.267232 0.811222 0.529047 31.1594 4.31853 0.671783 0.157997 4.61498 10.3192 26.852 1.5339 28.6334 26.1792 1.80331 -57.66062 -457.0378 -514.6984
85300 4629.78 13.3319 3.00878 10.6785 5.32796 9.5411 0.0275861 84.9332 4.29006 9.26649 2.48071 0.236333 0.240968 0.699877 0.506335 31.5357 5.18878 0.25092 0.351422 4.12247 5.03591 35.7493 1.25568 55.3407 32.5588 2.19505 -55.98639 -451.4411 -507.4275
78100 4091.63 10.7092 2.33805 11.518 2.71264 7.3314 0.0259584 85.2175 3.69382 5.72252 2.02573 0.23511 0.261291 0.715298 0.640116 28.9646 5.6213 0.571991 0.111295 6.64326 6.84456 39.5837 1.38979 50.5041 31.7595 1.07533 -54.7619 -456.6573 -511.4192
177000 8400.44 13.654 3.7376 11.8786 4.14723 8.33008 0.00933744 92.2913 8.82274 8.45335 2.63845 0.453427 0.0330162 0.684814 0.399125 30.6485 4.8555 0.669426 0.182632 11.3745 8.54901 36.9937 1.17853 30.704 37.9057 2.10397 -57.95648 -456.8965 -514.853
50600 642.202 11.9043 4.22339 9.01286 3.01704 8.48709 0.0372648 82.5371 5.12082 6.15234 2.15868 0.554362 0.899099 0.655476 0.403535 25.0812 7.43251 0.326151 0.111505 9.42733 8.13555 44.7815 0.826961 59.3918 33.1063 1.85133 -56.347 -450.6332 -506.9802
121500 3148.05 7.4297 3.33595 17.4094 4.20593 12.1461 0.0574552 87.6066 3.63512 5.96154 1.64254 0.388907 0.848175 0.760683 0.63115 18.6413 4.82438 0.125105 0.236262 8.71824 4.68365 46.0334 0.555111 54.1404 34.8143 2.4543 -57.89578 -455.2384 -513.1342
122100 5028.22 12.088 3.37732 9.80854 4.17214 7.26647 0.0128597 91.3607 7.87195 10.994 2.04017 0.184908 0.0972655 0.775655 0.293471 28.6074 7.36771 0.194408 0.106094 3.91162 7.58043 44.0626 0.779062 24.5283 34.2716 1.31056 -54.16218 -455.5353 -509.6974
128700 1008.85 15.4812 3.76021 8.22921 4.16502 5.67475 0.0344577 85.6424 4.0578 6.13734 2.07658 0.199064 0.195118 0.767913 0.512905 14.109 6.59154 0.185452 0.49941 2.86426 5.70803 75.5978 1.75651 71.4154 39.8362 2.1277 -57.29723 -452.3299 -509.6271
46800 565.26 10.2297 3.76936 10.2086 3.46242 6.74069 0.0355587 85.3217 3.81998 8.19393 1.06596 0.218534 0.514994 0.786199 0.689545 15.8088 5.28325 0.708644 0.475181 7.29203 5.86411 34.5176 1.31386 24.1132 34.0721 1.28019 -56.40904 -455.0758 -511.4848
196700 1201.88 19.3513 3.80259 16.2913 3.7706 7.99269 0.0439724 87.7064 5.55731 10.4895 2.18515 0.183659 0.376806 0.6393 0.470185 20.6208 6.68058 0.0858042 0.621353 10.3464 7.11605 27.7111 0.715746 15.9103 38.6813 1.96661 -58.86936 -452.2892 -511.1585
198800 548.266 20.4098 3.61729 15.8676 2.38514 7.27789 0.0233184 84.1315 8.54221 10.4399 2.75013 0.544938 0.241095 0.751621 0.414771 30.5589 5.68585 0.140742 0.273366 4.24768 7.45669 31.98 1.68977 14.0489 32.6995 2.22823 -56.00481 -452.0986 -508.1034
133600 4031.5 13.7517 3.22565 7.7261 5.25193 6.45251 0.0236793 93.5403 8.23174 8.7799 2.28953 0.195446 0.435374 0.758744 0.317617 26.6873 7.10784 0.304513 0.16832 6.72204 9.41341 78.9321 1.2125 44.7117 38.9293 1.07458 -54.90448 -461.3755 -516.28
88200 3290.57 13.404 4.12566 17.6141 5.99357 8.65709 0.0266241 90.2514 6.76635 7.26434 2.80283 0.371136 0.480473 0.704199 0.357127 24.6767 7.94899 0.382886 0.135862 5.69789 8.64413 30.9712 0.794317 48.8689 30.7525 1.51722 -56.52806 -453.7125 -510.2405
108100 879.956 7.67094 3.2438 14.825 4.13406 5.45527 0.019903 85.5954 6.47654 11.4327 2.7556 0.278413 0.372748 0.663709 0.476183 29.3563 7.3309 0.347723 0.24042 2.71502 7.58736 26.0639 1.6787 76.9067 31.9667 3.13357 -54.37436 -454.076 -508.4504
139400 4021.16 7.29395 3.14459 19.6549 4.30032 12.4424 0.0311987 85.6066 3.97326 5.61839 2.80809 0.102406 0.276804 0.759866 0.497559 29.4602 8.53373 0.279361 0.140253 8.16803 5.28149 53.4862 1.40257 60.4275 21.8285 2.27212 -56.60819 -456.9808 -513.5889
113900 1045.06 19.7433 3.72117 12.1103 3.28367 8.57669 0.0345843 87.1611 6.16738 7.69865 1.69651 0.192838 0.498037 0.694551 0.419502 25.9 7.11128 0.277297 0.120526 5.18174 8.16692 52.983 1.35724 65.2864 37.851 2.13713 -53.88761 -452.8705 -506.7581
133400 8002.45 20.1673 3.38839 16.8916 4.03245 10.6544 0.0222484 85.9489 4.02421 10.963 2.9996 0.413366 0.18962 0.631174 0.624991 21.1294 7.29428 0.605434 0.288922 1.71887 5.6242 37.0502 1.54383 66.3928 27.1127 2.92034 -58.87008 -456.5156 -515.3856
54200 2101.93 17.8148 3.36523 7.65137 4.78241 8.38945 0.0371448 84.9973 4.16972 4.07377 1.90926 0.412783 0.458045 0.710061 0.455397 26.4159 4.90415 0.11133 0.220532 9.24349 6.74582 68.506 0.969459 39.0887 36.7865 2.41874 -56.42101 -452.1344 -508.5555
