"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1997.18 16.3385 3.16596 7.5081 4.51521 9.66268 0.00891187 104.719 4.83949 7.22352 2.28663 0.389109 0.893947 0.692734 0.239024 17.9176 2.68826 0.364823 0.94129 5.85373 8.88804 25.9682 1.17826 35.0166 13.7778 2.19686 -56.23141 -205.2285 -261.4599
66300 416.312 7.64658 3.51386 18.3844 3.66399 18.358 0.0118572 104.33 10.0501 4.88871 2.4851 0.352582 0.500042 0.818148 0.468908 24.6873 5.28229 0.342596 0.33119 10.4365 7.3962 55.4195 0.846372 25.4165 4.05689 1.89879 -50.85793 -211.5379 -262.3958
200000 1401.24 8.89452 2.41497 14.2664 4.13443 16.5723 0.00899767 102.724 5.38463 6.88888 1.24973 0.411926 0.854322 0.784202 0.450254 18.7035 7.96458 0.285949 0.371192 7.91645 4.35432 30.512 0.95219 58.2895 9.89802 0.510975 -50.45399 -202.1343 -252.5883
161800 314.078 11.8968 2.58785 12.2485 2.84696 14.2845 0.00890837 100.114 6.5934 4.57031 1.72882 0.0866312 0.603551 0.644801 0.695577 24.106 6.69921 0.682079 0.150222 3.85425 4.34771 73.7534 0.499034 26.4822 6.24708 2.29813 -50.27706 -207.1042 -257.3813
170600 5603.56 16.2197 2.79695 14.8795 4.95315 7.64181 0.00336178 102.933 4.46978 5.55315 2.97745 0.123 0.107456 0.756282 0.16378 20.1772 6.09704 0.0851997 0.293353 2.0834 8.61372 57.3896 0.68038 62.7202 8.88141 0.366264 -52.76742 -202.3091 -255.0765
168200 973.488 9.13356 2.31884 7.86735 3.43246 14.2747 0.00737197 102.401 5.26967 4.77737 2.47203 0.197864 0.562771 0.780823 0.637995 17.1939 6.46367 0.557237 0.257598 4.21173 2.30478 27.3154 0.232629 59.644 8.27927 14.3203 -53.04379 -204.5464 -257.5902
67100 584.564 15.9136 3.24466 10.9855 4.03653 10.2924 0.0102928 99.9366 5.95589 9.38099 1.66443 0.43076 0.468464 0.665212 0.486811 19.722 8.37583 0.585828 0.4941 4.38241 8.20149 61.9787 1.01272 32.3996 10.4262 0.524023 -49.75819 -206.5712 -256.3294
106100 896.727 10.8963 3.38118 15.0709 4.02833 16.5966 0.00625473 99.6452 5.21206 7.97171 1.74445 0.261862 0.53101 0.628237 0.386336 24.5765 3.57693 0.723002 0.249238 6.63482 5.39949 53.5144 0.567176 43.0681 8.76472 1.91886 -51.6199 -204.3736 -255.9935
168900 191.83 17.3045 3.64051 9.22551 4.57958 8.96297 0.00290106 116.394 14.2543 6.88632 1.67331 0.361931 0.647798 0.735223 0.200313 32.1872 6.31233 0.311308 0.163927 7.87755 9.74818 29.4995 0.542774 23.0874 9.46776 1.87411 -49.88261 -204.0226 -253.9052
47000 810.942 12.1899 2.57263 12.1969 4.54747 18.8848 0.0081498 107.354 5.89091 2.8399 1.69665 0.263513 0.771878 0.686813 0.443347 23.4302 9.77541 0.301114 0.060255 5.13711 2.83979 46.7001 0.743894 47.9641 6.61271 3.81072 -53.1579 -205.0099 -258.1678
64700 594.028 19.2448 2.33845 12.0535 4.50621 8.99772 0.00615663 102.353 5.94724 5.19695 2.45882 0.271313 0.657511 0.764479 0.521846 24.0024 6.2691 0.375507 0.12897 3.7216 8.08328 41.2108 1.79248 43.5702 7.67527 20.2179 -50.58438 -204.713 -255.2973
108800 896.943 8.21442 4.36328 13.6849 5.59501 12.5439 0.00626704 103.923 5.16072 7.69752 1.02786 0.0699511 0.401929 0.885375 0.275349 19.7729 8.20567 0.87641 0.11256 7.10367 8.25138 71.5504 0.201524 19.6906 10.6379 11.3741 -61.02815 -204.5597 -265.5879
85300 518.548 15.8333 2.01241 8.25641 4.32686 6.74763 0.00857563 103.374 7.74178 5.06608 2.45558 0.220179 0.69597 0.690254 0.482562 31.1757 5.28313 0.524921 0.392998 9.33737 11.8817 30.4406 0.267505 53.4958 7.42527 0.561725 -51.07653 -203.1829 -254.2594
78100 519.461 13.426 2.94621 9.47345 2.14194 12.644 0.010327 105.183 5.60243 3.54637 2.18576 0.507805 0.674808 0.834009 0.447141 19.5032 4.69453 0.351121 0.120091 3.19111 3.68293 50.2531 0.542463 58.5229 10.637 0.501717 -50.09156 -201.5428 -251.6344
177000 1355.4 11.6084 1.61669 11.8094 2.26802 12.8698 0.00825842 103.08 4.97587 3.13574 1.3225 0.393643 0.642675 0.748087 0.676127 15.2668 7.85679 0.408222 0.193328 8.94167 4.92515 23.13 1.54517 14.3029 11.2853 5.30235 -55.38309 -204.2961 -259.6792
50600 1018.76 16.3645 2.33334 10.3665 4.95493 11.641 0.0111003 105.517 5.55188 2.30921 1.88817 0.550227 0.860825 0.644536 0.426559 20.4975 7.26154 0.401311 0.646469 8.81044 5.69216 24.8903 1.83473 82.2207 14.7679 2.81175 -56.0736 -203.5959 -259.6695
121500 1094.86 16.8477 2.39098 13.2401 3.40398 6.76551 0.0067848 105.987 7.16945 5.53676 2.18263 0.420058 0.469805 0.768585 0.366229 18.9543 3.72924 0.12075 0.312438 12.3336 7.53526 69.303 1.24776 20.2268 7.79213 10.3404 -52.87812 -207.1927 -260.0708
122100 754.993 7.43999 4.05666 10.743 2.4922 7.34054 0.00283586 102.134 4.47521 7.89572 2.53107 0.278399 0.432661 0.724541 0.203149 13.6095 5.70252 0.111972 0.409124 5.8516 6.06326 37.2613 1.77522 58.7284 9.44663 1.20137 -51.82646 -201.9202 -253.7467
128700 89.3958 11.425 3.26831 11.0336 4.54392 9.47775 0.00981904 104.643 9.98238 3.32552 2.39501 0.186398 0.671335 0.638623 0.306851 33.9599 7.526 0.517191 0.391073 8.11511 3.01197 60.1437 1.46979 76.1665 7.43783 0.619839 -49.58367 -205.5374 -255.1211
46800 637.051 9.28982 2.94854 17.2924 4.34588 10.5411 0.0137285 101.81 5.45163 6.31521 2.84157 0.150456 0.432493 0.773424 0.502195 22.7082 3.80523 0.768346 0.219739 3.50395 9.16297 29.1792 0.25054 27.6686 5.3767 1.36203 -51.34898 -206.8176 -258.1666
196700 1166.34 13.2165 2.8385 17.2081 3.59259 14.3516 0.00808973 105.796 7.71518 9.88796 2.32695 0.104129 0.674241 0.70721 0.168036 24.9933 6.20836 0.512956 0.258947 13.5836 5.25376 46.4126 0.934708 80.2523 6.85458 1.00834 -51.39467 -204.7778 -256.1725
198800 8.69057 10.9202 3.75666 12.517 3.50533 5.42286 0.00625125 130.084 26.1927 2.17002 1.25432 0.12168 0.770704 0.82971 0.290827 30.7053 7.59012 0.170194 0.358909 11.1614 9.60503 31.2838 0.761745 36.8342 9.11707 0.655137 -50.3573 -203.4395 -253.7968
133600 1119.32 8.54331 2.74648 17.9475 2.10583 21.071 0.0168678 99.7747 4.95454 5.93514 2.86367 0.322289 0.699709 0.732255 0.505287 13.0808 1.10475 0.316972 0.251129 6.58699 8.14304 26.4945 0.687936 67.1661 9.2602 0.954295 -57.27453 -202.6896 -259.9642
88200 1355.41 11.6854 2.76201 14.8618 4.37003 8.10283 0.00685919 108.673 5.6114 4.40413 1.92292 0.413749 0.747019 0.833651 0.266993 21.3962 4.22123 0.285446 0.471431 4.86132 8.13207 24.4538 0.939381 75.2042 5.06037 2.30825 -51.11913 -205.2501 -256.3693
108100 511.664 17.5018 3.33277 18.003 4.72423 7.27824 0.00463002 116.586 11.6773 9.55887 2.45121 0.138493 0.502852 0.808135 0.267782 24.3427 6.93459 0.558069 0.687853 13.486 6.1198 47.3436 1.38174 46.2599 7.18983 0.286322 -50.93375 -207.9445 -258.8782
139400 2961.75 10.639 2.03668 18.4494 6.93475 11.4363 0.00734026 104.613 4.89773 5.3506 1.71041 0.135016 0.764591 0.846674 0.451674 16.6865 3.89564 0.45301 0.067551 2.38527 8.80283 46.6231 0.451347 49.4905 10.304 0.287247 -56.17749 -202.4309 -258.6084
113900 1439.85 8.85347 2.61442 12.4131 4.00066 17.8543 0.006978 100.74 5.52783 10.1079 1.41971 0.351077 0.657357 0.777269 0.469413 22.61 6.43027 0.294772 0.448998 4.80239 6.58342 84.8179 1.62366 41.1343 8.35071 0.637061 -50.84602 -205.9388 -256.7848
133400 17.0367 8.50331 4.23053 12.131 3.76726 6.84957 0.00385341 142.36 37.0852 5.75791 1.654 0.40883 0.991956 0.678832 0.245149 33.1833 8.19611 0.135481 0.480382 7.36503 4.54298 21.4609 1.04184 51.8913 5.77626 2.63837 -53.786 -208.2324 -262.0184
54200 447.372 11.377 3.34881 19.0287 4.67304 12.375 0.0168694 106.337 5.82378 2.08846 2.67773 0.411704 0.856634 0.934515 0.495873 12.3225 5.572 0.527401 0.115774 6.78187 10.3888 22.3787 0.389001 60.8746 8.65913 3.19787 -56.82459 -201.5623 -258.3869
178100 1429.33 11.6486 1.89893 15.5801 3.75648 16.1692 0.00865841 102.278 5.4167 3.98088 1.1195 0.258406 0.689173 0.628844 0.625158 17.0365 3.93722 0.102116 0.251222 4.35476 2.22741 50.2314 0.958497 19.3836 9.0712 2.05094 -52.62468 -203.1287 -255.7534
