"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 253.667 18.2172 3.70699 14.8941 2.68005 7.45524 0.0126392 109.633 17.2428 9.86064 2.21896 0.183534 0.102508 0.668723 0.488609 25.544 7.44815 0.354473 0.566526 2.37026 3.79313 62.171 0.523985 25.0547 16.8171 4.1432 -53.26888 -362.6733 -415.9422
66300 301.132 10.9393 4.07453 13.8643 5.29663 7.80137 0.0136232 79.2779 4.03819 6.06556 1.82393 0.273815 0.37157 0.673475 0.618639 26.1568 3.71795 0.473439 0.166308 12.7339 3.49303 62.1245 0.392326 60.6093 28.5096 8.66752 -54.14689 -363.7732 -417.92
200000 377.085 9.12005 4.37042 14.8472 5.47026 8.95898 0.0307891 88.6689 8.14388 4.52772 1.84253 0.166634 0.518672 0.7406 0.605098 12.9418 6.63589 0.140413 0.338451 8.3046 4.04828 70.4824 1.33139 41.7467 14.4572 7.16916 -55.60921 -363.9258 -419.535
161800 1010.15 16.4631 3.76061 8.64847 3.66487 8.3809 0.0113812 122.23 22.7872 6.52871 1.34382 0.340501 0.361309 0.659799 0.442116 27.1736 6.14758 0.42797 0.0878298 4.4364 10.9471 47.2034 0.796871 62.7929 15.8389 7.28133 -51.8379 -360.8142 -412.6521
170600 1375.1 14.2588 4.00063 10.7816 6.61919 8.35186 0.0108632 133.365 24.5573 5.19908 1.99339 0.167473 0.432931 0.656011 0.419802 28.3562 8.94651 0.475374 0.244547 4.4865 9.65254 25.4458 0.659163 54.1172 13.5763 4.12556 -55.92581 -363.7731 -419.6989
168200 364.962 9.26545 4.07953 11.3289 3.58038 9.15582 0.00919515 123.189 39.6734 2.87332 1.45356 0.115904 0.261462 0.677094 0.583983 26.9128 7.0136 0.768037 0.0953056 7.18063 4.79009 71.0228 0.464076 92.9519 12.9719 10.1456 -55.85372 -366.0169 -421.8707
67100 966.997 12.903 2.80021 18.3173 3.41517 5.57625 0.0158607 84.4286 5.75987 2.75928 1.67743 0.53852 0.110015 0.778957 0.718599 11.9042 5.4097 0.454596 0.26089 12.0183 5.14925 34.7006 1.06494 92.6405 17.4633 4.96842 -57.13935 -361.8715 -419.0108
106100 565.69 18.3895 3.49763 10.7462 4.95702 5.17211 0.0104347 112.733 17.1429 10.3743 1.19636 0.0402912 0.539939 0.717914 0.454214 25.5253 5.51682 0.428607 0.131338 3.37226 10.5195 49.57 0.254055 44.3587 17.5669 8.59965 -52.83009 -361.6177 -414.4477
168900 145.074 11.6671 3.92633 9.46955 4.28191 5.77243 0.0107696 105.523 31.1943 7.6781 2.98415 0.278315 0.709506 0.669532 0.402768 26.9736 7.79726 0.0597771 0.1475 2.68899 4.22589 38.232 0.56942 29.7423 12.6125 3.46654 -50.00802 -364.3813 -414.3893
47000 1444.08 11.9123 4.04728 17.9226 3.6869 7.20721 0.00567727 177.219 39.8826 5.28082 1.598 0.451337 0.544619 0.707071 0.411301 23.162 4.57268 0.338007 0.101003 7.97985 9.63412 53.5863 1.58404 74.5996 17.8888 3.83661 -53.24913 -362.783 -416.0321
64700 100.749 15.6651 3.41688 9.76824 3.24589 6.75474 0.0148173 82.7077 15.4656 7.79083 1.40237 0.241801 0.602138 0.723928 0.626611 32.3022 6.35402 0.498652 0.161506 1.66333 2.26488 73.2045 0.942259 64.6161 21.3244 11.0999 -52.92572 -361.9946 -414.9203
108800 3270.72 16.4652 3.7235 11.5351 3.82078 11.1543 0.0265519 128.036 17.0955 6.25233 1.50552 0.198118 0.456233 0.70658 0.410004 22.0377 7.32928 0.299345 0.260464 7.54527 12.0332 28.6548 0.630059 61.199 17.0699 4.67428 -54.49576 -369.1173 -423.613
85300 598.768 10.8098 3.62423 7.9623 4.46999 7.04613 0.0152715 143.242 32.0449 9.85419 2.31203 0.301215 0.527705 0.922312 0.387657 27.8506 8.69277 0.0771013 0.499688 5.02295 9.03494 32.9954 0.187522 45.201 23.8507 7.9839 -57.29761 -362.0345 -419.3321
78100 456.982 7.11469 3.69658 13.2879 3.98517 6.62065 0.00828577 164.159 37.6109 6.3626 1.65458 0.123735 0.922882 0.799795 0.521066 24.9785 4.04395 0.477683 0.0692929 5.50271 9.51546 39.3978 0.796016 99.3772 14.5141 3.02522 -53.73746 -366.9198 -420.6572
177000 1263.91 12.5643 3.12883 18.9489 4.67551 5.51625 0.0045144 153.129 21.4811 4.59391 1.39786 0.217784 0.752948 0.690923 0.509722 28.2696 9.21631 0.572672 0.133497 1.91258 6.13822 83.9765 0.586604 48.2402 11.4286 4.70245 -54.1792 -364.8368 -419.016
50600 687.14 20.7481 2.97282 15.6991 4.82625 8.92417 0.0297368 86.1809 6.47676 9.16138 2.22322 0.258895 0.420263 0.728067 0.815613 23.1431 9.76272 0.413669 0.264634 2.18954 4.89562 39.9706 1.32659 36.9338 17.4799 4.30823 -55.03783 -364.362 -419.3998
121500 1156.37 11.7138 2.94812 17.6006 2.89178 6.94191 0.0108397 129.424 22.6614 11.2447 1.07909 0.326111 0.753647 0.765871 0.555505 25.431 8.71619 0.540428 0.39212 9.23889 8.61861 62.5723 0.59117 52.6621 13.0804 4.80188 -54.65033 -366.2433 -420.8936
122100 614.207 19.7115 3.92971 8.64139 2.59607 9.40815 0.015008 151.8 28.499 4.92474 2.74835 0.300498 0.802305 0.713453 0.373788 24.5333 4.54118 0.165272 0.0674429 5.24805 11.6901 47.1826 1.50734 43.4072 26.32 8.51635 -55.17249 -363.7304 -418.9029
128700 814.021 15.6391 3.79088 13.5292 4.518 8.60399 0.0227067 88.8125 6.13538 6.37228 1.55001 0.506234 0.504472 0.685829 0.56208 16.8151 2.65014 0.252756 0.162867 2.3351 4.75153 58.1105 1.4822 42.5985 21.4158 6.35758 -53.67594 -361.2356 -414.9115
46800 187.755 11.2977 3.71618 15.5179 3.61161 7.33478 0.0177938 109.676 25.3348 6.04532 2.54032 0.048765 0.80608 0.653519 0.478278 28.3119 4.5654 0.1622 0.299285 5.83729 6.50454 46.9125 0.330226 30.8996 25.9485 5.85705 -51.56375 -363.7481 -415.3118
