"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 86.549 10.1828 3.81654 16.568 3.11019 5.89185 0.00469208 104.153 9.52363 8.94166 1.24138 0.229742 0.838826 0.115808 19.7058 4.72426 0.349284 0.337484 7.10933 5.2202 25.4751 1.46475 39.8214 5.22048 37.4163 -48.78634 -293.6538 -342.4402
66300 261.815 14.6963 2.65824 16.3222 3.76615 5.22531 0.0109208 99.3916 5.56832 4.41829 1.68067 0.472487 0.688356 0.150294 18.0921 2.59623 0.207968 0.162866 2.27169 4.0011 25.2119 1.60074 40.6312 5.97296 10.631 -47.05959 -300.9867 -348.0463
200000 533.252 13.0639 2.84819 12.9383 3.85545 6.70285 0.00494964 113.805 11.7028 6.09698 1.95416 0.729085 0.630283 0.0850054 17.4752 2.59363 0.171907 0.121006 3.88245 5.58886 27.3926 1.41828 41.2181 4.02085 8.26559 -47.23426 -294.9209 -342.1551
161800 33.3896 12.5777 4.46903 9.57076 3.93635 8.13404 0.00341102 72.5807 7.02605 9.34379 1.84004 0.45999 0.805115 0.176467 18.921 4.56869 0.381038 0.0945031 12.8365 5.00291 25.337 1.17414 28.5191 4.9944 29.463 -47.19006 -294.3335 -341.5236
170600 102.547 7.53403 2.84002 15.1517 4.01736 5.5488 0.00418354 85.2237 11.6952 6.48691 2.93087 0.246014 0.608643 0.259717 18.1106 3.118 0.158946 0.290863 9.98452 2.23971 33.3499 1.23418 28.9142 4.57926 17.7048 -48.10844 -292.1771 -340.2855
168200 83.9832 15.3954 3.00025 19.6912 2.98318 11.5464 0.0112133 85.3695 8.35286 7.05 1.54055 0.591314 0.698797 0.149005 21.1848 4.67331 0.130658 0.0650153 6.94912 3.31052 15.7102 1.26205 38.774 4.24594 11.269 -45.95597 -296.4804 -342.4364
67100 80.0789 16.9558 3.03576 10.4524 3.27474 10.7762 0.0104609 83.2326 10.2419 5.45031 2.42548 0.493613 0.645423 0.260444 19.4243 4.54847 0.079567 0.100032 5.62378 4.39549 31.1746 1.12648 26.2717 5.64467 18.4993 -45.48884 -296.3011 -341.79
106100 150.671 9.55023 2.97038 13.3681 5.79698 7.22631 0.00967369 97.7785 9.61871 6.82837 1.34586 0.656471 0.612361 0.0692755 21.3564 5.0797 0.0992188 0.128762 4.70112 8.86019 25.7592 1.2821 26.0838 4.50987 29.837 -48.92039 -293.8716 -342.792
168900 58.8791 13.4959 3.45656 10.2924 2.88793 5.1544 0.00335734 87.0468 12.6524 8.05214 2.37273 0.335743 0.601573 0.375932 16.4398 2.18152 0.636741 0.0732111 4.26777 3.19144 40.3522 1.21647 28.141 4.24376 22.0385 -49.67061 -296.5153 -346.1859
47000 14.8166 7.72311 4.39079 13.1872 3.39606 7.02956 0.00645159 80.3525 5.64632 7.82881 2.02131 0.309854 0.789168 0.169229 21.0743 2.2758 0.250044 0.189241 5.37205 6.44588 24.5668 0.798551 31.9624 4.88217 22.1243 -45.40474 -295.9367 -341.3415
