Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.588936	17.2891	4.75841	0.422138	0.16471	4.67467	6.85137	34.8865	0.291559	34.7778	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.552544	15.0265	3.74306	0.438513	0.125386	2.76861	2.86709	17.0078	0.0295856	44.1738	2.14616	0.875481	116.788
2	682.408	9.96419	2.31337	17.693	4.34434	7.30107	0.0092755	140.188	10.8415	8.84514	2.56389	0.547946	0.418255	0.605499	0.0105348	16.4757	4.0235	0.194627	0.349508	4.08921	7.30142	40.5977	0.506112	21.15	2.94866	1.73541	682.408
3	625.913	16.6279	2.2081	13.5028	4.24239	13.9855	0.00553922	143.962	41.7371	8.52766	1.99127	0.294381	0.33567	0.707872	0.397775	18.0072	3.30864	0.411916	0.110642	3.60408	2.40367	18.8235	0.419229	69.8344	1.468	0.104744	625.913
4	1426.53	7.07333	2.78551	9.67359	4.63439	7.98251	0.00523025	108.954	8.09146	6.55703	1.66212	0.44986	0.535879	0.7735	0.126211	15.6447	7.12514	0.676287	0.250599	5.79297	3.92462	20.2961	0.400126	10.8342	11.0219	0.278098	1426.53
5	1211.02	8.01643	3.46345	15.7089	5.63226	16.4562	0.0186186	143.702	28.8164	8.21478	2.3582	0.288291	0.37282	0.632069	0.429844	16.1997	4.08711	0.163161	0.176071	3.5716	3.18366	22.5512	0.82433	29.6376	18.8094	1.47993	1211.02
6	1026.74	15.3803	3.58639	12.2792	2.01337	6.75791	0.00587743	142.274	18.9678	6.95812	1.38992	0.21043	0.342289	0.653921	0.363759	16.6136	3.73324	0.594615	0.356127	13.3295	9.12783	2.67079	0.123188	50.347	2.32358	0.271143	1026.74
7	21.6086	10.5484	2.98948	13.3821	3.04845	9.73693	0.00484618	103.187	22.607	6.67364	2.76111	0.173113	0.866219	0.727251	0.785952	13.5316	6.83937	0.425265	0.109757	7.89793	12.9004	22.7218	0.484712	39.5258	0.565277	27.7432	21.6086
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	77.2072	39.3543	7.37764	1.05942	0.443423	0.577325	0.725334	0.394309	19.6569	5.01673	0.809036	0.462445	5.72393	2.60693	46.3942	0.673622	66.1844	0.980993	0.541986	150.961
9	145.661	19.1193	3.72563	9.53807	4.76567	11.8287	0.013011	169.63	10.1598	6.4562	1.24599	0.394816	0.30299	0.674161	0.292325	18.6216	6.15094	0.560621	0.277248	6.72173	1.53695	10.1596	0.73131	27.5482	0.270266	37.9044	145.661
10	1320.24	7.35828	1.77797	14.6146	4.65076	17.3857	0.0197249	154.679	16.3014	7.68232	2.56586	0.196747	0.453184	0.738886	0.697594	17.6536	6.00688	0.473479	0.109326	2.16602	7.67083	35.1077	0.152697	52.8806	6.85183	5.99601	1320.24
11	3985.78	9.48305	2.81049	18.4885	5.77091	8.37933	0.00581434	169.791	28.1788	4.54212	1.63457	0.395264	0.285169	0.83129	0.420921	18.1935	4.28843	0.756423	0.076256	5.76534	3.25462	37.2862	0.789917	12.0251	1.82781	29.661	3985.78
12	204.956	18.433	1.85091	7.94746	4.39219	7.87067	0.00865893	62.6098	4.87768	9.15598	2.88018	0.26785	0.409697	0.623511	0.354449	20.3138	5.30451	0.403588	0.502005	5.01587	8.88552	7.8945	0.324297	37.0761	0.203855	29.1171	204.956
13	455.496	20.8231	1.82196	14.2054	3.49596	12.5382	0.00316943	179.509	15.5407	6.52724	1.43935	0.523246	0.822671	0.765799	0.785713	18.3803	4.89784	0.33479	0.292656	3.07664	6.85242	43.4157	0.353347	22.8568	0.695471	0.956181	455.496
14	15.4439	13.1231	2.21284	17.2866	3.54396	10.4551	0.008232	109.591	20.9992	11.6378	1.443	0.460714	0.173674	0.709655	0.753159	16.3781	3.2858	0.32689	0.183109	4.5392	4.96604	33.911	0.299803	55.857	0.152657	4.76014	15.4439
15	659.758	10.7497	3.21861	13.3071	4.56359	15.4057	0.0120646	91.297	15.5834	3.38612	1.62506	0.0841518	0.300639	0.730946	0.035923	21.3672	3.20586	0.753398	0.113804	4.23322	12.1473	53.6268	0.275195	25.5681	2.46804	0.838943	659.758
16	13.1033	8.48746	2.843	17.9436	4.55393	7.18632	0.00696816	123.427	34.2621	6.76196	1.60693	0.375443	0.387431	0.7054	0.116337	19.9335	4.69264	0.411009	0.364958	5.89644	13.8463	36.2851	0.347957	54.7394	0.437558	2.31117	13.1033
17	2202.53	7.67397	2.12811	16.1253	3.69153	11.0573	0.00197204	115.295	15.7829	5.74258	1.18566	0.110275	0.467814	0.661638	0.0465156	16.2969	6.21999	0.751829	0.946255	4.66834	9.87522	49.4122	0.504233	51.0595	2.22054	25.9553	2202.53
18	6186.51	16.0961	3.20062	7.4979	3.21656	13.4542	0.00647645	124.101	29.195	6.56429	1.89723	0.370766	0.391508	0.800119	0.542041	18.1066	7.82219	0.660791	0.158471	4.95488	2.8872	36.3008	0.723928	29.0482	9.86882	0.304145	6186.51
19	244.972	11.2644	2.60704	12.1735	4.17428	19.3583	0.0104113	104.784	14.7151	6.92089	1.63038	0.557638	0.416141	0.710969	0.198726	20.91	1.56744	0.467091	0.26795	12.1151	11.5542	30.1237	0.447522	15.9016	13.3023	6.2404	244.972
20	5.05822	7.55218	2.64467	11.2407	3.3767	9.70469	0.0146489	135.5	28.745	11.1766	1.71264	0.305722	0.791247	0.818836	0.916154	20.0522	4.35134	0.0721417	0.189394	3.68591	3.50006	34.4434	0.60868	26.0604	2.09966	23.9289	5.05822
21	379.628	15.4521	3.08993	11.3887	2.42177	12.0605	0.0410743	170.283	31.8787	8.1062	2.3391	0.300884	0.540516	0.742595	0.412765	16.7918	4.31309	0.506128	0.357049	4.87684	7.07007	53.158	0.992547	33.7263	0.26266	23.1008	379.628
22	75.5692	17.7882	1.9026	11.6285	4.38228	25.795	0.0111521	168.849	6.99501	2.9265	2.76875	0.383967	0.863268	0.75145	0.763743	19.5638	5.8359	0.424271	0.321489	7.08377	2.48372	37.841	0.975315	34.9102	6.40384	0.101932	75.5692
23	2362.38	14.8937	2.46664	13.5444	3.73615	11.9163	0.0163977	132.309	17.8997	10.8172	2.0091	0.146669	0.278652	0.852898	0.504855	18.8101	5.02785	0.295525	0.287365	6.46331	7.73399	46.8272	0.46545	50.3664	0.210327	3.87567	2362.38
24	605.208	9.87594	2.62376	12.5286	3.93902	13.9741	0.0191282	127.84	32.9808	7.95746	2.93114	0.394133	0.735006	0.774399	0.224506	14.5463	3.43	0.716402	0.106758	13.1196	6.73711	19.0937	0.464278	52.5899	0.593518	6.55901	605.208
25	3041.12	9.1051	2.17099	17.9689	3.36548	7.38725	0.00974457	160.928	22.6939	7.16359	2.1689	0.13563	0.492276	0.785516	0.244798	19.5139	2.90051	0.483185	0.360784	10.8092	9.20029	46.0567	0.379452	19.6262	38.0783	20.1707	3041.12
26	809.111	11.5316	3.98879	11.6878	4.09883	13.6543	0.0185786	139.564	20.8789	8.14071	2.62774	0.0835377	0.744668	0.740531	0.455501	18.1122	3.71122	0.564534	0.105253	8.07572	7.5941	17.3175	0.631297	48.6322	0.161497	2.84447	809.111
27	15.6124	12.9963	3.22349	13.7358	3.65185	12.2447	0.0147838	157.815	9.04508	4.30598	2.23099	0.14928	0.348151	0.670945	0.853437	18.9901	6.22746	0.615234	0.244001	5.33148	12.6477	26.4277	0.965912	15.0186	9.4236	6.2792	15.6124
28	2405.02	8.72047	3.32643	17.5265	5.31558	22.6646	0.00633032	134.114	4.10286	5.51512	1.25801	0.197729	0.938115	0.737306	0.332939	17.6825	1.63678	0.425243	0.120131	9.5981	10.0766	35.8744	0.516777	62.0169	0.244863	0.180237	2405.02
29	5136.24	12.475	3.47644	17.6554	5.07352	14.504	0.011544	92.5685	6.89445	3.87829	2.42972	0.391595	0.905028	0.719668	0.619189	18.9325	4.54757	0.648789	0.433149	11.1925	9.20545	20.0776	0.567644	45.0276	2.55423	4.82383	5136.24
30	4859.01	11.5657	2.35912	13.183	4.72229	14.8663	0.0138022	157.257	35.7347	3.90776	1.72405	0.288488	0.38023	0.678332	0.494174	17.3	4.65752	0.700035	0.262688	8.54991	3.6661	30.6503	0.556569	28.0355	6.0574	37.0765	4859.01
31	632.547	8.04978	3.74026	13.5611	3.71304	24.535	0.00434834	171.129	31.0212	4.66585	1.12142	0.118	0.135398	0.66331	0.781144	17.217	3.27502	0.654129	0.198935	8.03622	5.75782	35.4322	0.260935	27.8847	9.02487	1.20209	632.547
32	65.8378	16.9084	2.53065	12.1011	4.55539	6.11433	0.0224287	134.303	27.1437	11.1553	2.81905	0.482318	0.451795	0.69788	0.315767	19.951	3.72391	0.680144	0.342274	6.84361	3.28779	54.6635	0.669267	28.04	0.164264	0.375502	65.8378
33	2.14164	17.9511	2.5076	9.4775	4.88125	18.3136	0.00435681	79.4244	8.88786	10.1713	1.72399	0.31908	0.602421	0.760057	0.654044	18.4782	5.34432	0.0620973	0.287968	4.65803	8.16505	30.2126	0.464559	93.4422	0.569274	6.91357	2.14164
34	973.843	10.737	2.08165	8.8331	5.51171	17.3357	0.00655979	159.1	13.4766	2.9619	2.15339	0.532711	0.489066	0.683714	0.919687	17.9539	3.69372	0.0553736	0.0878528	7.50563	10.6112	30.1165	0.525287	56.9499	28.3404	0.897911	973.843
35	1555.24	13.7773	3.84803	15.2037	3.48572	10.4388	0.0119259	84.7898	35.2816	7.20393	2.64677	0.47505	0.543279	0.630592	0.194276	17.4779	5.11523	0.467499	0.1603	5.61638	8.74742	23.9371	0.709302	28.2797	0.519364	0.654602	1555.24
36	990.001	11.989	3.16809	12.3046	3.18715	5.45711	0.0134483	176.002	16.7955	8.96357	2.42035	0.0894231	0.488496	0.731924	0.676707	18.8146	5.73317	0.284873	0.154075	13.2012	6.20078	57.1022	0.67184	52.0415	0.161721	1.5125	990.001
37	888.475	12.311	4.04287	11.4026	4.44063	7.13671	0.0208223	101.813	18.4172	9.87458	1.52581	0.52773	0.351888	0.747209	0.366092	17.2612	5.71734	0.224323	0.219864	4.70358	6.19322	32.1592	1.07679	27.8257	2.23127	1.49598	888.475
38	7198.31	13.8379	2.68273	12.1654	4.51577	12.4946	0.00766301	80.7596	40.1314	5.45396	2.35148	0.543644	0.595754	0.76166	0.293288	18.4317	3.20167	0.689996	0.861897	5.42646	11.4079	51.524	0.448278	32.6249	0.378574	0.756122	7198.31
39	666.692	9.08967	3.44865	15.9679	4.49867	12.0019	0.00636778	154.773	40.2543	8.68811	2.50527	0.544159	0.411605	0.648778	0.679792	19.6976	5.98953	0.471066	0.0807264	6.26717	6.23628	16.8741	0.0945221	32.8951	0.47995	25.0103	666.692
40	3679.6	19.7361	3.14895	12.889	2.97772	7.18048	0.00431905	137.718	16.7345	9.55149	1.51947	0.488928	0.183121	0.674574	0.689188	16.4335	5.45846	0.787711	0.181425	3.35374	3.03421	36.2561	0.572049	47.0847	0.123202	0.599872	3679.6
