Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	1108.79	14.3008	3.29505	14.6214	4.65137	5.76548	0.039263	88.6129	5.4348	8.19875	1.9879	0.236148	0.722335	0.684625	17.006	2.94968	0.761703	0.522558	5.80716	4.94777	54.5658	0.478418	40.2804	0.0699262	0.21499	0.173446	0.0208054	0.363366	0.139678	0.0390875	17.006	54.5658	0.478418	40.2804	0.924198	0.0295688	0.000191221	0.000209289	0.000237775	9.30511e-05	0.000230372	0.032275	0.0119824	0.00132498	0.684625	0.749314	0.522558	0.0208054	0.363366	0.139678	0.0174914	12.2192	0.0292888	0.879628	0.81295	120.548	1e-15	0.0111551	0
1	447.773	8.05809	3.65946	11.5453	4.63401	5.30842	0.0434188	88.9035	5.34464	9.30807	2.38389	0.351902	0.79897	0.626874	16.609	4.04347	0.511776	0.614999	1.34879	4.45176	29.7216	0.383884	30.5681	0.124099	0.215796	0.18838	0.030206	0.335154	0.0843286	0.0597099	16.609	29.7216	0.383884	30.5681	0.957415	0.0065619	9.99486e-05	0.000159656	0.000117413	8.95683e-05	0.000197728	0.0219032	0.012415	0.00116638	0.626874	0.787411	0.614999	0.0302059	0.335154	0.0843285	0.0163209	8.89116	0.0470163	0.736286	0.704931	120.263	13.4501	0.0137743	0.00115079
2	2015.02	9.78693	3.0857	15.1515	3.76906	5.97888	0.0278261	92.1608	5.61203	9.39866	2.1444	0.500809	0.751426	0.556258	17.6698	3.37811	0.48334	0.297812	1.9392	5.75513	59.4644	0.31497	39.865	0.102177	0.265318	0.167255	0.0400398	0.350413	0.115918	0.0340626	17.6698	59.4644	0.31497	39.865	0.926586	0.0120221	0.000237133	0.000100572	0.000340136	5.98444e-05	0.000221347	0.0473295	0.0124303	0.0012382	0.556258	0.753151	0.297812	0.0400398	0.350413	0.115918	0.0140357	10.2802	0.0256543	0.893362	0.827777	125.505	12.925	0.0138629	0.00121887
3	1814.43	12.1403	2.62748	16.4037	5.86967	5.34719	0.0390363	93.7693	5.80963	3.73604	1.03311	0.453532	0.730508	0.74035	17.6877	4.37062	0.439243	0.470076	2.13017	5.06024	28.0471	0.647869	54.5109	0.0823703	0.170367	0.187014	0.0886791	0.707096	0.260855	0.0299552	17.6877	28.0471	0.647869	54.5109	0.943029	0.0166292	0.000180791	0.000160342	0.00012703	2.9218e-05	0.000189205	0.0262298	0.0127134	0.00122063	0.74035	0.876297	0.470075	0.088679	0.707095	0.260855	0.0153752	14.9039	0.0262496	0.751988	0.709147	116.773	12.316	0.0140984	0.00120457
4	442.596	9.77502	3.31487	15.2558	4.60965	5.37951	0.0431466	89.6074	6.84068	7.87289	2.08674	0.497592	0.723016	0.690833	18.1666	4.93375	0.353407	0.593329	3.64792	4.95373	29.2615	0.256105	46.0739	0.102302	0.216936	0.185891	0.0456969	0.346481	0.132735	0.0403914	18.1666	29.2615	0.256105	46.0739	0.952872	0.0110104	0.000100594	0.000146755	0.000112229	7.19934e-05	0.000181369	0.0221425	0.0122316	0.00125451	0.690833	0.877472	0.593326	0.0456967	0.346479	0.132734	0.0172084	11.7472	0.0354423	0.731117	0.696661	109.878	13.3951	0.0136474	0.00123751
5	1431.95	7.29438	3.48245	8.73382	5.52989	6.25757	0.0340086	89.4144	4.52717	9.38898	2.18264	0.436468	0.680117	0.653136	17.4961	3.81235	0.862952	0.508594	2.39706	3.28623	41.8517	0.307863	41.2537	0.137092	0.180835	0.159806	0.0316168	0.311603	0.146558	0.0637199	17.4961	41.8517	0.307863	41.2537	0.946429	0.00710257	0.000225225	0.000233098	0.000251024	9.82271e-05	0.000267311	0.0324875	0.012171	0.00113716	0.653136	0.6924	0.508594	0.0316168	0.311603	0.146558	0.0138269	6.63703	0.0441196	0.751712	0.711442	139.474	14.5216	0.0135557	0.0011244
6	1479.15	11.6422	2.65741	11.6641	4.07123	5.34273	0.0418958	90.4568	6.20931	9.74879	2.14074	0.407896	0.81379	0.713441	16.7092	4.75062	0.65585	0.43776	9.87235	6.47945	45.9918	0.304622	57.8823	0.0858944	0.245626	0.18717	0.0340495	0.380144	0.0869839	0.0426426	16.7092	45.9918	0.304622	57.8823	0.945022	0.0126255	0.000143914	0.00011205	0.00018603	6.30318e-05	0.000173386	0.029809	0.0109639	0.00131588	0.713441	0.801355	0.437759	0.0340495	0.380143	0.0869838	0.0195608	9.18885	0.0341719	0.798047	0.754172	116.529	14.9574	0.0123795	0.00129139
7	1071.27	14.92	2.4429	9.12337	2.17742	5.80115	0.0359997	91.6464	6.62509	8.92385	2.03813	0.764291	0.71069	0.703555	17.6964	4.30466	0.476461	0.253634	8.16814	6.38383	46.845	0.326168	52.5343	0.0670241	0.459259	0.17238	0.0608677	0.348697	0.141949	0.0461569	17.6964	46.845	0.326168	52.5343	0.943885	0.0116273	0.000128826	4.37778e-05	0.000283397	4.3038e-05	0.000196245	0.032251	0.0105183	0.00132365	0.703555	0.845753	0.253633	0.0608673	0.348695	0.141948	0.0183044	7.21571	0.0390373	0.901354	0.850775	129.574	15.2702	0.0118814	0.00129859
8	1478.9	16.1248	3.2076	10.741	4.41012	5.29097	0.0314943	91.8439	5.94678	7.20487	1.2824	0.422144	0.76007	0.618055	17.1599	3.93087	0.748972	0.381178	5.46191	5.89541	46.8159	0.394583	43.9207	0.0620163	0.226751	0.189001	0.0445336	0.592693	0.187095	0.0564417	17.1599	46.8159	0.394583	43.9207	0.926898	0.0183562	0.000209524	0.000129059	0.000227655	3.87247e-05	0.000185018	0.0405106	0.0125961	0.00126419	0.618055	0.697405	0.381177	0.0445336	0.592693	0.187094	0.0158212	8.25729	0.0393627	0.861267	0.798306	123.39	12.2529	0.0139859	0.00124549
9	1420.31	13.518	3.08668	7.62695	3.96721	6.06638	0.0382936	87.8884	6.23426	5.99549	2.62969	0.577022	0.614152	0.698177	17.3945	4.40821	0.895868	0.394727	13.2575	8.66783	33.1773	0.46475	50.4455	0.0739754	0.252066	0.164843	0.0591076	0.233545	0.146728	0.0667131	17.3945	33.1773	0.46475	50.4455	0.944312	0.0108015	0.000173134	0.000112908	0.00022108	8.04295e-05	0.00020545	0.0314169	0.0116782	0.00139677	0.698177	0.724793	0.394726	0.0591076	0.233545	0.146727	0.0173476	6.39481	0.0483532	0.835703	0.789165	133.719	16.1788	0.0130723	0.00136187
