"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 7138.29 8.79432 4.02245 17.2608 4.46234 6.72119 0.0122166 99.5084 9.81189 7.89878 2.55012 0.0875569 0.16648 0.796245 0.187362 18.7243 4.73336 0.128009 0.259586 6.11916 10.5493 33.0875 0.760961 43.6223 5.18269 3.65903 -47.60614 -1084.444 -1132.05
66300 2425.74 18.8718 4.28389 15.2625 2.5419 7.46955 0.00982977 93.3985 6.25706 8.22392 1.52417 0.30827 0.30009 0.64963 0.248493 20.2136 3.51332 0.268713 0.088653 1.50981 6.53186 29.9896 0.598963 48.4585 6.5693 2.36972 -45.36062 -1081.162 -1126.522
200000 2841.6 19.6652 4.41857 11.9135 4.01711 7.81998 0.0140652 85.6283 4.88413 6.01179 2.82028 0.281389 0.221028 0.721117 0.263483 17.8596 3.31916 0.117212 0.143213 6.11889 6.7692 42.47 0.539493 39.1754 8.03575 2.71339 -47.0713 -1084.03 -1131.102
161800 4662.62 15.9212 3.58412 15.4301 3.70466 8.28498 0.0173092 95.9056 7.34113 5.31117 2.48093 0.258564 0.35717 0.727847 0.266642 20.1448 5.10525 0.15437 0.0682918 3.25747 8.33087 25.5818 0.659693 50.0603 4.67997 2.78368 -44.4738 -1083.377 -1127.851
170600 562.995 16.153 3.93517 8.53569 2.60596 8.21232 0.0175793 82.8147 7.06233 7.92401 2.90671 0.0209819 0.264571 0.772401 0.335169 24.7701 2.99078 0.137884 0.215328 3.23518 6.14895 26.3421 0.523309 46.4571 4.06889 2.82719 -49.01431 -1086.093 -1135.108
168200 427.172 12.5731 4.11868 12.8146 2.58759 5.6896 0.0154277 93.3088 8.67882 7.16727 2.59709 0.443537 0.736979 0.674243 0.282869 20.5792 5.35236 0.144021 0.0931101 3.59629 7.71489 29.3687 0.336341 42.377 6.30709 3.40199 -43.11445 -1083.998 -1127.113
67100 1054.94 7.26047 4.085 14.0797 3.42629 6.33104 0.0105758 87.3141 7.6723 8.55054 1.49032 0.303617 0.289132 0.723674 0.280297 21.8815 4.24664 0.143798 0.151762 5.22158 7.33293 35.2589 0.474382 39.4967 4.08567 2.27486 -41.30602 -1082.038 -1123.344
106100 2927.83 7.55565 3.51635 12.0313 2.74315 7.33915 0.0169929 87.4036 12.7387 9.57465 1.57299 0.538111 0.648713 0.707342 0.269912 21.2248 3.87783 0.0535391 0.102993 10.8297 11.5797 31.5799 0.513975 41.2564 5.35683 2.77557 -47.36387 -1083.886 -1131.25
168900 3282.52 11.1581 3.77688 9.95643 3.79646 7.31458 0.0130745 88.5851 10.1644 10.1752 2.28428 0.332542 0.593529 0.623753 0.282618 20.1557 6.28596 0.14648 0.0770198 9.32365 11.1375 34.333 0.780351 53.8549 4.96826 2.879 -48.02311 -1080.185 -1128.208
47000 767.539 14.9501 3.81716 13.7577 2.14024 8.18472 0.0236263 91.0472 6.95172 5.34613 2.01496 0.33795 0.597169 0.688856 0.45602 19.1243 5.71812 0.375274 0.254313 3.53655 6.18945 29.5357 0.930696 52.0498 6.75189 2.81212 -47.97865 -1089.487 -1137.466
