"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 902.376 14.0118 2.55592 15.4594 3.11061 5.42627 0.00852217 109.682 9.28386 6.03147 2.00479 0.421007 0.786763 0.5587 16.7651 8.68088 0.333025 0.151863 2.81737 8.48271 31.4056 0.353121 43.6937 4.74695 10.2673 -45.49039 -780.5409 -826.0313
66300 583.441 17.6244 4.26071 16.1147 4.87089 9.10549 0.0126287 112.044 12.4371 4.15971 2.52473 0.406032 0.661893 0.570642 15.7085 6.26468 0.924842 0.318087 5.73676 7.46409 45.1806 0.655231 50.8541 6.04297 12.8052 -49.62493 -784.1322 -833.7572
200000 336.953 9.45256 3.33342 12.5929 2.30425 10.2362 0.0100875 112.178 12.2878 6.29292 2.81186 0.610323 0.660273 0.638414 18.5284 4.422 0.574854 0.358767 1.47312 1.56197 40.097 0.669466 46.9554 6.40778 10.0468 -47.26836 -786.0612 -833.3296
161800 469.22 14.7994 2.51907 18.0657 3.3265 6.63323 0.0116766 108.777 11.3812 5.68838 1.64647 0.601117 0.633897 0.658544 19.9152 8.6492 0.269915 0.247865 1.88985 7.26048 37.1424 0.372612 41.4408 4.0387 9.98007 -46.60316 -784.135 -830.7381
170600 1318.07 13.8015 2.42687 16.5992 4.8635 5.26615 0.00962892 113.324 10.9308 6.17029 1.81137 0.476763 0.727786 0.598392 19.9331 3.10983 0.293385 0.25757 5.02196 8.50782 35.1644 0.365969 54.8183 5.23995 9.59675 -46.46123 -782.0913 -828.5526
168200 1672.11 19.6021 2.44584 14.1844 3.76341 5.97861 0.0087894 112.477 9.92239 4.63314 2.12543 0.420049 0.689758 0.637712 16.8882 5.19974 0.605423 0.158384 3.05623 9.65421 44.3587 0.692652 36.9834 6.10022 8.70359 -45.51636 -778.2475 -823.7639
67100 3595.34 14.0234 2.23112 14.9915 3.93881 8.06286 0.00857277 109.872 10.2497 7.94898 2.06366 0.420903 0.789314 0.644022 18.7963 3.98594 0.489922 0.0791433 8.92251 10.6356 52.7749 0.582975 43.0903 6.18291 8.47385 -48.00161 -782.2921 -830.2937
106100 1173.11 15.9329 2.75562 11.2494 3.68383 5.12399 0.00780809 114.141 10.3132 7.1582 2.15359 0.551506 0.677569 0.570753 18.5513 5.70415 0.658081 0.186802 5.11704 10.6906 35.6667 0.540528 42.6736 6.31898 8.9328 -43.96071 -778.7883 -822.749
168900 1589 12.594 3.03781 13.2668 3.88745 5.8621 0.00883624 114.928 10.3554 7.4135 2.20419 0.554438 0.72573 0.593981 15.4025 2.91331 0.961369 0.183531 2.12611 8.42078 34.1776 0.474432 44.9869 6.00126 9.35328 -47.03841 -779.6281 -826.6665
47000 1620.61 9.80649 2.02127 14.6043 4.37901 6.44334 0.0121992 108.907 10.2542 5.17351 2.73696 0.482845 0.664871 0.795563 18.3072 5.80816 0.673342 0.202917 1.84133 7.94625 47.838 0.855453 39.5056 5.46145 8.2072 -47.00998 -781.996 -829.006
64700 2052.42 19.2127 1.79863 11.9698 3.78242 6.92034 0.0127099 108.67 10.4922 7.23207 2.53495 0.634133 0.791809 0.781387 16.2447 6.39148 0.146836 0.190609 8.50229 8.75104 35.4124 0.866906 53.3093 7.16212 15.5191 -49.232 -783.4387 -832.6707
108800 1574.36 8.76846 2.68086 10.0315 4.22022 7.84756 0.00941528 114.712 11.1266 5.31592 2.08115 0.463904 0.621767 0.612313 21.5107 7.48264 0.625385 0.215684 4.19015 8.0921 46.2414 0.722948 56.459 6.10503 11.501 -47.03976 -780.5603 -827.6001
85300 624.408 8.00847 3.39375 15.6041 4.88638 6.19473 0.0108742 118.98 11.6721 6.58935 1.97666 0.65918 0.753864 0.404235 21.5294 3.21689 0.21497 0.274416 2.66382 9.42429 46.0535 0.521786 47.4981 4.18912 13.9374 -47.57198 -779.9081 -827.4801
78100 1090.16 13.5651 3.23304 18.6908 4.16353 7.41369 0.0127579 118.387 11.3975 5.89032 2.01863 0.569639 0.76374 0.436532 18.0027 5.17973 0.206055 0.314495 2.51147 10.3416 47.6097 0.882971 51.6852 6.98541 12.2981 -48.01569 -780.9411 -828.9568
