"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,1.90367624999992e-15
4,"CumDeath",0,0,0,0,0,0,3.170272e-11,2.09360149999999e-10,7.07044675e-10
5,"CumDeath",0,0,0,0,0,1.69056e-10,9.298843e-10,2.021554e-09,3.643598e-09
6,"CumDeath",0,0,0,0,2.241705e-10,1.4114475e-09,3.769848e-09,6.641554e-09,9.72769549999998e-09
7,"CumDeath",0,0,0,2.05296e-10,1.25822e-09,4.15335e-09,1.060119e-08,1.5016395e-08,2.280787e-08
8,"CumDeath",0,0,0,9.71979e-10,3.553905e-09,9.36849e-09,1.999989e-08,2.986693e-08,4.108188e-08
9,"CumDeath",0,0,4.339414e-10,2.4740675e-09,7.229085e-09,1.7617825e-08,3.463739e-08,4.986029e-08,6.5779505e-08
10,"CumDeath",0,0,1.639971e-09,4.8586175e-09,1.278155e-08,2.88319e-08,5.74029e-08,8.04053349999999e-08,1.018074e-07
11,"CumDeath",0,1.4009571e-09,3.824299e-09,9.2534075e-09,2.12582e-08,4.7374475e-08,8.616799e-08,1.225655e-07,1.53797725e-07
12,"CumDeath",0,3.1448985e-09,7.387496e-09,1.6167175e-08,3.53249e-08,7.35125e-08,1.293285e-07,1.802674e-07,2.209672e-07
13,"CumDeath",2.654868e-09,8.086849e-09,1.364796e-08,2.70035e-08,5.59441e-08,1.135935e-07,1.912925e-07,2.5237585e-07,3.07224599999999e-07
14,"CumDeath",8.219769e-09,1.470475e-08,2.408526e-08,4.4373475e-08,8.658605e-08,1.691245e-07,2.754031e-07,3.723259e-07,4.264825e-07
15,"CumDeath",2.0531685e-08,2.8189425e-08,3.999763e-08,7.3600175e-08,1.341915e-07,2.50707e-07,3.718464e-07,5.0161125e-07,6.1497175e-07
16,"CumDeath",3.8819995e-08,4.89413e-08,6.763909e-08,1.1686075e-07,2.04531e-07,3.6466925e-07,5.287181e-07,6.4162845e-07,8.28787225e-07
17,"CumDeath",6.81707975e-08,8.289786e-08,1.114776e-07,1.8093825e-07,3.068885e-07,5.0040675e-07,7.187317e-07,8.511763e-07,1.05735175e-06
18,"CumDeath",1.15282725e-07,1.366182e-07,1.798451e-07,2.78983e-07,4.514e-07,7.0336075e-07,9.240672e-07,1.1383765e-06,1.3353365e-06
19,"CumDeath",1.83244825e-07,2.223455e-07,2.755078e-07,4.1148225e-07,6.34415e-07,9.2529175e-07,1.268423e-06,1.535109e-06,1.67485925e-06
20,"CumDeath",2.8463265e-07,3.1609935e-07,3.943528e-07,5.71914e-07,8.50572e-07,1.19722e-06,1.647394e-06,1.926816e-06,2.18896125e-06
21,"CumDeath",3.69655425e-07,4.609017e-07,5.465426e-07,7.8457525e-07,1.1057e-06,1.5112675e-06,2.060224e-06,2.4313725e-06,2.65426825e-06
22,"CumDeath",4.629671e-07,5.8883235e-07,7.200096e-07,1.0116225e-06,1.389325e-06,1.9663125e-06,2.618273e-06,2.9151205e-06,3.247045e-06
23,"CumDeath",5.63474025e-07,7.1164195e-07,8.832907e-07,1.2242525e-06,1.692605e-06,2.38366e-06,3.108921e-06,3.629614e-06,4.00445825e-06
24,"CumDeath",6.97626425e-07,8.5137115e-07,1.037652e-06,1.4607e-06,2.002175e-06,2.846415e-06,3.683801e-06,4.266477e-06,4.63534475e-06
25,"CumDeath",8.874672e-07,1.018331e-06,1.24102e-06,1.7257325e-06,2.329845e-06,3.33675e-06,4.354216e-06,5.0231195e-06,5.40911725e-06
26,"CumDeath",1.093916e-06,1.2165025e-06,1.451667e-06,2.0121925e-06,2.718445e-06,3.8161775e-06,4.936901e-06,5.8649725e-06,6.230321e-06
27,"CumDeath",1.29857425e-06,1.4599965e-06,1.713403e-06,2.3111675e-06,3.127715e-06,4.3447475e-06,5.590953e-06,6.6080305e-06,7.27445625e-06
28,"CumDeath",1.51893725e-06,1.740032e-06,2.031003e-06,2.6695e-06,3.57317e-06,4.9354625e-06,6.45541e-06,7.472762e-06,8.3797195e-06
29,"CumDeath",1.77319225e-06,2.06837e-06,2.359709e-06,3.0828075e-06,4.086695e-06,5.5710175e-06,7.265369e-06,8.409101e-06,9.70028e-06
30,"CumDeath",2.109858e-06,2.4325575e-06,2.757097e-06,3.512895e-06,4.660715e-06,6.279055e-06,8.068058e-06,9.530305e-06,1.126763e-05
31,"CumDeath",2.567911e-06,2.874776e-06,3.149495e-06,3.97128e-06,5.317175e-06,7.0180375e-06,9.041634e-06,1.0896565e-05,1.33827075e-05
32,"CumDeath",3.0089145e-06,3.379568e-06,3.666264e-06,4.517685e-06,5.98905e-06,7.8867575e-06,9.9532e-06,1.2234945e-05,1.49046825e-05
33,"CumDeath",3.50376875e-06,3.9062655e-06,4.214731e-06,5.1151775e-06,6.66005e-06,8.6995175e-06,1.09739e-05,1.3390795e-05,1.667541e-05
34,"CumDeath",4.039372e-06,4.487367e-06,4.859421e-06,5.7811725e-06,7.43601e-06,9.593005e-06,1.204273e-05,1.455748e-05,1.88476825e-05
35,"CumDeath",4.61019175e-06,5.093341e-06,5.52485e-06,6.4758425e-06,8.18125e-06,1.0537725e-05,1.343095e-05,1.596155e-05,2.0548835e-05
36,"CumDeath",5.2623735e-06,5.756222e-06,6.147173e-06,7.250835e-06,9.090525e-06,1.1590275e-05,1.463425e-05,1.7799035e-05,2.2774695e-05
37,"CumDeath",5.99237075e-06,6.4695975e-06,6.886586e-06,8.03914e-06,1.00082e-05,1.260135e-05,1.5836e-05,1.9892465e-05,2.52046975e-05
38,"CumDeath",6.697619e-06,7.1634665e-06,7.682445e-06,8.8770575e-06,1.092505e-05,1.362615e-05,1.719678e-05,2.2053395e-05,2.75512e-05
39,"CumDeath",7.51635125e-06,7.90175e-06,8.534387e-06,9.77504e-06,1.18967e-05,1.4696425e-05,1.840957e-05,2.3572025e-05,2.9022615e-05
40,"CumDeath",8.29372075e-06,8.7053125e-06,9.394041e-06,1.0731775e-05,1.28622e-05,1.594365e-05,1.96626e-05,2.5325915e-05,3.0791875e-05
41,"CumDeath",9.08167125e-06,9.5422595e-06,1.025867e-05,1.1643275e-05,1.39044e-05,1.7058975e-05,2.108193e-05,2.7388925e-05,3.3587765e-05
42,"CumDeath",9.9179595e-06,1.034675e-05,1.107653e-05,1.2573275e-05,1.49445e-05,1.8246225e-05,2.254642e-05,2.9479475e-05,3.68170549999999e-05
43,"CumDeath",1.06620975e-05,1.1176145e-05,1.19547e-05,1.3548375e-05,1.59783e-05,1.92239e-05,2.374412e-05,3.1928795e-05,3.96253424999999e-05
44,"CumDeath",1.1521075e-05,1.2072785e-05,1.284142e-05,1.44991e-05,1.70132e-05,2.04712e-05,2.521897e-05,3.35851799999999e-05,4.213564e-05
45,"CumDeath",1.2306765e-05,1.2925185e-05,1.369969e-05,1.54774e-05,1.80978e-05,2.15297e-05,2.650501e-05,3.5514815e-05,4.45488225e-05
46,"CumDeath",1.30861575e-05,1.3846025e-05,1.450312e-05,1.6341625e-05,1.910375e-05,2.2637575e-05,2.780714e-05,3.738349e-05,4.68939825e-05
47,"CumDeath",1.38629575e-05,1.464894e-05,1.533685e-05,1.7356375e-05,2.00698e-05,2.3876e-05,2.905419e-05,3.9246195e-05,4.913239e-05
48,"CumDeath",1.46149075e-05,1.5490215e-05,1.616537e-05,1.82997e-05,2.1087e-05,2.4998025e-05,3.011508e-05,4.097508e-05,5.16270399999999e-05
49,"CumDeath",1.535436e-05,1.6267925e-05,1.702952e-05,1.9232125e-05,2.20173e-05,2.6132575e-05,3.111421e-05,4.213953e-05,5.40801299999999e-05
50,"CumDeath",1.60825625e-05,1.7026525e-05,1.783002e-05,2.0104225e-05,2.294695e-05,2.714565e-05,3.22982e-05,4.31458699999999e-05,5.63630099999999e-05
51,"CumDeath",1.67958375e-05,1.776329e-05,1.862412e-05,2.097975e-05,2.388035e-05,2.8122625e-05,3.347775e-05,4.40970899999999e-05,5.84728949999999e-05
52,"CumDeath",1.74441275e-05,1.851707e-05,1.944594e-05,2.182425e-05,2.47841e-05,2.9151475e-05,3.462763e-05,4.49962249999999e-05,6.04175924999999e-05
53,"CumDeath",1.809608e-05,1.920755e-05,2.022741e-05,2.2653825e-05,2.564175e-05,3.0032125e-05,3.573648e-05,4.58561049999999e-05,6.21976674999999e-05
54,"CumDeath",1.8754635e-05,1.990876e-05,2.093055e-05,2.3423875e-05,2.646105e-05,3.09142e-05,3.672906e-05,4.66780799999999e-05,6.38241424999999e-05
55,"CumDeath",1.9394985e-05,2.059957e-05,2.16352e-05,2.4222325e-05,2.720045e-05,3.1783675e-05,3.783972e-05,4.74645849999999e-05,6.53045324999999e-05
