"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 4976.04 13.7926 4.29684 18.0297 3.83232 7.3379 0.0279082 119.419 13.7313 5.9136 1.26323 0.636246 0.782626 0.38652 17.0581 3.403 0.583969 0.363382 7.45134 11.9435 25.7285 0.441301 43.6807 18.4471 8.34886 -54.42102 -1123.388 -1177.809
66300 3872.61 10.0697 3.27891 18.0354 3.44237 5.60995 0.0234926 119.501 13.9548 3.6477 1.60422 0.503956 0.797867 0.499201 18.0546 5.31128 0.661955 0.185503 7.39508 12.2446 26.2474 0.293289 25.1038 17.5582 8.6665 -53.21616 -1119.653 -1172.869
200000 4388.06 12.608 3.44385 8.8154 3.32174 6.09742 0.0185817 121.421 13.6347 5.49721 2.48371 0.628268 0.733273 0.405711 19.0172 4.91391 0.379202 0.23451 4.84013 11.4166 27.7731 0.32611 52.5593 14.9127 8.15729 -50.08523 -1119.388 -1169.473
161800 4109.7 16.5085 4.0866 7.15598 3.55533 6.04744 0.0163485 120.178 13.9151 7.04854 1.18959 0.532409 0.635319 0.433474 18.2997 5.59924 0.770903 0.374873 7.88612 12.2956 27.7995 0.329838 31.503 18.9625 8.06071 -53.5303 -1118.441 -1171.972
170600 6674.68 12.5445 3.75718 17.3981 3.78774 7.46234 0.0178212 119.425 13.8981 4.66108 1.93213 0.464274 0.716546 0.474792 18.9845 4.29297 0.755446 0.083549 6.50162 11.8129 68.446 0.497953 42.9172 17.4759 8.0952 -53.79235 -1120.376 -1174.168
168200 6675.51 12.0207 3.86734 15.5266 3.93329 6.98507 0.0234443 119.055 13.8963 10.6645 1.25377 0.402996 0.776995 0.423799 18.7866 5.0213 0.66161 0.624146 7.92246 11.3811 26.1484 0.509051 31.5 18.1004 8.6827 -55.46532 -1117.322 -1172.787
67100 3406.57 11.33 3.81568 14.7022 3.77031 5.20675 0.0179671 116.652 13.0895 9.92447 1.19007 0.479515 0.726222 0.338331 18.1489 4.19366 0.246393 0.490231 6.183 10.2521 29.2843 0.271971 29.9137 14.9134 8.04862 -52.05467 -1118.156 -1170.211
106100 7623.18 17.6352 3.32835 15.3988 4.89968 6.49416 0.0237731 114.365 13.0628 5.04571 1.33987 0.545753 0.676119 0.33408 18.6954 4.35055 0.100412 0.408497 6.68973 11.5186 26.0077 0.266268 20.8479 14.9636 8.00312 -55.21936 -1120.452 -1175.671
168900 1887.2 17.7026 3.82509 11.3194 2.1085 5.40812 0.0141144 121.416 12.8766 5.6413 1.73197 0.549076 0.677176 0.384041 17.2487 5.68023 0.399144 0.20614 3.49233 11.0033 26.8021 0.261351 59.2165 14.1273 8.45101 -50.00815 -1125.057 -1175.066
47000 9252.75 16.7472 3.2994 16.8618 3.37392 6.15858 0.0186538 113.831 13.784 10.7904 1.30127 0.232945 0.718345 0.403981 16.7271 4.27662 0.305032 0.498846 11.2374 10.786 28.7329 0.334855 25.6929 17.0394 8.51883 -55.89434 -1120.822 -1176.716
