"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1384.52 20.2396 2.39836 13.6241 3.70252 6.18759 0.0226351 87.6978 4.70924 11.2326 1.35784 0.249994 0.707094 0.780898 18.4604 4.53045 0.67873 0.405775 3.65487 3.61429 29.1654 0.661259 37.983 12.921 8.10583 -47.7093 -951.6713 -999.3805
66300 1507.43 7.57925 4.14328 9.11786 4.15834 5.44854 0.0149719 119.805 13.5538 9.87437 1.81216 0.499392 0.716278 0.396935 21.3621 3.82859 0.800718 0.258523 4.41492 9.64517 36.0809 0.769805 54.571 17.0111 8.32035 -49.42693 -944.298 -993.7249
200000 290.401 9.09182 4.17381 15.6856 5.12185 7.91759 0.0291431 84.2588 5.63173 8.99163 2.44521 0.50464 0.67064 0.693982 16.7674 3.58155 0.226951 0.618811 10.7541 2.19256 35.8942 0.516191 47.6529 14.5704 8.05367 -48.35652 -949.3325 -997.6891
161800 1818.72 12.2611 4.43087 17.1275 4.0958 5.56504 0.00963267 119.43 13.8629 11.0519 1.71089 0.466819 0.795115 0.327168 20.5906 5.16629 0.598027 0.0505517 6.15388 11.255 33.2453 0.488915 58.4665 22.0043 8.40968 -53.3591 -943.1296 -996.4887
170600 2925.77 7.88811 1.83011 12.2631 2.0144 6.06256 0.0170669 86.6715 4.99007 6.83295 2.70685 0.306413 0.743833 0.80326 20.4024 3.63696 0.564485 0.141871 13.4696 6.07676 38.2381 0.362204 50.3684 14.0168 8.18734 -50.4748 -948.2326 -998.7074
168200 2522.11 18.4944 1.93033 9.97557 4.44906 5.09514 0.019219 86.0595 4.68456 5.45272 1.84346 0.4768 0.639848 0.795478 17.2623 3.88675 0.052264 0.233471 13.9353 5.30458 34.8962 0.477251 52.59 16.0169 8.11551 -49.93627 -947.3153 -997.2516
67100 617.498 11.3758 3.92505 12.4605 4.24284 5.78593 0.0212365 104.344 12.604 9.98237 1.49897 0.56219 0.826037 0.42038 20.9475 4.01302 0.517813 0.229987 5.94895 9.1432 36.1311 0.574537 56.4 18.5724 8.26734 -47.90838 -946.8117 -994.7201
106100 281.047 11.0514 4.0958 13.8007 2.07783 5.23682 0.0173013 123.389 13.7678 6.40138 2.34808 0.718158 0.631178 0.419644 20.8659 4.57451 0.801153 0.18062 5.68113 11.0871 35.7767 0.71583 43.1885 21.3347 8.83347 -50.29761 -941.9105 -992.2081
168900 665.083 14.8459 3.81337 9.41965 2.34934 6.00819 0.0222176 113.445 13.3582 10.4637 2.23395 0.676628 0.886536 0.391405 20.864 3.93337 0.695463 0.161543 8.7813 11.4257 24.258 0.688029 45.2448 17.3151 8.22401 -51.78702 -949.8323 -1001.619
47000 773.954 19.1037 3.8165 17.3655 2.22314 5.29279 0.0124237 116.338 13.7973 9.56606 1.38373 0.275246 0.735112 0.454258 19.7522 5.08564 0.871491 0.230677 8.42231 10.7855 30.5784 0.534829 42.4501 23.3295 8.12651 -51.84178 -941.4102 -993.252
