"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1704.34 20.24 3.40674 9.22178 4.95045 7.27735 0.0123974 116.978 10.6499 5.06772 1.10675 0.194778 0.708604 0.814438 0.336824 17.6491 3.25704 0.340484 0.162841 2.85568 9.88024 38.587 0.43692 28.9538 0.412769 1.15139 -44.85175 -707.0879 -751.9397
66300 543.124 18.3786 2.9502 16.6764 4.84053 5.89137 0.00584626 118.764 17.3899 9.73533 2.35397 0.185111 0.593384 0.637026 0.43839 22.5506 3.478 0.0876079 0.69701 6.26389 3.71808 22.1187 0.363823 43.5123 0.341261 1.23623 -45.39235 -705.2061 -750.5984
200000 570.734 16.3995 3.80846 9.53895 3.07711 9.93434 0.00960267 106.778 16.3612 5.9183 1.9071 0.281939 0.60916 0.836423 0.355454 18.9645 5.30394 0.255057 0.276036 7.63054 6.9362 44.1451 0.757836 34.4078 0.388837 1.17101 -42.75542 -705.2882 -748.0436
161800 938.01 13.2122 2.7331 14.1182 4.13406 9.71078 0.0106857 120.802 18.7452 8.13858 1.26604 0.347238 0.606204 0.777208 0.44857 24.504 2.81751 0.237609 0.614035 6.01727 3.11059 24.2411 0.586242 39.6952 0.393357 1.8037 -45.86689 -706.486 -752.3529
170600 3586.31 15.4203 3.51123 12.8937 4.55057 7.71604 0.00596252 151.399 19.1666 7.13998 2.50428 0.23724 0.561686 0.781548 0.278476 19.5864 3.86946 0.449327 0.249726 13.7148 13.2072 34.5692 0.369281 37.3191 0.389431 1.17837 -45.08144 -704.4468 -749.5283
168200 617.301 14.7504 3.31624 7.45568 3.42268 8.50489 0.00736555 92.8993 25.5921 6.03667 2.41735 0.350216 0.568892 0.776913 0.456481 19.7593 4.16341 0.264165 0.259297 3.10344 10.4686 36.2098 0.333421 38.2607 0.423035 1.21943 -41.77362 -707.6147 -749.3883
67100 268 7.082 3.27842 13.9174 4.0115 6.39743 0.0104177 98.8342 8.15898 4.49899 2.76855 0.125065 0.743645 0.860921 0.486161 17.7112 1.88629 0.391848 0.16337 7.40746 2.93145 31.0809 0.671027 21.4275 0.45831 0.904487 -43.10439 -706.0808 -749.1852
106100 2431.18 10.2378 4.31077 16.9616 2.68654 11.0721 0.0058481 159.047 19.8015 7.62225 2.18083 0.370543 0.60161 0.611821 0.365968 20.768 4.25341 0.898946 0.711219 4.40031 11.2847 36.2071 0.657006 41.6524 0.366158 0.729717 -50.36334 -705.1781 -755.5415
168900 1726.84 19.4821 3.83675 11.8247 3.57171 10.6077 0.00418729 154.513 29.5143 10.5894 1.03618 0.120864 0.463811 0.77748 0.395839 19.9509 4.38443 0.629652 0.189189 13.8394 6.36618 47.1852 0.43749 38.9122 0.396963 1.25874 -46.77049 -704.1538 -750.9243
47000 8848.71 9.17105 4.06102 10.9863 4.83252 8.37463 0.00346464 126.433 11.4311 11.3456 1.26613 0.0358705 0.353983 0.673102 0.217598 18.66 3.13497 0.420015 0.154725 4.06696 10.0963 22.1418 0.542681 62.7617 0.40217 1.00325 -47.27456 -701.482 -748.7565
