Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	2844.17	12.388	4.05269	10.8646	3.39479	8.07458	0.00354913	123.3	10.34	4.96048	1.11834	0.235036	0.662361	0.35796	19.9652	3.13168	0.795102	0.0663671	1.69105	8.43447	48.6952	0.766265	30.2309	0.0807233	0.294569	0.123845	0.0313838	0.592272	0.301911	0.0461966	19.9652	48.6952	0.766265	30.2309	0.916458	0.00669061	0.000587512	4.11787e-05	0.00108736	1.36151e-05	0.000322144	0.0723487	0.00325665	0.00017022	0.35796	0.441828	0.0657747	0.0311037	0.586985	0.299216	0.00193164	9.23418	0.0204109	1.13638	1.04144	23.2828	1e-15	0.000451547	0
1	2201.89	9.14577	3.22288	14.7128	3.17614	7.68528	0.00839103	124.71	10.3744	5.95906	2.09942	0.579569	0.87114	0.285398	19.7135	4.83633	0.2884	0.0789256	6.11368	10.493	44.5095	0.753832	27.7226	0.10934	0.314848	0.130119	0.0847257	0.414943	0.0613789	0.0285029	19.7135	44.5095	0.753832	27.7226	0.957658	0.00289641	0.00024833	2.09369e-05	0.000366942	1.39824e-05	0.000272278	0.0360645	0.00299702	0.000217148	0.285398	0.69655	0.0781071	0.0838471	0.41064	0.0607423	0.00259395	12.1246	0.0198537	1.03716	0.993245	106.714	2.01771	0.00329863	0.000209772
2	2229.74	16.149	3.45562	17.2952	4.60061	5.32141	0.00528508	127.966	11.0282	7.27247	2.70562	0.356864	0.851932	0.346431	20.9474	6.60816	0.577838	0.322242	1.30972	10.2201	40.0097	0.779687	37.9808	0.0619233	0.217362	0.18792	0.0418048	0.314875	0.0547261	0.0375469	20.9474	40.0097	0.779687	37.9808	0.893971	0.0240531	0.000286133	0.000129698	0.000301908	8.21191e-05	0.000216676	0.0778403	0.003691	0.000193556	0.346431	0.541967	0.316405	0.0410476	0.309172	0.0537348	0.00256753	14.8049	0.0203492	0.899447	0.80408	111.169	1.86386	0.00408476	0.000187372
3	2474.61	12.413	3.30842	7.5026	4.46846	8.1469	0.00904327	129.558	11.3844	3.21571	2.60922	0.552881	0.607414	0.218293	18.212	5.13061	0.0968046	0.175953	9.29843	9.40704	42.3742	0.649185	32.9146	0.0805607	0.223791	0.122746	0.104433	0.232795	0.150461	0.0541273	18.212	42.3742	0.649185	32.9146	0.969306	0.00294493	0.000261838	5.33432e-05	0.000273718	3.25442e-05	0.000292157	0.0249721	0.00254698	0.00016534	0.218293	0.86301	0.171823	0.101982	0.22733	0.146929	0.00235598	5.44513	0.0467124	0.937361	0.90859	110.629	2.046	0.00273581	0.000158736
4	4019.95	11.1009	3.24574	15.5661	3.87897	8.09478	0.00637526	125.452	11.7523	9.78668	1.33931	0.596407	0.721882	0.377643	18.5112	4.17851	0.632617	0.198638	8.48497	10.1413	43.8955	0.816987	36.603	0.0900828	0.2578	0.123536	0.043992	0.538995	0.207658	0.025759	18.5112	43.8955	0.816987	36.603	0.940875	0.0129464	0.000258832	6.19297e-05	0.000435192	2.2147e-05	0.000261782	0.0434531	0.00288888	0.000176443	0.377643	0.540076	0.194925	0.0431697	0.52892	0.203776	0.00229737	13.7931	0.0139118	0.926683	0.871893	95.2856	1.91112	0.00315994	0.000170014
5	7797.22	7.95154	2.74948	13.6925	4.83969	5.83396	0.00441542	119.135	9.9095	9.60677	2.98456	0.470132	0.725011	0.281769	18.947	3.84713	0.256466	0.0849914	8.55089	10.3636	25.862	0.593843	51.5672	0.125762	0.206625	0.17141	0.0354803	0.242921	0.0921372	0.0344195	18.947	25.862	0.593843	51.5672	0.920355	0.00471345	0.000798756	7.34423e-05	0.000805089	4.56299e-05	0.000226269	0.0725187	0.0029376	0.000202568	0.281769	0.722631	0.0845836	0.03531	0.241755	0.0916951	0.00354875	9.6982	0.0248726	1.06819	0.983112	116.1	2.35089	0.00312233	0.000194202
6	4221	18.4845	2.96216	12.0337	4.68068	6.78651	0.00471554	129.616	12.8254	6.21041	1.15888	0.442562	0.676356	0.323499	20.4961	3.00598	0.301604	0.224213	5.01728	9.9858	45.5297	0.727703	40.0307	0.0540994	0.213644	0.147351	0.048198	0.583629	0.279273	0.0362713	20.4961	45.5297	0.727703	40.0307	0.929581	0.0156545	0.000424128	0.000114176	0.000480308	2.93545e-05	0.000261665	0.0515421	0.00320241	0.000159418	0.323499	0.711501	0.216273	0.0464913	0.562962	0.269384	0.00210857	9.81698	0.0258071	1.02431	0.952181	115.025	1.65197	0.00351085	0.000153781
7	1297.19	20.1167	3.5427	12.5288	3.65204	8.07683	0.0079842	130.407	11.8279	6.62547	1.3247	0.744447	0.82125	0.2851	20.0333	4.55235	0.249049	0.148648	4.00605	9.08734	43.9327	0.584878	39.3534	0.0497099	0.27382	0.123811	0.0922768	0.619952	0.134936	0.0350093	20.0333	43.9327	0.584878	39.3534	0.962168	0.00651625	0.000186114	3.09156e-05	0.000258465	1.1766e-05	0.000267029	0.0277435	0.00309799	0.000165001	0.2851	0.73159	0.14436	0.089615	0.602069	0.131044	0.00210395	8.81062	0.0256125	0.904694	0.870468	92.5898	1.84495	0.0034347	0.00015954
8	3821.69	13.6918	3.17364	10.1923	3.33666	9.06676	0.00542231	123.142	12.3628	7.02453	1.81232	0.38046	0.717018	0.396168	17.9778	5.3376	0.626685	0.0717799	9.65842	10.8518	40.1463	0.590804	33.1712	0.0730364	0.299701	0.110293	0.0388349	0.395635	0.156144	0.0343426	17.9778	40.1463	0.590804	33.1712	0.95152	0.00585096	0.000360478	2.70994e-05	0.00079395	1.53243e-05	0.000346926	0.039272	0.00297016	0.000154629	0.396168	0.559754	0.0704266	0.0381027	0.388176	0.1532	0.0021076	7.67393	0.0192234	0.924082	0.879283	116.267	2.2856	0.00316478	0.000146314
9	1795.01	13.1344	3.85628	14.3139	4.50361	5.03581	0.00352531	129.856	11.6103	8.43975	1.26834	0.510253	0.728099	0.376466	18.4241	5.3272	0.702764	0.190354	4.6148	8.74221	46.0461	0.767198	54.3415	0.0761359	0.222044	0.198578	0.0440196	0.574057	0.214375	0.0534985	18.4241	46.0461	0.767198	54.3415	0.905643	0.0102748	0.00042647	9.51238e-05	0.000409725	2.76387e-05	0.000171681	0.0802285	0.00316633	0.000172816	0.376466	0.50331	0.185436	0.0428824	0.559226	0.208837	0.00253499	11.3778	0.0269263	1.03351	0.935988	99.3888	1.40058	0.00342791	0.000168787
10	6634.23	10.5372	2.60328	16.1313	5.30344	7.30643	0.00635696	135.167	13.8964	6.3796	2.24053	0.478318	0.816667	0.382882	19.7215	4.5844	0.501914	0.100523	8.92255	11.7491	44.4219	0.79735	32.0421	0.0949019	0.188557	0.136866	0.0612306	0.364497	0.0818257	0.0220875	19.7215	44.4219	0.79735	32.0421	0.950709	0.00564116	0.000401355	3.98207e-05	0.000422067	1.84629e-05	0.000226227	0.0423873	0.00224094	0.000191385	0.382882	0.617639	0.0938929	0.0571921	0.340457	0.0764289	0.00257894	14.1139	0.0136421	0.899036	0.854722	97.9623	1.74209	0.00243491	0.000184225
11	2998	9.16349	2.79495	15.294	4.49294	6.49277	0.00571031	128.684	11.6811	6.18175	2.05737	0.649176	0.649578	0.472807	19.8284	6.08521	0.716819	0.134061	3.52015	8.65693	42.183	0.771905	50.9246	0.109129	0.222571	0.154017	0.0682154	0.315732	0.170325	0.0281464	19.8284	42.183	0.771905	50.9246	0.951243	0.00481286	0.000248126	3.66472e-05	0.000279617	1.7855e-05	0.000180072	0.040977	0.00306327	0.000170523	0.472807	0.584531	0.130852	0.0665827	0.308175	0.166249	0.00257447	13.3431	0.0164524	0.86492	0.82275	75.1854	1.66007	0.0033457	0.000166036
12	1433.32	17.6027	3.50917	18.5521	4.0795	7.13943	0.00620896	125.635	11.2556	7.02964	2.08738	0.692013	0.774612	0.264551	20.1005	3.17716	0.21332	0.0609949	5.93746	7.95907	43.3746	0.861691	47.7326	0.0568095	0.245128	0.140067	0.0762545	0.371093	0.107977	0.026494	20.1005	43.3746	0.861691	47.7326	0.955352	0.00773045	0.000814126	5.15881e-05	0.000787078	2.45434e-05	0.000393717	0.0320195	0.00316472	0.000154662	0.264551	0.753026	0.0600192	0.0750347	0.365157	0.106249	0.00236209	16.6729	0.0199507	1.45359	1.38869	167.64	2.25222	0.003398	0.000147939
