Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	1997.23	10.5882	3.33074	9.68529	2.50744	8.57783	0.00939013	118.749	13.0112	11.34	1.08737	0.207033	0.667709	0.320134	16.7795	4.50081	0.813037	0.424005	4.85654	11.2505	31.7759	1.1175	22.5774	0.0944448	0.398813	0.11658	0.0121903	0.614059	0.305591	0.0400913	16.7795	31.7759	1.1175	22.5774	0.948288	0.0148508	6.61061e-05	4.69481e-05	0.000265611	2.13689e-05	0.000165167	0.0358749	0.00174548	0.000161826	0.320134	0.396111	0.417043	0.0119901	0.603976	0.300574	0.00338456	10.459	0.0158806	0.753104	0.714159	17.3488	1e-15	0.00146979	0
1	1209.13	15.7496	3.20017	12.5249	3.1732	8.81598	0.0127249	117.972	13.5277	7.40189	1.89417	0.314863	0.666738	0.226415	18.6766	4.4027	0.575939	0.321406	5.90316	12.9921	21.9791	1.22531	28.1092	0.0634937	0.315139	0.11343	0.0283618	0.351995	0.175941	0.028982	18.6766	21.9791	1.22531	28.1092	0.950798	0.0275491	0.000141289	6.45969e-05	0.000357264	4.04831e-05	0.000223395	0.0198946	0.00167034	0.00016067	0.226415	0.425074	0.31559	0.0278486	0.345626	0.172757	0.00433971	14.7079	0.0123195	0.877775	0.834587	33.5385	1.42709	0.00199301	0.000147237
2	2293.41	12.024	3.0915	14.8981	5.57809	8.72198	0.012435	132.003	13.8832	5.93824	2.30238	0.622003	0.801621	0.100498	18.1392	3.62617	0.155309	0.281619	5.06794	9.96641	26.1887	0.668504	28.4392	0.083167	0.179273	0.114653	0.0839661	0.348171	0.0861626	0.0237916	18.1392	26.1887	0.668504	28.4392	0.973647	0.00546086	0.000112662	3.87206e-05	0.000128923	1.82807e-05	0.000170697	0.0204298	0.001531	0.000168433	0.100498	0.699884	0.266664	0.0795072	0.329682	0.0815871	0.00284218	10.4558	0.0166513	0.657579	0.64025	24.7111	0.773247	0.00181357	0.000163037
3	1342.3	8.67174	3.23157	18.4349	3.58217	7.16973	0.00685531	127.807	13.2039	6.072	2.12831	0.596529	0.657111	0.197358	18.6989	4.25553	0.370098	0.127058	3.01099	11.1786	21.1351	0.733563	37.3929	0.115317	0.27916	0.139475	0.0645563	0.308748	0.161109	0.0244495	18.6989	21.1351	0.733563	37.3929	0.964081	0.00425849	0.000162603	2.24001e-05	0.000253684	1.44388e-05	0.000158625	0.0301773	0.00171948	0.000150806	0.197358	0.548498	0.122739	0.0623617	0.298252	0.155632	0.00277268	14.4925	0.0134105	0.844729	0.814387	28.5593	0.672116	0.00197979	0.000145447
4	1038.39	9.27601	4.1522	19.7739	5.35093	8.15235	0.0129092	117.335	12.2739	9.58359	1.15098	0.292035	0.889294	0.177392	18.9428	3.48299	0.545659	0.388892	2.56179	9.10181	23.7689	0.879043	31.8045	0.107805	0.186883	0.122664	0.0270989	0.772641	0.0961841	0.0257575	18.9428	23.7689	0.879043	31.8045	0.962206	0.0138608	0.000121486	7.45676e-05	0.000184325	1.67012e-05	0.00016653	0.0221425	0.00184781	0.000151285	0.177392	0.389201	0.384419	0.0267873	0.763755	0.0950779	0.00360469	17.8064	0.0100248	0.735256	0.707468	24.2444	0.948226	0.00215256	0.000145303
5	912.16	18.4952	3.52573	14.075	4.64913	6.55705	0.0103083	116.518	11.8967	9.11873	1.12653	0.37232	0.753141	0.166928	16.0958	5.15918	0.20231	0.349016	5.34927	7.33228	21.0772	0.527316	30.5764	0.0540681	0.215094	0.152508	0.0307509	0.668549	0.219132	0.0382025	16.0958	21.0772	0.527316	30.5764	0.96232	0.0149403	0.000170199	8.9005e-05	0.000228747	2.23209e-05	0.00015759	0.0207478	0.00187219	0.000130442	0.166928	0.696161	0.345755	0.0304636	0.662303	0.217085	0.00437883	8.53255	0.0265951	0.811407	0.780833	30.4532	1.05378	0.00212065	0.000125017
6	2733.49	16.0556	3.14206	9.99784	3.67245	12.2845	0.0142377	126.345	13.7278	7.20218	2.20431	0.493661	0.766406	0.0527365	16.0366	4.49794	0.114613	0.516603	6.26442	9.96825	25.5876	0.959557	37.7671	0.0622836	0.272298	0.0814034	0.052532	0.347685	0.105971	0.025583	16.0366	25.5876	0.959557	37.7671	0.967446	0.0162176	6.20298e-05	5.99778e-05	0.000172352	4.00791e-05	0.000326926	0.0159276	0.00165239	0.000129045	0.0527365	0.713736	0.498677	0.0507092	0.335621	0.102294	0.00206825	9.61482	0.0182595	0.666197	0.644509	32.5357	1.00713	0.00204799	0.000121813
7	1484.38	7.45884	3.29839	16.2872	4.46035	8.14953	0.0146021	115.066	11.0466	6.61716	2.17074	0.695627	0.630289	0.0690798	18.0035	2.29586	0.138104	0.162173	1.79783	13.5196	22.6343	0.700484	22.3732	0.134069	0.224198	0.122706	0.0662589	0.290357	0.170316	0.0248498	18.0035	22.6343	0.700484	22.3732	0.977012	0.00374361	0.000198358	3.79424e-05	0.000253329	1.90834e-05	0.000189692	0.0176534	0.00180542	0.0001916	0.0690798	0.691369	0.161242	0.0658784	0.288689	0.169338	0.00471481	11.7459	0.0171804	0.897531	0.876899	30.369	1.34463	0.00215643	0.000178689
8	1299.11	20.3943	3.73943	14.9005	3.82609	10.381	0.013075	122.242	12.8739	4.68887	1.96643	0.37479	0.672654	0.17022	17.2847	4.42732	0.50269	0.172023	3.04408	8.93797	27.732	1.0017	19.3058	0.0490333	0.261363	0.0963298	0.0537665	0.342069	0.166467	0.0241749	17.2847	27.732	1.0017	19.3058	0.965133	0.0166966	0.000147363	2.95251e-05	0.00029903	1.6097e-05	0.000243259	0.0166471	0.00159783	0.000156268	0.17022	0.410617	0.168491	0.0526625	0.335045	0.163049	0.0031954	14.9215	0.00992664	0.826643	0.797821	29.7514	1.14342	0.00194803	0.000148925
9	821.935	18.1468	4.48838	16.9213	3.02885	10.3144	0.0105526	124.711	13.3532	6.04651	2.11109	0.412545	0.699137	0.220201	17.321	4.11413	0.67566	0.189316	2.08047	12.8797	31.5487	0.879081	19.3205	0.0551061	0.330158	0.0969518	0.0477011	0.331173	0.142515	0.0257165	17.321	31.5487	0.879081	19.3205	0.958433	0.0188765	0.000118655	2.6464e-05	0.000327772	1.99449e-05	0.000253977	0.0206543	0.00175155	0.000149663	0.220201	0.359724	0.183985	0.046358	0.321849	0.138503	0.00267795	15.3257	0.00925084	0.807281	0.773724	30.0872	1.0402	0.00212278	0.00014009
