"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1198.19 11.4472 4.3199 17.2449 2.85036 5.31157 0.0128631 122.247 27.5641 7.39217 1.02059 0.330413 0.597473 0.613791 0.403529 19.9401 6.36436 0.708239 0.347965 1.99483 8.00324 56.4036 0.745727 50.0803 5.38848 37.2491 -55.33487 -1022.969 -1078.304
66300 6860.37 7.62778 3.99291 16.5187 2.62493 6.12368 0.00694768 153.918 30.4009 4.36829 2.11559 0.451928 0.462324 0.738605 0.308859 18.8149 5.50842 0.397831 0.113155 2.4976 10.6327 77.5339 0.679076 0.774053 5.53964 25.8501 -57.49973 -1021.767 -1079.267
200000 5706.55 15.9886 4.48291 11.8737 2.25177 6.68765 0.00958361 154.54 23.6934 8.2558 2.41527 0.2452 0.813878 0.763419 0.377252 19.2475 5.17044 0.947152 0.261483 1.93314 11.2372 58.6338 0.740702 25.5429 4.96025 35.8647 -57.90071 -1019.103 -1077.004
161800 8766.05 13.181 4.20796 7.9707 2.32005 5.66829 0.00498152 162.654 31.698 11.4725 2.08836 0.228604 0.806414 0.649618 0.334104 16.7373 6.23221 0.501427 0.0758688 4.05838 12.8347 60.9656 0.521025 32.9164 5.7086 25.2797 -57.90113 -1019.647 -1077.549
170600 6867.66 14.2197 4.07249 10.266 2.23358 6.10164 0.00791635 152.216 41.1251 6.84578 1.33507 0.043816 0.408249 0.622324 0.280261 16.075 4.08779 0.27392 0.120046 6.46454 12.8659 63.6763 0.342478 30.825 5.63411 30.0537 -56.99795 -1021.008 -1078.006
168200 5031.17 20.5134 4.03472 12.4507 3.25889 5.06114 0.00772763 167.627 36.2955 4.15161 2.65846 0.512548 0.912474 0.674344 0.369539 19.1783 5.00876 0.67091 0.224161 2.81509 11.5055 70.44 0.662201 5.19741 5.27659 28.9003 -57.97572 -1021.101 -1079.077
67100 6518.65 20.6075 3.58701 12.9215 2.69102 5.52244 0.00915538 163.231 32.155 3.21525 1.72924 0.421356 0.472165 0.761346 0.320841 19.5152 5.40867 0.413453 0.2179 2.58433 11.5908 44.4628 0.584628 52.7073 5.09915 32.6563 -53.2667 -1025.825 -1079.092
106100 7697.44 12.5452 3.83342 13.0959 4.01605 5.39713 0.012288 118.466 32.3435 6.60597 1.24221 0.171584 0.200779 0.77537 0.372134 18.1854 5.92519 0.628894 0.257299 13.7427 12.3069 51.8869 0.521899 40.4364 3.88853 28.0577 -54.14631 -1026.185 -1080.331
168900 7453.89 12.9154 4.45875 17.282 3.54942 6.81239 0.0177645 145.991 20.9442 4.9216 2.43958 0.0667628 0.882008 0.697859 0.261426 17.676 5.51242 0.456983 0.0742034 3.37195 11.8373 60.5646 0.489991 15.7561 5.9855 18.2004 -56.45682 -1022.856 -1079.313
47000 3213.25 10.1052 3.64882 7.94423 2.24525 5.13362 0.0088172 178.151 36.5487 4.63977 1.64145 0.0262957 0.62057 0.708721 0.338104 18.6014 5.6234 0.384273 0.117742 3.18853 11.6051 61.5227 0.430611 28.4815 4.83147 37.8615 -54.80784 -1018.44 -1073.248
64700 4258.47 14.6167 3.81777 11.2803 2.83968 5.18536 0.010151 147.804 37.2009 6.20529 1.02112 0.0451874 0.114456 0.637654 0.375915 18.5042 5.20764 0.497656 0.540433 3.13394 10.6303 46.8375 0.401243 68.1881 5.22258 34.421 -56.01888 -1024.484 -1080.503
108800 1726.38 8.39055 4.37865 14.6083 2.15997 5.06265 0.0112187 148.416 28.7804 2.56023 1.46495 0.201251 0.345443 0.765414 0.350697 17.2594 3.77596 0.613509 0.0558944 2.6486 11.8914 62.5336 0.52872 30.0525 6.13807 39.1391 -55.62101 -1020.524 -1076.145
85300 3951.8 14.9119 4.31121 11.0105 2.63279 6.36348 0.0105228 147.767 24.4479 9.09531 1.18223 0.0209712 0.885509 0.691546 0.207503 18.5361 4.72226 0.123348 0.0759475 2.86922 10.7719 67.1315 0.705366 49.4381 4.52779 33.2552 -56.01543 -1022.18 -1078.196
78100 8607.66 12.1395 4.35201 16.7957 4.04434 5.05519 0.00620931 124.564 28.947 8.42209 1.31256 0.372141 0.409521 0.603939 0.309516 17.5253 5.22153 0.459297 0.118856 6.80687 11.7297 66.5431 0.630275 22.0954 5.65262 38.1171 -55.0821 -1018.929 -1074.012
177000 3222.82 17.3855 4.41679 10.2432 3.38906 5.2988 0.0085515 143.734 33.0379 5.02245 1.95923 0.553469 0.837321 0.701841 0.265595 19.0219 4.61447 0.338687 0.0729219 3.30186 10.4817 64.1024 0.721776 36.7709 4.12307 32.1287 -54.21762 -1021.351 -1075.569
50600 5029.16 9.61714 4.01379 18.4068 2.16916 5.25395 0.00669141 134.268 26.9124 8.27005 1.1246 0.256332 0.289467 0.740292 0.338883 16.6681 4.93435 0.409816 0.166574 2.8322 10.6382 62.0605 0.28875 25.4638 4.7012 36.9494 -55.96793 -1021.035 -1077.003
121500 4705.75 16.5063 4.24163 10.1254 2.06117 5.38701 0.00669111 177.28 36.4327 7.59808 2.63105 0.340104 0.580505 0.816756 0.354703 18.3177 4.18011 0.690392 0.262943 3.14319 11.3951 46.3743 0.789061 57.0452 4.7808 28.4662 -55.72937 -1024.667 -1080.396
122100 8308.78 7.4013 4.34651 19.4029 2.23005 7.1603 0.0106629 140.8 22.9998 4.9393 2.26645 0.325424 0.481615 0.786235 0.267195 17.3762 4.53109 0.417876 0.0625098 4.99275 12.56 61.3221 0.593557 32.5657 4.20569 30.7293 -55.16878 -1021.12 -1076.289
128700 4716.7 18.515 3.9725 9.69348 3.24328 5.35519 0.0126914 135.056 19.9938 4.62088 2.31477 0.267235 0.665201 0.663838 0.308187 18.9927 5.69843 0.46461 0.091552 2.24534 10.7734 52.3896 0.488073 30.5364 4.46958 39.6333 -53.2364 -1019.57 -1072.807
46800 6776.04 10.1686 4.23928 10.8673 2.3159 6.77986 0.00636787 143.957 31.3178 3.16929 1.7567 0.541434 0.198937 0.78388 0.214541 19.0714 4.25754 0.145381 0.135411 3.29669 9.786 54.8089 0.616537 73.5322 3.10156 31.3178 -55.01211 -1030.374 -1085.386
196700 5998.33 15.3933 4.48761 15.698 3.7131 5.27251 0.00818196 136.01 28.8506 3.68868 2.05262 0.348817 0.471684 0.647563 0.22084 17.1747 5.22473 0.178721 0.147107 2.53096 11.6846 51.9921 0.612836 100.316 4.23289 39.7767 -58.24711 -1029.598 -1087.845
198800 1279.2 14.4225 4.38471 14.4613 2.15343 5.43002 0.0118256 176.931 34.7028 4.81285 1.93095 0.115264 0.801156 0.870185 0.271483 18.0645 5.21137 0.294312 0.225117 2.05068 10.2518 59.9751 0.636766 54.3777 7.64889 32.0337 -56.3414 -1019.793 -1076.134
133600 7635.09 7.95556 3.99945 13.6783 2.0704 6.31791 0.0128778 133.5 19.0609 5.66604 1.96296 0.371591 0.728146 0.698421 0.278385 17.5295 4.4067 0.412413 0.174085 2.44782 11.7203 40.8094 0.489019 47.7114 3.7357 33.8536 -52.14719 -1021.824 -1073.971
