"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2055.73 18.1159 2.19904 12.4832 3.98222 7.91558 0.0201788 84.3204 3.44159 9.23247 2.34803 0.210635 0.381199 0.721145 0.592017 19.3414 4.42031 0.0195647 0.183102 4.41145 4.40324 32.1411 0.280019 39.4279 4.25112 1.14868 -47.28865 -856.7229 -904.0115
66300 751.784 7.21983 3.26776 14.912 4.71457 8.16099 0.0159998 83.1323 4.22724 5.33792 1.54952 0.214238 0.148046 0.677914 0.545323 18.3327 4.71887 0.289801 0.317397 6.27787 5.16024 45.1945 0.232202 39.4023 2.91072 1.70586 -46.0849 -858.8912 -904.9761
200000 2454.29 10.4823 3.84819 8.86674 3.85592 11.8528 0.0200135 90.1698 5.33604 6.04974 1.03226 0.463866 0.219777 0.717019 0.338119 20.0175 5.62188 0.433371 0.137204 3.19618 6.07031 25.8731 0.542822 44.7524 3.30245 1.4556 -46.84013 -855.1209 -901.961
161800 1754.59 12.9053 3.22123 11.5661 3.77413 10.1349 0.0218617 86.8648 4.2794 10.3762 1.02834 0.438332 0.642706 0.662796 0.399584 15.8215 7.08933 0.104858 0.107801 6.20176 6.26799 47.1655 0.960018 57.1829 3.52024 1.15261 -53.0312 -859.571 -912.6022
170600 419.511 15.3977 3.32181 18.2829 3.58238 7.92345 0.0320434 87.5565 6.1838 6.44505 2.80756 0.430982 0.648334 0.784875 0.472201 19.605 4.41351 0.169006 0.21992 5.79402 5.21618 34.7413 0.407239 40.8155 3.58758 1.33986 -45.12092 -854.803 -899.924
168200 213.982 8.57353 3.63367 7.73281 3.9979 5.26965 0.0224614 82.6839 4.35438 3.27593 2.89015 0.223759 0.120432 0.782019 0.522322 17.9636 4.8008 0.409979 0.45119 12.1801 7.28101 28.1913 0.61955 34.0167 2.94918 1.31202 -47.84248 -860.7454 -908.5879
67100 1814.64 14.3464 2.71719 8.44545 2.68425 8.20275 0.0259715 95.3523 7.49757 7.08857 2.43962 0.510479 0.448915 0.832588 0.407411 19.7857 3.7204 0.0917571 0.135897 6.63055 9.54403 31.0039 0.423461 60.9121 3.05545 1.82747 -48.9175 -862.8618 -911.7793
106100 948.455 8.43578 3.14188 14.8451 4.26827 9.69283 0.0335257 89.6555 4.80326 8.06304 1.89457 0.428348 0.633182 0.772837 0.485808 20.4081 5.17403 0.213754 0.229227 2.88618 3.02878 36.5109 0.666703 49.0539 3.61958 1.41298 -45.51774 -856.5569 -902.0746
168900 3382.55 19.5197 2.94475 15.1074 5.24035 9.75107 0.0174601 85.6052 3.44524 10.6698 1.30398 0.339447 0.407408 0.644758 0.495327 18.3852 4.31219 0.398893 0.103482 8.5829 4.49267 41.4909 0.781308 53.0165 2.8835 1.25001 -47.7796 -854.5432 -902.3228
47000 6628.23 7.73797 2.9603 11.1612 3.63082 10.2956 0.018063 92.0269 4.98935 10.7367 2.74073 0.354936 0.344953 0.630717 0.229624 22.0913 4.38675 0.156826 0.232732 2.64214 7.87418 26.3026 0.764774 37.2258 2.85692 1.06986 -48.76112 -860.6361 -909.3972
64700 1060.54 17.9209 2.70686 12.0464 2.6172 10.1069 0.0277722 86.4226 4.18518 4.63087 1.43288 0.409406 0.299127 0.696958 0.554768 18.8193 2.51595 0.0734037 0.263433 5.62279 4.06625 29.109 0.641426 62.5009 4.12677 1.3543 -48.87849 -854.251 -903.1295
108800 7313.16 7.46918 2.97259 9.1376 2.54148 11.5498 0.00840549 87.2618 3.9689 7.77117 1.61743 0.405946 0.126154 0.621352 0.389593 18.6234 5.47681 0.239402 0.0668194 5.20709 3.43481 44.0665 0.648107 48.634 4.145 1.73773 -48.55526 -855.7131 -904.2684
85300 366.845 7.51327 4.16321 9.96365 3.33196 12.1965 0.0356416 87.6414 7.94915 4.93557 1.86404 0.159692 0.437794 0.813511 0.475433 19.802 2.00128 0.328709 0.161766 2.86033 4.97218 32.7651 0.47807 41.0201 2.91588 1.21687 -47.58575 -857.0646 -904.6504
78100 2804.39 14.78 2.71903 14.103 4.08127 11.4034 0.0211264 89.1422 7.49817 6.95998 1.74665 0.260081 0.202655 0.702773 0.491827 20.9917 5.90821 0.276964 0.203464 3.92123 6.1812 34.9043 0.666262 42.9087 2.96026 1.04525 -45.4394 -858.5919 -904.0313
177000 1409.79 12.2159 3.15026 8.13512 3.57491 10.6648 0.0244716 84.5648 3.50704 10.6558 2.65735 0.372963 0.420795 0.841389 0.536347 18.5969 4.41392 0.562188 0.145722 5.58469 2.67444 30.1202 0.637833 48.9503 2.61217 1.22999 -46.54653 -857.705 -904.2515
50600 3787.98 19.0215 3.19001 7.99373 2.78321 24.2833 0.0335353 88.725 4.45483 10.3147 1.68107 0.278994 0.358221 0.775909 0.448939 20.3848 2.14814 0.254092 0.195118 1.67294 2.37145 26.073 0.783122 56.4267 4.27404 1.43104 -56.29568 -857.249 -913.5447
121500 6252.93 10.6771 2.95681 8.39206 5.14431 12.3607 0.00896167 84.376 2.60472 9.64439 2.32221 0.211453 0.121859 0.6964 0.470294 21.4404 5.92777 0.468205 0.0606965 4.89791 3.79081 24.4697 0.455694 57.5633 3.25963 1.2861 -50.18658 -853.9722 -904.1588
122100 5178.27 18.3221 2.68998 7.80015 4.82527 14.7495 0.017412 87.9949 3.62742 10.1714 2.02384 0.193866 0.361659 0.789288 0.577764 19.8543 4.97825 0.634516 0.0863315 5.53935 3.55244 39.9691 0.677772 18.4828 3.07405 1.37154 -51.35618 -858.8934 -910.2495
128700 5055.17 10.4511 2.24174 13.1449 4.18773 13.8523 0.0285152 87.54 4.12844 8.69387 2.92406 0.417411 0.334969 0.691124 0.617272 18.2135 2.20691 0.181231 0.278883 4.6505 3.83209 33.4902 0.825105 37.4401 3.09616 1.25025 -49.48079 -855.451 -904.9318
46800 996.6 11.0902 3.24975 13.52 4.69178 9.11171 0.0203052 82.4984 3.57188 8.39687 2.18608 0.359923 0.40791 0.602837 0.512774 20.7554 3.66574 0.268587 0.245215 2.63135 5.09142 42.195 0.464578 45.7522 3.33184 1.23321 -44.96504 -854.8161 -899.7812
196700 345.642 18.3453 3.47799 16.1884 2.21919 8.00666 0.0261445 105.032 15.4894 7.9649 1.03379 0.238487 0.678731 0.850159 0.405565 22.5506 3.05707 0.348028 0.202385 4.56539 12.542 38.623 0.778973 37.8707 3.31849 1.45791 -50.40141 -855.7405 -906.1419
198800 1069.71 12.2831 3.53332 10.0235 3.16865 15.9472 0.0298123 87.7392 6.88065 7.39191 2.05734 0.0381366 0.412435 0.818345 0.458099 20.2544 4.18183 0.208705 0.107173 5.55144 6.08984 37.3173 0.592504 31.4556 3.30247 1.46343 -47.39607 -855.8436 -903.2397
133600 5180.32 7.18977 3.17355 16.3873 4.90476 14.3509 0.0269186 87.3443 3.82209 9.75335 2.0534 0.568367 0.336541 0.725717 0.448021 20.9093 3.72101 0.504053 0.230373 7.37861 4.99077 23.9602 0.715359 28.7443 3.64917 1.54204 -50.43388 -855.8004 -906.2343
88200 3469.78 7.14529 2.211 12.1846 2.94768 13.304 0.0250471 85.8255 3.37513 8.37697 1.85588 0.318087 0.562393 0.733743 0.615014 17.0229 3.75011 0.283283 0.0702372 11.0273 4.11205 29.9622 0.788339 33.408 4.26699 1.22389 -48.81596 -856.7408 -905.5568
108100 4628.17 18.7456 3.12042 10.9224 6.33809 15.5101 0.0244841 88.5003 2.95248 8.66627 2.36582 0.34028 0.535954 0.676391 0.4084 19.3303 2.53219 0.173729 0.09838 6.01784 2.56575 41.8473 0.857073 50.9867 3.39722 1.18628 -52.71385 -857.402 -910.1159
139400 3810.34 20.0219 3.41688 14.8624 4.43708 16.5259 0.0344202 88.471 4.4364 7.16449 1.63638 0.424282 0.310303 0.748867 0.335809 18.3015 3.98257 0.0594688 0.27 2.6311 5.05366 33.3034 0.714537 58.7089 3.8012 1.65914 -50.79521 -854.1309 -904.9261
113900 5097.71 16.9163 2.32763 14.6748 5.03874 11.2146 0.0290639 89.9287 4.24279 8.49633 1.01674 0.508716 0.602661 0.737532 0.69736 16.643 2.72898 0.791712 0.152903 3.26002 5.44877 25.5044 0.82078 62.6608 2.59702 1.37413 -54.11388 -857.0924 -911.2062
133400 101.467 7.34208 3.80177 11.4953 2.95659 8.17733 0.0401059 84.6985 6.11843 4.23961 1.94872 0.209627 0.914132 0.660579 0.5441 20.4872 5.98081 0.220693 0.188596 6.6525 6.27946 34.5811 0.571285 46.2519 3.35662 1.6003 -47.0426 -855.9364 -902.9789
54200 2135.56 14.444 2.63892 15.214 4.97551 10.3873 0.0248613 84.8598 3.74343 4.143 1.38384 0.259915 0.145848 0.718433 0.590224 19.4905 3.65508 0.239548 0.280705 6.28432 2.65778 36.2446 0.678067 41.7525 4.22936 1.46948 -47.20756 -855.312 -902.5196
