"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1018.86 13.8296 3.30349 18.9271 5.12495 6.85704 0.0102072 123.625 30.2936 4.88372 2.55737 0.205543 0.159727 0.603065 0.531581 22.0095 6.61798 0.404911 0.39595 2.27198 8.03366 58.9463 0.320425 30.9912 1.58658 2.55622 -51.32919 -873.2725 -924.6017
66300 2034.52 10.8898 2.47579 12.8977 4.40154 10.1346 0.0210219 104.537 18.5031 8.94385 1.50403 0.054153 0.462081 0.751966 0.559953 24.6397 3.59742 0.222126 0.212038 8.58207 13.0649 31.1523 0.428965 67.4819 1.75462 2.45683 -50.25292 -876.173 -926.4259
200000 2020.57 15.177 3.24532 14.4861 6.38981 6.88862 0.0148841 137.621 33.0661 9.28146 2.61812 0.308242 0.195646 0.650117 0.458607 22.9416 6.60276 0.220117 0.745552 5.65149 10.9976 43.2104 0.426619 40.4072 2.05 3.19742 -54.13306 -872.4392 -926.5723
161800 3094.82 14.5837 2.70368 15.2096 2.89433 8.12708 0.0089419 164.823 37.7161 7.15491 1.6401 0.204935 0.202893 0.658013 0.566367 20.9942 2.55873 0.320016 0.729237 7.15026 11.6197 46.6973 0.406589 78.0119 1.62904 2.53246 -53.23094 -874.7862 -928.0172
170600 358.083 20.4878 3.04473 10.4396 3.22432 6.13071 0.019478 114.807 23.2307 8.15575 1.26995 0.394224 0.537395 0.830324 0.548517 23.3445 6.15956 0.365825 0.465585 2.73825 8.66827 41.0436 0.368822 18.4755 1.93008 2.78085 -49.71911 -873.4382 -923.1573
168200 3110.56 20.3326 2.08922 13.9723 4.73035 5.59205 0.0136202 115.349 38.8057 8.29349 2.63599 0.507345 0.114696 0.819239 0.714724 23.9528 3.87773 0.232131 0.341997 4.06671 11.359 56.9519 0.698619 31.8912 1.70596 2.39785 -53.07254 -875.7382 -928.8107
67100 258.359 15.5265 2.81581 11.0642 2.53828 5.69538 0.0212054 85.5957 20.1921 8.32275 2.50503 0.499015 0.0727744 0.838124 0.757772 20.4809 4.09739 0.116978 0.628431 5.70148 5.54058 31.1134 0.553838 30.3093 2.01519 2.80044 -49.28956 -874.8461 -924.1356
106100 2728.32 13.4333 3.74547 15.3014 3.88683 10.3735 0.0188124 132.853 21.1821 6.81826 2.47556 0.386813 0.184804 0.718913 0.367247 21.236 5.69968 0.286632 0.609777 7.17249 12.6473 42.5159 0.414319 37.7634 1.90042 3.22574 -50.21315 -875.6058 -925.819
168900 1142.35 8.90155 4.12936 18.6899 6.23926 10.2497 0.0186265 110.687 20.9118 8.10332 1.75004 0.0251743 0.0849253 0.619754 0.512857 21.8208 4.5605 0.554948 0.78995 5.72342 6.78566 36.0297 0.592165 66.9667 1.7928 2.58565 -54.48421 -875.0621 -929.5463
47000 1168.01 17.9549 3.4264 10.7887 3.44618 8.24659 0.012515 127.217 22.2329 6.25242 2.43273 0.210196 0.453552 0.72505 0.39911 20.0286 4.84937 0.221987 0.159161 4.90293 11.1151 54.2249 0.389177 63.9156 1.50423 3.13668 -46.89993 -873.4554 -920.3553
64700 900.846 18.735 3.26859 7.95083 2.63028 9.53143 0.0098187 151.062 40.6618 8.51119 1.71909 0.320518 0.551834 0.672061 0.499727 24.7982 4.01702 0.369749 0.31934 2.28751 6.51161 56.0534 0.504642 49.4597 1.43215 2.7385 -49.76778 -877.1945 -926.9623
108800 318.91 10.3814 3.68488 12.8584 4.31272 7.79049 0.0226733 95.4988 10.5986 9.85232 1.07199 0.276487 0.688375 0.667014 0.496029 20.7217 6.96995 0.365705 0.379515 1.47826 5.10271 25.2411 0.458227 24.1136 1.62742 2.10133 -47.78517 -875.4059 -923.191
85300 1662.34 18.0054 2.67365 19.2029 5.46977 5.91899 0.0192852 132.181 40.8056 10.1342 2.71448 0.439291 0.287865 0.786762 0.698247 20.6466 4.85612 0.313964 0.815665 6.10534 10.7776 37.0094 0.490611 56.0528 1.31254 3.89994 -53.21249 -876.0934 -929.3059
78100 5082.3 15.069 3.87688 12.6781 2.82274 18.327 0.0104855 126.054 28.7062 10.0269 2.52136 0.230382 0.15302 0.650646 0.299838 25.2001 6.14246 0.114617 0.129212 9.25591 10.3579 38.1009 0.116336 52.7584 1.37353 3.196 -57.00083 -875.9523 -932.9532
177000 1438.12 13.9254 3.49592 18.1816 3.73269 9.65123 0.0185172 115.507 18.8557 11.9996 1.74152 0.166829 0.0452154 0.694831 0.444195 19.8218 5.6876 0.227893 0.570927 6.80721 8.50398 40.6457 0.478273 55.6879 1.79618 2.27811 -50.53425 -874.5448 -925.079
50600 1641.91 16.6576 3.69134 11.72 3.87458 14.5115 0.0305245 115.861 15.0502 6.7222 1.51589 0.0711943 0.870414 0.6707 0.363809 20.9954 3.45442 0.205352 0.322247 5.00753 9.13278 35.5531 0.725586 16.4346 1.7053 2.62925 -49.69309 -878.3201 -928.0132
121500 2429.87 8.87325 3.97962 7.08887 3.91296 8.70834 0.0095457 117.105 18.2475 8.83261 2.29845 0.109176 0.264513 0.634238 0.405919 16.9067 6.41986 0.537916 0.156537 6.85916 11.7102 61.2823 0.40183 34.8653 1.37405 3.86385 -50.70106 -875.6291 -926.3301
122100 216.798 16.1068 3.51445 15.0816 3.88292 6.79759 0.0278195 90.0661 17.9762 5.39334 1.41616 0.296575 0.655215 0.79225 0.541914 19.8061 3.83859 0.373469 0.126567 1.60514 9.74689 63.5807 0.538739 32.8498 1.59259 1.80775 -47.992 -877.7377 -925.7297
128700 1270.93 14.6625 2.9111 14.9911 3.29275 7.32881 0.0212861 117.369 33.0376 9.9935 1.66499 0.521662 0.860395 0.810561 0.544332 16.2862 2.35071 0.123692 0.483957 8.62459 10.265 47.132 0.419744 47.3172 1.83897 2.11198 -51.05751 -877.1226 -928.1801
46800 365.314 17.6522 4.01935 8.53521 5.15712 8.92247 0.016756 110.562 27.1157 5.78707 2.02489 0.213871 0.539629 0.733814 0.563103 23.38 3.28398 0.734351 0.219479 3.40163 4.25599 59.8267 0.583745 41.5917 2.132 2.30496 -49.78793 -878.3732 -928.1611
196700 742.207 7.83812 3.9822 9.24212 3.84045 10.0229 0.0208922 128.764 35.5547 4.68969 1.20289 0.418946 0.478471 0.642347 0.543452 22.0066 2.20821 0.418863 0.879744 11.9557 7.89054 56.105 0.56876 49.9394 1.79169 3.16374 -53.35631 -874.0164 -927.3727
198800 352.77 10.5952 3.00431 9.25206 2.77226 6.01604 0.0201628 134.157 28.0263 9.24046 2.39797 0.03916 0.390081 0.716953 0.495317 23.7829 2.1713 0.362513 0.826741 4.9781 8.53566 29.9398 0.610387 31.4206 1.80759 2.45149 -49.85695 -873.2386 -923.0956
133600 832.353 16.5161 2.36535 13.8696 4.61054 5.8321 0.0228815 127.717 23.6543 3.60487 2.05589 0.207952 0.770759 0.697111 0.668678 21.7661 4.59741 0.110344 0.673634 3.66139 10.0436 31.5618 0.793466 40.8746 1.86537 3.2009 -49.34355 -874.8116 -924.1551
88200 1194.1 19.4941 3.36778 12.6769 4.75663 9.95257 0.0172726 99.9901 14.3509 5.70682 2.41971 0.239943 0.227418 0.62566 0.53491 22.2872 5.7042 0.304196 0.476899 6.29552 6.32966 28.5605 0.634574 39.5046 1.93136 3.57549 -47.4143 -878.7973 -926.2116
108100 406.056 12.0895 3.75295 15.7529 4.06242 6.42062 0.0183174 104.246 19.9336 11.2528 2.22498 0.439692 0.556311 0.714718 0.561828 19.9009 4.32411 0.63435 0.48834 11.189 8.87005 39.7922 0.510893 39.3449 1.42393 2.463 -47.53466 -873.259 -920.7937
139400 3510.74 13.9867 2.5976 16.6374 3.34915 10.5146 0.0151912 116.36 25.2148 2.03865 2.2796 0.424154 0.0431103 0.740544 0.51908 25.843 4.69657 0.105625 0.321072 12.5601 10.6765 39.6172 0.583931 41.3799 1.59186 2.18086 -53.31828 -876.5109 -929.8292
113900 1945.33 11.4621 3.36011 10.289 2.72878 9.02058 0.0142753 120.394 25.3511 10.7569 2.55764 0.309189 0.208458 0.839999 0.504213 19.2708 3.66095 0.640874 0.365069 6.90947 12.1959 27.213 0.146277 24.6518 1.6755 3.47805 -52.41322 -873.2921 -925.7053
133400 520.357 15.16 3.65185 15.2398 4.14822 8.46436 0.0166474 94.4179 12.2875 10.6404 1.75573 0.157684 0.209265 0.634614 0.602215 21.8204 4.00051 0.616889 0.605839 7.52914 7.10587 25.3868 0.79334 28.2557 1.55087 2.91186 -48.63314 -875.6357 -924.2689
54200 2355.52 17.8345 3.05107 16.1851 4.86468 8.70668 0.0209092 116.326 19.7705 4.52551 2.02811 0.312847 0.205409 0.75649 0.461046 18.0579 3.95663 0.137377 0.542419 5.30948 12.7531 45.5891 0.781307 60.8609 1.48234 1.95902 -49.6381 -875.7933 -925.4314
178100 192.005 18.8213 3.92328 9.24201 3.20893 5.36258 0.0216723 148.828 37.5297 7.72848 2.25547 0.358478 0.714878 0.758147 0.437767 17.5371 3.96134 0.257597 0.975011 2.64142 10.2537 43.7756 0.485652 50.5325 1.41245 2.28041 -50.10405 -872.3005 -922.4046
108200 65.2695 7.13176 4.37621 10.506 2.49376 6.06398 0.0207686 119.874 30.9498 6.5325 1.8055 0.367343 0.224663 0.804721 0.424483 19.8915 4.10064 0.257526 0.790819 13.7462 5.97829 21.1941 0.138301 32.5436 1.96628 2.11779 -52.25726 -875.5256 -927.7829
156400 428.942 7.99842 2.7146 8.37082 3.38804 7.29175 0.0237652 117.581 33.2299 10.4831 2.75405 0.118785 0.2051 0.709187 0.70322 22.239 3.38301 0.119847 0.893498 6.63895 6.83351 36.1184 1.0508 69.6309 1.92666 3.38568 -54.04311 -876.1768 -930.22
