Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.514952	18.3526	4.7083	0.349452	0.16471	4.67467	6.85137	34.3053	0.281295	41.9309	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.480976	15.6986	3.62526	0.190331	0.125386	2.76861	2.86709	36.2442	0.710961	14.0871	0.16057	1.14638	116.788
2	1558.96	9.96419	3.63211	14.7217	3.22419	9.56959	0.00756213	150.942	23.1256	5.17922	2.9198	0.564025	0.335772	0.754065	0.33292	18.0819	3.89841	0.420458	0.230808	3.58255	6.07915	41.206	0.631421	32.191	21.771	4.02549	1558.96
3	1260.55	15.251	3.3318	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.417453	18.0083	3.98199	0.541171	0.694389	7.79006	6.09323	32.4398	0.475714	41.3253	0.147824	1.12572	1260.55
4	4309.16	8.53286	1.52616	8.38981	5.7631	9.41888	0.016644	99.7273	30.913	9.40721	1.86717	0.483687	0.400297	0.635124	0.263669	22.1314	3.8805	0.294634	0.140165	4.73968	9.8084	29.5027	0.427745	53.4352	3.77252	4.6474	4309.16
5	3481.57	15.1026	2.10704	16.6682	4.40493	5.09423	0.0219764	118.536	39.1059	4.51455	2.2069	0.26839	0.858747	0.697172	0.766525	18.5561	2.9874	0.332824	0.113702	6.34715	7.16766	55.3818	0.619918	41.9972	1.35841	0.90302	3481.57
6	171.103	14.8669	2.78678	12.9302	3.53921	12.8526	0.00528185	101.548	37.2139	10.6302	1.50588	0.472062	0.594615	0.69053	0.708086	21.1567	4.72013	0.24767	0.0542206	2.20684	7.57937	22.0067	0.49215	31.3396	0.206013	1.73351	171.103
7	155.445	18.4175	3.43444	10.9107	3.95838	12.3519	0.0565991	109.225	24.8152	9.67843	2.07306	0.394869	0.573719	0.717412	0.696142	16.9681	3.80767	0.340896	0.247236	3.96894	8.05419	27.543	0.830113	45.5616	0.119485	0.940076	155.445
8	4051.18	16.4993	2.99613	14.2667	3.44764	16.0437	0.0150414	151.012	24.2839	6.68044	1.14581	0.448322	0.577863	0.830483	0.261326	15.412	3.20405	0.30647	0.42504	9.32795	9.10772	23.0987	0.493404	55.1983	0.182871	0.373451	4051.18
9	353.244	7.00782	2.671	14.9467	4.36454	6.86224	0.0152232	123.208	40.423	11.6886	2.52015	0.211945	0.448137	0.732292	0.637643	21.5599	5.48442	0.173733	0.408541	12.7169	4.97344	30.1595	0.606985	34.1399	1.30755	0.716035	353.244
10	1839.33	15.2672	2.61986	7.4828	4.38886	12.5835	0.0105926	103.558	34.2877	11.1172	2.12088	0.408036	0.638599	0.877091	0.362671	16.9024	4.88635	0.120241	0.473066	2.27943	7.81965	29.8707	0.330279	64.9907	13.029	1.39331	1839.33
11	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	125.469	35.8044	6.16016	2.68818	0.0610715	0.0239274	0.76465	0.467539	18.0954	5.45436	0.13593	0.166024	6.06125	7.08068	27.5205	0.296897	53.3863	27.9361	0.148224	1822.9
12	669.568	18.4444	1.92071	7.4876	3.37515	7.33347	0.00615807	133.56	21.1015	7.43428	1.97428	0.208062	0.873257	0.665848	0.123329	18.6472	4.46585	0.819766	0.193968	5.81454	5.98911	37.7832	0.469542	37.5881	0.247001	1.83489	669.568
13	1781.64	16.7829	3.98586	15.3793	4.48987	5.97329	0.00799324	164.091	24.1819	3.442	2.86868	0.180488	0.59243	0.896631	0.689904	17.6104	1.81917	0.511005	0.269762	2.01533	1.86184	32.6993	0.160532	64.3064	0.377008	7.34539	1781.64
14	12.2305	16.8816	1.93441	11.5617	2.91362	10.3992	0.017074	82.8139	4.84828	5.88828	1.29979	0.325451	0.541876	0.703541	0.488538	19.823	5.59426	0.577494	0.301615	2.80247	5.66828	22.0972	0.219674	38.4196	9.35427	34.5928	12.2305
15	2222.88	19.5088	3.14138	8.39942	3.46974	11.896	0.00455216	62.3995	10.8416	9.38561	1.00826	0.13408	0.473703	0.848745	0.454511	19.7599	3.02946	0.58348	0.0565415	13.4977	6.6254	49.5161	0.641731	41.1446	9.72346	2.85977	2222.88
16	1696.92	13.5859	2.94212	19.577	4.31887	16.2372	0.00410901	60.0666	28.6412	6.25747	2.17688	0.410312	0.387594	0.762506	0.394957	19.1379	1.23193	0.610116	0.338337	3.41233	5.47287	58.9968	0.583609	66.9025	1.00002	0.269155	1696.92
17	14.597	13.2568	2.39275	16.5178	5.06554	8.89506	0.0139035	153.534	37.5486	6.28904	2.62013	0.304602	0.685814	0.637327	0.621096	20.6982	4.33746	0.211232	0.589893	10.7148	3.97145	33.6463	0.390003	64.8959	1.99019	7.07743	14.597
18	199.933	12.9053	1.55518	18.4678	3.34229	8.16992	0.00412457	97.7547	24.2472	4.98685	1.53943	0.258169	0.507367	0.756873	0.100099	15.8549	3.65539	0.228301	0.245472	3.53134	4.69678	34.0602	0.277423	68.2311	12.7588	5.30997	199.933
19	5.18247	12.9951	2.97803	16.9569	4.72298	9.16267	0.00703665	157.95	6.67698	6.01794	1.63068	0.058011	0.841431	0.884419	0.612963	21.6211	4.80637	0.517327	0.193581	7.88817	4.50899	42.6365	0.430266	38.9278	13.8811	0.24365	5.18247
20	1288.38	8.3813	3.82692	19.8663	5.37955	10.1407	0.0143652	94.5901	15.6693	5.7984	2.07528	0.0683895	0.608078	0.607467	0.391469	15.1752	4.82143	0.404302	0.262989	9.40423	5.00404	27.953	0.48041	52.5373	0.250619	0.528458	1288.38
21	1037.92	16.7619	2.74567	7.39173	6.33709	12.0798	0.0173194	111.794	26.3519	7.47194	2.81414	0.204775	0.200706	0.734587	0.654293	16.4245	4.8625	0.494496	0.603565	9.00168	7.74981	32.9128	0.242319	48.4349	29.3999	0.714143	1037.92
22	7730.21	13.366	2.6942	15.162	4.7135	9.14123	0.0118612	132.309	15.5738	10.8172	2.0091	0.146669	0.278652	0.852898	0.436455	20.1367	4.99571	0.131098	0.287365	6.46331	7.73399	45.0346	0.412955	51.4573	0.210327	3.87567	7730.21
23	605.208	9.87594	2.62376	12.5286	3.93902	13.9741	0.0191282	127.84	32.9808	7.95746	2.93114	0.394133	0.735006	0.774399	0.174727	15.1354	3.29133	0.1304	0.106758	13.1196	6.73711	27.4021	0.587398	57.7991	0.26584	5.67513	605.208
24	83.7482	9.1051	4.0168	17.9689	3.36548	7.38725	0.00974457	160.928	22.6939	7.16359	2.1689	0.13563	0.492276	0.785516	0.193671	20.9622	2.72655	0.221053	0.360784	10.8092	9.20029	44.3422	0.347842	32.6715	38.0783	20.1707	83.7482
25	809.111	11.5316	3.98879	11.6878	4.09883	13.6543	0.0185786	139.564	20.8789	8.14071	2.62774	0.0835377	0.744668	0.740531	0.39038	19.3181	3.5913	0.250339	0.105253	8.07572	7.5941	37.2642	0.558265	20.0538	0.161497	2.84447	809.111
26	7832.12	14.4433	3.00949	11.2592	4.49944	12.5695	0.00553278	157.815	8.42791	3.9245	2.23099	0.14928	0.348151	0.670945	0.761884	20.3478	6.27529	0.505062	0.244001	5.33148	12.6477	26.7046	0.791877	29.8558	9.4236	6.2792	7832.12
27	2405.02	8.72047	3.32643	17.5265	5.31558	22.6646	0.00633032	134.114	4.10286	5.51512	1.25801	0.197729	0.938115	0.737306	0.275958	18.814	1.37856	0.29858	0.120131	9.5981	10.0766	35.1929	0.451816	58.577	0.244863	0.180237	2405.02
28	5136.24	12.475	3.47644	17.6554	5.07352	14.504	0.011544	92.5685	6.89445	3.87829	2.42972	0.391595	0.905028	0.719668	0.543195	20.2803	4.48341	0.214636	0.433149	11.1925	9.20545	33.5057	0.531731	71.6173	0.373538	10.5314	5136.24
29	3831.54	11.5657	2.92855	16.6114	4.97792	12.0744	0.0142176	95.5974	36.8509	9.87175	1.97632	0.094387	0.694952	0.689188	0.546268	20.7074	4.32428	0.407537	0.252129	5.08425	6.09847	46.0579	0.541337	35.2915	13.328	0.173586	3831.54
30	1294.83	11.4909	2.67617	13.8142	4.71593	13.3674	0.00583155	67.2851	28.8162	4.36078	1.01252	0.115378	0.135398	0.66331	0.694393	18.268	3.12602	0.479276	0.198935	8.03622	5.75782	34.7956	0.258108	37.7184	9.02487	1.20209	1294.83
31	65.8378	16.9084	2.53065	12.1011	4.55539	6.11433	0.0224287	134.303	27.1437	11.1553	2.81905	0.482318	0.451795	0.69788	0.259927	21.475	3.60484	0.261651	0.36574	5.08498	1.10046	26.4618	0.367984	55.5325	0.944068	5.09232	65.8378
32	1515.71	15.8288	1.94829	10.2352	3.82597	12.4419	0.00189985	149.469	1.99123	8.58634	2.16071	0.186764	0.285698	0.786194	0.731466	16.3542	4.21527	0.294913	0.0630146	3.92849	4.59185	37.8213	0.4518	50.5091	0.385801	1.03683	1515.71
