"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2382.83 16.3176 2.54543 12.1184 3.42842 7.88722 0.00599155 126.292 10.0892 4.8422 2.13946 0.388553 0.737769 0.624264 0.54289 19.8714 5.52648 0.385945 0.239018 4.52551 6.89157 38.0793 0.24539 29.6523 4.89686 1.53239 -47.73648 -689.6196 -737.3561
66300 953.952 20.7274 2.0917 9.86518 3.2774 9.86209 0.0102176 118.174 10.2328 4.13486 1.8527 0.305644 0.885557 0.695566 0.796549 18.7674 4.74399 0.654791 0.069436 7.22951 4.0547 30.5248 0.204446 21.0017 6.18301 1.81862 -51.32347 -689.3215 -740.645
200000 1038.55 8.91716 2.80532 12.6061 6.73631 8.2001 0.00701664 113.978 9.30287 9.69298 1.22695 0.0335233 0.814501 0.866022 0.586892 19.5656 4.35447 0.387641 0.171701 4.53975 4.75292 30.5149 0.261437 37.7228 4.65681 2.91033 -50.53587 -691.1069 -741.6428
161800 1016.92 8.81366 3.15474 18.924 4.55731 5.11454 0.00494981 123.161 11.0948 4.76716 2.39094 0.340527 0.665595 0.666553 0.4005 15.5232 1.50367 0.173301 0.24638 4.02697 7.5017 32.3345 0.204668 50.3468 5.43032 1.27434 -46.13792 -690.2909 -736.4288
170600 1757.45 11.1858 2.85017 14.6125 5.39123 13.6573 0.00945998 119.594 12.1549 6.85918 1.28956 0.100201 0.276242 0.720809 0.602695 16.9104 6.75334 0.254788 0.809463 8.15578 1.75949 29.2485 0.605643 50.3302 4.63326 1.08411 -48.94167 -691.5315 -740.4732
168200 773.65 10.0336 3.11459 7.85909 4.22239 10.1705 0.00947456 120.008 13.0068 5.09901 1.59159 0.139318 0.531566 0.741898 0.493101 15.8429 3.4342 0.188914 0.393967 10.8013 6.46416 37.0706 0.661829 56.9766 4.13182 1.57107 -44.36556 -694.8874 -739.253
67100 457.546 17.9096 2.89512 19.2814 2.7828 13.0138 0.00941879 116.05 13.0405 7.81228 1.91693 0.229676 0.887163 0.640746 0.724756 16.78 5.47004 0.262097 0.469923 7.27367 1.82734 31.6548 0.738997 62.6901 5.0852 2.06404 -48.13202 -687.6706 -735.8026
106100 2517.97 7.98381 1.91861 13.0694 3.87482 7.80824 0.00623127 114.394 11.4514 9.30745 2.74169 0.371932 0.707986 0.601912 0.771787 16.5275 3.67021 0.148088 0.37039 6.13205 6.32002 33.5999 0.217779 27.92 6.61322 1.9871 -48.29104 -693.9268 -742.2178
168900 534.632 7.86157 3.89618 15.8689 4.37822 7.81621 0.00568535 116.302 11.2324 5.17397 2.12608 0.175966 0.156504 0.812822 0.344448 17.2085 5.20324 0.0680551 0.563866 5.4041 4.60079 30.8407 0.231092 66.7486 5.85367 0.922634 -47.34452 -693.3134 -740.6579
47000 470.087 8.16993 3.09038 17.1706 5.21645 14.1724 0.0162976 120.744 9.99541 2.31766 2.66085 0.228246 0.826506 0.867271 0.636345 15.3879 4.02264 0.0306571 0.177071 2.34824 3.5131 25.429 0.599142 34.0212 5.9882 1.43586 -49.54725 -691.0115 -740.5587
64700 392.617 12.5159 3.11466 10.1914 4.89492 9.25231 0.00992398 111.123 9.67434 3.46589 2.03891 0.361515 0.871776 0.69344 0.575457 17.2305 4.94083 0.20826 0.154327 9.14277 5.52925 35.9853 0.205747 38.2283 4.26474 1.36233 -44.52103 -695.1977 -739.7187
108800 1441.61 19.5116 2.45182 10.2798 2.49264 8.39581 0.00626254 121.158 10.9739 5.65962 1.27961 0.0388412 0.289008 0.662795 0.528994 17.5375 5.90628 0.230777 0.499754 3.59279 5.94601 29.6399 0.798437 42.03 5.67877 1.75121 -47.38021 -689.8247 -737.2049
85300 1709.97 16.6619 2.96191 11.5461 4.23493 11.7345 0.00716201 118.27 10.1326 6.68302 2.53781 0.0983794 0.526966 0.699302 0.400656 20.1703 6.43103 0.0314215 0.193169 6.38373 5.66202 27.7022 0.217229 46.8003 4.67493 2.14828 -48.31254 -689.433 -737.7456
78100 300.973 19.1336 3.16002 8.41829 3.18801 6.50599 0.00606119 113.971 11.7077 5.70132 2.44773 0.0876208 0.293837 0.777632 0.505815 16.6626 4.6453 0.262319 0.33759 2.54226 4.77209 36.1701 0.274632 43.7352 3.56433 3.08138 -44.46752 -695.2473 -739.7148
177000 300.37 14.0597 2.92404 19.3525 5.04332 7.90818 0.00756239 113.854 16.7271 6.55418 1.42075 0.404264 0.562009 0.733248 0.762324 19.1724 3.78643 0.478935 0.592819 9.15036 2.62726 32.2494 0.496453 67.3089 3.71935 2.01056 -46.77693 -692.4769 -739.2539
50600 413.07 10.6363 2.33245 10.7524 2.62152 11.4878 0.0114751 109.958 10.3668 6.42325 1.88973 0.231307 0.621775 0.882003 0.839669 19.1783 7.23098 0.447598 0.277009 4.4822 3.79402 50.9394 0.485592 30.569 5.25361 2.64091 -51.8254 -692.3734 -744.1988
121500 3467.36 18.6113 3.13443 15.0291 4.53687 19.7575 0.0110604 121.964 10.4975 6.82241 2.90078 0.404429 0.628724 0.683286 0.542129 17.1914 3.98922 0.325086 0.540278 7.47288 1.72327 29.611 0.51926 40.3218 4.79023 1.20622 -48.68241 -692.1746 -740.857
