"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 784.968 8.61252 2.1445 13.5742 3.09431 11.6931 0.0168828 92.3109 6.77415 7.97339 2.23011 0.504805 0.797119 0.672007 0.838113 18.5173 4.23023 0.384385 0.198177 8.08917 5.66441 49.11 0.497082 49.84 2.98547 18.4912 -48.59225 -693.1193 -741.7115
66300 116.752 8.39213 4.26174 9.83104 2.17974 9.12383 0.0174482 100.132 14.3027 10.4741 2.80307 0.558999 0.371882 0.823553 0.382286 18.9092 4.47167 0.21821 0.372319 9.51726 8.30502 54.8647 0.364469 37.8356 4.50522 14.3847 -51.23338 -692.8239 -744.0572
200000 87.5699 19.6721 4.00068 12.4196 3.45889 5.00759 0.00911306 139.375 36.3299 3.60497 2.8306 0.554709 0.231381 0.730821 0.378911 22.2397 2.07478 0.308166 0.478241 5.63891 9.3742 51.5356 0.367537 30.8478 3.04078 13.2752 -51.09686 -691.9454 -743.0423
161800 368.12 8.63133 3.26593 15.925 4.25576 10.5495 0.0220595 106.054 12.38 7.96627 1.4267 0.19715 0.627903 0.727226 0.580633 19.3582 4.35269 0.304049 0.443428 3.16848 7.1969 49.8326 0.629714 22.9871 2.86834 29.1838 -48.35408 -694.9764 -743.3304
170600 119.112 14.8569 2.61417 19.4332 2.50246 7.64883 0.0169666 96.6131 13.835 10.4449 1.50812 0.252662 0.274719 0.702645 0.77336 16.2604 5.58563 0.108015 0.537595 2.33912 3.26626 34.5303 0.227774 21.103 3.61515 32.2382 -53.08411 -692.9104 -745.9946
168200 110.304 12.6829 2.89937 15.8469 3.2817 7.22236 0.0227116 97.3837 11.2602 5.52909 2.74957 0.105935 0.591248 0.706877 0.686045 20.6986 7.05793 0.401612 0.330341 7.32021 7.12853 32.7244 0.547901 46.6541 3.07657 20.1203 -48.22545 -692.6109 -740.8364
67100 102.311 13.7662 3.87746 8.89817 3.33949 6.62587 0.0192038 123.891 23.1347 9.73214 2.20013 0.277966 0.48476 0.623025 0.383757 22.4743 2.97216 0.186396 0.734289 10.1767 12.1632 49.3194 0.51218 18.5731 4.12975 28.3479 -52.55869 -687.2837 -739.8424
106100 102.538 12.3575 2.86498 14.5471 3.69907 10.2572 0.0339168 87.898 7.88682 7.26859 1.85217 0.132647 0.804971 0.827721 0.944712 19.0245 8.08835 0.858033 0.336505 11.5431 6.05125 30.4897 0.467989 64.5649 3.91245 12.7004 -57.76682 -693.5196 -751.2864
168900 2883.52 15.622 2.38366 14.2585 5.37978 6.86851 0.0120179 110.307 14.4359 8.89082 1.36689 0.239415 0.0297926 0.804322 0.554277 18.0052 4.25655 0.33546 0.335238 9.76568 12.4459 45.7161 0.471347 93.7905 3.02949 19.1128 -56.5344 -693.6323 -750.1667
47000 687.331 20.5449 3.72837 16.8089 3.36912 7.88273 0.00627411 126.378 22.0885 6.19606 1.84532 0.368308 0.107289 0.705558 0.41328 21.3425 3.55348 0.415945 0.198635 9.88294 12.7767 68.8335 0.441384 47.4874 3.41064 17.6047 -50.53413 -692.4958 -743.0299
64700 150.497 8.3952 3.4715 14.5977 3.93716 6.44674 0.0125002 103.699 13.9341 6.82263 1.4635 0.0415929 0.301787 0.780538 0.418403 23.4424 3.21136 0.22496 0.195458 8.4567 10.4533 57.0784 0.537413 31.2299 2.95466 38.6789 -48.62822 -691.4945 -740.1227
108800 308.036 18.2504 3.05961 15.5958 3.18542 5.62641 0.01153 135.988 21.1397 7.01436 2.09571 0.0645528 0.274043 0.848519 0.508563 23.9459 3.89613 0.640319 0.329612 2.90389 13.7209 58.1614 0.596584 24.0119 3.67746 10.6643 -52.35329 -690.9314 -743.2847
85300 420.137 20.4144 2.96178 9.81693 5.33353 7.60141 0.0211637 106.178 10.3049 4.86492 1.67363 0.177319 0.64642 0.632833 0.536388 18.8943 5.79777 0.358534 0.172253 5.48751 6.52091 30.512 0.454424 34.8511 3.80507 26.8344 -47.87455 -695.943 -743.8176
78100 311.483 15.4252 3.60897 15.8354 3.9317 5.93994 0.010603 99.1977 11.4304 9.10844 1.95174 0.557046 0.245847 0.727056 0.403176 18.3725 3.3268 0.200663 0.328826 13.5532 9.67492 43.7356 0.356075 55.8555 3.81885 30.7491 -49.31344 -690.9667 -740.2802
177000 2590.53 15.3982 2.90243 8.62357 3.5413 6.89151 0.00444025 149.66 23.1831 8.20498 1.52671 0.294572 0.0859552 0.739598 0.500297 26.1728 4.82599 0.636538 0.206092 6.02956 13.3608 58.6615 0.518675 46.1493 3.48269 25.3757 -55.003 -690.3708 -745.3738
50600 2871.8 16.511 3.36391 17.5305 5.33043 8.74816 0.00887645 104.244 10.8449 9.01393 1.98931 0.346366 0.0613244 0.651242 0.310754 18.6903 4.71185 0.0843935 0.259536 8.4891 9.66452 53.9582 0.548838 30.5563 3.08125 36.6671 -52.06906 -692.0397 -744.1088
121500 109.832 19.7403 2.61493 12.2975 3.38064 6.28112 0.0194518 87.21 7.79394 7.08869 2.01688 0.1796 0.116552 0.840665 0.701 22.0423 2.24461 0.251301 0.364675 4.11405 7.24871 53.9297 0.511277 67.0532 3.36597 15.4723 -51.21527 -691.6222 -742.8375
122100 34.1087 19.4851 4.00423 7.94756 4.13441 6.33867 0.0219124 89.8944 16.069 3.99575 2.7286 0.218529 0.580304 0.744261 0.603935 19.9467 4.59962 0.242052 0.434075 13.4898 7.42513 28.4431 0.184408 53.7583 3.96138 13.0933 -50.9352 -692.129 -743.0642
128700 2130.26 14.5912 2.79751 8.19307 2.54864 8.40877 0.00853928 100.202 8.43047 4.38805 2.8079 0.439785 0.0652567 0.901747 0.421224 18.9442 5.72845 0.263452 0.14844 6.94269 9.1304 41.6731 0.542351 59.8684 2.83638 29.9716 -52.64865 -694.5333 -747.182
46800 589.306 19.7608 3.45227 11.8062 5.25314 7.22429 0.0139297 120.169 16.0551 6.28945 1.29221 0.0865134 0.492123 0.61503 0.459188 21.8248 3.01222 0.492041 0.254193 1.02934 13.0395 50.2876 0.535168 45.2239 4.25316 12.3188 -51.48134 -695.2138 -746.6951
196700 43.3468 16.7323 3.72819 16.7742 4.72154 5.91387 0.018742 86.7646 12.8925 8.33958 2.02597 0.491939 0.759679 0.71966 0.627157 24.4299 2.65333 0.160799 0.555676 9.87646 6.67009 45.1158 0.454752 17.2668 3.90257 14.8174 -51.73987 -690.0336 -741.7734
198800 181.104 9.165 3.26786 7.21851 2.28282 6.17397 0.0117415 121.068 23.1559 6.01377 1.23106 0.493047 0.292706 0.646768 0.526059 20.1231 1.40447 0.550684 0.508962 9.93646 12.1911 47.9398 0.533616 46.0133 3.34369 16.3731 -52.36034 -689.7832 -742.1435
133600 650.667 9.37256 2.36207 16.8355 3.42191 5.69125 0.012005 110.77 13.1453 9.46692 1.90943 0.424596 0.742511 0.671225 0.584999 20.8046 4.82791 0.302493 0.323145 7.1958 10.1458 42.6709 0.59393 36.7488 3.09102 20.7877 -47.47367 -691.358 -738.8317
