Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.511449	19.4412	4.97446	0.349452	0.16471	4.67467	6.85137	35.0584	0.300786	38.2701	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.477071	16.6649	3.83219	0.190331	0.125386	2.76861	2.86709	37.5446	0.649384	44.5289	0.16057	1.14638	116.788
2	55.2394	20.7911	3.63211	14.7217	3.22419	9.56959	0.00756213	150.942	23.1256	5.17922	2.9198	0.564025	0.335772	0.754065	0.327259	19.158	4.12028	0.420458	0.230808	3.58255	6.07915	43.9069	0.584851	24.767	21.771	4.02549	55.2394
3	1260.55	15.251	3.3318	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.412795	19.081	4.20843	0.541171	0.694389	7.79006	6.09323	32.6663	0.458522	37.4305	0.147824	1.12572	1260.55
4	4309.16	8.53286	1.52616	8.38981	5.7631	9.41888	0.016644	99.7273	30.913	9.40721	1.86717	0.483687	0.400297	0.635124	0.257187	23.3941	4.10138	0.294634	0.140165	4.73968	9.8084	28.9003	0.419605	54.2193	3.77252	4.6474	4309.16
5	3481.57	15.1026	2.10704	16.6682	4.40493	5.09423	0.0219764	118.536	39.1059	4.51455	2.2069	0.26839	0.858747	0.697172	0.766006	19.6541	3.15944	0.332824	0.113702	6.34715	7.16766	62.0839	0.575518	38.362	1.35841	0.90302	3481.57
6	171.103	14.8669	2.78678	12.9302	3.53921	12.8526	0.00528185	101.548	37.2139	10.6302	1.50588	0.472062	0.594615	0.69053	0.706873	22.3746	4.98694	0.24767	0.0542206	2.20684	7.57937	34.215	0.339251	39.7968	0.863903	8.03683	171.103
7	90.1407	18.4175	3.43444	10.9107	3.95838	12.3519	0.0565991	109.225	24.8152	9.67843	2.07306	0.394869	0.573719	0.717412	0.694788	17.9929	4.02457	0.340896	0.247236	3.96894	8.05419	26.3874	0.746054	43.3036	0.119485	0.940076	90.1407
8	4051.18	16.4993	2.99613	14.2667	3.44764	16.0437	0.0150414	151.012	24.2839	6.68044	1.14581	0.448322	0.577863	0.830483	0.254816	16.3651	3.38794	0.30647	0.42504	9.32795	9.10772	34.3404	0.572415	37.6828	0.208948	0.262451	4051.18
9	551.576	14.7996	2.5475	11.5321	4.38933	11.5929	0.00525335	123.208	29.4878	11.1621	2.52015	0.211945	0.448137	0.856287	0.551667	21.1772	6.31142	0.173733	0.493123	11.4391	12.7169	25.1595	0.435571	55.6153	1.30755	0.716035	551.576
10	182.221	15.2672	2.03932	14.9443	4.56677	10.3425	0.0266488	107.634	4.2939	11.1172	2.12088	0.408036	0.638599	0.877091	0.357362	17.9242	5.16224	0.120241	0.473066	2.27943	7.81965	29.3722	0.340528	70.2394	13.029	1.39331	182.221
11	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	125.469	35.8044	6.16016	2.68818	0.0610715	0.0239274	0.76465	0.463475	19.1722	5.76131	0.13593	0.166024	6.06125	7.08068	26.3585	0.313444	54.1515	27.9361	0.148224	1822.9
12	669.568	18.4444	1.92071	7.4876	3.37515	7.33347	0.00615807	133.56	21.1015	7.43428	1.97428	0.208062	0.873257	0.665848	0.115182	19.7494	4.71875	0.819766	0.193968	5.81454	5.98911	39.5179	0.453515	32.2493	0.247001	1.83489	669.568
13	1781.64	16.7829	3.98586	15.3793	4.48987	5.97329	0.00799324	164.091	24.1819	3.442	2.86868	0.180488	0.59243	0.896631	0.688476	18.6648	1.92733	0.511005	0.269762	2.01533	1.86184	32.9991	0.202809	69.2907	0.377008	7.34539	1781.64
14	12.2305	16.8816	1.93441	11.5617	2.91362	10.3992	0.017074	82.8139	4.84828	5.88828	1.29979	0.325451	0.541876	0.703541	0.484723	20.9793	5.90887	0.577494	0.301615	2.80247	5.66828	26.3986	0.612245	47.3486	26.7674	0.307309	12.2305
15	2039.21	11.4176	2.4864	15.141	2.86462	7.45123	0.0173532	60.4956	41.8243	3.01707	2.07019	0.290608	0.674771	0.642445	0.711507	19.5199	3.07391	0.245233	0.101782	12.4074	7.26695	53.9149	0.503134	62.8769	0.913524	1.09551	2039.21
16	3514	13.3615	2.70694	8.09421	4.77497	10.651	0.0032202	76.9046	17.7767	5.68534	1.60807	0.226672	0.476385	0.743653	0.203631	18.894	7.33296	0.426054	0.0700372	4.45997	11.3997	49.942	0.424748	49.7007	10.6701	0.278625	3514
17	579.447	17.045	3.51384	13.1606	3.96348	19.3377	0.0130624	172.091	5.59413	4.64968	2.79046	0.451184	0.76874	0.773177	0.783004	19.2746	6.14201	0.391769	0.38267	6.96502	8.7862	79.5365	0.844862	61.012	0.434704	0.266997	579.447
18	52.7613	9.89034	3.08092	9.64475	4.56873	7.806	0.00770792	111.964	18.6857	7.52283	2.01836	0.225259	0.0436884	0.801212	0.216292	18.3932	4.61809	0.261103	0.103373	7.50259	12.1151	44.4955	0.434178	31.7212	13.3023	6.2404	52.7613
19	94.8259	11.8818	3.36816	11.6446	4.07957	7.36998	0.00783569	175.048	12.2738	3.51943	2.53027	0.215977	0.257883	0.884419	0.773221	22.8173	6.33239	0.101583	0.256041	5.30304	3.68591	34.5478	0.495589	30.8845	2.09966	23.9289	94.8259
20	379.628	15.4521	3.08993	11.3887	2.42177	12.0605	0.0410743	170.283	31.8787	8.1062	2.3391	0.300884	0.540516	0.742595	0.345029	18.831	4.47348	0.672739	0.357049	4.87684	7.07007	56.1103	0.731393	37.3792	0.26266	23.1008	379.628
