"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,0
8,"CumDeath",0,0,0,0,0,0,0,0,1.72214912499997e-09
9,"CumDeath",0,0,0,0,0,0,0,1.55435849999994e-09,3.51179074999997e-08
10,"CumDeath",0,0,0,0,0,0,7.78173800000001e-09,5.6324835e-08,8.70481149999999e-08
11,"CumDeath",0,0,0,0,0,5.1209575e-09,6.948535e-08,1.3051695e-07,1.96898225e-07
12,"CumDeath",0,0,0,0,9.378855e-09,7.817065e-08,1.761373e-07,2.5286215e-07,3.07858675e-07
13,"CumDeath",0,0,0,1.38124e-08,8.67242e-08,2.0824475e-07,3.258897e-07,4.173004e-07,5.0034345e-07
14,"CumDeath",0,2.0204878e-09,4.263878e-08,1.13218e-07,2.098285e-07,3.632015e-07,5.347602e-07,6.269441e-07,8.140283e-07
15,"CumDeath",2.98868925e-08,7.4517935e-08,1.349203e-07,2.2530725e-07,3.77351e-07,5.774495e-07,7.95146e-07,9.75447149999999e-07,1.178204e-06
16,"CumDeath",1.386239e-07,2.012783e-07,2.452588e-07,3.7300825e-07,5.821455e-07,8.37587e-07,1.137408e-06,1.423459e-06,1.5932385e-06
17,"CumDeath",2.3273725e-07,3.0563545e-07,3.971617e-07,5.76681e-07,8.34586e-07,1.16946e-06,1.551224e-06,1.821131e-06,2.16782525e-06
18,"CumDeath",3.64096525e-07,4.2578015e-07,5.663303e-07,7.94792e-07,1.153255e-06,1.5735525e-06,2.099959e-06,2.4265155e-06,2.8026025e-06
19,"CumDeath",5.27051275e-07,6.009298e-07,7.609632e-07,1.082215e-06,1.54385e-06,2.1222125e-06,2.742956e-06,3.145351e-06,3.5054865e-06
20,"CumDeath",7.1336825e-07,8.272029e-07,1.026419e-06,1.43182e-06,2.006005e-06,2.7799375e-06,3.539213e-06,3.9705455e-06,4.36770475e-06
21,"CumDeath",9.41378075e-07,1.1070615e-06,1.357729e-06,1.8539075e-06,2.59358e-06,3.61887e-06,4.525637e-06,4.9810115e-06,5.7345255e-06
22,"CumDeath",1.2479075e-06,1.414648e-06,1.764183e-06,2.3898975e-06,3.34596e-06,4.5774e-06,5.691417e-06,6.3229675e-06,7.42296475e-06
23,"CumDeath",1.6179815e-06,1.822324e-06,2.244419e-06,2.9938375e-06,4.187275e-06,5.658935e-06,7.056256e-06,7.93142599999999e-06,8.8090225e-06
24,"CumDeath",2.07634375e-06,2.2983035e-06,2.773703e-06,3.7058125e-06,5.219035e-06,7.04325e-06,8.772857e-06,9.99414699999999e-06,1.09591675e-05
25,"CumDeath",2.60143775e-06,2.87138e-06,3.46849e-06,4.60637e-06,6.40136e-06,8.59767e-06,1.082015e-05,1.248442e-05,1.37519375e-05
26,"CumDeath",3.22653025e-06,3.539472e-06,4.279604e-06,5.7198125e-06,7.837835e-06,1.0598425e-05,1.320158e-05,1.5503725e-05,1.6803465e-05
27,"CumDeath",3.96825375e-06,4.4399145e-06,5.258473e-06,7.051955e-06,9.52755e-06,1.2755075e-05,1.633134e-05,1.904694e-05,2.0498805e-05
28,"CumDeath",4.84154075e-06,5.5209295e-06,6.377916e-06,8.46491e-06,1.14297e-05,1.5305675e-05,2.041059e-05,2.362569e-05,2.54958725e-05
29,"CumDeath",5.83925875e-06,6.7498705e-06,7.677602e-06,1.014125e-05,1.361035e-05,1.864665e-05,2.470358e-05,2.8399205e-05,3.080267e-05
30,"CumDeath",6.985411e-06,8.190533e-06,9.268944e-06,1.2169675e-05,1.615045e-05,2.205205e-05,2.965946e-05,3.4004365e-05,3.66875425e-05
31,"CumDeath",8.28534375e-06,9.7358615e-06,1.102523e-05,1.4414225e-05,1.897535e-05,2.5855825e-05,3.526453e-05,3.9715365e-05,4.29005925e-05
32,"CumDeath",9.82992425e-06,1.1485715e-05,1.29401e-05,1.6962325e-05,2.2214e-05,3.015685e-05,4.058143e-05,4.5783705e-05,4.97684325e-05
33,"CumDeath",1.142272e-05,1.3218815e-05,1.525949e-05,1.9574675e-05,2.58045e-05,3.4380575e-05,4.731505e-05,5.2967185e-05,5.68313625e-05
34,"CumDeath",1.3163675e-05,1.5228075e-05,1.777545e-05,2.262625e-05,2.961815e-05,3.8949025e-05,5.473887e-05,6.1429085e-05,6.4608765e-05
35,"CumDeath",1.5218675e-05,1.7354165e-05,2.026411e-05,2.5907025e-05,3.36026e-05,4.409695e-05,6.180995e-05,6.911814e-05,7.38315975e-05
36,"CumDeath",1.7352085e-05,1.9310995e-05,2.286559e-05,2.919745e-05,3.798905e-05,4.957535e-05,6.912553e-05,7.675458e-05,8.250169e-05
37,"CumDeath",1.94809525e-05,2.135258e-05,2.541515e-05,3.2706525e-05,4.2388e-05,5.5276e-05,7.67706e-05,8.4902765e-05,9.1606435e-05
38,"CumDeath",2.16435025e-05,2.3661155e-05,2.806546e-05,3.6222325e-05,4.67446e-05,6.035205e-05,8.39972e-05,9.338804e-05,0.000100869125
39,"CumDeath",2.389596e-05,2.5875635e-05,3.080251e-05,3.9760575e-05,5.140085e-05,6.56235e-05,9.052177e-05,0.0001011966,0.000109712975
40,"CumDeath",2.62014875e-05,2.8127815e-05,3.357877e-05,4.3482375e-05,5.60346e-05,7.040285e-05,9.699732e-05,0.00010867475,0.0001182304
41,"CumDeath",2.835502e-05,3.042602e-05,3.638966e-05,4.7184425e-05,6.058775e-05,7.5570875e-05,0.0001032764,0.00011599935,0.000126292625
42,"CumDeath",3.0638785e-05,3.276125e-05,3.925666e-05,5.0913625e-05,6.505765e-05,8.102475e-05,0.0001102505,0.0001238707,0.0001337318
43,"CumDeath",3.29178975e-05,3.5128985e-05,4.191983e-05,5.4645425e-05,6.93503e-05,8.6153275e-05,0.0001161497,0.00013112245,0.00014098725
44,"CumDeath",3.51626e-05,3.7692125e-05,4.497053e-05,5.82984e-05,7.39313e-05,9.1178975e-05,0.0001218814,0.00013899325,0.000148391225
45,"CumDeath",3.744886e-05,4.025073e-05,4.790756e-05,6.1559375e-05,7.843315e-05,9.628115e-05,0.0001285738,0.00014610675,0.00015593625
46,"CumDeath",3.9901735e-05,4.249306e-05,5.088555e-05,6.52047e-05,8.26644e-05,0.00010148725,0.00013526,0.0001528036,0.0001633827
47,"CumDeath",4.2155005e-05,4.4842535e-05,5.384547e-05,6.8733075e-05,8.69728e-05,0.000106371,0.0001421288,0.00015964755,0.00017065825
48,"CumDeath",4.448607e-05,4.7306955e-05,5.650585e-05,7.2132425e-05,9.115615e-05,0.00011090075,0.0001477418,0.0001665305,0.0001778992
49,"CumDeath",4.679139e-05,4.9783725e-05,5.939124e-05,7.5732425e-05,9.54852e-05,0.000115382,0.0001538321,0.00017273495,0.000184909375
50,"CumDeath",4.905642e-05,5.226536e-05,6.224039e-05,7.911685e-05,9.93204e-05,0.00012005625,0.0001597053,0.00017897015,0.000191687725
51,"CumDeath",5.1313325e-05,5.469919e-05,6.493362e-05,8.2378175e-05,0.000103122,0.00012445725,0.0001654079,0.0001849956,0.000198231425
52,"CumDeath",5.355854e-05,5.711063e-05,6.759938e-05,8.55081e-05,0.000106835,0.00012913525,0.0001710042,0.00019079815,0.00020455065
53,"CumDeath",5.57888525e-05,5.9591065e-05,7.035857e-05,8.8576575e-05,0.000110726,0.00013363975,0.000176046,0.000196402,0.000210424275
54,"CumDeath",5.80012175e-05,6.2117165e-05,7.335919e-05,9.1689425e-05,0.000114416,0.00013785625,0.000180941,0.00020176045,0.000215916825
55,"CumDeath",6.01928175e-05,6.4626395e-05,7.617276e-05,9.4427225e-05,0.0001179605,0.00014195725,0.0001860249,0.000206914,0.000221479325
56,"CumDeath",6.236096e-05,6.708672e-05,7.874963e-05,9.740415e-05,0.0001216225,0.00014595675,0.0001913046,0.0002118732,0.000226949025
57,"CumDeath",6.451578e-05,6.9512645e-05,8.128545e-05,0.0001003585,0.000124938,0.00014981325,0.0001961728,0.0002166374,0.000232193875
58,"CumDeath",6.6719125e-05,7.2014595e-05,8.382442e-05,0.000103276,0.0001283775,0.00015361825,0.0002002588,0.0002212192,0.000237232725
59,"CumDeath",6.89016625e-05,7.443829e-05,8.646199e-05,0.000106145,0.0001315785,0.00015715725,0.0002041011,0.00022561585,0.000242048775
60,"CumDeath",7.10612825e-05,7.6815855e-05,8.897797e-05,0.00010897,0.000134574,0.0001605965,0.000207789,0.0002298315,0.0002466587
61,"CumDeath",7.31961175e-05,7.9161275e-05,9.136542e-05,0.000111733,0.0001375745,0.0001640085,0.0002113212,0.0002340362,0.0002510757
