Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	349.964	16.6025	3.79887	8.31482	3.13826	5.3653	0.0207564	104.825	12.7288	4.12982	2.48804	0.373343	0.661705	0.489956	18.7204	7.75468	0.696434	0.201236	6.8593	9.91611	36.911	0.552583	46.959	0.0602319	0.318648	0.186383	0.0598193	0.265954	0.135968	0.0851545	18.7204	36.911	0.552583	46.959	0.973997	0.00736649	0.000329327	8.22765e-05	0.000414375	6.43073e-05	0.000201656	0.0141734	0.00309957	0.000301672	0.489956	0.608436	0.200214	0.0595154	0.264603	0.135278	0.0126716	6.41736	0.0518111	1.08143	1.05331	198.901	1e-15	0.00122899	0
1	878.094	18.97	4.30075	8.72967	3.54442	6.2101	0.0195395	114.303	13.3445	7.05654	1.90231	0.432434	0.74229	0.411955	18.5559	5.67284	0.67945	0.242557	3.07311	10.7982	43.4242	0.49567	35.3055	0.0527148	0.282134	0.161028	0.0454885	0.390205	0.135472	0.0793319	18.5559	43.4242	0.49567	35.3055	0.962894	0.0110029	0.000296725	9.28009e-05	0.000419056	5.09842e-05	0.000229983	0.021482	0.00324617	0.000360508	0.411955	0.547406	0.239385	0.0448936	0.385101	0.1337	0.00971181	6.14072	0.0434268	0.985009	0.948459	453.521	26.9202	0.0037784	0.000335858
2	1425.37	12.5376	3.88631	17.5688	3.40293	6.45265	0.0154982	114.107	13.9475	10.8189	2.69238	0.661337	0.677867	0.370878	18.92	4.90012	0.409865	0.152922	4.83605	10.5056	50.8182	0.618249	47.7956	0.0797601	0.293864	0.154975	0.0414366	0.251772	0.119646	0.0342813	18.92	50.8182	0.618249	47.7956	0.958341	0.0119105	0.000487825	8.59986e-05	0.000667764	6.50229e-05	0.000243028	0.0249123	0.00307534	0.000333668	0.370878	0.665952	0.150551	0.040794	0.247868	0.117791	0.00911299	12.5582	0.0228297	1.244	1.19217	483.922	23.8945	0.00352592	0.000311434
3	810.951	16.4557	3.45567	18.7447	2.19603	5.8319	0.0123191	103.696	12.4796	8.30794	1.67317	0.413681	0.715786	0.51117	18.5133	4.05675	0.763358	0.0552099	5.88486	10.5166	52.2215	0.402509	49.6756	0.0607692	0.455367	0.171471	0.0356415	0.427802	0.169866	0.0316114	18.5133	52.2215	0.402509	49.6756	0.960422	0.00828803	0.000374192	2.17495e-05	0.000800699	1.64045e-05	0.000191303	0.0264027	0.00323964	0.000312966	0.51117	0.599144	0.0549791	0.0354925	0.426014	0.169156	0.0111708	12.6455	0.0189398	1.0936	1.05032	407.383	25.4226	0.00357894	0.000290404
4	1414.41	10.3675	3.42197	14.8931	2.72192	5.0745	0.0143441	107.138	11.3752	8.47769	2.98003	0.47063	0.65354	0.506298	16.8172	6.08288	0.86543	0.171319	5.88994	9.86536	32.1775	0.599328	53.5471	0.0964553	0.367388	0.197064	0.0362806	0.219307	0.116261	0.0452791	16.8172	32.1775	0.599328	53.5471	0.956381	0.010939	0.000367522	7.55813e-05	0.000571621	8.22063e-05	0.000181579	0.0280365	0.00314811	0.000338147	0.506298	0.554861	0.170749	0.0361598	0.218577	0.115874	0.0125177	11.9471	0.0251236	1.06723	1.02067	447.296	26.0632	0.0035473	0.00031597
5	5000.73	9.43001	2.67221	7.01412	3.07474	6.7039	0.0148749	102.178	9.94937	11.1694	1.9715	0.39633	0.663208	0.520443	18.8872	3.4673	0.533718	0.173354	5.8794	8.61464	32.6033	0.548345	51.3919	0.106044	0.325231	0.149167	0.023533	0.336398	0.17083	0.056829	18.8872	32.6033	0.548345	51.3919	0.962735	0.00662609	0.000435458	9.11762e-05	0.000811648	5.82875e-05	0.000240234	0.0259186	0.00318933	0.000321539	0.520443	0.705705	0.173199	0.0235119	0.336097	0.170677	0.0104382	5.4949	0.0401045	1.05515	1.01583	449.699	29.2107	0.00363954	0.000300006
6	2780.12	17.7546	2.73906	13.2786	4.10896	5.43628	0.0207926	107.583	12.9845	5.46347	2.20598	0.343987	0.657975	0.463243	17.7151	6.77541	0.189964	0.326118	6.98967	10.0671	41.4765	0.692783	49.294	0.0563234	0.243371	0.183949	0.0414269	0.298269	0.155044	0.0379444	17.7151	41.4765	0.692783	49.294	0.958972	0.0189179	0.000322755	0.000153881	0.000341181	8.19057e-05	0.00019091	0.0177376	0.00319	0.000330026	0.463243	0.864004	0.323849	0.0411387	0.296194	0.153966	0.0121087	11.0889	0.0327841	1.09206	1.04725	444.098	26.8283	0.00361444	0.00030693
7	913.18	9.07673	2.82218	13.9957	3.89842	6.83411	0.0329265	89.7086	7.51031	6.06155	2.38823	0.51995	0.870963	0.702871	16.3666	5.43355	0.546444	0.264045	7.20032	5.99295	32.0257	0.708679	50.886	0.110172	0.256514	0.146325	0.0747098	0.36469	0.0540304	0.0295058	16.3666	32.0257	0.708679	50.886	0.982807	0.00734069	0.00022094	7.92647e-05	0.00025393	4.83098e-05	0.000230346	0.00564778	0.00319047	0.000259388	0.702871	0.824757	0.26404	0.0747085	0.364683	0.0540294	0.0108076	12.7842	0.0243352	1.03587	1.01806	424.24	28.8599	0.00354467	0.000244536
8	2070.02	8.99842	3.38116	10.3151	3.68586	6.22526	0.0173804	105.02	11.8741	10.8489	2.69174	0.60493	0.791774	0.446349	17.8237	4.30205	0.48713	0.0771682	6.10566	10.9588	48.5163	0.499538	44.3769	0.111131	0.271307	0.160636	0.044149	0.29415	0.0773574	0.0526544	17.8237	48.5163	0.499538	44.3769	0.971634	0.00302279	0.000589811	4.90543e-05	0.000721573	3.41665e-05	0.00022592	0.0205157	0.0030469	0.000337223	0.446349	0.675066	0.0768952	0.0439928	0.293109	0.0770838	0.0115387	7.45746	0.0355452	1.19579	1.16187	457.486	28.2305	0.00342533	0.000309953
9	788.614	11.1219	4.34646	19.092	3.3005	7.37862	0.019823	103.427	10.8441	7.16645	1.92224	0.387398	0.742563	0.460601	18.1419	5.90171	0.782669	0.156998	5.36126	8.78216	42.1159	0.458003	51.9244	0.0899127	0.302984	0.135527	0.0401409	0.386301	0.133926	0.0308538	18.1419	42.1159	0.458003	51.9244	0.96762	0.0116785	0.000325063	6.03555e-05	0.000547	3.47149e-05	0.000242449	0.0160753	0.00317916	0.000305279	0.460601	0.545123	0.156717	0.040069	0.385609	0.133686	0.00929675	13.4992	0.0168191	1.09037	1.05506	409.454	26.8961	0.00361042	0.000285351
