"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 796.703 7.41292 3.21354 14.451 2.65184 9.56131 0.0349629 97.55 8.42105 9.18741 2.79892 0.139527 0.367756 0.894855 0.478374 15.1699 2.90644 0.136879 0.484833 13.5022 8.15976 24.7903 0.308069 54.77 20.7095 4.67357 -55.96267 -741.9484 -797.9111
66300 1543.5 12.894 2.98432 18.351 2.98829 7.80994 0.0200821 100.944 8.71973 6.02356 2.14339 0.482383 0.321409 0.680539 0.606371 15.3465 4.26212 0.516806 0.370358 7.4831 7.04908 44.7887 0.248271 49.1194 25.7958 1.88331 -49.89727 -750.2494 -800.1466
200000 639.156 15.8608 3.56651 12.5091 6.13353 10.6173 0.0391508 95.8413 6.80674 5.60395 1.67344 0.0225546 0.650489 0.744356 0.579271 16.8132 4.34833 0.238008 0.329995 5.90063 5.40114 45.4424 0.148012 34.0372 14.1879 3.39621 -53.06517 -745.3472 -798.4124
161800 3393.99 15.3594 2.87177 14.4123 3.99365 9.64047 0.0258883 103.97 9.5672 8.57677 2.94715 0.0990361 0.237653 0.789594 0.488904 17.099 3.42851 0.317699 0.425815 8.64684 8.52168 44.1131 0.418706 56.0953 16.8761 3.07178 -50.57588 -741.5455 -792.1214
170600 1890.2 13.1142 3.49138 11.4575 5.28536 16.249 0.0387191 99.7915 8.01645 5.94363 2.14374 0.385864 0.808835 0.657516 0.451839 18.4434 4.19894 0.16869 0.207157 8.54201 6.11801 67.1587 0.261779 45.5486 18.9019 2.60132 -55.72462 -741.697 -797.4216
168200 890.693 20.1056 2.5615 17.5976 2.42409 6.3901 0.0235836 101.063 11.2357 4.82769 2.91147 0.39085 0.234729 0.767822 0.571247 18.3886 3.24903 0.150652 0.342031 8.65985 10.9501 39.7154 0.763443 82.5886 15.6134 3.19969 -56.57964 -743.3231 -799.9028
67100 216.269 18.9837 4.0069 12.6923 3.69367 10.538 0.0286563 92.9444 10.3056 6.72495 2.16066 0.55472 0.723126 0.705383 0.685358 20.7151 4.05806 0.317608 0.652844 10.064 6.98725 35.365 0.554597 65.4332 20.5357 3.13317 -53.32562 -737.6132 -790.9388
106100 4827.11 8.72636 2.93833 18.3943 4.56945 14.5062 0.0277877 102.284 9.87719 6.7319 2.05595 0.447597 0.0546777 0.650934 0.735332 17.5453 2.83681 0.484779 0.928245 3.06699 7.14035 32.475 0.611797 51.5814 17.0419 2.50647 -55.50745 -735.8366 -791.3441
168900 1411.54 16.2986 2.56884 18.5612 4.98512 6.52864 0.0217276 98.6025 9.17647 7.06246 2.3292 0.366296 0.269106 0.674989 0.682669 19.1395 3.52995 0.262604 0.499925 3.66009 8.79055 38.0251 0.518086 50.7567 17.1381 3.16189 -49.67905 -738.4315 -788.1106
47000 647.925 11.537 3.99853 14.2112 4.07597 10.1066 0.0228085 100.392 10.0457 11.8332 1.62532 0.48803 0.523526 0.656562 0.457774 19.3965 4.44641 0.143247 0.712474 3.53989 7.48208 31.6314 0.514476 60.8975 16.1101 2.32937 -50.88966 -738.2527 -789.1424
64700 8809.17 14.5513 2.44273 18.8244 6.19307 6.01369 0.0149722 103.345 9.30065 9.53788 2.09398 0.0897213 0.0279067 0.810929 0.512396 19.5815 2.5191 0.200734 0.296518 4.63442 9.61798 49.0727 0.310717 57.9605 17.7278 2.99222 -57.74283 -739.9558 -797.6986
108800 6478.01 18.1729 2.16093 16.5668 5.22111 8.40791 0.0220548 102.914 9.53145 7.99567 2.19498 0.473568 0.374195 0.857151 0.551439 19.4952 4.02686 0.210224 0.387375 10.7697 11.7035 23.0498 0.415222 50.3124 16.3625 2.90426 -54.56537 -743.5887 -798.1541
85300 2132.44 16.1919 2.98016 8.92211 6.0461 10.279 0.0338672 100.44 8.23853 6.41949 2.8199 0.0805627 0.796101 0.635711 0.526354 15.2982 4.96941 0.393159 0.165745 13.8537 8.09831 60.9012 0.472194 38.5381 19.2285 2.96843 -56.90975 -742.2301 -799.1399
78100 360.055 16.7055 3.7188 13.7042 3.92681 9.93927 0.0277271 97.5923 8.78335 9.20867 1.1222 0.334851 0.48408 0.694524 0.66571 16.8481 5.45716 0.471569 0.663604 2.73424 7.03871 31.8711 0.492009 26.8667 23.4873 3.59199 -52.95034 -737.4318 -790.3821
177000 1882.27 12.9162 2.75677 17.2415 4.13893 11.1532 0.0274905 97.939 8.95569 4.8779 1.42658 0.465651 0.188173 0.705528 0.766708 15.016 5.7054 0.466907 0.642445 7.83344 7.35969 37.7548 0.6372 43.125 16.3588 2.96609 -54.1113 -737.3626 -791.4739
50600 1181.71 8.28297 3.02941 10.1379 4.70488 8.54065 0.0236693 99.3582 7.90965 10.8709 1.11404 0.261469 0.494809 0.698339 0.592951 19.8221 5.38656 0.539574 0.524179 6.16227 7.81984 29.3634 0.310045 44.9858 21.3621 3.40258 -52.44333 -737.9808 -790.4242
121500 458.127 9.55532 4.41236 16.6135 3.09035 8.64526 0.0243941 106.318 11.1503 11.8631 1.6479 0.253769 0.314281 0.726261 0.413746 17.9904 5.18636 0.428353 0.577409 11.5456 10.6778 53.588 0.630559 49.9481 12.1215 3.22293 -53.22404 -740.4381 -793.6621
122100 597.728 12.4515 3.99032 13.594 4.34875 12.4146 0.0370217 97.5319 8.05234 5.80226 2.02422 0.145348 0.193204 0.803754 0.579358 19.2396 4.56389 0.532985 0.679253 5.37384 6.22675 29.1232 0.712014 69.3275 14.1319 3.02499 -54.69845 -737.9235 -792.6219
128700 1362.06 14.6732 3.59531 10.7438 2.8682 11.5844 0.0184233 100.627 9.9904 10.756 2.51126 0.409147 0.462527 0.613222 0.532522 18.7089 3.69311 0.501102 0.515808 10.5844 7.93444 52.0645 0.433349 48.0229 17.0681 1.96803 -51.15942 -742.781 -793.9404
46800 1768.26 10.3983 3.49305 16.9914 3.58381 19.9722 0.034183 97.8839 7.51571 3.07718 2.06305 0.476144 0.206684 0.792584 0.704946 15.9527 3.91407 0.437857 0.752344 5.39196 2.71752 31.0561 0.693807 34.5287 17.6448 2.45703 -55.99497 -740.8933 -796.8883
196700 668.075 11.0394 4.18917 7.90045 4.05069 12.8633 0.0367279 96.6464 7.69088 6.80517 1.69591 0.134231 0.502859 0.695244 0.562858 16.488 4.26064 0.681259 0.415225 11.6267 6.10975 30.2246 0.114314 54.1972 18.0275 3.60724 -54.42715 -741.3068 -795.734
