"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1219.98 14.069 2.74825 18.651 2.99875 7.30811 0.0060646 118.893 21.9912 9.26853 2.69248 0.295023 0.621041 0.686037 0.464964 23.7898 4.50725 0.216928 0.184356 3.91788 8.91529 45.5184 0.841022 34.3333 0.539746 1.22326 -45.43285 -858.811 -904.2438
66300 817.857 12.0616 3.12117 18.1902 3.67061 7.85213 0.0102113 100.887 28.7026 7.48479 1.30377 0.390217 0.791424 0.636783 0.426782 24.0462 6.9168 0.220226 0.226943 10.1246 8.7355 34.6936 0.870937 34.6855 0.653055 0.691349 -43.89782 -863.1134 -907.0112
200000 1508.47 10.8426 3.09641 7.3901 5.33632 8.75782 0.0101649 125.511 29.254 3.141 2.01144 0.532183 0.652288 0.674245 0.546365 20.425 9.35016 0.625255 0.280097 6.91922 6.06423 39.407 0.722489 15.2282 0.624655 1.45995 -49.10888 -862.416 -911.5249
161800 650.24 9.96874 3.71946 16.3354 5.3967 8.81475 0.009582 72.1538 24.1667 5.186 1.13743 0.274245 0.577727 0.627272 0.620418 20.2661 7.75566 0.550958 0.290361 13.7736 4.80568 27.6094 0.663148 45.3832 0.580326 1.12675 -44.05367 -863.0851 -907.1387
170600 284.743 7.46765 3.8977 8.59922 3.36496 8.94428 0.0158291 126.382 30.0596 2.20339 1.41437 0.511664 0.401082 0.750833 0.364898 23.9002 7.64852 0.430454 0.140114 5.55042 10.6981 24.7009 1.14124 63.9898 0.622929 1.05693 -49.55963 -857.1635 -906.7232
168200 799.07 15.2802 3.1335 17.826 3.12274 6.61501 0.00726026 143.741 33.8806 8.21393 1.80245 0.285466 0.769742 0.868967 0.455548 20.5159 4.34492 0.465361 0.172807 7.14206 11.4244 31.4757 0.686785 43.9331 0.572573 1.39368 -43.95173 -857.7293 -901.681
67100 139.284 20.5482 3.29382 16.1369 2.33782 6.49615 0.012346 88.8304 34.9923 9.28618 2.10418 0.228806 0.768187 0.732386 0.381998 24.0861 7.0638 0.0889544 0.153114 5.71195 10.5165 26.5666 0.450907 52.2348 0.464239 0.911314 -45.28588 -859.6933 -904.9792
106100 893.542 16.8517 2.91528 16.8984 2.78869 6.00198 0.0115497 98.1892 11.9651 4.80907 2.52593 0.176224 0.282111 0.747816 0.380822 18.5115 7.27863 0.163222 0.186944 1.24552 10.0557 37.4667 0.979167 41.9321 0.654524 1.01092 -45.70801 -858.7853 -904.4933
168900 1317.46 11.7822 3.32105 10.522 3.90942 10.1147 0.0148714 104.342 21.5314 7.72686 1.02233 0.347154 0.504993 0.709995 0.332897 22.9429 3.10234 0.155297 0.270935 7.24458 12.1208 29.5336 0.688628 29.1334 0.49001 1.04811 -44.36517 -859.0476 -903.4128
47000 829.112 11.4563 4.0001 16.8626 4.43867 7.82555 0.00570885 145.697 37.2987 8.87833 1.998 0.345334 0.335533 0.683719 0.396101 22.4783 7.77848 0.545601 0.266263 10.009 7.3593 39.8174 0.660351 34.4677 0.606961 1.02275 -44.82157 -857.7309 -902.5525
64700 2173.95 10.937 2.98703 18.9405 3.74424 8.95921 0.00999874 150.809 32.7967 10.9505 1.23732 0.0535127 0.130417 0.863722 0.39152 22.6821 3.78435 0.288239 0.562757 2.8726 11.6261 38.8878 0.749992 38.36 0.544057 0.774294 -48.81074 -859.0916 -907.9023
108800 1651.65 20.7459 3.78922 7.15571 3.25213 10.0174 0.00692748 153.917 35.6315 9.28806 2.04338 0.451911 0.567351 0.743562 0.404282 22.8457 5.19829 0.505491 0.366395 4.30029 9.44353 39.0229 0.6625 38.4439 0.750339 0.648244 -45.98607 -865.8412 -911.8273
85300 3514.4 11.5507 3.14706 12.3516 3.4952 13.5747 0.0165918 110.02 16.4435 9.59799 1.69492 0.0284585 0.588139 0.783177 0.226092 19.7031 5.77485 0.140516 0.0683495 5.1271 13.4078 26.5055 0.73036 17.4533 0.630706 1.12275 -48.46103 -860.5851 -909.0462
78100 4604.95 9.81855 1.81521 12.3291 4.24561 6.70755 0.00611305 102.146 29.7495 10.5222 2.63975 0.208601 0.0840516 0.903276 0.711122 17.1377 4.47436 0.34252 0.229296 3.69923 5.35658 39.0661 1.16273 47.5411 0.531326 0.940014 -49.84415 -862.364 -912.2082
177000 2136 10.9124 3.61122 12.4142 4.99726 8.15531 0.011157 128.813 23.3339 7.14326 1.68139 0.296226 0.157757 0.793166 0.274563 22.635 4.88348 0.367134 0.441875 8.55627 12.8918 22.8495 0.894265 44.8849 0.610354 1.00014 -46.65444 -857.6393 -904.2938
50600 5730.23 14.3646 2.43349 16.9309 4.53266 13.3204 0.0083754 110.862 21.1312 7.88339 2.23306 0.510635 0.542556 0.643101 0.517486 22.1549 8.87532 0.296923 0.132314 7.56648 2.96185 25.1965 0.695929 44.1614 0.694932 1.02571 -44.53063 -865.0793 -909.6099
121500 2705.96 9.33639 2.75052 11.9425 4.54615 10.017 0.00954581 109.328 35.7267 9.70061 1.52081 0.260408 0.449914 0.784174 0.486012 20.2364 4.70742 0.222519 0.166905 9.96404 13.8407 36.1433 1.11471 53.3333 0.508667 0.984388 -46.09882 -858.3257 -904.4245
122100 3580.18 20.1979 4.11805 11.7378 2.47374 9.70413 0.00768437 137.634 26.249 7.82737 2.86667 0.476842 0.0819488 0.730462 0.232548 17.9934 7.92221 0.411978 0.360018 4.83709 13.7744 25.1141 0.776415 40.8794 0.587378 1.20693 -48.73732 -859.7835 -908.5208
128700 672.87 11.3942 2.62287 17.3395 2.72389 5.01542 0.00926675 108.008 15.8065 6.24974 1.56824 0.0648562 0.297402 0.935346 0.377625 20.4989 4.08675 0.0461309 0.0976014 1.76719 6.40049 34.537 0.801754 63.9685 0.427759 1.00708 -48.51292 -864.5956 -913.1085
46800 4927.82 14.4832 3.71747 10.4835 4.24403 9.35444 0.00447634 142.955 27.9559 6.38276 1.75791 0.447013 0.374112 0.700976 0.377725 19.8283 1.39192 0.666217 0.094199 5.26391 11.1026 31.0795 0.722324 46.9401 0.49473 1.2585 -46.02632 -859.8369 -905.8632
196700 783.457 11.9575 3.20137 9.87066 3.9903 6.79295 0.0113228 115.575 28.0655 6.14514 1.99123 0.344056 0.71807 0.709046 0.471829 19.8737 6.40909 0.496818 0.272181 10.074 13.2547 22.2636 0.716366 41.6777 0.548423 1.03583 -42.57047 -858.5321 -901.1026
198800 607.142 12.6753 2.7969 13.2231 3.67538 6.05015 0.0111876 111.03 28.6226 9.64407 1.298 0.222822 0.793619 0.691242 0.561432 16.621 7.22554 0.268973 0.301943 2.6335 7.43586 44.6418 0.671498 46.6492 0.546444 0.868789 -43.62877 -861.3038 -904.9326
133600 1513.61 18.4195 3.45271 9.71991 4.0186 15.0277 0.00943026 64.5524 16.6897 5.13885 1.74715 0.480887 0.24122 0.766358 0.575306 19.6577 7.20657 0.228297 0.237526 10.0016 9.12604 31.9091 0.384727 31.3888 0.510527 0.915595 -45.0415 -867.0969 -912.1384
88200 1307.48 8.23146 3.34182 7.38639 3.52433 10.0189 0.0104844 142.745 38.5194 8.54788 2.54133 0.0620484 0.716232 0.650905 0.374154 19.3767 8.9459 0.275516 0.178348 10.2241 9.77601 32.2839 0.754473 34.709 0.504746 0.736406 -43.64675 -861.2637 -904.9105
108100 505.16 20.2297 3.83357 16.6724 3.91503 7.9245 0.00497937 94.6939 28.6623 8.73257 2.19347 0.24031 0.0876562 0.769491 0.499328 20.2815 4.06783 0.482908 0.273755 4.15116 2.95674 44.4923 0.325392 43.6585 0.74473 1.36478 -46.03145 -864.7022 -910.7337
139400 472.21 16.1668 2.66986 12.5213 3.4109 6.84582 0.015367 87.1191 22.5681 4.80965 2.39894 0.036794 0.700753 0.68414 0.623495 19.8153 3.87272 0.137959 0.12814 3.03053 4.79127 39.8966 0.616274 35.9791 0.448451 0.758188 -41.41243 -865.92 -907.3324
113900 2924.94 19.3052 3.1512 14.5072 3.53812 9.99786 0.00734213 136.477 28.1921 6.656 1.9324 0.353988 0.56845 0.634483 0.427716 20.2947 9.55429 0.629169 0.193061 6.84734 11.8459 25.6086 0.890681 47.4877 0.584679 1.00784 -45.1071 -860.5364 -905.6435
133400 4503.01 16.9354 3.26552 11.3152 4.56036 13.5279 0.0116204 128.486 25.3812 11.1263 2.51177 0.254975 0.698632 0.7159 0.253658 19.1808 6.55881 0.00194903 0.111356 2.69423 11.2013 38.5817 0.722751 39.3617 0.508747 0.918712 -49.26557 -858.5301 -907.7957
54200 339.059 9.05581 3.58272 15.9486 4.53686 5.70043 0.0115523 85.5789 21.8221 7.15434 2.12889 0.460613 0.41361 0.778498 0.4674 21.7117 4.06128 0.50353 0.315244 6.65278 10.0533 28.4318 0.87485 43.8504 0.683069 1.21413 -42.81124 -858.6826 -901.4939
178100 2816.93 9.71082 2.91072 9.89991 3.42576 10.2322 0.00823186 133.83 28.2028 6.01396 1.81257 0.155411 0.274544 0.729702 0.342577 20.1081 4.50139 0.0508397 0.351292 6.44211 8.24611 31.1262 0.603529 42.2979 0.757874 1.13101 -43.40385 -861.467 -904.8709
108200 1074.75 15.8704 2.84357 14.281 4.8069 7.51945 0.0101207 120.863 29.2629 5.94913 2.65445 0.196927 0.282692 0.925923 0.462185 24.1282 6.82854 0.255684 0.389472 6.26055 8.33751 30.2134 1.04364 42.1912 0.509264 1.1027 -47.16938 -859.2851 -906.4545
156400 1288.95 15.7953 3.24951 14.1289 4.44173 6.53237 0.00572982 87.5543 36.1834 5.99896 1.96831 0.469474 0.556553 0.661098 0.515441 18.8526 5.11813 0.561296 0.139178 8.08285 11.0727 37.1361 0.736125 34.8737 0.582471 0.981901 -43.10867 -860.3177 -903.4264
46600 1282.28 12.7447 2.97115 18.5428 4.77077 7.56335 0.00593093 120.479 40.3408 7.8628 2.92722 0.508741 0.491675 0.665714 0.437971 24.9554 5.62073 0.335239 0.215735 3.71382 8.45788 22.0882 0.784991 39.5827 0.503749 0.878709 -44.93412 -860.979 -905.9131
187700 554.113 11.9285 3.54498 17.5616 2.10208 12.6988 0.0179969 92.876 30.168 6.71748 2.12158 0.380017 0.404455 0.854296 0.510046 20.0783 4.4694 0.173284 0.375639 6.48034 7.32255 30.4998 0.479072 39.7323 0.530948 1.16695 -45.47435 -860.9981 -906.4724
130000 1323.67 10.8283 2.35668 10.3889 2.74106 6.56711 0.0084156 101.551 18.4321 6.32394 1.51648 0.132454 0.399834 0.684593 0.466336 21.5202 5.3493 0.14327 0.130325 9.77549 7.9318 23.7879 0.656314 43.0021 0.662205 1.24665 -42.63628 -862.0427 -904.679
171900 960.822 10.0374 3.43216 9.02263 3.7293 8.1279 0.00631805 153.895 39.137 11.4126 1.60731 0.0227418 0.364656 0.612587 0.331424 23.8177 10.4579 0.138696 0.293626 4.04704 8.90743 40.5708 0.489904 38.0871 0.741107 1.00697 -48.0412 -857.3739 -905.4151
