Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.635981	20.8691	6.055	0.141873	0.51497	8.92788	5.47278	22.8196	0.550316	51.0875	2.69486	39.2822	16.6118
1	9.40867	8.52073	3.36704	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.156408	16.5866	2.85478	0.0742598	0.0522454	8.00106	6.23936	24.2292	0.93934	28.0936	37.8771	0.119667	9.40867
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.859477	17.2753	4.76549	0.254668	0.533463	1.74133	1.12833	22.8975	0.761823	45.9577	6.91676	0.233337	8681.55
3	1430.61	13.7836	3.81686	11.3168	3.91394	11.4245	0.0156148	86.289	8.52766	7.23617	1.99127	0.294381	0.33567	0.646043	0.574009	17.6474	2.82936	0.383542	0.128717	2.40367	3.41723	25.0611	1.01166	42.9199	1.468	0.104744	1430.61
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.911028	21.1299	4.62005	0.382236	0.095745	5.64847	3.76343	28.2033	0.36578	32.5381	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.495676	16.9312	6.74293	0.467446	0.2198	4.92997	3.52304	27.7007	0.94172	41.0876	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.841785	20.7481	3.06398	0.611144	0.818217	5.2336	3.23598	40.4097	1.27285	57.0278	0.790183	2.32358	172.026
7	1078.86	9.22736	3.53543	10.1332	3.69386	6.558	0.0106246	82.426	11.0185	4.57473	2.76111	0.173113	0.866219	0.727251	0.734238	14.5805	2.86636	0.157388	0.525542	3.0732	7.89793	36.5502	0.515295	37.8356	0.161151	2.48386	1078.86
8	1963.12	13.8829	2.79021	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.580628	21.4614	7.53858	0.385891	0.419848	5.78107	13.1206	41.1757	0.904503	35.9138	7.97468	0.980993	1963.12
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.770232	18.5425	5.08842	0.334897	0.653998	9.69301	6.72173	36.2663	0.575095	42.5668	0.270266	37.9044	2834.51
10	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	96.5047	10.9594	8.79854	1.20551	0.472736	0.267178	0.688801	0.551751	18.7087	9.59086	0.1049	0.5626	8.27549	3.02371	28.9351	0.777921	30.3001	2.59313	0.139662	1353.87
11	616.043	13.4746	2.32519	14.1173	5.2303	16.4928	0.00497705	91.7463	8.80154	6.65575	1.55269	0.326485	0.684659	0.621769	0.635808	20.343	5.11537	0.120241	0.473066	2.27943	7.81965	28.1796	0.473013	58.0767	13.029	1.39331	616.043
12	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	85.5508	10.1724	3.45708	1.8225	0.346102	0.598247	0.6891	0.785075	19.3041	6.84171	0.532433	0.124208	5.95947	8.75391	33.3586	0.609943	33.2086	0.652468	0.73134	1822.9
13	27.1269	8.89351	2.64428	8.87706	3.74899	9.4944	0.0129062	98.3781	8.0323	3.71852	1.41512	0.565764	0.921078	0.695723	0.408178	18.9736	5.26397	0.466883	0.332156	11.0452	12.9896	33.488	0.79224	27.956	18.0752	9.40504	27.1269
14	475.174	8.33564	2.87602	16.7376	3.04451	7.52571	0.00482277	79.9305	2.48221	9.46224	1.87749	0.0447411	0.393609	0.726597	0.471221	18.0034	3.84808	0.238944	0.155589	6.55147	4.49632	37.675	0.0907498	41.2983	3.02937	0.377008	475.174
