"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 178.112 10.1892 3.28854 14.5877 3.96876 7.56589 0.0100926 100.581 5.99496 5.15871 1.60407 0.434179 0.693941 0.774103 0.553671 16.8947 4.35377 0.589461 0.329974 3.29866 9.35126 20.8981 0.810825 54.9624 5.72138 0.392877 -43.35151 -539.2143 -582.5658
66300 5218.54 13.2848 3.01197 7.9372 3.3725 15.4889 0.00390976 103.045 6.65712 7.38401 1.72987 0.339297 0.141445 0.73706 0.376822 18.4905 3.54278 0.622834 0.200428 9.10672 6.60762 26.633 0.602669 34.0489 4.77228 0.505709 -46.97624 -538.0865 -585.0627
200000 245.734 11.8971 2.17283 15.1413 2.1672 7.57272 0.00279566 92.3954 7.0388 8.44256 1.68718 0.424441 0.241379 0.636275 0.844987 18.9048 3.94772 0.552274 0.368086 5.19407 8.48175 41.4926 0.512477 61.0004 4.39128 0.828959 -47.18313 -538.6891 -585.8723
161800 988.514 12.0252 2.41073 13.4801 4.52601 11.537 0.00624224 97.7077 4.72214 9.55326 1.26407 0.0963703 0.435761 0.662901 0.635937 18.5154 4.67582 0.563033 0.17035 4.66789 7.95395 19.542 0.54742 47.7087 7.83077 0.559114 -45.14241 -543.0558 -588.1982
170600 727.805 9.00936 3.02248 9.69832 3.37079 9.86457 0.00811208 101.678 7.47151 11.1371 2.20836 0.467003 0.576601 0.879446 0.503174 17.544 2.9772 0.697075 0.363147 10.7178 9.92839 23.5414 1.22885 59.8575 5.38917 1.57243 -49.48079 -537.7889 -587.2697
168200 845.962 12.2797 2.06879 15.1458 5.42334 11.9427 0.00664464 97.6228 6.03666 6.37701 1.40648 0.171408 0.52785 0.651678 0.851967 17.657 3.7125 0.798958 0.141471 2.60018 6.64209 31.5732 0.45731 34.7818 5.97186 0.843301 -46.27415 -536.8874 -583.1616
67100 1508.76 18.1515 2.773 19.6286 4.56565 19.5286 0.0107584 94.7962 4.21016 10.3882 2.31079 0.0483871 0.22052 0.723396 0.532611 18.1958 3.61701 0.292397 0.316195 3.23841 2.53208 14.14 0.884704 61.4707 5.04051 0.508038 -50.24825 -540.8682 -591.1165
106100 437.756 9.35878 3.58326 14.6479 4.62208 11.5774 0.00830306 102.888 7.69715 4.19453 2.53328 0.271567 0.305805 0.785934 0.460678 21.5168 2.88856 0.585908 0.302569 10.4491 7.46111 35.2233 0.978816 33.0386 4.85572 0.850283 -46.18859 -537.5079 -583.6965
168900 521.873 17.1976 3.1299 16.8988 3.55408 14.1668 0.00534472 97.2561 5.05523 7.24141 2.27007 0.413909 0.673301 0.711025 0.56889 20.4728 4.52335 0.60499 0.273729 6.26573 3.95156 30.2335 0.937598 14.8152 5.70326 0.340029 -46.33757 -538.7974 -585.1349
47000 723.965 10.4687 2.87537 12.8726 4.51437 14.3011 0.00635117 96.1174 4.6673 4.41548 2.09558 0.490282 0.458583 0.607016 0.662335 18.1812 2.34287 0.530369 0.244479 5.91068 9.30475 46.2959 0.860757 48.693 7.64388 1.10985 -46.03136 -541.3902 -587.4216
64700 812.032 9.86389 2.41299 18.9343 5.3172 10.5558 0.00633969 96.3413 4.95687 4.67387 1.30642 0.496201 0.646818 0.664761 0.688926 16.9972 2.54285 0.741542 0.171488 11.7049 4.61591 12.5955 0.849773 56.3005 4.2681 1.01081 -48.19835 -538.145 -586.3433
108800 411.652 12.7199 2.99897 19.0394 4.73829 10.3349 0.00512123 95.2543 6.09677 8.09275 1.27699 0.335226 0.507847 0.614334 0.539186 19.2774 3.75796 0.124498 0.290068 4.94496 5.45251 34.2191 0.23387 43.8346 4.3465 0.458389 -44.30702 -537.7543 -582.0614
85300 984.863 20.0277 2.61499 10.192 4.52836 8.96406 0.00314333 102.509 7.02986 8.00609 1.13826 0.0378148 0.259084 0.759583 0.588738 20.3727 2.62715 0.783689 0.231512 9.73839 5.45133 26.0478 0.998141 61.8797 5.05449 0.455166 -46.77343 -539.8879 -586.6613
78100 396.723 19.6382 2.69438 11.2746 3.68027 10.3991 0.00710507 101.081 7.17658 9.37014 1.01338 0.147182 0.732518 0.82478 0.578419 18.5826 3.89415 0.321305 0.165128 6.05961 6.7109 32.8936 0.943108 53.0132 6.95744 0.698396 -44.20211 -538.2911 -582.4932
177000 468.704 12.3046 4.09296 18.8384 4.27929 12.7334 0.00644068 101.991 7.0809 11.6299 1.32176 0.100595 0.810457 0.612005 0.421733 17.2927 3.41501 0.600417 0.214878 5.45989 2.50867 18.7177 0.793196 62.4714 5.46543 0.433217 -47.28497 -540.8375 -588.1225
50600 1656.69 17.7698 2.93842 9.89068 4.02957 15.7089 0.00811455 101 6.31724 5.04262 2.05296 0.0863887 0.15043 0.638887 0.545514 18.6379 3.57615 0.656559 0.25522 7.01695 6.09501 35.2507 1.23599 56.5946 4.86341 0.529013 -46.69051 -539.8039 -586.4944
121500 937.002 8.58147 3.00233 13.6361 2.58549 15.8098 0.00764452 101.135 5.49721 8.44367 1.63406 0.0997505 0.697503 0.725025 0.456404 18.6977 1.59413 0.47071 0.34764 4.17384 9.54423 28.2644 1.49477 18.5819 5.40113 0.612442 -50.86179 -538.6937 -589.5555
122100 1200.25 7.76537 2.60315 10.771 4.60655 20.3282 0.00778501 96.6386 5.55099 7.9193 1.22162 0.465469 0.469517 0.7517 0.673092 15.9555 3.21074 0.356826 0.346734 2.83312 1.02464 28.5407 0.795201 52.6188 4.73822 0.425781 -48.55842 -537.8914 -586.4498
128700 3765.57 10.4031 2.33763 11.3528 4.38398 13.2639 0.00458479 100.644 7.57015 3.88691 2.04842 0.0823507 0.0430933 0.671894 0.572921 18.2412 5.41712 0.593659 0.357277 10.0122 4.21986 43.3357 1.07915 44.2439 6.78231 0.689679 -50.57483 -540.3899 -590.9647
46800 381.259 20.6271 3.3352 14.8381 3.65795 7.93704 0.00464202 100.471 4.97564 5.1537 2.39938 0.154923 0.610604 0.690748 0.476744 15.9137 4.80807 0.694581 0.158222 2.10774 8.59126 14.5706 0.863591 44.7572 5.84314 0.699512 -46.37915 -535.979 -582.3582
196700 293.228 8.16499 3.31598 18.1648 4.43228 14.8822 0.0112268 98.0691 6.7294 6.45201 2.42176 0.425148 0.894878 0.67689 0.605452 20.3477 1.29754 0.405254 0.33562 5.71633 3.35031 22.4163 1.02275 42.2051 4.9781 0.620003 -46.93899 -538.2418 -585.1808
198800 764.564 16.6352 3.52463 17.6157 3.87528 10.9956 0.0058251 102.077 5.4335 7.22199 2.66085 0.320632 0.709307 0.741458 0.460342 16.2249 2.01018 0.795023 0.0589867 4.85154 5.85809 23.5633 0.670764 18.7949 4.02851 0.433695 -47.13461 -537.5373 -584.6719
133600 383.781 19.1916 3.55904 17.0034 3.18399 9.55688 0.00388038 97.5362 6.62865 10.5757 1.63895 0.091841 0.201029 0.695979 0.549846 17.7885 1.82223 0.835201 0.289246 7.57334 4.19624 38.5763 1.00197 63.3302 4.70542 0.649232 -47.05149 -537.8638 -584.9152
88200 3166.36 12.1811 2.34868 8.0326 4.79896 13.0248 0.0063827 100.245 4.68258 7.73381 1.30586 0.329979 0.36997 0.641837 0.365901 22.2587 3.75827 0.299298 0.201676 5.39136 5.10669 16.1681 0.737906 32.2086 5.181 0.512069 -48.79415 -538.4841 -587.2782
108100 742.698 10.8626 2.93309 17.864 5.13744 12.2708 0.00644325 98.9656 6.64558 6.77481 2.03487 0.174563 0.484297 0.620032 0.492738 18.8515 3.72771 0.324635 0.300064 9.22854 4.42569 21.8655 1.08113 54.4037 6.1925 0.566975 -45.10796 -537.6187 -582.7267
139400 408.407 9.02755 2.69693 17.7667 4.44514 13.9007 0.00728527 99.6546 6.58672 3.95548 2.32886 0.465432 0.690172 0.703982 0.672297 16.8774 4.4606 0.222485 0.1713 5.70181 5.41181 32.9232 0.963673 47.1676 4.95588 1.05185 -44.5019 -537.1594 -581.6613
113900 543.249 11.499 3.03699 7.86057 3.95297 17.172 0.00966902 97.7224 6.12433 4.29844 2.15744 0.237681 0.373523 0.704957 0.614507 18.8477 2.42165 0.491879 0.106095 10.4405 5.74288 26.8013 0.465593 29.7361 6.24492 0.617733 -45.8929 -536.5629 -582.4558
133400 2240.29 11.1567 2.12757 10.9863 3.6023 14.0178 0.00495003 97.9625 5.59704 8.39326 2.46436 0.349626 0.314855 0.689873 0.567518 19.4595 4.08537 0.083656 0.23165 5.84956 5.95013 28.5269 0.400277 32.5292 6.84582 2.10828 -48.15433 -540.6568 -588.8112
54200 2668.23 13.3389 2.74517 7.68513 5.01158 23.828 0.00817162 97.9585 4.87543 8.68373 2.37544 0.0657677 0.332927 0.636551 0.495215 20.1138 4.08296 0.413746 0.144851 4.03195 7.48216 19.7051 0.455807 51.008 5.39297 0.415981 -49.40548 -539.2717 -588.6772
178100 303.524 9.1922 4.07215 16.8412 2.21798 11.7992 0.00566951 99.5531 5.37127 5.23178 1.42183 0.228423 0.307379 0.765607 0.345339 17.5822 3.79861 0.602305 0.230598 6.93287 8.38678 4.43718 0.688049 45.1603 5.14492 0.394339 -48.10044 -536.3354 -584.4359
108200 577.746 16.7818 3.0774 8.83526 4.48194 18.1699 0.0103427 95.039 6.58078 9.14337 2.88368 0.158064 0.744462 0.605955 0.601831 19.6686 3.89341 0.270219 0.23438 11.173 13.2521 27.9181 0.558364 48.2686 4.69348 0.884808 -48.38461 -540.7306 -589.1152
156400 625.767 15.8537 2.34822 18.4114 3.12599 18.3372 0.0136536 97.0697 5.17001 9.06158 1.31027 0.317008 0.931612 0.666718 0.827307 15.7571 4.3449 0.48578 0.111636 4.58818 7.54708 42.466 1.03016 21.2682 5.81424 0.415632 -51.16341 -539.5471 -590.7105
46600 300.226 17.0988 3.5873 12.6422 4.11235 6.37434 0.00540066 106.498 8.92066 5.51489 2.69599 0.160373 0.399322 0.822521 0.475005 17.5402 3.32248 0.825062 0.138429 12.1701 11.6074 22.4127 0.975319 79.4366 4.31915 0.609201 -48.75454 -537.6231 -586.3777
187700 164.901 7.6453 3.06255 11.247 4.03613 13.0678 0.0116652 91.9712 6.72875 7.67451 1.96963 0.232618 0.621352 0.669788 0.813838 18.6037 3.29212 0.425071 0.404919 11.6769 5.61233 39.143 0.117788 40.9233 5.01419 0.56422 -45.28944 -540.1043 -585.3937
130000 474.946 18.898 2.7858 14.8588 3.42012 10.6762 0.00557566 101.787 6.79446 3.72569 2.48518 0.425882 0.32349 0.76847 0.606581 20.7046 5.32134 0.651319 0.0737149 6.46823 7.04978 45.7685 0.747645 55.4874 4.7335 0.427001 -46.48618 -538.4697 -584.9559
171900 882.409 13.2717 3.02447 17.2471 4.01949 13.3427 0.0061902 101.536 5.57417 5.20305 2.62287 0.517211 0.656575 0.745322 0.545508 17.7423 3.46931 0.696874 0.262155 4.01488 7.56787 25.7846 1.13923 33.8199 4.69872 1.16018 -45.39778 -536.1623 -581.5601
173700 215.396 19.0184 3.14984 12.5476 3.78499 7.41851 0.00626986 97.8101 6.51464 8.04396 2.69578 0.550784 0.75326 0.713032 0.449124 17.9191 2.32549 0.138079 0.397403 5.02324 3.3421 28.3268 0.574406 31.6981 4.45171 0.458567 -43.70789 -540.2045 -583.9124
52800 1919.98 9.48434 2.66355 17.1469 4.17883 23.0688 0.00688413 102.483 8.20326 9.2665 1.25156 0.254703 0.22735 0.711487 0.693196 17.63 3.27859 0.552796 0.496494 4.60069 4.79394 46.2701 0.928302 46.7399 5.15791 0.774826 -48.65161 -540.1056 -588.7572
