"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,2.57404199999992e-11,4.14635924999999e-10
5,"CumDeath",0,0,0,0,0,0,1.07050500000001e-10,3.572301e-09,7.84035749999999e-09
6,"CumDeath",0,0,0,0,0,0,4.77639600000001e-09,1.2972425e-08,2.132013e-08
7,"CumDeath",0,0,0,0,0,2.43662e-10,1.559777e-08,2.71200849999999e-08,3.96862925e-08
8,"CumDeath",0,0,0,0,0,6.08162e-09,3.1296e-08,5.0398555e-08,6.3442455e-08
9,"CumDeath",0,0,0,0,0,1.7872025e-08,4.868277e-08,7.6218085e-08,9.0371355e-08
10,"CumDeath",0,0,0,0,8.40545e-11,3.77731e-08,7.349109e-08,1.0296645e-07,1.28195575e-07
11,"CumDeath",0,0,0,0,7.363035e-09,6.1986025e-08,1.111997e-07,1.485857e-07,1.77208025e-07
12,"CumDeath",0,0,0,0,2.969335e-08,9.05099e-08,1.584838e-07,2.047168e-07,2.6458915e-07
13,"CumDeath",0,0,0,3.6733e-09,6.66203e-08,1.328265e-07,2.119395e-07,2.8339005e-07,3.660262e-07
14,"CumDeath",0,0,4.881229e-09,6.19209e-08,1.202665e-07,2.10354e-07,3.087246e-07,3.8371005e-07,5.0306735e-07
15,"CumDeath",1.25896425e-08,3.6605585e-08,6.53619e-08,1.205995e-07,1.91877e-07,2.97151e-07,4.66147e-07,5.76350649999999e-07,6.7923705e-07
16,"CumDeath",7.92545025e-08,1.0135215e-07,1.288175e-07,1.9346175e-07,2.992335e-07,4.405395e-07,6.924531e-07,8.05928749999999e-07,9.83826899999999e-07
17,"CumDeath",1.15494425e-07,1.360648e-07,1.840952e-07,2.595375e-07,4.2162e-07,6.3721475e-07,9.505586e-07,1.113266e-06,1.36929775e-06
18,"CumDeath",1.533961e-07,1.7296005e-07,2.337731e-07,3.3181575e-07,5.692895e-07,8.83013e-07,1.307966e-06,1.5576455e-06,1.74772275e-06
19,"CumDeath",1.9543585e-07,2.171376e-07,2.963687e-07,4.2333525e-07,7.41271e-07,1.17968e-06,1.76463e-06,2.063968e-06,2.28694025e-06
20,"CumDeath",2.4647285e-07,2.7712495e-07,3.585273e-07,5.2636925e-07,9.600645e-07,1.584115e-06,2.346158e-06,2.7089535e-06,2.9771545e-06
21,"CumDeath",3.0058385e-07,3.500739e-07,4.363867e-07,6.4079675e-07,1.187245e-06,2.1216975e-06,3.028975e-06,3.5437945e-06,3.86552425e-06
22,"CumDeath",3.7360595e-07,4.4106635e-07,5.372475e-07,7.7489425e-07,1.454435e-06,2.843465e-06,3.880702e-06,4.4218915e-06,4.975735e-06
23,"CumDeath",4.5225775e-07,5.3479315e-07,6.578131e-07,9.50189e-07,1.778505e-06,3.630485e-06,4.83531e-06,5.555145e-06,6.3192715e-06
24,"CumDeath",5.579906e-07,6.6076575e-07,8.0873e-07,1.1460675e-06,2.157475e-06,4.6828725e-06,6.09129e-06,7.041601e-06,7.74271325e-06
25,"CumDeath",6.88448525e-07,8.296396e-07,9.831373e-07,1.3815775e-06,2.58603e-06,5.9507475e-06,7.586483e-06,8.7141915e-06,9.33401725e-06
26,"CumDeath",8.5840425e-07,9.987841e-07,1.190316e-06,1.65653e-06,3.03787e-06,7.1730975e-06,9.529316e-06,1.0747455e-05,1.154398e-05
27,"CumDeath",1.07441925e-06,1.229288e-06,1.445731e-06,1.982865e-06,3.644505e-06,8.4807325e-06,1.177363e-05,1.3274955e-05,1.39608275e-05
28,"CumDeath",1.35094025e-06,1.514049e-06,1.729117e-06,2.3302825e-06,4.34286e-06,9.8695975e-06,1.392752e-05,1.5562405e-05,1.7483815e-05
29,"CumDeath",1.656417e-06,1.831053e-06,2.054848e-06,2.7043175e-06,5.08335e-06,1.1591075e-05,1.620702e-05,1.842036e-05,2.11509975e-05
30,"CumDeath",2.00608675e-06,2.1736165e-06,2.431199e-06,3.1282225e-06,5.875045e-06,1.3364675e-05,1.89804e-05,2.1476845e-05,2.48729275e-05
31,"CumDeath",2.40508225e-06,2.5804755e-06,2.853232e-06,3.6036325e-06,6.649055e-06,1.5277425e-05,2.176677e-05,2.469246e-05,2.84353275e-05
32,"CumDeath",2.81556225e-06,3.025005e-06,3.32212e-06,4.0959e-06,7.51823e-06,1.74072e-05,2.48049e-05,2.807342e-05,3.23350725e-05
33,"CumDeath",3.281789e-06,3.517746e-06,3.827793e-06,4.65294e-06,8.530715e-06,1.96725e-05,2.775928e-05,3.145597e-05,3.60430875e-05
34,"CumDeath",3.78551925e-06,4.0387385e-06,4.385315e-06,5.22739e-06,9.505015e-06,2.20064e-05,3.124752e-05,3.5149445e-05,4.0165095e-05
35,"CumDeath",4.29487575e-06,4.5718335e-06,4.953637e-06,5.8601225e-06,1.07336e-05,2.43627e-05,3.471127e-05,3.884786e-05,4.4191705e-05
36,"CumDeath",4.86203375e-06,5.1696595e-06,5.563664e-06,6.5133325e-06,1.204815e-05,2.703225e-05,3.84048e-05,4.250581e-05,4.85223325e-05
37,"CumDeath",5.45411725e-06,5.7757425e-06,6.166474e-06,7.18686e-06,1.330995e-05,2.9651975e-05,4.171317e-05,4.6264565e-05,5.2509655e-05
38,"CumDeath",6.0581975e-06,6.4297225e-06,6.833625e-06,7.9250875e-06,1.453505e-05,3.26026e-05,4.502653e-05,5.0059125e-05,5.6388715e-05
39,"CumDeath",6.71157725e-06,7.0838325e-06,7.529308e-06,8.6215925e-06,1.590725e-05,3.53657e-05,4.828646e-05,5.3718045e-05,6.017413e-05
40,"CumDeath",7.36098125e-06,7.7949055e-06,8.223813e-06,9.41407e-06,1.722825e-05,3.8191425e-05,5.148805e-05,5.728067e-05,6.38466725e-05
41,"CumDeath",8.01952375e-06,8.5182275e-06,8.97608e-06,1.0228275e-05,1.84192e-05,4.08e-05,5.479797e-05,6.1309785e-05,6.769034e-05
42,"CumDeath",8.71001625e-06,9.235891e-06,9.712551e-06,1.100455e-05,1.97068e-05,4.352905e-05,5.812136e-05,6.453133e-05,7.14992225e-05
43,"CumDeath",9.44057825e-06,9.991359e-06,1.048842e-05,1.1794425e-05,2.104995e-05,4.6168175e-05,6.10386e-05,6.8205585e-05,7.517136e-05
44,"CumDeath",1.01917575e-05,1.071242e-05,1.125266e-05,1.26142e-05,2.252175e-05,4.891255e-05,6.441289e-05,7.1897755e-05,7.839292e-05
45,"CumDeath",1.09500475e-05,1.1455845e-05,1.20383e-05,1.347775e-05,2.398955e-05,5.1758075e-05,6.745598e-05,7.4968245e-05,8.140003e-05
46,"CumDeath",1.1702445e-05,1.223911e-05,1.283316e-05,1.4354625e-05,2.53584e-05,5.4124e-05,6.977399e-05,7.8063125e-05,8.4578455e-05
47,"CumDeath",1.24774175e-05,1.303142e-05,1.363734e-05,1.5237975e-05,2.66852e-05,5.6674175e-05,7.248971e-05,8.1173625e-05,8.769937e-05
48,"CumDeath",1.32845225e-05,1.38216e-05,1.444271e-05,1.61326e-05,2.799585e-05,5.896775e-05,7.527087e-05,8.41593449999999e-05,9.07017e-05
49,"CumDeath",1.409823e-05,1.4607655e-05,1.527117e-05,1.7008725e-05,2.93094e-05,6.115975e-05,7.778756e-05,8.699677e-05,9.328542e-05
50,"CumDeath",1.49065075e-05,1.538118e-05,1.609816e-05,1.785535e-05,3.06259e-05,6.3447325e-05,8.020378e-05,8.9740035e-05,9.5842835e-05
51,"CumDeath",1.5701335e-05,1.620119e-05,1.68839e-05,1.8705975e-05,3.196445e-05,6.5616325e-05,8.216932e-05,9.2392465e-05,9.805276e-05
52,"CumDeath",1.6496885e-05,1.699845e-05,1.770373e-05,1.9667875e-05,3.328055e-05,6.7611e-05,8.433432e-05,9.4772985e-05,0.000100151075
53,"CumDeath",1.72782075e-05,1.7775705e-05,1.853707e-05,2.05998e-05,3.451145e-05,6.95362e-05,8.658044e-05,9.6910465e-05,0.000102384125
54,"CumDeath",1.8106135e-05,1.8590025e-05,1.93841e-05,2.15338e-05,3.569805e-05,7.14218e-05,8.869214e-05,9.893255e-05,0.00010455395
55,"CumDeath",1.8879475e-05,1.9411465e-05,2.026545e-05,2.246615e-05,3.68542e-05,7.3326625e-05,9.073133e-05,0.0001011474,0.000106621825
56,"CumDeath",1.965142e-05,2.023842e-05,2.111128e-05,2.33675e-05,3.79798e-05,7.5186275e-05,9.265317e-05,0.00010347905,0.000108530275
57,"CumDeath",2.0475095e-05,2.107002e-05,2.195703e-05,2.4258325e-05,3.91038e-05,7.699e-05,9.449289e-05,0.00010540425,0.000110214675
58,"CumDeath",2.1296985e-05,2.188053e-05,2.278308e-05,2.515305e-05,4.030765e-05,7.872845e-05,9.626212e-05,0.00010686055,0.000111830025
