"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,2.77397225000000e-09
4,"CumDeath",0,0,0,0,0,0,2.75440100000002e-09,2.2114035e-08,5.25723899999997e-08
5,"CumDeath",0,0,0,0,0,1.0874e-08,7.222696e-08,1.2396095e-07,1.84144125e-07
6,"CumDeath",0,0,0,0,5.93512e-09,7.7813375e-08,2.250549e-07,3.173383e-07,4.1578675e-07
7,"CumDeath",0,0,0,7.90224e-11,7.355325e-08,2.1306975e-07,4.306084e-07,5.8495895e-07,7.54627675e-07
8,"CumDeath",0,0,0,4.8398075e-08,1.85524e-07,3.9580375e-07,7.060612e-07,9.3508e-07,1.2175925e-06
9,"CumDeath",0,0,3.397116e-08,1.5327275e-07,3.472295e-07,6.5566275e-07,1.043326e-06,1.4172295e-06,1.67519925e-06
10,"CumDeath",0,9.947245e-09,1.0834121e-07,2.7518825e-07,5.55473e-07,9.64297e-07,1.484011e-06,1.9702995e-06,2.1340675e-06
11,"CumDeath",1.92106175e-08,1.0181821e-07,2.180835e-07,4.496155e-07,8.16397e-07,1.33183e-06,1.927603e-06,2.438126e-06,2.88342025e-06
12,"CumDeath",8.4508455e-08,2.107396e-07,3.851334e-07,6.6960525e-07,1.12116e-06,1.7722475e-06,2.611415e-06,3.0085795e-06,3.6899885e-06
13,"CumDeath",1.62943875e-07,3.413257e-07,5.354513e-07,9.4111525e-07,1.501005e-06,2.2936975e-06,3.3727e-06,3.85973049999999e-06,4.53637575e-06
14,"CumDeath",2.80376425e-07,4.8291765e-07,7.393916e-07,1.266195e-06,1.935615e-06,3.01576e-06,4.088761e-06,4.9292305e-06,5.54168875e-06
15,"CumDeath",4.3161615e-07,6.5091765e-07,9.614767e-07,1.6328875e-06,2.446685e-06,3.83256e-06,5.11972e-06,5.8842335e-06,6.663217e-06
16,"CumDeath",6.1339815e-07,8.8206875e-07,1.241242e-06,2.032815e-06,3.049485e-06,4.74526e-06,6.304731e-06,7.3275055e-06,7.9265535e-06
17,"CumDeath",8.50505075e-07,1.154707e-06,1.586128e-06,2.5045975e-06,3.781775e-06,5.808645e-06,7.576278e-06,8.744131e-06,9.734888e-06
18,"CumDeath",1.145226e-06,1.486425e-06,1.994398e-06,3.05639e-06,4.573055e-06,6.8922975e-06,9.000358e-06,1.032166e-05,1.21319475e-05
19,"CumDeath",1.55197875e-06,1.8936295e-06,2.520661e-06,3.6891575e-06,5.48251e-06,8.202975e-06,1.069985e-05,1.248193e-05,1.46429925e-05
20,"CumDeath",2.1248155e-06,2.4703395e-06,3.137021e-06,4.4499975e-06,6.51995e-06,9.5579525e-06,1.258409e-05,1.462068e-05,1.73227375e-05
21,"CumDeath",2.652738e-06,3.1160245e-06,3.820847e-06,5.398025e-06,7.639015e-06,1.1175475e-05,1.461752e-05,1.705644e-05,2.05602675e-05
22,"CumDeath",3.30791175e-06,3.8403645e-06,4.649023e-06,6.4580175e-06,8.97191e-06,1.28778e-05,1.68247e-05,1.97164849999999e-05,2.38894175e-05
23,"CumDeath",4.07572125e-06,4.6744005e-06,5.832749e-06,7.727415e-06,1.04287e-05,1.4758e-05,1.918137e-05,2.3662145e-05,2.7624355e-05
24,"CumDeath",4.99212875e-06,5.7034905e-06,6.95176e-06,9.0993275e-06,1.220805e-05,1.70795e-05,2.175988e-05,2.623652e-05,3.18712825e-05
25,"CumDeath",6.01839525e-06,6.950089e-06,8.230338e-06,1.0723425e-05,1.411395e-05,1.9241775e-05,2.463343e-05,2.91239149999999e-05,3.569744e-05
26,"CumDeath",7.1875745e-06,8.2831085e-06,9.750455e-06,1.2522725e-05,1.61524e-05,2.182195e-05,2.761929e-05,3.2884495e-05,3.9264715e-05
27,"CumDeath",8.51936275e-06,9.7723695e-06,1.136651e-05,1.4420725e-05,1.84874e-05,2.4447925e-05,3.101403e-05,3.669409e-05,4.33355775e-05
28,"CumDeath",1.00984475e-05,1.1595665e-05,1.316106e-05,1.6413125e-05,2.08118e-05,2.766225e-05,3.436046e-05,4.1228225e-05,4.74460675e-05
29,"CumDeath",1.18241975e-05,1.349594e-05,1.512386e-05,1.858565e-05,2.33754e-05,3.0769425e-05,3.869973e-05,4.585139e-05,5.140441e-05
30,"CumDeath",1.36372125e-05,1.52857e-05,1.691173e-05,2.0738775e-05,2.59899e-05,3.4212275e-05,4.244146e-05,5.1971795e-05,5.61167025e-05
31,"CumDeath",1.53918375e-05,1.741046e-05,1.899896e-05,2.312745e-05,2.876685e-05,3.7363275e-05,4.783856e-05,5.646419e-05,6.31500425e-05
32,"CumDeath",1.7342335e-05,1.9533295e-05,2.13829e-05,2.55758e-05,3.14706e-05,4.10732e-05,5.182615e-05,6.0645845e-05,6.796762e-05
33,"CumDeath",1.95936125e-05,2.155916e-05,2.365962e-05,2.7929275e-05,3.428995e-05,4.4681375e-05,5.677757e-05,6.582041e-05,7.42866625e-05
34,"CumDeath",2.17155925e-05,2.3671725e-05,2.595036e-05,3.048055e-05,3.71553e-05,4.780085e-05,6.059148e-05,7.1111825e-05,8.45782574999999e-05
35,"CumDeath",2.365398e-05,2.554853e-05,2.826187e-05,3.30167e-05,4.014275e-05,5.1204025e-05,6.527211e-05,7.51331749999999e-05,9.06167425e-05
36,"CumDeath",2.5621965e-05,2.7474475e-05,3.066042e-05,3.556075e-05,4.322995e-05,5.48963e-05,6.941679e-05,8.0128995e-05,9.56168075e-05
37,"CumDeath",2.77090375e-05,2.9925115e-05,3.293606e-05,3.80537e-05,4.595215e-05,5.790865e-05,7.273396e-05,8.436897e-05,0.0001000928775
38,"CumDeath",2.98508e-05,3.2185305e-05,3.529898e-05,4.060045e-05,4.869445e-05,6.1094825e-05,7.641764e-05,8.908011e-05,0.00010549235
39,"CumDeath",3.18382325e-05,3.4352735e-05,3.747116e-05,4.3081625e-05,5.150075e-05,6.4298525e-05,7.986535e-05,9.372028e-05,0.000110776725
40,"CumDeath",3.37954325e-05,3.6309185e-05,3.952904e-05,4.52404e-05,5.4264e-05,6.7614825e-05,8.322184e-05,9.756475e-05,0.000115828775
41,"CumDeath",3.55326675e-05,3.827902e-05,4.143297e-05,4.7584775e-05,5.66905e-05,7.05851e-05,8.647041e-05,0.0001006409,0.000120636675
42,"CumDeath",3.71235775e-05,4.0225455e-05,4.348179e-05,5.00412e-05,5.90033e-05,7.310315e-05,9.009624e-05,0.0001035655,0.000125189975
43,"CumDeath",3.90509475e-05,4.213199e-05,4.541409e-05,5.20179e-05,6.13513e-05,7.5431475e-05,9.33755e-05,0.00010634415,0.0001294842
44,"CumDeath",4.0753435e-05,4.3992505e-05,4.725822e-05,5.42669e-05,6.35876e-05,7.7853925e-05,9.688517e-05,0.00010898105,0.000133520825
45,"CumDeath",4.232173e-05,4.5617625e-05,4.909031e-05,5.6214275e-05,6.565505e-05,8.0085425e-05,9.98547e-05,0.00011131135,0.000137301625
46,"CumDeath",4.37894975e-05,4.7352915e-05,5.09035e-05,5.8020975e-05,6.762195e-05,8.2310925e-05,0.0001024444,0.0001139226,0.000140834075
47,"CumDeath",4.52011175e-05,4.889352e-05,5.247467e-05,5.94846e-05,6.93386e-05,8.439265e-05,0.0001048344,0.00011626075,0.000144122825
48,"CumDeath",4.6665305e-05,5.027363e-05,5.405074e-05,6.12201e-05,7.10856e-05,8.6466025e-05,0.0001067836,0.0001184579,0.00014717665
49,"CumDeath",4.82491575e-05,5.151978e-05,5.55767e-05,6.29178e-05,7.279715e-05,8.871435e-05,0.0001082471,0.00012046345,0.000150007225
50,"CumDeath",4.95384225e-05,5.284465e-05,5.695269e-05,6.4379875e-05,7.450855e-05,9.0953275e-05,0.0001104756,0.00012235535,0.000152621475
51,"CumDeath",5.07243475e-05,5.4091735e-05,5.832162e-05,6.5751475e-05,7.605035e-05,9.2876875e-05,0.0001121627,0.00012414725,0.0001550329
52,"CumDeath",5.195314e-05,5.527314e-05,5.946332e-05,6.694055e-05,7.745255e-05,9.423035e-05,0.0001140514,0.00012602965,0.000157253275
53,"CumDeath",5.3019055e-05,5.638626e-05,6.055642e-05,6.807375e-05,7.87983e-05,9.5708075e-05,0.0001160214,0.0001277864,0.0001592888
54,"CumDeath",5.401869e-05,5.740619e-05,6.172428e-05,6.92062e-05,8.0155e-05,9.71412e-05,0.0001173943,0.00012942365,0.000161155925
55,"CumDeath",5.494096e-05,5.832033e-05,6.267767e-05,7.030345e-05,8.148715e-05,9.8280925e-05,0.0001185826,0.0001309466,0.0001628639
56,"CumDeath",5.580567e-05,5.917773e-05,6.367989e-05,7.1167725e-05,8.273205e-05,9.9452825e-05,0.0001197092,0.00013236425,0.000164423875
