"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 5788.36 19.3303 3.50777 10.9373 3.336 11.8726 0.0155929 97.1188 39.1351 6.874 2.43925 0.394176 0.185715 0.833058 0.430154 19.1739 3.62239 0.514902 0.457775 2.44762 4.24779 38.7465 0.689835 25.2309 8.93545 5.17626 -54.34689 -849.7521 -904.099
66300 3432.57 20.7488 3.17741 11.645 2.03939 7.16041 0.0145457 98.9597 26.0435 7.76886 1.82748 0.345786 0.0419219 0.860294 0.356729 16.1068 2.57891 0.237681 0.499412 4.08414 5.18745 24.0156 0.616764 45.8971 10.3222 4.41486 -53.99742 -846.6774 -900.6748
200000 5695.65 17.3994 4.22421 14.3972 4.40759 10.9331 0.0153269 119.857 40.077 8.02903 1.67495 0.338131 0.84522 0.74661 0.329335 15.2834 3.2601 0.551678 0.112151 2.05079 4.60779 22.0761 0.368872 35.1173 12.3577 3.38625 -51.91913 -847.7753 -899.6944
161800 4838.05 18.9133 4.03623 9.56437 5.4679 9.63111 0.0133754 130.816 34.4125 7.23669 1.18479 0.122226 0.707666 0.646722 0.290323 16.6108 3.81844 0.394288 0.195336 2.43051 7.2003 22.9798 0.382456 37.2466 13.2978 5.08561 -50.97163 -851.2584 -902.23
170600 2751.52 10.0003 4.39499 14.7078 2.29592 8.8967 0.0117715 108.438 37.2658 5.73355 2.89886 0.221248 0.12034 0.751884 0.355312 14.1974 4.54083 0.53204 0.446577 3.19932 5.6208 23.7502 0.406445 51.2141 11.2451 4.39748 -54.27643 -845.5757 -899.8521
168200 8609.09 9.11452 4.10335 17.6124 3.66318 12.5984 0.0245256 103.981 34.2287 6.87459 1.61295 0.54052 0.537401 0.854086 0.334596 13.3153 4.03464 0.43597 0.330872 3.74753 5.90077 21.7092 0.524886 54.956 11.3317 4.65023 -56.01815 -849.1746 -905.1928
67100 9538.68 10.8928 3.61385 8.69161 5.60443 11.3275 0.0145217 118.931 31.4904 6.63453 1.34237 0.124588 0.537018 0.661896 0.326296 14.7878 3.89757 0.447953 0.113266 1.66933 7.32157 32.8503 0.548361 33.2049 12.7531 4.59892 -53.17252 -846.2049 -899.3774
106100 7694.23 8.65812 2.67081 13.6631 5.42463 5.81131 0.00905672 93.5057 32.1551 7.45671 1.97422 0.304575 0.594989 0.651103 0.468277 16.3944 4.20241 0.487404 0.0745679 1.23641 8.21056 31.7655 0.532485 37.0972 11.3119 4.54439 -51.31189 -848.2842 -899.5961
168900 9659.1 16.6832 3.14117 10.5796 4.24724 7.94965 0.0127918 78.9656 30.3109 8.51889 1.7297 0.534406 0.128642 0.71181 0.361002 15.5532 3.12983 0.123175 0.397343 6.04893 6.94354 23.2528 0.509614 59.999 10.2398 4.98398 -50.79306 -846.9033 -897.6964
47000 7004.24 8.67785 3.10105 14.0025 3.46725 10.9571 0.016579 101.399 31.0687 6.11704 1.08149 0.265229 0.275887 0.71798 0.334074 15.9931 4.95767 0.0925229 0.437547 4.48555 3.98554 31.625 0.464822 35.6496 10.2116 4.29229 -50.61449 -845.5516 -896.1661
64700 7723.35 10.9117 2.57171 13.9668 4.2649 8.20925 0.0200501 94.6 24.5613 7.67948 1.34952 0.49388 0.833122 0.834249 0.390255 18.2874 3.5121 0.148643 0.200979 2.65641 8.3346 24.3462 0.573582 42.0514 11.4939 4.81961 -50.16889 -849.4781 -899.647
108800 4728.63 18.8227 3.04111 14.5871 3.23417 6.97399 0.0162734 90.5762 34.2138 7.46265 1.41673 0.457515 0.435471 0.727112 0.395121 16.0888 3.89447 0.215257 0.360345 2.08778 4.78276 22.3314 0.5098 51.0076 10.7428 4.19938 -49.23531 -847.9865 -897.2219
85300 2550.46 10.8226 3.09548 14.9654 2.5215 9.15645 0.0188303 105.695 41.6793 5.58512 1.41018 0.114042 0.277335 0.788786 0.415424 18.9988 3.73662 0.132215 0.633086 4.53346 3.20811 23.9833 0.67668 51.0462 11.198 4.37367 -52.59476 -847.68 -900.2747
78100 5121.33 8.10928 2.59383 19.3843 3.62496 8.1062 0.0153525 73.9379 35.045 7.58717 1.42295 0.127546 0.180927 0.761203 0.438104 18.8993 4.32555 0.149358 0.330335 3.21491 2.8219 22.804 0.469292 43.1358 11.314 2.72084 -49.04161 -855.915 -904.9566
177000 8269.51 16.592 3.70344 14.8035 2.96251 10.7991 0.0100346 110.723 31.0799 4.99309 2.07344 0.0301591 0.0550268 0.70836 0.316081 14.5937 4.05179 0.331006 0.361076 2.03129 3.97098 31.0147 0.351868 39.2593 10.9903 4.39525 -53.03242 -845.7031 -898.7355
50600 7516.38 14.1412 3.05058 11.8374 4.41925 9.64408 0.013058 102.516 38.0239 4.04527 1.5934 0.456255 0.270837 0.757594 0.380994 19.2569 5.35307 0.356095 0.145787 2.42469 3.84586 29.3457 0.416939 28.6153 13.3709 6.08259 -51.15439 -848.9177 -900.072
121500 6892.66 7.79793 3.30795 12.7396 3.2101 10.758 0.0123863 115.361 34.9293 8.09987 1.98345 0.127971 0.417517 0.670374 0.340996 16.6075 4.84944 0.360751 0.127729 3.21187 4.24236 22.275 0.567679 73.2088 10.8664 4.87444 -49.39912 -850.7591 -900.1582
122100 5257.74 15.7975 2.88066 13.5078 3.18027 8.01864 0.0182906 85.7472 31.3969 7.42525 2.01548 0.477171 0.659426 0.748365 0.412013 16.4466 3.45461 0.228383 0.230553 3.85179 7.29288 22.2072 0.483059 47.006 11.1943 5.10133 -48.08936 -846.8878 -894.9772
128700 3265.39 19.0984 2.53416 15.5654 4.29871 6.29539 0.0160181 86.8101 37.4313 10.8095 1.269 0.0261525 0.386601 0.894133 0.445227 18.4775 4.69334 0.134683 0.406367 11.853 6.21027 23.6561 0.531249 22.8059 12.2253 4.67087 -54.36687 -849.821 -904.1878
46800 9111.11 7.51116 3.0756 10.3982 3.55032 7.7511 0.0046111 67.5638 32.5596 8.05378 1.25158 0.168928 0.0444739 0.640234 0.337957 16.8828 3.35227 0.116735 0.156476 5.4888 7.84414 35.2418 0.398481 57.1869 11.3918 4.10717 -49.46015 -854.1909 -903.651
