"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 5258.05 13.1291 3.57936 12.4785 4.20682 6.289 0.00605079 139.962 14.9507 6.3486 1.88465 0.156786 0.673507 0.710977 0.192454 19.5427 5.04275 0.100821 0.105586 2.00351 12.8013 21.1149 0.195466 26.2837 12.9678 7.30969 -53.73379 -805.2698 -859.0035
66300 1429.21 11.0121 2.98059 17.1836 5.28255 6.04067 0.00813394 127.16 33.2762 4.85204 2.36622 0.288179 0.370848 0.754332 0.494773 20.5778 4.71399 0.228689 0.358618 6.2887 3.36264 62.2947 0.826988 44.934 8.39777 3.91352 -50.78782 -820.0448 -870.8326
200000 8007.18 13.2051 3.78036 16.8697 3.61449 10.9491 0.00993769 161.5 22.3241 5.98481 1.63259 0.160037 0.876172 0.644806 0.280414 17.4385 4.59725 0.341857 0.517781 9.06983 13.7034 25.3172 0.338411 54.73 9.30081 3.88985 -52.92117 -813.4263 -866.3474
161800 4061.9 16.8838 3.39992 18.6194 2.51551 6.59911 0.0104416 139.72 15.7965 5.91348 2.4321 0.284303 0.753856 0.737679 0.256009 16.8675 5.93386 0.161068 0.234631 3.94996 13.6591 22.8978 0.34045 51.9688 10.9292 5.33748 -51.20319 -802.261 -853.4642
170600 8588.77 13.1946 2.99057 11.5024 2.81118 8.70005 0.0103681 149.765 16.3108 4.23318 2.30865 0.216303 0.786645 0.677556 0.353431 19.0668 4.32332 0.39128 0.115017 2.75749 13.744 23.4193 0.342012 50.0936 13.2381 3.40344 -50.73947 -805.255 -855.9945
168200 1721.24 15.6202 3.36299 7.77967 3.23835 6.98083 0.0123794 142.631 21.5995 3.38217 2.59105 0.0631007 0.578544 0.837416 0.395094 16.3077 3.41015 0.453106 0.218263 6.23048 13.344 21.2799 0.406877 33.7884 11.1634 3.5562 -51.38644 -805.4099 -856.7963
67100 4502 13.7442 2.56983 10.3376 2.20967 5.81375 0.00877458 142.208 18.3903 5.66334 2.37788 0.428927 0.806817 0.6237 0.473203 19.4789 5.16662 0.491455 0.312048 3.68911 13.4199 24.4535 0.637919 57.5417 12.2647 4.82362 -51.96164 -805.5109 -857.4725
106100 1588.76 9.19938 3.5337 15.0436 3.80489 7.14121 0.0122666 133.372 24.5963 10.9053 1.83018 0.52141 0.696581 0.776609 0.387233 20.7607 5.75964 0.414766 0.846129 3.24135 7.19073 22.0708 0.730126 37.6149 10.0974 4.22667 -51.52924 -806.2287 -857.7579
168900 7188.13 13.2137 4.35142 11.9117 6.27432 8.2482 0.0144686 140.416 14.2043 3.13133 2.79734 0.423345 0.825201 0.729752 0.202373 17.7248 4.97849 0.369656 0.234882 3.69033 12.0924 22.5955 0.450416 41.8644 11.4905 3.89849 -54.32505 -802.6459 -856.9709
47000 7695.81 13.057 4.23067 9.54539 5.19051 8.36752 0.0111943 136.101 15.4999 8.26132 1.10615 0.414903 0.803026 0.806429 0.177213 17.0809 7.20597 0.218714 0.241976 3.63963 12.9468 22.4211 0.251132 20.4971 14.3106 4.71418 -57.36591 -802.1682 -859.5341
