"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 160.968 9.7337 3.71305 13.6093 4.95633 9.5946 0.00259829 86.4007 27.223 10.8926 1.54237 0.221828 0.306124 0.671058 0.169941 22.8202 3.68989 0.39563 0.105743 5.69771 4.85432 32.7708 1.41262 25.755 2.34065 3.35751 -48.27666 -467.3755 -515.6522
66300 77.6358 15.9766 2.98459 8.09493 3.47126 7.2242 0.00412405 76.4538 23.0274 3.66609 2.8275 0.486748 0.594342 0.840128 0.252755 20.4977 6.75196 0.225448 0.0664362 5.993 6.64432 26.4651 1.1624 30.8655 3.01953 2.29335 -48.335 -468.6093 -516.9443
200000 120.093 13.9801 3.37643 13.7045 4.2737 10.3291 0.00439507 113.537 30.1654 3.70005 2.17003 0.479891 0.647982 0.757027 0.164033 19.9613 6.57939 0.251583 0.160198 8.59993 6.84441 30.5069 1.4672 26.6993 2.43823 11.5795 -48.80779 -464.6592 -513.467
161800 901.259 14.2185 3.74233 13.1499 5.15696 7.79026 0.00205187 126.73 19.4682 6.22468 1.5868 0.528262 0.288863 0.724347 0.0584508 19.5346 2.59022 0.295647 0.142374 3.93045 9.80744 39.949 1.45488 18.3173 3.17894 3.10651 -51.77793 -462.9593 -514.7373
170600 156.136 19.5984 3.86255 15.6907 4.7321 7.33731 0.00331334 129.685 21.9053 5.65464 2.09007 0.151004 0.383992 0.85805 0.134866 16.9921 4.5639 0.247051 0.390428 6.86986 2.64738 36.7926 1.48889 45.8748 2.35878 17.2279 -50.70703 -468.3063 -519.0134
168200 96.3798 10.0039 2.8331 11.061 2.8988 6.86119 0.00568381 119.311 18.0616 8.30375 2.39237 0.0919084 0.882161 0.836362 0.0737497 21.5532 5.13202 0.0779808 0.152826 4.81844 8.22548 19.0016 1.06744 40.8542 2.68658 1.54106 -46.83566 -466.908 -513.7437
67100 161.289 8.28388 3.13877 8.84696 3.90282 5.75147 0.00324125 128.012 20.4407 7.61429 1.64016 0.186503 0.773911 0.686786 0.189415 18.3979 3.91669 0.270555 0.247544 6.92463 7.66794 31.8773 1.21526 34.1735 2.06224 1.6987 -44.45455 -465.3748 -509.8293
106100 812.956 15.3755 2.33278 16.579 4.31427 6.97126 0.00438699 112.741 12.5238 10.1918 2.28327 0.227504 0.879122 0.799494 0.0950508 17.4267 5.77997 0.166757 0.0906991 6.50786 10.5257 29.2971 1.57337 31.2874 3.2293 35.0997 -53.85403 -461.9547 -515.8087
168900 36.6404 8.51141 3.3448 17.5356 3.20984 7.43706 0.0040687 92.0426 13.2317 3.8309 1.22513 0.413103 0.487106 0.768822 0.260565 21.2616 6.32742 0.27704 0.197509 2.76829 2.06428 41.8337 1.23312 2.43566 3.4775 1.89388 -50.09296 -463.7283 -513.8212
47000 26.9569 13.2551 4.26862 11.1645 3.24601 10.087 0.0108512 95.2513 23.0874 2.15884 2.08743 0.470485 0.860748 0.734405 0.283341 17.6231 5.86204 0.124048 0.245642 9.85102 6.21052 32.0765 1.41977 29.1662 3.06339 0.266885 -47.37437 -468.6281 -516.0025
