"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2189.21 15.3854 3.32898 8.24242 4.95541 8.08185 0.00549027 134.093 24.6687 6.03709 1.82181 0.0883553 0.329195 0.677996 0.483819 23.8191 6.85752 0.751178 0.0825527 3.98382 10.1165 29.3854 0.934781 59.3396 8.53945 1.59885 -51.0715 -1196.904 -1247.976
66300 1198.65 9.19126 4.04493 12.8522 4.89987 7.93449 0.00723889 167.259 34.2789 5.51414 1.33016 0.185622 0.697136 0.758552 0.336678 20.1594 6.83878 0.277116 0.111792 8.1243 12.4858 41.8191 0.404289 39.9135 7.44096 1.69001 -48.79012 -1193.735 -1242.526
200000 1190.33 7.77186 3.28623 16.4439 3.36491 7.65578 0.00602252 134.156 37.0636 8.97246 2.69318 0.534128 0.606185 0.763501 0.417618 22.0465 5.85636 0.271563 0.221803 9.51684 11.7406 38.4999 0.573707 47.582 8.76338 1.57029 -48.15987 -1196.768 -1244.928
161800 1587.45 10.7734 3.94213 12.7627 3.93059 7.81433 0.00445036 175.236 33.5306 5.91999 2.66213 0.169997 0.357629 0.833748 0.428477 21.2978 5.94977 0.614946 0.0983228 6.31043 11.7043 46.598 0.650093 57.3973 9.73505 1.48179 -49.81666 -1195.522 -1245.339
170600 2918.31 7.29558 4.09268 13.093 3.65731 9.56614 0.00414322 167.006 35.6478 11.673 1.22401 0.381328 0.725033 0.676011 0.435422 20.8408 3.73541 0.723893 0.138411 9.45314 12.9313 45.7242 0.658854 38.5264 9.68428 1.51707 -51.44126 -1194.133 -1245.574
168200 3180.16 15.1909 3.97868 9.26384 3.93396 9.52649 0.00390143 152.518 28.8359 3.94066 1.50149 0.459482 0.16121 0.782298 0.342536 23.1758 9.20325 0.531763 0.0910448 7.747 13.3358 18.2783 0.674928 73.2427 9.80459 1.53314 -58.80019 -1193.214 -1252.014
67100 759.332 7.12498 3.57199 10.0633 2.82522 7.85209 0.00496989 161.315 33.5289 7.25728 2.70109 0.201222 0.38972 0.869188 0.446767 24.8148 5.28742 0.696902 0.135937 5.1776 9.94525 22.6279 0.688877 68.0829 7.54464 1.44962 -52.47235 -1193.741 -1246.213
106100 1679.13 8.71296 3.68664 9.75191 4.2347 7.63866 0.00656257 177.701 31.3485 7.08422 1.47909 0.141135 0.716737 0.857365 0.339018 22.0235 5.66467 0.314002 0.324084 7.0433 12.0807 40.9518 0.583358 48.2947 10.7709 1.32483 -49.74818 -1197.542 -1247.291
168900 353.306 9.39395 3.99732 12.7799 2.43301 6.78226 0.00499547 150.584 32.0316 6.78653 1.91327 0.179355 0.373368 0.694613 0.4605 21.2828 3.59707 0.732136 0.25269 4.99619 8.92001 43.8547 0.664733 45.8794 8.99969 2.26436 -47.88566 -1195.963 -1243.849
47000 439.098 7.47407 3.95357 15.8085 3.43521 5.60498 0.00414377 158.414 34.0076 3.29351 1.80992 0.559815 0.640585 0.603556 0.501329 20.2363 7.10294 0.945488 0.122466 8.00044 10.9183 41.5555 0.713317 48.9211 9.26001 1.43232 -50.09793 -1195.257 -1245.355
64700 847.06 14.2597 3.49456 12.0162 2.97058 6.94916 0.00530489 141.488 37.5264 8.56008 1.49436 0.247397 0.295421 0.625329 0.418266 21.8202 3.3899 0.346199 0.368087 12.8243 10.382 40.4187 0.749133 56.2554 7.05532 1.94417 -50.95979 -1199.935 -1250.895
108800 2035.78 17.9142 3.32815 11.2449 3.61505 6.60574 0.00336266 152.863 38.1854 7.67007 2.57118 0.175085 0.291649 0.745976 0.479747 20.7561 5.32148 0.644256 0.107656 9.69461 12.356 35.2771 0.68758 53.7123 7.53252 1.20827 -48.48759 -1196.373 -1244.86
85300 327.201 19.238 4.2132 8.2994 2.40661 6.29122 0.00522582 163.227 35.7985 5.72092 2.99531 0.220796 0.277668 0.799525 0.464805 20.6532 4.71053 0.901632 0.276834 6.6317 11.9357 40.2915 0.641827 45.0502 7.65506 1.45176 -50.64283 -1192.711 -1243.353
78100 2934 10.5255 3.61067 11.3202 4.62279 6.15253 0.0047052 168.681 29.6973 6.03639 2.99086 0.140658 0.324635 0.610465 0.339287 21.1651 5.6937 0.31766 0.404715 6.81495 13.8233 41.1304 0.985045 78.3678 10.7358 1.43495 -54.93328 -1194.853 -1249.786
177000 3543.2 9.05824 3.85669 19.3676 4.18747 11.4091 0.00501581 164.456 32.915 8.02321 1.9394 0.117982 0.295859 0.728397 0.418174 23.41 6.70635 0.594341 0.183677 6.14675 11.1998 38.4253 0.782215 53.177 8.39048 1.81252 -51.01159 -1195.777 -1246.789
50600 1968.21 8.46736 3.51153 12.4661 4.07431 10.3696 0.00646034 168.37 40.8967 10.1062 1.30581 0.114823 0.645139 0.691102 0.406498 23.7876 6.72582 0.345181 0.162418 7.87397 12.2001 44.0723 0.738785 54.4152 6.8927 1.84666 -51.22696 -1197.626 -1248.853
121500 785.388 13.778 3.88393 8.42373 3.42481 7.20449 0.00846092 151.231 30.5887 3.38626 1.00271 0.443059 0.759229 0.632394 0.417771 18.1208 7.45347 0.549634 0.199295 9.93918 11.9517 36.3531 0.783159 58.0226 10.3066 1.89085 -50.67252 -1195.912 -1246.585
122100 338.953 11.8371 4.15595 17.3086 3.04448 6.4773 0.00550121 176.289 38.3608 5.35585 2.75795 0.183917 0.661278 0.66001 0.427288 20.7768 7.28024 0.659607 0.094775 6.2768 13.248 38.0754 0.429405 40.883 7.97304 1.67814 -48.96 -1192.741 -1241.701
128700 656.684 10.6327 2.98263 11.5663 3.54685 5.19458 0.00487785 114.81 26.8006 7.12018 1.69405 0.524519 0.522706 0.628513 0.433135 22.8493 4.66465 0.161455 0.287853 6.58057 9.24436 40.496 0.787611 52.1011 6.82467 2.19108 -47.98267 -1205.74 -1253.723
46800 2166.29 16.2103 2.8831 12.9457 3.48148 8.09416 0.0059943 170.305 38.048 9.07402 1.8099 0.242624 0.928177 0.642226 0.452465 23.2355 6.54661 0.308215 0.16489 9.52857 12.2817 34.81 0.553211 44.3859 7.94516 1.52085 -50.37425 -1199.776 -1250.15
196700 809.561 11.0289 3.61262 11.9019 4.38374 6.71006 0.00339941 150.824 35.2968 8.06955 1.63645 0.107523 0.450322 0.665159 0.518575 23.8818 6.12907 0.828275 0.164542 5.79696 7.09729 40.9903 0.993509 71.2253 9.67362 1.92084 -51.80768 -1199.226 -1251.034
198800 402.49 8.55424 3.99658 14.4668 2.64092 5.79443 0.00369222 172.834 39.869 10.4618 1.61429 0.342979 0.788007 0.802203 0.464991 18.7356 4.40006 0.707479 0.214905 7.78854 10.6927 49.3981 0.472321 50.2553 10.3902 1.75372 -51.08507 -1196.945 -1248.03
133600 1543.04 18.43 3.78594 9.20467 6.42825 8.67953 0.0093515 153.515 34.1017 8.56733 2.4515 0.055321 0.461337 0.894083 0.412852 23.7199 4.89784 0.427579 0.246616 4.69126 11.9691 45.0477 0.752991 48.5657 9.07175 1.80523 -55.19669 -1198.333 -1253.53
88200 2456.89 10.1007 3.25485 13.443 3.5309 7.72548 0.00576622 151.911 31.6437 8.52717 1.8478 0.250798 0.354055 0.88643 0.347861 19.0644 5.99511 0.161173 0.238782 10.4125 11.3477 43.6202 0.499664 39.4319 7.86649 1.43839 -49.0583 -1200.038 -1249.096
108100 2244.52 14.3438 3.42145 14.1662 4.34236 7.64184 0.00508805 168.107 35.2737 10.8403 1.15744 0.288656 0.327357 0.835793 0.503127 22.7875 7.04381 0.872402 0.32799 7.77946 12.9503 38.1412 1.07628 48.9357 7.29834 2.37218 -53.88742 -1201.096 -1254.984
139400 767.237 10.9704 4.36446 15.1137 3.20954 5.67327 0.00521564 148.569 18.8375 5.89481 2.32764 0.223978 0.523108 0.737551 0.288213 19.9783 5.42786 0.354713 0.130315 4.15656 13.808 36.287 0.651753 73.8182 10.6707 1.43159 -50.37717 -1191.579 -1241.956
113900 953.97 10.6553 3.61112 11.4411 4.76322 5.61891 0.00427005 150.016 34.5611 7.16531 1.80098 0.322611 0.440609 0.704155 0.466717 21.8497 5.68329 0.630166 0.210852 6.05192 10.2173 39.3556 0.690247 61.2682 8.65938 1.7376 -47.78028 -1193.787 -1241.568
133400 751.759 8.78164 3.48415 12.5052 2.60182 5.74258 0.0050699 175.306 36.4658 8.06245 1.66014 0.422838 0.454611 0.81048 0.402945 20.6998 7.40236 0.444139 0.366203 6.29669 13.9622 35.4991 0.668358 66.1246 10.6825 1.8372 -51.6052 -1193.215 -1244.82
54200 3703.03 11.2229 4.414 10.3189 4.95464 6.45328 0.00357413 178.947 34.2889 7.38384 1.91166 0.558352 0.208368 0.946298 0.335003 22.8266 3.36023 0.692116 0.289042 6.53766 12.9546 29.9349 0.823583 52.9615 10.3692 1.95492 -57.77813 -1192.766 -1250.545
178100 411.908 12.4873 3.83993 11.7776 2.78374 5.54315 0.00471747 173.787 33.9028 10.9152 2.10378 0.245368 0.481167 0.87408 0.425558 22.8953 4.25052 0.698525 0.284019 4.38937 9.68834 34.3611 0.786042 66.6884 9.38355 1.79744 -52.52182 -1195.638 -1248.16
