"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"alpha",0.0500029375,0.05221813,0.05694044,0.06386735,0.08304375,0.10619125,0.1260273,0.13211495,0.137525675
1,"beta",0.0190006025,0.020629615,0.02275513,0.02732795,0.0346247,0.043899175,0.05204063,0.05849939,0.0628943075
1,"beta0",0.0263306075,0.02819237,0.03265587,0.040022425,0.0492401,0.06117665,0.07558819,0.0839834,0.0905533075
1,"c",5.64457575,5.977175,6.455266,7.6842175,9.68848,11.9832,14.2541,15.125135,15.8242125
1,"CumDeath",0.00034421465,0.0003504194,0.0003579017,0.00037097975,0.000386349,0.00040167075,0.0004156923,0.000426919,0.000432088875
1,"CumPosTest",0.01260861,0.01276392,0.01296882,0.0132834,0.01367975,0.0140516,0.01444817,0.01470086,0.014880615
1,"D_pos",26.8378575,27.31332,27.91754,29.192,30.50275,32.282475,33.65371,34.76673,35.4057425
1,"delta",0.0028183265,0.003041564,0.003221186,0.0036646475,0.004122535,0.00456312,0.004915263,0.005116984,0.0053117575
1,"E",0.00178892775,0.0020406275,0.00235656,0.0031318175,0.00410529,0.005131725,0.006541265,0.00763222,0.0087515975
1,"E_C",0.0002970089,0.00037024185,0.0004217379,0.0005533435,0.000766586,0.001052735,0.001320312,0.0014603925,0.00158644375
1,"F_T",0.0004149955,0.0004246547,0.0004328912,0.00044821725,0.0004685455,0.000488578,0.0005060862,0.00051365755,0.000521950375
1,"FTraced",0.06198423,0.072276925,0.0895161,0.11269425,0.1603725,0.2115285,0.2689684,0.3024109,0.336364675
1,"HygieneFit",0.53988745,0.5664385,0.5935267,0.63417925,0.6985735,0.782624,0.8509759,0.8794302,0.915685775
1,"I_C",0.000129171025,0.00016275675,0.0002019504,0.00028246175,0.000373584,0.00050265325,0.0006291244,0.0007394739,0.000814486625
1,"I_T",0.001510324,0.0015744385,0.001650947,0.001788255,0.00200384,0.0022761075,0.002564123,0.002828448,0.0029187425
1,"I_U",0.00266600575,0.0029788775,0.00334004,0.0042466775,0.005353955,0.006719805,0.008258322,0.009447638,0.01053523
1,"kappa",0.189066975,0.19660365,0.2086988,0.2402615,0.280001,0.33830925,0.4098322,0.44610145,0.46477275
1,"lambda",0.017436285,0.01958008,0.02271855,0.029083275,0.0380721,0.049200925,0.05982889,0.06809827,0.08050895
1,"lambda_C",0.227931,0.24485825,0.26787,0.31931325,0.411881,0.535394,0.6429769,0.69359875,0.74396825
1,"lambda0",0.0174874175,0.019622745,0.02276736,0.0291676,0.03817775,0.0494023,0.06006289,0.068479045,0.0807630375
1,"lambda0_C",0.22849865,0.2453248,0.2683968,0.320306,0.4132335,0.53692075,0.6450737,0.69564345,0.746681025
1,"N_pos",1491.34875,1524.6175,1560.986,1652.4675,1745.53,1868.3875,2003.01,2071.5845,2137.241
1,"R_T",0.0106088475,0.010789225,0.01098024,0.0113377,0.0117002,0.012033975,0.01241401,0.012576615,0.012714335
1,"R_U",0.0422621075,0.045416395,0.05107379,0.060380325,0.0730288,0.087157925,0.1069565,0.1167359,0.1242746
1,"Refft",1.1032585,1.1100925,1.121311,1.14048,1.17032,1.200155,1.230679,1.2537935,1.2686045
1,"rho",0.106541925,0.11452395,0.122819,0.1389605,0.161052,0.17607325,0.1886124,0.19426765,0.197073625
1,"rho_C",0.04988701,0.060411165,0.07540109,0.10546825,0.14611,0.20050825,0.2561666,0.279614,0.316311275
1,"rho0_C",0.050054625,0.06046332,0.07555974,0.1058395,0.146593,0.20098425,0.2568223,0.28035025,0.3173828
1,"rMax",0.508118075,0.52961275,0.5733058,0.646627,0.7422235,0.83087,0.8921043,0.91733185,0.925726825
1,"Rt",1.27082175,1.290398,1.320037,1.3545175,1.40776,1.471595,1.524658,1.543876,1.57096825
1,"S",0.73845285,0.7535914,0.7709531,0.80703725,0.8367145,0.86157875,0.8813566,0.89064385,0.90029095
1,"S_C",0.0201974725,0.0257451,0.03069282,0.04448575,0.0623357,0.084860325,0.1117933,0.12759015,0.1429619
1,"TauR",37.98141,39.0099,41.32443,45.4393,49.1976,51.794825,52.94343,53.227835,53.410685
1,"TauS",30.80935,31.596345,33.4621,35.4031,37.90065,40.489725,42.66106,43.729845,44.4047375
1,"TauTheta",18.030385,18.46936,19.07286,19.855725,20.7101,21.47115,22.01082,22.24492,22.3628225
1,"ThetaFit",0.21048385,0.2181922,0.2317774,0.26209275,0.297271,0.327684,0.3584251,0.370438,0.384833175
