"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"alpha",0.0489698675,0.05022608,0.05327077,0.063169525,0.0797863,0.1045705,0.1225425,0.13157685,0.136543675
1,"beta",0.01487393,0.01597922,0.01809367,0.022268275,0.0282617,0.036142675,0.04647171,0.052166965,0.05712816
1,"beta0",0.02003504,0.021611495,0.02412671,0.029474075,0.0376631,0.050529675,0.06263704,0.072043295,0.0808873825
1,"c",6.035355,6.4657425,7.090449,8.457795,10.55985,12.65515,14.64561,15.50323,16.5619975
1,"CumDeath",0.000128474275,0.000131598,0.0001369839,0.0001467375,0.0001580845,0.00017058925,0.0001839361,0.0001902716,0.000199645425
1,"CumPosTest",0.00977704675,0.0098914105,0.01006463,0.010360075,0.0107716,0.0111783,0.01156978,0.01177451,0.01198212
1,"D_pos",6.92945925,7.2722925,7.520072,8.0281475,8.629025,9.212055,9.77307,10.204135,10.584445
1,"delta",0.0013299635,0.001425577,0.001587246,0.0018517275,0.002167315,0.0025018625,0.002811094,0.0029775515,0.00309847625
1,"E",0.000920811675,0.001091937,0.001250394,0.00158264,0.00215456,0.002808195,0.003672535,0.004126262,0.00459382924999999
1,"E_C",0.000181395925,0.00020612105,0.0002484937,0.0003765085,0.00051013,0.000713214,0.0008780821,0.000991472849999999,0.00117319775
1,"F_T",0.000142932275,0.00015065935,0.0001592849,0.0001709555,0.000188767,0.0002057795,0.0002192343,0.00022660735,0.00023611725
1,"FTraced",0.0742475675,0.08392384,0.0995402,0.13493125,0.1931065,0.260701,0.3232587,0.35553555,0.387615625
1,"HygieneFit",0.5439736,0.5599535,0.6014955,0.66712175,0.7444405,0.820153,0.8970395,0.92599815,0.942305475
1,"I_C",9.433856e-05,0.00010543545,0.0001302899,0.0001957965,0.000282642,0.000391246,0.0004766265,0.000528732799999999,0.000626696325
1,"I_T",0.0010259285,0.001095493,0.001156818,0.0013028025,0.001485165,0.001753155,0.002130848,0.0023628085,0.002571386
1,"I_U",0.0013772385,0.0015557545,0.001793498,0.0023388,0.00299844,0.0039870625,0.00508422,0.0058946765,0.0066811645
1,"kappa",0.181495425,0.1922559,0.2050883,0.235306,0.2783455,0.32886875,0.3976651,0.43388775,0.454100075
1,"lambda",0.018303115,0.02107352,0.02408862,0.030833025,0.04143395,0.05460505,0.0699154,0.083394865,0.0952120425
1,"lambda_C",0.224229575,0.2391759,0.2563516,0.29467875,0.3564995,0.46730375,0.581687,0.6553889,0.72373205
1,"lambda0",0.0183251125,0.021096815,0.02414997,0.03085525,0.041472,0.054642225,0.06993516,0.08343968,0.095297615
1,"lambda0_C",0.224740925,0.239264,0.2567878,0.29504225,0.3569695,0.467779,0.5837434,0.6562298,0.724382875
1,"N_pos",569.818025,592.40955,616.4056,657.99975,707.4375,767.47275,814.901,849.75785,878.44265
1,"R_T",0.00825437925,0.0084159505,0.008580991,0.008932875,0.00936074,0.00981316,0.01014379,0.0104258,0.010589105
1,"R_U",0.01961402,0.02150593,0.02422574,0.0299662,0.03789675,0.050495325,0.06243622,0.07013898,0.0799958349999999
1,"Refft",1.0373925,1.047008,1.061596,1.0816775,1.107785,1.1366675,1.164715,1.1829815,1.203541
1,"rho",0.083037895,0.09012064,0.10046042,0.12006125,0.1443065,0.17028925,0.1849488,0.1939378,0.19627615
1,"rho_C",0.04985945,0.0558678,0.07094176,0.098632875,0.1315305,0.16957475,0.2261686,0.2621962,0.294133175
1,"rho0_C",0.04988633,0.05591335,0.07108306,0.0986761,0.1316285,0.16968125,0.2266411,0.2628932,0.294254925
1,"rMax",0.524659375,0.57258015,0.6064086,0.67815075,0.760098,0.8241815,0.8622596,0.8728051,0.879395475
1,"Rt",1.1498755,1.1676025,1.18547,1.2178275,1.258025,1.3005325,1.342037,1.368897,1.39162025
1,"S",0.790386375,0.8113141,0.8312544,0.8599855,0.888226,0.9088975,0.9233516,0.93176145,0.937871225
1,"S_C",0.019274265,0.02260948,0.02796722,0.038298225,0.0533735,0.07512465,0.09996317,0.1128031,0.133151975
1,"TauR",2.98305275,3.5151675,5.422869,8.4307075,13.54745,19.94265,25.25807,28.61924,32.0088475
1,"TauS",33.28561,34.98024,36.75208,39.1302,41.8847,44.20205,46.48581,47.37378,48.384925
1,"TauTheta",15.0586225,15.227525,15.43649,16.112075,16.9077,17.83,18.80298,19.314705,19.662025
1,"ThetaFit",0.164856125,0.17737455,0.1979766,0.23413025,0.274639,0.32015225,0.3771324,0.4196816,0.491669125
