"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,0,0
6,"CumDeath",0,0,0,0,0,0,0,0,0
7,"CumDeath",0,0,0,0,0,0,0,0,3.45871474999993e-09
8,"CumDeath",0,0,0,0,0,0,0,3.15359199999949e-10,4.8721595e-08
9,"CumDeath",0,0,0,0,0,0,2.59479600000001e-09,5.2563535e-08,2.3461695e-07
10,"CumDeath",0,0,0,0,0,0,4.22993400000001e-08,2.316565e-07,4.54749874999999e-07
11,"CumDeath",0,0,0,0,0,8.7576375e-10,1.542697e-07,4.384043e-07,8.0180515e-07
12,"CumDeath",0,0,0,0,0,5.8690375e-08,3.86684e-07,7.6738295e-07,1.1012595e-06
13,"CumDeath",0,0,0,0,2.370645e-08,2.1890375e-07,6.398098e-07,1.0927645e-06,1.580525e-06
14,"CumDeath",0,0,0,5.9231875e-09,1.190265e-07,4.57848e-07,1.057683e-06,1.535008e-06,2.4569985e-06
15,"CumDeath",3.28520725e-09,7.739733e-09,3.186724e-08,1.0824475e-07,3.15176e-07,8.45625e-07,1.464975e-06,2.1324335e-06,3.12640775e-06
16,"CumDeath",5.04614675e-08,9.3308235e-08,1.445163e-07,2.7887025e-07,5.66741e-07,1.2481925e-06,2.08952e-06,2.840991e-06,3.94251925e-06
17,"CumDeath",1.29789175e-07,1.9067865e-07,2.804965e-07,4.72874e-07,8.71834e-07,1.80696e-06,2.810978e-06,3.90872e-06,4.80611425e-06
18,"CumDeath",2.30749175e-07,3.0013625e-07,4.448594e-07,7.07534e-07,1.24748e-06,2.3511725e-06,3.73034e-06,5.00694e-06,6.00801724999999e-06
19,"CumDeath",3.68687975e-07,4.5745545e-07,6.358033e-07,9.7719825e-07,1.6572e-06,3.0113175e-06,4.696444e-06,6.019774e-06,7.2348235e-06
20,"CumDeath",5.35509775e-07,6.5157555e-07,8.656751e-07,1.2960725e-06,2.118505e-06,3.7287975e-06,5.687109e-06,7.260562e-06,8.65335975e-06
21,"CumDeath",7.40076725e-07,8.896557e-07,1.137318e-06,1.6651475e-06,2.69245e-06,4.6170425e-06,6.871599e-06,8.71613699999999e-06,1.0346887e-05
22,"CumDeath",9.836764e-07,1.1621355e-06,1.466057e-06,2.09435e-06,3.373255e-06,5.698435e-06,8.228293e-06,1.0305005e-05,1.21875925e-05
23,"CumDeath",1.28096e-06,1.513171e-06,1.868606e-06,2.6447575e-06,4.15597e-06,6.7791625e-06,9.692477e-06,1.212186e-05,1.427291e-05
24,"CumDeath",1.67164525e-06,1.962615e-06,2.357064e-06,3.28875e-06,5.13909e-06,8.1972775e-06,1.141353e-05,1.414703e-05,1.72266825e-05
25,"CumDeath",2.14360525e-06,2.464608e-06,2.961764e-06,4.0717175e-06,6.283725e-06,9.8910675e-06,1.344786e-05,1.6504545e-05,2.04451525e-05
26,"CumDeath",2.71198125e-06,3.1168745e-06,3.658794e-06,4.9828125e-06,7.52437e-06,1.167415e-05,1.564349e-05,1.908338e-05,2.42710275e-05
27,"CumDeath",3.38672475e-06,3.893873e-06,4.529206e-06,6.0674725e-06,8.958385e-06,1.3632975e-05,1.801398e-05,2.215032e-05,2.7774095e-05
28,"CumDeath",4.21053775e-06,4.820779e-06,5.704547e-06,7.368805e-06,1.06806e-05,1.6004725e-05,2.102464e-05,2.58579699999999e-05,3.143652e-05
29,"CumDeath",5.334226e-06,6.0216035e-06,7.01577e-06,8.9142175e-06,1.290105e-05,1.8637e-05,2.443217e-05,3.084429e-05,3.61807075e-05
30,"CumDeath",6.53322875e-06,7.26422e-06,8.536054e-06,1.068465e-05,1.52833e-05,2.1530775e-05,2.840063e-05,3.532724e-05,4.02632749999999e-05
31,"CumDeath",7.89346375e-06,8.7641975e-06,1.033765e-05,1.2853625e-05,1.773945e-05,2.446775e-05,3.220362e-05,4.0054695e-05,4.605701e-05
32,"CumDeath",9.5166315e-06,1.0643745e-05,1.224129e-05,1.523225e-05,2.0874e-05,2.82005e-05,3.674393e-05,4.5563385e-05,5.24859375e-05
33,"CumDeath",1.13874075e-05,1.2864205e-05,1.462618e-05,1.778555e-05,2.42254e-05,3.22883e-05,4.196934e-05,5.2285005e-05,5.91752625e-05
34,"CumDeath",1.338285e-05,1.5233755e-05,1.714367e-05,2.065875e-05,2.793985e-05,3.70046e-05,4.785421e-05,5.9568475e-05,6.6499015e-05
35,"CumDeath",1.59491075e-05,1.7580045e-05,1.990702e-05,2.3730975e-05,3.192255e-05,4.1570875e-05,5.349679e-05,6.7529785e-05,7.44138675e-05
36,"CumDeath",1.8963535e-05,2.011672e-05,2.280962e-05,2.7209775e-05,3.6204e-05,4.71128e-05,5.946731e-05,7.5125305e-05,8.42074524999999e-05
37,"CumDeath",2.20190875e-05,2.3279825e-05,2.589563e-05,3.130875e-05,4.093355e-05,5.2619975e-05,6.622933e-05,8.35532949999999e-05,9.370573e-05
38,"CumDeath",2.507943e-05,2.6535035e-05,2.921687e-05,3.57298e-05,4.584165e-05,5.8031325e-05,7.253809e-05,9.26769649999999e-05,0.0001037053
39,"CumDeath",2.81892625e-05,3.006497e-05,3.288949e-05,4.022105e-05,5.104235e-05,6.4676675e-05,8.028961e-05,0.00010368305,0.000115020675
40,"CumDeath",3.13702175e-05,3.3635865e-05,3.663249e-05,4.45394e-05,5.63576e-05,7.1326725e-05,8.833402e-05,0.0001128527,0.00012663465
41,"CumDeath",3.4552705e-05,3.713725e-05,4.103219e-05,4.9137575e-05,6.17055e-05,7.80478e-05,9.573765e-05,0.0001222609,0.00013741325
42,"CumDeath",3.83440125e-05,4.109729e-05,4.495637e-05,5.3781e-05,6.708005e-05,8.378755e-05,0.0001042298,0.0001311035,0.000146047375
43,"CumDeath",4.179348e-05,4.47096e-05,4.945909e-05,5.8293625e-05,7.231835e-05,9.061815e-05,0.000112089,0.0001413527,0.00015688795
44,"CumDeath",4.50925575e-05,4.8601685e-05,5.354346e-05,6.334845e-05,7.77398e-05,9.7393375e-05,0.0001197126,0.00015097785,0.000167369775
45,"CumDeath",4.8901325e-05,5.2522445e-05,5.827314e-05,6.7800025e-05,8.394725e-05,0.00010478175,0.0001282961,0.00016061215,0.0001757283
46,"CumDeath",5.267273e-05,5.63828e-05,6.256511e-05,7.2590975e-05,8.978865e-05,0.000112386,0.0001364814,0.0001698907,0.000186005825
47,"CumDeath",5.607712e-05,6.050046e-05,6.704023e-05,7.7561325e-05,9.560955e-05,0.00011991275,0.0001443715,0.0001770073,0.0001950541
48,"CumDeath",5.9830405e-05,6.4534845e-05,7.160019e-05,8.255185e-05,0.000101019,0.00012758075,0.0001529863,0.0001863514,0.00020500035
49,"CumDeath",6.3676365e-05,6.927967e-05,7.568615e-05,8.7906675e-05,0.0001066045,0.00013489,0.0001609812,0.00019558315,0.0002149616
50,"CumDeath",6.76062975e-05,7.333292e-05,7.978345e-05,9.2369025e-05,0.0001123215,0.000141451,0.0001695064,0.000204686,0.0002249658
51,"CumDeath",7.1556365e-05,7.717133e-05,8.450225e-05,9.789925e-05,0.000117773,0.00014783575,0.0001786283,0.00021364475,0.000235891175
52,"CumDeath",7.57374425e-05,8.1136895e-05,8.911921e-05,0.00010297125,0.0001241655,0.0001551425,0.0001879178,0.00022244765,0.000246621925
53,"CumDeath",8.000492e-05,8.522435e-05,9.356532e-05,0.000108416,0.000129898,0.000162086,0.000196409,0.0002310808,0.0002563151
54,"CumDeath",8.421036e-05,8.9154555e-05,9.823056e-05,0.00011354575,0.0001362165,0.0001696135,0.0002050938,0.00024099965,0.000265809775
55,"CumDeath",8.83074725e-05,9.303982e-05,0.000102872,0.00011843875,0.000142135,0.00017680825,0.0002136371,0.00024986545,0.000275106
56,"CumDeath",9.23423575e-05,9.6920455e-05,0.0001071849,0.00012370825,0.0001481895,0.0001837555,0.0002220006,0.00025666675,0.00028420035
57,"CumDeath",9.6300125e-05,0.00010106825,0.0001112109,0.00012851225,0.0001534145,0.00019048025,0.0002296773,0.00026359915,0.000293146925
58,"CumDeath",0.000100030635,0.00010540625,0.0001153161,0.00013292775,0.0001594415,0.00019689325,0.0002376903,0.00027120935,0.00030189145
59,"CumDeath",0.0001037449,0.0001096597,0.0001193563,0.00013782525,0.000165178,0.00020373,0.0002454996,0.00027862075,0.00031043265
60,"CumDeath",0.00010744115,0.00011365775,0.0001234781,0.000142587,0.0001704845,0.00021042075,0.0002533862,0.00028596085,0.00031876285
61,"CumDeath",0.00011111575,0.0001171454,0.000127835,0.000147414,0.0001759265,0.000216935,0.0002609994,0.0002931449,0.000326633225
