"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 1664.67 10.3359 3.2156 13.9099 4.71476 7.71444 0.0436123 95.2645 5.91811 5.8016 2.05802 0.189951 0.776605 0.853566 0.59046 19.3697 4.72219 0.364778 0.37675 2.17188 4.87749 40.1851 0.335919 59.273 0.705526 2.1631 -45.55953 -1321.44 -1366.999
66300 3756.66 19.1331 3.54791 19.6756 3.42834 6.43591 0.0240044 100.648 10.2296 6.37374 2.13254 0.518351 0.0492905 0.688537 0.763336 18.3808 4.27426 0.39969 0.549678 3.92657 7.45954 40.1169 0.283633 68.5922 0.810797 1.7872 -49.92334 -1320.194 -1370.117
200000 712.525 16.9484 4.32281 18.5798 3.86027 6.89616 0.0321332 95.0277 5.04331 4.33943 1.98089 0.202766 0.654373 0.726293 0.565283 17.1606 3.47489 0.592107 0.484335 4.13057 3.22523 22.5655 0.532683 47.552 0.764308 1.7979 -45.76222 -1325.227 -1370.989
161800 535.252 17.4468 3.33738 11.9728 2.8779 5.27146 0.0260194 96.5978 6.56627 7.75539 1.98801 0.32334 0.750173 0.778603 0.553157 18.4059 3.29449 0.290525 0.418575 4.28761 4.8634 31.5202 0.260595 57.1559 0.892814 1.67035 -42.31117 -1322.278 -1364.589
170600 3277.49 10.674 3.3795 19.3575 4.38258 6.76899 0.0346269 94.5343 6.15064 7.68394 2.0917 0.0572952 0.742992 0.724259 0.440236 18.3639 2.8676 0.31762 0.207281 8.49347 7.94396 48.7033 0.354448 63.5943 0.816198 1.69298 -45.424 -1323.265 -1368.689
168200 3005.27 19.9893 3.44405 12.9713 4.42612 5.91879 0.0311879 93.3783 8.15669 7.27412 1.81647 0.194844 0.739175 0.63839 0.45552 16.6558 3.717 0.417122 0.265358 10.9908 11.1586 51.9347 0.456925 57.0181 1.03065 1.3972 -44.91815 -1326.001 -1370.919
67100 5241.16 17.8933 3.6328 17.7346 4.75033 9.95234 0.0301972 90.2279 5.57043 6.10595 2.31483 0.332358 0.227057 0.606067 0.699378 13.2833 3.77808 0.279654 0.671089 4.81521 4.64818 24.8635 0.333427 55.1356 0.95757 1.93757 -50.41026 -1322.592 -1373.003
106100 1147.63 9.81862 3.20809 14.2277 4.82231 6.88883 0.0464703 87.7317 5.0436 10.6207 1.28458 0.401983 0.453722 0.77627 0.782658 17.0144 2.87955 0.25959 0.698601 5.61721 4.01535 36.2941 0.662805 65.5876 1.01375 2.16627 -47.41113 -1320.754 -1368.166
168900 1416.14 12.8141 3.19232 15.0108 5.23913 5.18752 0.0272953 93.1815 5.14011 6.1544 1.23624 0.316548 0.924649 0.736524 0.575031 17.9171 4.26156 0.261029 0.391962 6.2096 4.81175 61.8543 0.362115 50.6208 0.99263 1.70121 -47.78885 -1325.891 -1373.679
47000 753.399 10.432 3.48816 9.91904 4.33077 6.11092 0.0376917 89.041 7.4211 7.58098 1.7975 0.318648 0.377488 0.694427 0.584541 18.9344 4.31836 0.065116 0.64339 10.4639 5.5596 37.1123 0.280657 66.6305 0.868427 1.92457 -46.28096 -1319.351 -1365.632
64700 7806.4 20.8244 2.51497 11.4912 3.26947 5.49171 0.0300799 96.4907 9.03952 7.22216 2.3632 0.43913 0.801152 0.649944 0.522522 17.7337 4.8639 0.258152 0.209201 12.3783 11.3482 50.0231 0.373991 58.8633 0.702248 1.61064 -47.00014 -1322.013 -1369.013
108800 317.851 15.7801 3.7669 10.8849 2.48169 5.77317 0.0342221 95.8817 9.11601 4.55977 2.22792 0.513243 0.784816 0.672647 0.588974 18.6544 3.17239 0.447793 0.54593 4.44872 5.76814 29.5987 0.589566 58.7707 0.784317 2.35288 -44.61825 -1320.754 -1365.373
85300 1190.98 15.0577 3.01182 18.5158 3.19319 6.22858 0.0231932 92.2972 7.40742 10.1915 2.52796 0.0616753 0.462774 0.640079 0.733711 17.9822 3.92735 0.248031 0.589558 2.57028 6.50242 49.4491 0.599802 59.4857 0.775206 2.20328 -44.35624 -1321.967 -1366.324
78100 7073.95 17.3613 2.40708 12.1315 5.58878 10.1132 0.0319338 92.3657 4.97184 8.80625 2.05914 0.0366025 0.506179 0.736792 0.878798 15.7241 4.41965 0.367119 0.604897 5.72201 3.05335 35.3368 0.572374 59.517 0.735691 1.90016 -47.76437 -1323.266 -1371.03
