"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"alpha",0.0485758775,0.04938667,0.05122021,0.0574098,0.07109695,0.090704,0.1141555,0.1233526,0.130590675
1,"beta",0.02243728,0.024403685,0.02664147,0.0293422,0.03501595,0.044602775,0.05651909,0.062600295,0.0667318975
1,"beta0",0.02931838,0.03111925,0.03456547,0.0405523,0.0489795,0.06200395,0.07940491,0.0879663449999999,0.09662109
1,"c",5.528648,6.0068725,6.649737,8.103075,10.6842,12.506725,14.19513,14.966515,15.7853825
1,"CumDeath",0.001142937,0.0011789325,0.001211417,0.001269385,0.001627765,0.001910205,0.002013727,0.0020606,0.002096558
1,"CumPosTest",0.0114372325,0.011848905,0.01237414,0.01324995,0.0142283,0.0153132,0.01610985,0.016481585,0.0167442675
1,"D_pos",3.64822125,3.8035645,3.969102,4.2863275,4.622,4.9265025,5.206948,5.432445,5.67487375
1,"delta",0.01034217,0.010818575,0.01117682,0.01231135,0.01359275,0.01481355,0.01610545,0.016809905,0.0174200725
1,"E",3.087521e-05,3.4094775e-05,3.833423e-05,5.0823325e-05,7.28233e-05,0.00010373975,0.0001342562,0.00016220055,0.0002213475
1,"E_C",1.8660705e-05,2.1668415e-05,2.698793e-05,3.553915e-05,4.386795e-05,5.6709375e-05,6.77941e-05,7.767156e-05,8.460556e-05
1,"F_T",0.00115161925,0.0011866615,0.001217665,0.001276565,0.001639555,0.0019227,0.002029908,0.002074012,0.00211199425
1,"FTraced",0.130762825,0.1591068,0.2111924,0.28268525,0.384781,0.47577375,0.5666117,0.6020763,0.62751625
1,"HygieneFit",0.525518325,0.54158695,0.566777,0.6349105,0.7360935,0.82915675,0.893165,0.9255333,0.94888485
1,"I_C",1.00386825e-05,1.322829e-05,1.513974e-05,2.0306625e-05,2.702085e-05,3.5035225e-05,4.268022e-05,4.8459315e-05,5.2974345e-05
1,"I_T",6.4295685e-05,6.709846e-05,7.075583e-05,7.7346075e-05,8.51285e-05,9.3385225e-05,0.0001018814,0.00010710455,0.000110647625
1,"I_U",4.3605905e-05,5.099361e-05,5.759279e-05,7.2125825e-05,0.0001229645,0.000184482,0.0002423676,0.0002869365,0.00035098385
1,"kappa",0.199500675,0.2127052,0.2309516,0.274322,0.339556,0.41716475,0.4645887,0.4817533,0.489486525
1,"lambda",0.0140133925,0.015494075,0.01757996,0.0227224,0.0334651,0.0480353,0.07415209,0.09583954,0.104601075
1,"lambda_C",0.24119995,0.25218915,0.2673181,0.324538,0.397668,0.5021125,0.5995203,0.64089275,0.679019475
1,"lambda0",0.01402422,0.01549656,0.01758551,0.022726375,0.0334671,0.0480535,0.07424819,0.09583956,0.104601075
1,"lambda0_C",0.2413837,0.25244245,0.2677357,0.324538,0.397687,0.50229375,0.6004968,0.64090205,0.67917855
1,"N_pos",42.32308,43.985095,46.65148,50.7726,56.88415,63.3482,69.21309,73.797775,76.376125
1,"R_T",0.009540449,0.0098930745,0.01047476,0.0113547,0.0126251,0.013915275,0.01479231,0.01513351,0.0153832175
1,"R_U",0.019868165,0.021991385,0.02513185,0.033008725,0.08687985,0.134049,0.1677529,0.1960771,0.22098215
1,"Refft",0.751953125,0.77115555,0.7917704,0.83006275,0.882106,0.93379375,0.9820502,1.0082495,1.0315345
1,"rho",0.1494127,0.1580245,0.1637675,0.17655775,0.1884025,0.1949665,0.1980989,0.1989272,0.19941855
1,"rho_C",0.060534025,0.072206185,0.08954249,0.1245345,0.167371,0.2197845,0.2726886,0.30637335,0.32798585
1,"rho0_C",0.060545995,0.072219265,0.08954249,0.1245345,0.1675735,0.220063,0.2728676,0.30637735,0.328128475
1,"rMax",0.30201755,0.32499355,0.3667603,0.4473795,0.5354935,0.62155275,0.6664149,0.6892785,0.70914285
1,"Rt",0.79537015,0.8176175,0.8390778,0.883528,1.00728,1.10678,1.187265,1.2174345,1.266594
1,"S",0.75509305,0.78436395,0.8068631,0.845138,0.892466,0.94330225,0.9529921,0.9565393,0.960375125
1,"S_C",0.001873072,0.002386744,0.00294094,0.00453283,0.00693635,0.010770125,0.01540593,0.018079085,0.0209748175
1,"TauR",48.1247225,50.128315,52.26829,55.8746,58.90215,61.355925,63.60803,64.156525,64.507935
1,"TauS",33.4632675,36.12715,39.37245,44.653325,49.6046,53.17765,55.45167,56.282015,56.69373
1,"TauTheta",15.92592,16.448975,16.78555,17.759625,18.44595,18.80345,18.99421,19.04003,19.06656
1,"ThetaFit",0.27361045,0.29776715,0.3314944,0.383904,0.4653315,0.630942,0.7206924,0.74269945,0.76007445
