"","Date","Output_Var","state","Data","Training","Prediction.2.5.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.97.5.","in.IQR","in.CI"
"1",2020-03-19,"positive","AL",68,"Training",2.9718670087575,18.5284619270625,36.345422678775,61.06254987525,109.418373243375,FALSE,TRUE
"2",2020-03-20,"positive","AL",81,"Training",6.841546416495,29.9275702845,51.17380636725,80.5931615265,136.993186979513,FALSE,TRUE
"3",2020-03-21,"positive","AL",124,"Training",13.0062412402388,44.3721694250625,70.34967258375,106.090091265375,174.264281954438,FALSE,TRUE
"4",2020-03-22,"positive","AL",138,"Training",20.79777116991,65.404687931625,97.25050676775,137.522203867125,215.619104878275,FALSE,TRUE
"5",2020-03-23,"positive","AL",167,"Training",33.5171074430587,94.281015352125,132.34015022025,175.576067811375,260.903413808887,TRUE,TRUE
"6",2020-03-24,"positive","AL",215,"Training",52.2002758890375,128.781050808375,173.638451679,222.119306264625,325.565244697088,TRUE,TRUE
"7",2020-03-25,"positive","AL",283,"Training",77.0658960432375,171.969407505,227.7710850345,280.01525668725,396.59524645755,FALSE,TRUE
"8",2020-03-26,"death","AL",1,"Training",3.478577346531,6.3693353787,8.40812873355,11.5742623836,26.436095600145,FALSE,FALSE
"9",2020-03-26,"positive","AL",506,"Training",112.472800081163,227.639802256125,291.404129646,349.58949056325,477.980774938013,FALSE,FALSE
"10",2020-03-27,"death","AL",3,"Training",4.317932993304,7.54977716745,9.810709318725,13.421978619,31.2274561114425,FALSE,FALSE
"11",2020-03-27,"positive","AL",587,"Training",151.515611923988,291.4928772945,364.3120390035,430.228006551,576.9013923225,FALSE,FALSE
"12",2020-03-28,"death","AL",3,"Training",5.329325711535,8.9621396067,11.3807827035,15.4004260244625,36.1878661835775,FALSE,FALSE
"13",2020-03-28,"positive","AL",696,"Training",200.10187272915,368.54373281775,450.82408030275,519.869995995,689.069962032375,FALSE,FALSE
"14",2020-03-29,"death","AL",4,"Training",6.71517662949,10.64319658395,13.34995083135,17.7598631623875,41.69084064348,FALSE,FALSE
"15",2020-03-29,"positive","AL",806,"Training",262.802356069575,450.806306257125,546.06771345,615.73216593,812.76984222525,FALSE,TRUE
"16",2020-03-30,"death","AL",6,"Training",8.10470003301,12.582332703675,15.563910470325,20.517009893625,48.0964461074213,FALSE,FALSE
"17",2020-03-30,"positive","AL",859,"Training",338.097479108025,549.7426506075,653.92797708,727.9930380975,943.932737727,FALSE,TRUE
"18",2020-03-31,"death","AL",13,"Training",9.8695548935025,14.72735356155,17.956272495525,23.3128672704375,55.6265970511125,FALSE,TRUE
"19",2020-03-31,"positive","AL",981,"Training",420.228438804038,657.93755661375,770.35900809,856.51409752125,1085.79695707088,FALSE,TRUE
"20",2020-04-01,"death","AL",26,"Training",11.8724238376538,17.1484605088125,20.654299073625,26.467466177775,62.8298048448,TRUE,TRUE
"21",2020-04-01,"positive","AL",1077,"Training",529.75408147725,774.11607359625,900.4380545475,991.2793630425,1248.13307700637,FALSE,TRUE
"22",2020-04-02,"death","AL",32,"Training",14.1742068747563,19.71859976415,23.72106967965,30.086016707775,70.84685554275,FALSE,TRUE
"23",2020-04-02,"positive","AL",1233,"Training",644.806949763375,911.47389818625,1037.067756165,1138.82478026625,1425.81886274363,FALSE,TRUE
"24",2020-04-03,"death","AL",35,"Training",16.69617846645,22.622314953,26.891395552875,34.153061569725,79.5342696939,FALSE,TRUE
"25",2020-04-03,"positive","AL",1432,"Training",771.232755657,1058.20906408875,1181.8563576225,1298.60241826875,1602.47841186037,FALSE,TRUE
"26",2020-04-04,"death","AL",43,"Training",19.4714964012975,25.7713242294375,30.3540493158,38.139890325075,88.66650078825,FALSE,TRUE
"27",2020-04-04,"positive","AL",1580,"Training",910.042903644,1206.94472947125,1342.085088645,1464.37665152625,1772.6832856635,FALSE,TRUE
"28",2020-04-05,"death","AL",45,"Training",22.3687222248,29.1649656634875,34.1421519831,42.6022912515375,98.2886949016875,FALSE,TRUE
"29",2020-04-05,"positive","AL",1796,"Training",1073.74970894625,1369.356603615,1510.5609768375,1645.56404683125,1959.72422580112,FALSE,TRUE
"30",2020-04-06,"death","AL",50,"Training",25.6675188998025,32.96063149365,37.997746991925,47.0889506857875,108.376397399025,FALSE,TRUE
"31",2020-04-06,"positive","AL",1968,"Training",1248.10463853338,1538.2051338675,1685.28352272,1830.7291509675,2159.38008030675,FALSE,TRUE
"32",2020-04-07,"death","AL",56,"Training",29.183095190025,36.949691198175,42.32257680525,51.9909221475,118.777327612125,FALSE,TRUE
"33",2020-04-07,"positive","AL",2119,"Training",1418.75888924175,1714.1902498875,1868.785221345,2025.55843273875,2362.12494136238,FALSE,TRUE
"34",2020-04-08,"death","AL",66,"Training",32.867917168485,41.1523704151875,46.7772674733,56.876578261125,129.434106018525,FALSE,TRUE
"35",2020-04-08,"positive","AL",2369,"Training",1600.68850417612,1900.0454773125,2057.5504890675,2229.6743469,2576.27473330763,FALSE,TRUE
"36",2020-04-09,"death","AL",74,"Training",36.7619837926162,45.8336862939375,51.63421543875,62.247281950875,140.295261433688,FALSE,TRUE
"37",2020-04-09,"positive","AL",2769,"Training",1766.36173182263,2087.7099800025,2260.3707365925,2441.30684366625,2802.45338643375,FALSE,TRUE
"38",2020-04-10,"death","AL",80,"Training",40.8661580229788,50.58395321175,56.70754095825,68.03193703425,151.315096173413,FALSE,TRUE
"39",2020-04-10,"positive","AL",2968,"Training",1946.61237363338,2283.09087008625,2464.6374236925,2653.1305646475,3039.322576395,FALSE,TRUE
"40",2020-04-11,"death","AL",91,"Training",45.1520933212912,55.449506266875,62.0169548355,74.173789144875,162.456015066713,FALSE,TRUE
"41",2020-04-11,"positive","AL",3191,"Training",2132.99493860513,2484.085906995,2669.5856535075,2865.1344776775,3280.12473362438,FALSE,TRUE
"42",2020-04-12,"death","AL",93,"Training",49.5596165754375,60.75904272375,67.43816133075,80.393479317375,173.685350643525,FALSE,TRUE
"43",2020-04-12,"positive","AL",3525,"Training",2336.79827472263,2690.1692241375,2877.5493420975,3088.413264615,3518.92381720163,FALSE,FALSE
"44",2020-04-13,"death","AL",99,"Training",54.1069529240625,66.01819895475,73.17292650675,86.79691634775,185.467459039275,FALSE,TRUE
"45",2020-04-13,"positive","AL",3734,"Training",2544.0396015825,2905.10646759375,3096.9815804025,3318.3652863375,3765.250883289,FALSE,TRUE
