Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.478791	17.9381	4.84983	0.349452	0.16471	4.67467	6.85137	39.9043	0.299321	53.7486	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.445755	16.2014	3.94447	0.190331	0.125386	2.76861	2.86709	28.8531	0.690885	70.4069	2.14616	0.875481	116.788
2	682.408	9.96419	2.31337	17.693	4.34434	7.30107	0.0092755	140.188	10.8415	8.84514	2.56389	0.547946	0.418255	0.605499	0.301796	17.761	4.17281	0.420458	0.230808	3.58255	6.07915	44.6513	0.860846	46.0747	21.771	4.02549	682.408
3	1260.55	15.251	3.3318	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.38399	17.7128	4.24268	0.541171	0.694389	7.79006	6.09323	38.621	0.611126	53.2714	0.147824	1.12572	1260.55
4	4309.16	8.53286	1.52616	8.38981	5.7631	9.41888	0.016644	99.7273	30.913	9.40721	1.86717	0.483687	0.400297	0.635124	0.234461	20.4108	4.15784	0.294634	0.140165	4.73968	9.8084	36.6006	0.534195	62.8126	3.77252	4.6474	4309.16
5	3481.57	15.1026	2.10704	16.6682	4.40493	5.09423	0.0219764	118.536	39.1059	4.51455	2.2069	0.26839	0.858747	0.697172	0.723404	18.0713	3.41126	0.332824	0.113702	6.34715	7.16766	54.4029	0.842396	53.8008	1.35841	0.90302	3481.57
6	171.103	14.8669	2.78678	12.9302	3.53921	12.8526	0.00528185	101.548	37.2139	10.6302	1.50588	0.472062	0.594615	0.69053	0.666581	19.7731	4.85972	0.24767	0.0542206	2.20684	7.57937	26.5019	0.398097	56.0947	0.206013	1.73351	171.103
7	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	68.3552	15.1501	6.87515	1.93967	0.245616	0.447232	0.752094	0.152252	19.6221	3.41852	0.369044	0.167274	7.35128	3.96197	41.2988	0.582107	67.5214	0.354495	39.0199	111.803
8	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	63.5655	22.7623	8.82275	1.1712	0.375937	0.809036	0.712324	0.656289	17.6877	6.06932	0.415483	0.0931046	2.52839	4.0162	40.9115	0.780925	66.3084	12.0746	0.144763	297.646
9	203.055	15.0514	3.19619	9.12849	4.0843	14.1489	0.00881927	74.7593	17.3825	10.4866	1.49338	0.0205589	0.789229	0.803178	0.815393	18.3119	5.93447	0.334292	0.738601	2.21148	12.568	34.6725	0.648766	56.6684	3.98365	1.08885	203.055
10	373.792	18.6613	3.96393	17.9001	4.53195	16.6484	0.00792448	153.952	24.1842	5.52067	1.49477	0.255987	0.775738	0.679512	0.577425	18.2179	5.96305	0.451831	0.109326	7.67083	7.74274	22.4994	0.793673	65.9916	1.19846	29.1697	373.792
11	1849.54	12.9113	1.5264	10.8196	3.21769	12.311	0.0124619	169.791	17.0372	4.54212	1.63457	0.395264	0.285169	0.83129	0.326276	18.6323	4.43077	0.379504	0.205905	3.25462	8.63804	48.3827	0.311352	48.1413	1.82781	29.661	1849.54
12	585.436	13.1377	3.64609	7.94746	4.39219	7.87067	0.00865893	62.6098	4.87768	9.15598	2.88018	0.26785	0.409697	0.623511	0.265935	20.2598	5.33677	0.222733	0.502005	5.01587	8.88552	23.2201	0.339075	54.8551	0.203855	29.1171	585.436
13	455.496	20.8231	1.82196	14.2054	3.49596	12.5382	0.00316943	179.509	15.5407	6.52724	1.43935	0.523246	0.822671	0.765799	0.657415	18.7757	4.97416	0.112607	0.292656	3.07664	6.85242	45.1763	0.37435	48.0088	0.695471	0.956181	455.496
14	15.4439	13.1231	2.21284	17.2866	3.54396	10.4551	0.008232	109.591	20.9992	11.6378	1.443	0.460714	0.173674	0.709655	0.627864	17.2388	3.53676	0.111193	0.183109	4.5392	4.96604	39.3013	0.309333	63.8978	0.152657	4.76014	15.4439
15	659.758	10.7497	3.21861	13.3071	4.56359	15.4057	0.0120646	91.297	15.5834	3.38612	1.62506	0.0841518	0.300639	0.730946	0.952238	16.7934	3.88262	0.199771	0.336387	2.78893	4.69721	43.2136	0.137932	54.54	0.285996	6.05889	659.758
16	9743.4	9.59255	3.33207	17.7365	3.92065	6.57501	0.00407129	137.551	18.0776	7.68898	2.52788	0.35198	0.609555	0.819546	0.122349	15.728	5.03401	0.337463	0.210587	3.54601	11.9781	40.1269	0.201132	58.8664	0.16509	0.539363	9743.4
17	102.423	10.5775	4.12683	11.1367	3.58086	11.9363	0.00487475	138.628	30.1228	3.66994	1.87063	0.339704	0.751829	0.661638	0.294226	18.805	5.71479	0.310043	0.212129	6.82503	9.14365	29.4134	0.418223	62.9104	21.3524	0.268613	102.423
18	236.197	12.5882	3.35658	12.2738	5.00119	16.4433	0.00878192	136.531	9.55235	7.22894	1.81082	0.294549	0.45854	0.643398	0.0474808	19.6528	3.74625	0.300311	0.17696	12.2655	5.25219	33.0759	0.763027	48.9468	1.33901	0.116145	236.197
19	421.127	17.9582	4.17068	13.2907	2.52608	5.98739	0.00732592	97.8226	20.6308	3.6198	1.63654	0.112955	0.590049	0.801212	0.705062	21.797	4.55704	0.367731	0.432682	1.42539	5.57898	43.9198	0.548873	56.1275	0.201495	0.547432	421.127
20	176.75	20.0692	1.99505	15.7661	5.3922	12.0031	0.00774323	102.759	5.29295	7.18018	1.13383	0.211893	0.791247	0.818836	0.775822	20.059	4.48686	0.101583	0.189394	3.68591	3.50006	39.6303	0.684398	49.5513	2.09966	23.9289	176.75
21	379.628	15.4521	3.08993	11.3887	2.42177	12.0605	0.0410743	170.283	31.8787	8.1062	2.3391	0.300884	0.540516	0.742595	0.318872	17.5564	4.45276	0.672739	0.357049	4.87684	7.07007	51.1982	1.15052	53.2423	0.26266	23.1008	379.628
22	75.5692	17.7882	1.9026	11.6285	4.38228	25.795	0.0111521	168.849	6.99501	2.9265	2.76875	0.383967	0.863268	0.75145	0.637472	19.6841	5.81059	0.349422	0.321489	7.08377	2.48372	41.7305	1.1296	53.8123	6.40384	0.101932	75.5692
23	2362.38	14.8937	2.46664	13.5444	3.73615	11.9163	0.0163977	132.309	17.8997	10.8172	2.0091	0.146669	0.278652	0.852898	0.402466	19.1056	5.09009	0.131098	0.287365	6.46331	7.73399	47.285	0.510476	61.2542	0.210327	3.87567	2362.38
24	605.208	9.87594	2.62376	12.5286	3.93902	13.9741	0.0191282	127.84	32.9808	7.95746	2.93114	0.394133	0.735006	0.774399	0.147979	15.8328	3.66533	0.1304	0.106758	13.1196	6.73711	30.1425	0.509052	62.3248	0.593518	6.55901	605.208
25	3041.12	9.1051	2.17099	17.9689	3.36548	7.38725	0.00974457	160.928	22.6939	7.16359	2.1689	0.13563	0.492276	0.785516	0.166399	19.6458	3.19321	0.221053	0.360784	10.8092	9.20029	46.8087	0.406049	46.4533	38.0783	20.1707	3041.12
26	809.111	11.5316	3.98879	11.6878	4.09883	13.6543	0.0185786	139.564	20.8789	8.14071	2.62774	0.0835377	0.744668	0.740531	0.357665	18.5699	3.91609	0.250339	0.105253	8.07572	7.5941	29.0446	0.71186	60.4192	0.161497	2.84447	809.111
27	15.6124	12.9963	3.22349	13.7358	3.65185	12.2447	0.0147838	157.815	9.04508	4.30598	2.23099	0.14928	0.348151	0.670945	0.718891	19.2437	6.15974	0.505062	0.244001	5.33148	12.6477	34.6757	1.11818	44.2349	9.4236	6.2792	15.6124
28	2405.02	8.72047	3.32643	17.5265	5.31558	22.6646	0.00633032	134.114	4.10286	5.51512	1.25801	0.197729	0.938115	0.737306	0.24641	18.24	2.06638	0.29858	0.120131	9.5981	10.0766	40.5149	0.5728	66.8637	0.244863	0.180237	2405.02
29	5136.24	12.475	3.47644	17.6554	5.07352	14.504	0.011544	92.5685	6.89445	3.87829	2.42972	0.391595	0.905028	0.719668	0.506252	19.1995	4.66184	0.214636	0.433149	11.1925	9.20545	30.7506	0.634568	58.6837	2.55423	4.82383	5136.24
