"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 2605.12 13.9382 3.48187 10.8544 3.07598 6.45826 0.00751234 92.9656 8.71636 9.6958 2.8408 0.374944 0.187123 0.747871 0.406284 20.2704 5.48805 0.36102 0.207474 4.97303 1.99533 39.622 0.817667 55.0144 10.1597 1.64505 -46.16105 -1432.502 -1478.663
66300 5033.87 15.2864 4.33441 7.30967 4.14313 8.5816 0.00922437 104.49 12.929 6.50154 2.6943 0.547025 0.271273 0.690122 0.261967 21.9558 6.73448 0.222968 0.127715 2.43407 5.98879 45.4376 0.619885 40.6912 9.29053 1.4291 -51.42813 -1426.175 -1477.603
200000 9975.43 15.9734 3.888 16.4335 4.86829 7.80386 0.00453031 98.0903 13.1318 6.92351 2.78678 0.216799 0.0448562 0.820911 0.244379 21.0811 5.00751 0.0660691 0.103437 4.59983 4.86084 39.0968 0.583608 67.5346 7.90133 1.41848 -51.56007 -1432.399 -1483.959
161800 8308.9 8.00013 3.74702 12.7353 2.8849 10.9888 0.00943338 102.895 8.73402 6.44894 1.67705 0.0944997 0.187631 0.672185 0.200777 21.8085 3.67721 0.136102 0.172834 1.82558 4.67983 26.6134 0.772334 65.9648 8.96005 1.25401 -47.9056 -1426.458 -1474.364
170600 3406.08 18.7053 4.27329 9.57565 2.94271 10.2187 0.0160841 104.777 9.48902 9.87982 1.62367 0.208924 0.619469 0.744396 0.188868 21.0846 3.79585 0.192179 0.262737 3.72938 4.80525 24.1889 0.937079 63.751 12.4004 1.69883 -50.05627 -1428.945 -1479.001
168200 6541.57 11.9773 4.15739 12.6507 4.40643 10.0494 0.0115007 105.966 11.9232 8.75048 2.00152 0.187864 0.454889 0.689472 0.207911 20.5938 2.50133 0.150783 0.112256 4.69033 6.82085 32.7106 0.682783 54.7104 12.3495 1.23192 -47.59162 -1428.884 -1476.475
67100 1836.21 10.1593 3.55103 10.0856 3.1834 5.66484 0.0106775 104.482 13.4297 6.65235 1.86003 0.104003 0.146078 0.724269 0.276203 20.4535 3.68851 0.0982721 0.315958 7.51338 7.61427 31.4701 0.716318 66.2013 12.2875 1.26476 -47.99457 -1428.072 -1476.067
106100 3838.43 11.631 2.91639 10.6995 3.02782 5.76481 0.00604069 104.565 13.9743 9.93294 2.35019 0.231968 0.179612 0.740967 0.358244 22.673 5.46392 0.125198 0.162428 2.72199 6.64138 34.2072 0.668501 61.2407 10.6859 1.65366 -49.00756 -1428.569 -1477.577
168900 2143.36 13.2543 3.50375 9.33347 4.94758 6.56723 0.0109821 90.719 10.216 9.73405 1.90988 0.25693 0.816629 0.620594 0.430634 20.5688 3.1465 0.248736 0.200733 4.79623 4.12742 49.6723 0.796817 38.4833 9.52684 1.51812 -47.81617 -1434.905 -1482.721
47000 4256.12 10.6166 3.29005 14.5976 3.98473 7.48402 0.00861218 93.0008 13.7128 11.5137 1.68697 0.232067 0.766936 0.622123 0.366772 20.5915 3.47724 0.21831 0.120387 10.4913 6.5592 29.0425 0.785306 65.5174 7.9208 1.45942 -48.22062 -1436.945 -1485.165
