"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 155.624 9.86759 3.78278 19.4175 3.21785 8.64898 0.00511051 151.973 33.7132 7.02966 1.32507 0.247043 0.67252 0.746829 0.0486784 21.1597 8.94938 0.0338445 0.479922 5.57233 13.2733 42.0811 0.711059 19.3041 4.07726 3.62519 -54.04639 -415.3831 -469.4295
66300 57.6219 10.4398 3.43084 11.4485 2.40889 5.71246 0.00337527 152.134 27.7654 10.0205 1.44142 0.193928 0.853615 0.90681 0.0915691 21.4245 9.41306 0.0191945 0.544348 5.54824 9.13767 36.5231 0.732503 35.8557 6.39071 0.904822 -56.11817 -414.4919 -470.6101
200000 99.9309 11.4699 3.95156 11.7849 3.02981 6.42026 0.00434901 130.708 25.4128 8.70788 1.9891 0.392653 0.573479 0.877167 0.0806886 20.1631 6.85008 0.117647 0.187757 7.67331 9.80685 36.5708 0.614517 22.7613 3.44832 11.3458 -49.57531 -416.6269 -466.2022
161800 41.6474 10.3927 4.45988 16.8075 2.60012 6.52727 0.0087883 131.059 29.1987 6.10974 2.62643 0.0389138 0.494438 0.738572 0.086055 18.2745 2.85594 0.0989994 0.475514 10.5446 11.4225 46.4252 0.804242 14.3229 4.54386 12.4149 -59.10022 -411.9519 -471.0521
170600 64.7733 12.2542 4.49204 15.1865 4.15248 6.16537 0.00421947 123.699 30.7179 4.11856 1.46543 0.0409943 0.239261 0.731602 0.0539483 21.1817 3.95625 0.123442 0.208389 8.06855 11.4864 25.7601 0.649818 46.5444 2.65767 9.416 -50.69561 -418.7876 -469.4832
168200 77.564 8.1488 3.79381 11.6029 3.77582 6.17709 0.00501991 98.8251 31.7038 4.48278 2.93498 0.325088 0.330827 0.64693 0.110539 19.8957 4.90238 0.0709769 0.176818 8.36177 7.50689 28.8949 0.56718 35.5511 3.36164 26.7719 -47.90239 -420.006 -467.9083
67100 221.956 12.6337 3.56905 11.8854 3.45923 7.12568 0.00437827 122.408 26.0721 10.1757 2.51143 0.347143 0.46122 0.767739 0.0274435 21.3343 4.23371 0.090173 0.138769 6.94676 9.49438 29.2773 0.726108 27.7307 3.75646 26.3193 -51.64986 -416.5239 -468.1738
106100 238.227 9.45628 4.25864 8.45196 3.75099 6.79835 0.00459205 148.028 26.0966 3.98324 1.49771 0.268326 0.33889 0.77516 0.029042 18.8796 4.30135 0.0910069 0.312642 7.9666 8.11856 31.595 0.675684 39.3606 4.33217 0.366536 -48.62267 -418.5983 -467.221
168900 118.112 18.9418 3.7206 18.9122 4.2101 5.03724 0.00266568 140.998 34.7938 4.96028 1.7468 0.154085 0.169254 0.766744 0.0635871 22.2231 2.80145 0.0287651 0.14269 6.43907 11.8504 34.6906 0.464488 21.622 2.20102 9.59915 -51.65685 -418.7808 -470.4376
47000 124.903 15.8792 3.55447 14.1278 3.88438 5.5073 0.00316778 131.658 28.0978 7.11337 1.84401 0.446388 0.764822 0.650226 0.0566714 21.0756 6.41876 0.0374498 0.252117 6.82785 11.4191 27.115 0.609906 34.8452 4.67149 15.8471 -50.1345 -414.0873 -464.2218
