"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 884.73 16.1307 3.31354 13.8965 4.39792 7.96706 0.00378812 163.694 33.7824 8.90229 1.28426 0.0274546 0.535668 0.851418 0.189089 21.4391 2.70034 0.0771305 0.390569 5.42455 11.3999 35.0538 1.06537 73.7126 1.4592 22.6087 -51.4641 -819.0769 -870.541
66300 2541.1 11.4223 4.01988 11.2835 3.34124 11.0301 0.00319358 143.51 21.93 8.11473 1.89422 0.396977 0.610029 0.618229 0.0154234 20.1748 3.56526 0.173322 0.11954 9.14525 13.6036 24.4152 1.29938 59.1363 1.48892 1.58026 -48.29483 -810.3575 -858.6524
200000 1606.85 14.6097 3.4162 8.98515 2.86508 8.04995 0.00290387 176.028 29.3456 9.14938 2.46969 0.156001 0.839649 0.656485 0.146733 23.0498 3.5837 0.303238 0.246042 6.76402 13.6399 30.433 1.19794 51.1695 1.0854 4.45583 -48.92572 -812.5921 -861.5178
161800 1251.54 13.8442 4.36245 19.6777 3.7728 9.32957 0.00370336 159.945 28.1192 5.71623 2.88258 0.334004 0.325863 0.82495 0.0446954 21.5395 4.79755 0.18849 0.320974 7.32686 13.9229 31.7326 1.22755 51.018 1.61189 1.71141 -50.46733 -807.1472 -857.6145
170600 574.96 10.9479 4.10325 14.4032 4.60711 6.14328 0.00281232 168.342 25.5135 5.06184 2.85024 0.308566 0.522666 0.891752 0.198001 22.8458 4.07799 0.31024 0.149696 3.68723 12.4479 49.3958 0.958998 28.8639 1.41338 3.45588 -49.42872 -808.9883 -858.417
168200 1918 15.962 3.8704 10.6947 3.70342 7.5557 0.00293223 162.209 25.7559 10.2584 2.9473 0.377283 0.59805 0.85169 0.085648 21.9507 4.96039 0.272521 0.359039 8.34368 12.9153 32.2053 1.60901 59.1444 1.53036 1.7728 -53.21842 -807.5629 -860.7813
67100 1374.42 16.4405 3.49592 13.8518 3.88783 8.09167 0.00205748 163.608 26.2579 9.43457 2.21346 0.288785 0.758768 0.61205 0.163412 23.8983 3.59556 0.216572 0.253051 3.33702 9.01636 40.3069 1.13071 42.8833 1.35107 2.47951 -47.65513 -810.5417 -858.1969
106100 590.713 16.294 3.91142 13.1365 4.91807 7.02126 0.00300048 158.855 25.5361 6.56695 2.34389 0.216684 0.682546 0.725727 0.0805272 23.9122 5.64539 0.0873534 0.25568 2.79383 12.3089 26.1799 0.901164 66.5555 1.59586 1.99315 -50.05485 -807.7611 -857.816
168900 1402.13 8.25027 3.67302 10.2708 3.19365 6.85412 0.00181933 164.654 27.7953 8.10503 2.77323 0.0645736 0.423922 0.640541 0.138456 20.2831 4.07 0.10841 0.127666 6.08043 13.2103 39.4632 0.662166 36.267 1.35455 1.06289 -46.80205 -811.2409 -858.0429
47000 600.522 13.5955 4.01305 14.9612 4.3066 8.1943 0.00434124 141.27 26.2324 10.0957 2.76956 0.408201 0.824513 0.806675 0.0615608 24.154 4.69832 0.151315 0.121006 6.43342 12.2224 22.5778 0.874188 50.2759 1.40639 1.44883 -47.53614 -812.4074 -859.9435
