Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	5648.27	9.03273	4.4796	17.8213	3.24308	7.12944	0.0126137	142.412	20.3837	11.7152	1.95658	0.230583	0.800228	0.782784	0.240093	19.3013	3.64403	0.102349	0.458794	5.56767	13.0027	80.8992	0.838306	31.6587	0.110709	0.308349	0.140263	0.0411403	0.307827	0.111018	0.0352569	19.3013	80.8992	0.838306	31.6587	0.844346	0.0297126	0.000517219	0.000396761	0.000766215	0.000284389	0.000632052	0.111752	0.0110544	0.000984153	0.240093	0.864137	0.437475	0.0392287	0.293523	0.10586	0.00409692	15.6316	0.0304668	1.49254	1.26022	1057.78	1e-15	0.0067948	0
1	9422.01	18.8676	3.89836	9.27543	3.58318	6.42253	0.00986704	129.164	18.1064	7.67816	2.58046	0.508513	0.258635	0.884926	0.308584	20.4751	5.63766	0.224054	0.354931	3.69683	11.4286	76.4722	0.728982	24.2424	0.0530009	0.279082	0.155702	0.0146504	0.168547	0.0445944	0.0654398	20.4751	76.4722	0.728982	24.2424	0.803211	0.0326383	0.000761213	0.000406438	0.00113462	0.000497721	0.000547021	0.149295	0.0114251	0.000827016	0.308584	0.768408	0.34933	0.0144192	0.165888	0.0438907	0.00477822	7.53734	0.0502845	1.44962	1.16435	1240.61	25.8655	0.0127407	0.000800354
2	1747.06	19.5934	3.73962	7.00118	2.58864	5.8712	0.0142885	145.328	23.975	2.81201	2.15413	0.151301	0.575571	0.651103	0.310664	19.1121	3.67295	0.0605447	0.279172	5.92752	13.4981	77.9284	0.58278	20.083	0.0510376	0.386303	0.170323	0.113106	0.256526	0.161967	0.0909765	19.1121	77.9284	0.58278	20.083	0.916845	0.0100035	0.000460406	0.000157242	0.000629694	0.000153444	0.0005301	0.0599713	0.0105472	0.000840045	0.310664	0.931667	0.256938	0.104098	0.236096	0.149067	0.00572519	4.98761	0.0847599	1.1447	1.04951	1244.24	29.0371	0.011543	0.000803426
3	5286.21	10.9549	4.09305	8.87202	3.66616	5.98003	0.00881648	134.502	16.9388	5.45765	1.70929	0.522598	0.773856	0.675799	0.242709	20.645	5.01304	0.0526941	0.21863	3.66856	13.0993	72.7167	0.583188	39.077	0.0912834	0.272765	0.167223	0.0457463	0.18875	0.18967	0.0771474	20.645	72.7167	0.583188	39.077	0.828993	0.0119836	0.00140869	0.000384137	0.00154029	0.000255437	0.000552112	0.144041	0.0102626	0.000996408	0.242709	0.928106	0.215076	0.0450027	0.185681	0.186587	0.0055655	6.07158	0.071601	1.60787	1.33291	1366.18	24.6142	0.011574	0.000964382
4	864.656	14.1907	4.24238	10.587	2.63484	6.04454	0.0160974	130.342	18.0488	2.7275	2.47695	0.0539115	0.349389	0.855025	0.277914	20.075	4.53514	0.0818961	0.1249	4.61525	12.1514	68.1594	0.843208	69.7467	0.0704687	0.37953	0.165439	0.103623	0.326583	0.0585296	0.0662939	20.075	68.1594	0.843208	69.7467	0.9203	0.00712496	0.000919182	0.000128362	0.00105677	0.000109748	0.000629807	0.0576122	0.0112678	0.000919833	0.277914	0.900448	0.122826	0.101902	0.321159	0.0575575	0.00630458	8.09621	0.0596942	1.58575	1.45937	1490.06	30.1235	0.0123841	0.00088294
5	4009.04	8.45137	3.65685	14.4271	2.66805	6.52896	0.011943	135.711	17.4219	2.55704	2.50884	0.483227	0.513466	0.763148	0.277281	20.5398	2.84641	0.0430938	0.214105	3.48774	12.9421	65.7197	0.751004	52.5031	0.118324	0.374806	0.153164	0.0791923	0.157194	0.094407	0.0388226	20.5398	65.7197	0.751004	52.5031	0.887689	0.0131331	0.000731431	0.000193605	0.00100136	0.000249358	0.000584609	0.0850204	0.0108447	0.000868986	0.277281	0.946223	0.209938	0.0776512	0.154135	0.0925698	0.00475107	11.8309	0.0367348	1.48762	1.32054	1334.63	23.586	0.012047	0.000839938
6	3100.65	11.0614	4.43233	11.4828	2.91674	7.82916	0.0156743	134.562	17.1346	9.53072	2.61005	0.254867	0.982608	0.858635	0.273382	20.6728	4.29733	0.19514	0.290827	3.82505	11.9569	72.5388	0.660046	25.3938	0.0904045	0.342849	0.127728	0.0659625	0.245128	0.0541618	0.0493025	20.6728	72.5388	0.660046	25.3938	0.898431	0.0146976	0.000435983	0.000173706	0.000728726	0.000193553	0.000635398	0.0731028	0.0109268	0.000918944	0.273382	0.77641	0.285859	0.0648357	0.240941	0.0532366	0.00436266	8.64636	0.038279	1.22745	1.10278	1160.89	28.7135	0.0123053	0.000888725
7	8809.24	9.39382	3.79605	13.349	4.82361	5.99968	0.0110859	124.222	15.1512	8.06046	1.6258	0.46591	0.893022	0.70191	0.276184	20.0873	6.6155	0.0865447	0.246252	5.71298	11.8641	71.1318	0.750637	47.0007	0.106453	0.207314	0.166676	0.0415335	0.230584	0.18335	0.0473975	20.0873	71.1318	0.750637	47.0007	0.85691	0.0201499	0.00163278	0.000528505	0.0013542	0.000240991	0.000520474	0.107955	0.0104598	0.000944196	0.276184	0.89462	0.244986	0.04132	0.229398	0.182407	0.00670995	10.9396	0.0424027	1.68382	1.44288	1259.68	29.9691	0.0116405	0.000910439
8	5852.94	12.8088	3.96351	16.5321	3.95464	5.66297	0.0150935	133.971	17.4925	8.13431	2.55099	0.17226	0.770079	0.773226	0.257772	17.4926	4.13281	0.0245775	0.453616	5.95146	13.3376	74.9637	0.746124	30.2702	0.0780713	0.252868	0.176586	0.060592	0.250895	0.0888965	0.0423358	17.4926	74.9637	0.746124	30.2702	0.877524	0.0249242	0.000479907	0.000382263	0.000481343	0.000275176	0.000475975	0.0842509	0.010729	0.00093969	0.257772	0.96723	0.445484	0.0595057	0.246397	0.0873028	0.0058758	13.4169	0.0409484	1.2904	1.13235	1187.58	26.1643	0.0119828	0.000907154
9	5967.42	10.6595	4.42291	14.5117	2.96859	5.43128	0.0118844	140.767	18.6566	10.6523	2.56977	0.55791	0.837094	0.760466	0.248936	17.5078	7.04235	0.102332	0.517823	8.18035	13.2011	73.073	0.968802	41.4753	0.093813	0.33686	0.184119	0.0264193	0.130827	0.0932122	0.0561161	17.5078	73.073	0.968802	41.4753	0.751465	0.0325122	0.000581863	0.000577642	0.000819191	0.000779675	0.000526365	0.201814	0.0101175	0.00127744	0.248936	0.867362	0.500926	0.0255572	0.126558	0.0901706	0.00640817	14.1717	0.048673	1.64182	1.23377	1454.56	26.3227	0.0117713	0.00124197
10	3133.88	7.68917	3.78716	11.3309	2.44916	5.00998	0.00889283	138.473	21.4268	9.01614	2.52625	0.326355	0.547846	0.726636	0.378653	18.2685	6.90906	0.346715	0.321591	7.44546	13.7667	75.0281	0.94179	44.3456	0.130053	0.408303	0.199602	0.0297431	0.193763	0.108209	0.0667134	18.2685	75.0281	0.94179	44.3456	0.813458	0.0190481	0.000831193	0.000365775	0.00126655	0.000452032	0.000479487	0.15288	0.0104924	0.000974315	0.378653	0.714118	0.307163	0.0284086	0.18507	0.103355	0.00646583	10.9211	0.0476413	1.58098	1.28606	1397.44	23.9951	0.0117169	0.000940973
