"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"alpha",0.04938242,0.050972965,0.05358952,0.063318925,0.08289295,0.10703875,0.1258404,0.1341463,0.138497575
1,"beta",0.0243979775,0.026699005,0.02916513,0.033674875,0.0423557,0.0532933,0.06352043,0.069655165,0.076208415
1,"beta0",0.0326271825,0.034479495,0.03800186,0.04347035,0.05281435,0.06839785,0.08336958,0.090030075,0.0972081774999999
1,"c",5.403735,5.8180775,6.193313,7.4508775,9.562695,11.752725,13.31307,14.249505,15.1531825
1,"CumDeath",0.000824291975,0.00083485905,0.0008504444,0.000885213,0.0009109765,0.0009464255,0.0009858013,0.0009960545,0.0010097945
1,"CumPosTest",0.011633945,0.011723655,0.01188543,0.012129175,0.01238125,0.0126719,0.01291454,0.01312926,0.0132737775
1,"D_pos",25.3066775,25.822225,26.5992,27.866225,29.29705,30.756225,32.37472,33.176325,33.9034575
1,"delta",0.0049459085,0.005087423,0.005277966,0.0056392925,0.00616198,0.00668569,0.007171506,0.0073333365,0.007645577
1,"E",0.000669791425,0.0007214343,0.0007885093,0.00091594275,0.001070765,0.00124573,0.001421384,0.0015344985,0.001629594
1,"E_C",5.71021275e-05,6.7647745e-05,7.724356e-05,0.00010050825,0.000142317,0.00019410975,0.0002360524,0.00027417545,0.0003074464
1,"F_T",0.0008510295,0.0008648983,0.0008832082,0.00091667775,0.0009423445,0.00097983775,0.001018373,0.001030331,0.00104455525
1,"FTraced",0.0547849675,0.06126998,0.06927134,0.08908235,0.116509,0.1511875,0.1809342,0.1988727,0.213886
1,"HygieneFit",0.5938269,0.6117755,0.6560513,0.72884175,0.79028,0.8517355,0.9025304,0.9320624,0.947410775
1,"I_C",3.227358e-05,3.6451815e-05,4.377059e-05,6.1210575e-05,8.309175e-05,0.00011800425,0.0001462862,0.0001667111,0.000191205725
1,"I_T",0.000415928775,0.00043468035,0.0004568183,0.000488421,0.000530418,0.0005856885,0.0006329671,0.0006614436,0.00068768545
1,"I_U",0.000873925525,0.00091828135,0.0009961746,0.001131315,0.001295455,0.0014940475,0.001701772,0.0018094315,0.001888151
1,"kappa",0.2220155,0.2373737,0.2525949,0.282913,0.327456,0.38268775,0.4352524,0.4613691,0.475279775
1,"lambda",0.0381976925,0.040743765,0.04513101,0.0523281,0.0614613,0.0718901,0.08172075,0.091418885,0.0954783225
1,"lambda_C",0.225917625,0.2356195,0.2525986,0.288728,0.3490875,0.4655195,0.5774002,0.6288002,0.691614
1,"lambda0",0.0383166225,0.040824085,0.04524249,0.05248105,0.0616524,0.072113575,0.08199978,0.09182702,0.0958190825
1,"lambda0_C",0.226807975,0.2364926,0.2532887,0.289735,0.3503235,0.46695675,0.5791214,0.6306939,0.693611675
1,"N_pos",1102.29125,1127.213,1164.783,1224.9525,1297.205,1380.2625,1440.14,1490.0255,1537.592
1,"R_T",0.01048861,0.010571865,0.01069509,0.010906725,0.01113305,0.011404375,0.01165378,0.011813865,0.01195429
1,"R_U",0.0682301375,0.070893035,0.07481208,0.08214865,0.0937952,0.10808375,0.1216033,0.1314886,0.136876125
1,"Refft",1.17973525,1.1912455,1.21181,1.25107,1.32264,1.3928625,1.430646,1.464602,1.4875055
1,"rho",0.13249365,0.13866605,0.1431893,0.15507175,0.168089,0.1805665,0.1924314,0.1960169,0.19830545
1,"rho_C",0.047694035,0.064307195,0.0781689,0.102582,0.1333485,0.179339,0.2378506,0.2746229,0.2911616
1,"rho0_C",0.0478474625,0.06449312,0.0784652,0.10285725,0.133817,0.17997425,0.238724,0.27562685,0.292062825
1,"rMax",0.4636474,0.4915213,0.5227875,0.59116625,0.6512725,0.7038765,0.740579,0.75459725,0.759344325
1,"Rt",1.325612,1.344713,1.37461,1.427725,1.505915,1.583955,1.650517,1.676449,1.7010625
1,"S",0.8309158,0.8396544,0.8510726,0.86502025,0.880689,0.893146,0.9025659,0.90567185,0.9098566
1,"S_C",0.00343433575,0.004444913,0.005094671,0.0068559925,0.009906905,0.01368955,0.01847731,0.02150936,0.0246744075
1,"TauR",38.7581375,39.821615,41.34789,45.32805,50.1609,57.291875,63.19841,67.437775,70.96406
1,"TauS",65.02013,65.654155,66.65269,67.78515,68.7388,69.31875,69.62652,69.69733,69.7392675
1,"TauTheta",17.3172825,17.613745,17.8761,18.26415,18.6711,18.927275,19.03779,19.07203,19.088355
1,"ThetaFit",0.244001575,0.25088245,0.2612425,0.284622,0.308219,0.33762825,0.3658122,0.38832845,0.401879125
