"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_T50Testing.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_FAsymp.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
111900 9392.78 15.412 3.50632 11.943 2.55906 7.1609 0.00833305 174.756 26.8031 5.02897 1.39285 0.380666 0.727809 0.83606 0.242596 20.4754 6.16005 0.157258 0.258403 7.5065 12.0849 50.1764 0.718616 27.9163 1.63488 2.89268 -53.79712 -1445.175 -1498.972
66300 9350.38 9.95224 4.01226 12.7006 3.29986 7.2142 0.00565674 166.796 29.8162 6.97705 1.06213 0.498586 0.535017 0.817124 0.211043 20.5532 8.39804 0.105037 0.170801 7.53586 12.2883 35.0921 0.571966 66.9916 1.57855 1.70531 -52.86083 -1449.672 -1502.532
200000 4668.52 7.31671 4.04865 8.23871 2.94257 7.71743 0.00871919 173.574 32.3749 8.57094 2.40182 0.181284 0.870262 0.793791 0.236982 20.4251 8.1559 0.234709 0.118165 7.70164 11.2033 38.1132 0.685804 65.7998 1.43351 3.2759 -53.05694 -1443.669 -1496.726
161800 5556.83 10.568 3.59896 11.7626 2.83227 6.14628 0.00641959 173.954 27.6336 5.21736 2.02872 0.445822 0.70776 0.79053 0.281532 20.8512 6.09123 0.196066 0.217056 5.55269 9.69822 47.2723 0.847603 54.4465 1.40812 2.41729 -51.59805 -1444.692 -1496.29
170600 6767.4 12.599 3.76781 18.0907 3.31856 5.08236 0.00529443 166.72 37.3425 5.12096 1.30974 0.470895 0.572976 0.774311 0.269625 17.9559 3.28361 0.160723 0.229385 8.61786 12.6113 43.5618 0.690942 52.5788 1.42056 2.30327 -51.40856 -1446.138 -1497.546
168200 8151.24 20.0488 3.97208 15.1704 2.69223 9.08871 0.00534201 175.447 37.722 6.65034 1.68221 0.144435 0.36359 0.731339 0.232451 21.1499 6.48937 0.150381 0.0633035 8.17163 10.87 47.5401 0.645174 51.0675 1.43131 2.7927 -53.00681 -1443.509 -1496.516
67100 6066.52 9.42179 4.44185 11.7402 2.61871 10.6637 0.0107782 144.177 27.8489 8.18404 2.76409 0.160194 0.589103 0.709819 0.192914 20.2533 7.7509 0.27946 0.201897 4.73938 10.9119 37.2096 0.974128 65.6168 1.56081 1.84887 -56.20629 -1446.779 -1502.985
106100 6381.58 13.5433 4.21253 9.60244 2.78647 6.80733 0.00542401 170.845 35.1201 11.1276 2.95379 0.188041 0.356388 0.751998 0.171123 20.0004 7.90504 0.0711366 0.306045 7.93899 10.9558 36.2565 0.559785 51.1297 1.59165 2.22189 -52.39997 -1441.812 -1494.212
168900 5730.03 9.65201 4.13043 14.4804 2.03455 8.45033 0.00748976 170.932 32.3123 7.6177 1.06546 0.30832 0.915411 0.749475 0.283266 18.1461 6.81854 0.381444 0.0580022 8.21734 13.0578 39.5787 0.711592 55.1948 1.48079 2.85557 -52.40639 -1443.451 -1495.858
47000 7689.16 11.8911 4.10824 14.4984 5.45189 5.45593 0.00668012 176.284 35.6189 6.1819 1.07472 0.0620471 0.495359 0.82908 0.224172 18.088 4.68164 0.143332 0.255691 6.58334 11.5426 41.6245 0.525231 57.1111 1.79526 2.97391 -52.26383 -1445.142 -1497.405
64700 2694.46 11.1234 4.01453 12.0592 2.68968 5.67004 0.00570698 175.5 28.2866 4.22061 2.78952 0.435048 0.7448 0.691252 0.29637 20.2338 7.79901 0.293284 0.181397 6.65037 10.9558 43.888 0.569213 35.4775 1.51029 2.97212 -48.91193 -1447.508 -1496.42
108800 8462.44 17.6748 3.35254 12.3088 2.86097 5.93981 0.00650492 177.999 27.7844 4.29043 1.44635 0.346954 0.68869 0.745377 0.27291 20.9504 4.22363 0.222577 0.11308 6.52853 13.6781 25.2324 0.67137 63.1546 1.62399 2.43861 -51.83581 -1445.816 -1497.652
85300 4758.48 8.23015 3.12641 19.1504 2.51409 6.46469 0.00856813 170.158 41.7408 7.39886 1.11421 0.236935 0.829185 0.716902 0.341862 19.4484 7.20829 0.151968 0.253776 3.49433 11.4896 44.586 0.588306 49.607 1.49534 2.84216 -49.90199 -1449.692 -1499.594
78100 4818.96 7.23351 4.14576 18.7958 3.03573 7.41123 0.0101705 163.247 31.3373 7.86693 2.19415 0.208993 0.752949 0.901056 0.204392 18.0686 6.94506 0.110886 0.171462 6.74741 12.812 41.9755 0.546095 57.4544 1.79504 2.67014 -51.94852 -1443.087 -1495.035
177000 5209.19 12.4858 3.54236 16.7024 3.02567 5.2225 0.00774142 172.645 31.9486 6.60685 2.64132 0.39382 0.701216 0.835219 0.2607 20.1136 4.91102 0.11227 0.365515 5.9502 11.5101 47.0474 0.748808 43.4662 1.69885 2.46207 -51.87763 -1443.12 -1494.997
50600 9643.33 17.6301 3.47612 18.5805 3.14524 8.13042 0.0068333 176.414 41.4105 9.62384 2.60195 0.0260452 0.748881 0.737332 0.26292 20.2921 6.07524 0.183192 0.0677446 6.24301 12.283 34.628 0.680458 63.2423 1.34708 2.3623 -52.9469 -1444.762 -1497.709
