Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
0	1355.71	7.24102	4.19971	8.80456	2.6957	5.80436	0.00846901	129.074	26.6363	8.35611	2.50911	0.216255	0.51069	0.66105	0.239045	20.7128	5.69199	0.117405	0.269477	2.48791	8.2834	41.0595	0.603259	61.9181	0.138102	0.370961	0.172284	0.0404006	0.26346	0.135088	0.0821783	20.7128	41.0595	0.603259	61.9181	0.7469	0.0443463	0.00409372	0.00138447	0.00507996	0.00100593	0.00213751	0.173891	0.0182097	0.00102374	0.239045	0.845338	0.254217	0.0381127	0.24854	0.127438	0.00495145	6.14645	0.0694685	1.58591	1.18452	1162.26	1e-15	0.010378	0
1	8710.25	11.2283	3.89469	9.42572	3.65442	5.59097	0.00577014	175.021	28.6039	8.30683	1.60906	0.127338	0.587571	0.712783	0.24888	18.7992	8.78433	0.0908919	0.253742	6.19866	11.7897	46.9637	0.743878	59.7301	0.0890607	0.273641	0.17886	0.0504176	0.442981	0.1785	0.0739046	18.7992	46.9637	0.743878	59.7301	0.557768	0.0585633	0.0072919	0.00159821	0.00771699	0.000816156	0.00261826	0.346336	0.0162233	0.00133977	0.24888	0.881253	0.186153	0.0369878	0.324984	0.130953	0.00387437	7.61242	0.0651286	1.91857	1.07012	2450.46	30.6358	0.0185294	0.00123624
2	4549.97	15.0376	3.66212	11.0717	3.21878	6.21009	0.00983346	174.265	36.4123	7.06486	2.13556	0.310339	0.821209	0.801905	0.236558	20.9742	3.57568	0.0919993	0.0774557	3.77807	12.0003	35.3073	0.452095	56.3116	0.0665	0.310677	0.161028	0.0932123	0.375501	0.0927602	0.0532624	20.9742	35.3073	0.452095	56.3116	0.75161	0.0224618	0.00538191	0.000296764	0.00495937	0.000190082	0.00198747	0.194592	0.0150796	0.00123083	0.236558	0.875795	0.0537169	0.0646444	0.260417	0.0643309	0.00520351	6.44048	0.0466469	1.41669	1.0648	1676	35.7739	0.0171239	0.00111819
3	6676.84	13.3452	4.07822	15.9093	2.99456	6.01014	0.00596222	177.716	34.0109	9.80818	2.93789	0.207404	0.753577	0.680856	0.287626	18.6165	4.73258	0.252547	0.272201	8.31917	11.7678	44.9779	0.708945	47.9168	0.0749333	0.333939	0.166385	0.0523112	0.23175	0.10863	0.0426516	18.6165	44.9779	0.708945	47.9168	0.557079	0.106397	0.00389814	0.000860112	0.00534908	0.00100107	0.00195423	0.305421	0.0163016	0.00114055	0.287626	0.73001	0.186221	0.0357876	0.158547	0.0743171	0.00374522	12.6107	0.0311361	1.65097	0.919721	1665.03	27.8503	0.0178261	0.00105746
4	4996.76	8.08794	4.16028	10.3618	2.58598	8.14946	0.00959337	164.857	29.9805	4.88734	1.16766	0.2068	0.702859	0.676827	0.216675	19.5652	7.3086	0.13764	0.0685666	1.996	12.5371	52.1713	0.571003	35.0164	0.123641	0.386701	0.122708	0.097336	0.579644	0.27677	0.0492673	19.5652	52.1713	0.571003	35.0164	0.771842	0.0171673	0.00466726	0.000260948	0.00669254	0.000116007	0.00368921	0.17429	0.0183618	0.00121398	0.216675	0.810179	0.0539467	0.0765818	0.456051	0.217757	0.00301482	6.87978	0.0399153	1.47185	1.13604	2557.02	34.2014	0.0222639	0.00109512
5	3989.76	10.9516	3.96547	12.2215	2.23397	6.49739	0.00971763	178.641	32.4718	6.2573	1.16809	0.299434	0.835892	0.804172	0.259651	17.7249	6.37959	0.145844	0.100224	5.51065	13.7213	47.5315	0.534057	57.9019	0.0913109	0.447634	0.153908	0.107427	0.68845	0.167648	0.049938	17.7249	47.5315	0.534057	57.9019	0.725388	0.0261903	0.00400266	0.000288698	0.00519759	0.000150068	0.00241354	0.217583	0.0149754	0.00134408	0.259651	0.821471	0.0687422	0.0736824	0.472198	0.114987	0.00430943	8.00557	0.0410226	1.53643	1.11451	1955.53	29.1782	0.0167661	0.00122487
6	9202.99	8.91984	4.08518	17.7629	4.52716	5.56957	0.00760418	172.655	31.5428	4.24278	2.0296	0.0872791	0.356646	0.702331	0.214118	17.4403	5.77359	0.0703684	0.338138	10.1463	13.2751	49.678	0.611011	50.023	0.11211	0.220889	0.179547	0.0590376	0.346044	0.146664	0.0412929	17.4403	49.678	0.611011	50.023	0.643097	0.0892443	0.00609216	0.00189226	0.00544422	0.00104138	0.00243736	0.233418	0.0171997	0.00129419	0.214118	0.89722	0.246781	0.043087	0.252551	0.107039	0.00438314	12.3328	0.0370489	1.57822	1.01495	2221.96	33.6237	0.0187332	0.00116861
7	6101.68	9.87049	4.09788	19.9012	2.37851	8.18411	0.0113205	175.421	33.9763	3.8301	2.12008	0.286367	0.623096	0.629886	0.187914	20.1915	3.91912	0.124647	0.241995	8.66589	12.0681	40.3114	0.718381	58.8945	0.101312	0.420431	0.122188	0.102472	0.297105	0.174575	0.0251599	20.1915	40.3114	0.718381	58.8945	0.674996	0.1177	0.00350324	0.000694704	0.00527242	0.000615895	0.003355	0.173729	0.0164751	0.00124471	0.187914	0.811897	0.169083	0.0715981	0.207589	0.121977	0.00343932	15.3498	0.0204272	1.57006	1.05979	2185.79	35.6852	0.0180547	0.00112447
8	4216.01	15.758	4.40608	15.2881	2.28419	10.8146	0.0179474	163.065	32.2703	4.26941	1.0826	0.115132	0.640014	0.783606	0.181815	19.6103	4.63118	0.143449	0.113221	7.43907	11.2869	42.6822	0.608571	43.2933	0.0634598	0.437792	0.0924676	0.117468	0.723819	0.199884	0.0266495	19.6103	42.6822	0.608571	43.2933	0.863143	0.0389798	0.00158417	0.000150871	0.00329493	8.05932e-05	0.00310145	0.0735887	0.0149609	0.00116245	0.181815	0.783059	0.0883675	0.0916821	0.564931	0.156006	0.00328514	10.3919	0.0208681	1.19611	1.03242	1570.76	37.391	0.0170668	0.00105699
9	9802.37	7.5662	4.15232	15.6638	3.29133	7.86088	0.00491863	155.116	32.6769	9.04045	2.77719	0.375004	0.282658	0.819741	0.259406	20.9823	5.75112	0.153984	0.0924017	3.4588	7.73388	45.8607	0.553268	44.8173	0.132167	0.303829	0.127212	0.02563	0.295169	0.064907	0.0337227	20.9823	45.8607	0.553268	44.8173	0.54142	0.0462782	0.00744686	0.000595306	0.00932727	0.000379885	0.00197763	0.372487	0.014352	0.000934159	0.259406	0.812386	0.0754898	0.020939	0.241146	0.0530273	0.00333482	10.4815	0.0273959	1.90251	1.03005	1319.66	26.7574	0.0165998	0.000885341
10	9366.26	7.84628	3.89301	7.67726	3.40071	7.26567	0.0093388	172.621	27.5167	7.94176	2.66785	0.28478	0.848602	0.806187	0.198666	19.5955	7.01522	0.0589154	0.13979	1.95546	11.0462	42.5796	0.517938	54.316	0.127449	0.294056	0.137634	0.0861436	0.302186	0.0726476	0.0697917	19.5955	42.5796	0.517938	54.316	0.724807	0.0171387	0.00483788	0.000553651	0.00482711	0.000392842	0.00246317	0.229026	0.0136974	0.00127687	0.198666	0.909177	0.105925	0.065275	0.22898	0.0550485	0.00353426	4.71159	0.063453	1.49525	1.08377	1859.11	29.6025	0.0168298	0.00119054
11	5971.18	10.8884	3.9532	15.4485	2.00659	7.76979	0.00909206	161.095	29.8585	8.55827	2.23391	0.0834848	0.665877	0.776024	0.222732	18.3536	5.30926	0.139618	0.253605	10.9306	12.0977	42.5728	0.706748	57.9312	0.0918409	0.498358	0.128704	0.0603786	0.347384	0.100262	0.0329347	18.3536	42.5728	0.706748	57.9312	0.697306	0.0978787	0.00227682	0.000576969	0.00573174	0.000718322	0.00318261	0.173821	0.017714	0.00121847	0.222732	0.810847	0.204908	0.0487848	0.280679	0.0810097	0.00317585	11.9272	0.026705	1.47201	1.02644	2104.1	33.8033	0.0192942	0.00110945
12	4636.52	14.3195	4.44891	11.9693	3.56899	6.73798	0.00849263	154.715	25.9049	5.79676	2.62376	0.0205417	0.427571	0.828079	0.216329	18.9567	3.40046	0.20512	0.181827	2.50085	10.6258	50.6465	0.701498	42.2605	0.0698348	0.280191	0.148412	0.0610794	0.315608	0.0655247	0.0551639	18.9567	50.6465	0.701498	42.2605	0.721922	0.0765994	0.00561848	0.00103282	0.0071167	0.000813388	0.00335526	0.165885	0.0172687	0.00115677	0.216329	0.730498	0.158222	0.05315	0.274635	0.0570181	0.00365871	9.16935	0.0402971	1.55448	1.12221	2726.55	39.9978	0.0208608	0.00104347
13	7437	8.14953	3.74096	10.6243	4.03319	6.0388	0.00908943	175.943	36.7103	7.26402	2.85625	0.172687	0.344485	0.889293	0.211503	21.3787	5.54821	0.156068	0.471654	8.2495	9.53686	37.3061	0.733145	54.5063	0.122706	0.247943	0.165596	0.0421734	0.31135	0.0387596	0.0583085	21.3787	37.3061	0.733145	54.5063	0.726634	0.0580921	0.0032815	0.00147736	0.00343875	0.00123256	0.00190214	0.18833	0.0149885	0.00104513	0.211503	0.7847	0.321801	0.0287741	0.212429	0.026445	0.00398736	8.38879	0.0457547	1.37944	1.00235	1658.27	27.662	0.0171617	0.000977975
14	5206.85	9.97535	4.18232	13.1634	4.34116	6.31583	0.00792629	178.347	35.917	5.24641	2.01699	0.10664	0.588943	0.693819	0.208881	19.6093	5.45866	0.0992904	0.358113	8.32246	11.4487	41.0757	0.491234	48.4213	0.100247	0.230353	0.158332	0.0778856	0.343987	0.151801	0.0503059	19.6093	41.0757	0.491234	48.4213	0.739833	0.0573745	0.0040075	0.00120005	0.00404458	0.000746895	0.00222842	0.171749	0.0180622	0.00106434	0.208881	0.855997	0.240414	0.0522873	0.230931	0.101909	0.00361201	7.8652	0.0430617	1.26448	0.935502	1812.92	31.0713	0.0196321	0.000975834
15	8305.8	14.4474	4.30707	11.03	3.02057	9.25941	0.0093998	166.677	26.7639	5.30792	1.71952	0.10252	0.721969	0.60082	0.231232	18.8654	8.14281	0.27373	0.130562	6.43498	11.5987	50.4567	0.813993	41.8369	0.0692166	0.331063	0.107998	0.0817219	0.349411	0.232146	0.0421719	18.8654	50.4567	0.813993	41.8369	0.733366	0.0676519	0.00460963	0.000524672	0.00755919	0.000327963	0.00437122	0.163571	0.0171845	0.00119043	0.231232	0.669763	0.104621	0.0654849	0.279988	0.186022	0.00259341	9.45275	0.0282452	1.46367	1.07341	2577.02	37.1375	0.0197349	0.00107494
